Бацька Тиля Уленшпигеля|Клаас
Адкідное вечка некаторых механізмаў; жаночая адзежа|капот
Адкідное вечка некаторых механізмаў|капот
Адкідная частка корпуса (вечка), якая зачыняе рухавік аўтамабіля ці які-небудзь механізм?|капот
Адкл. у бок перавышэння рын. курсу каштоўных папер, грошай|лаж
Адхіленне ў бок падвышэння рынкавага кошту золата|ажыа
Адхіленне рухомага судна ад курсу пад уплывам ветра ці плыні|дрэйф
Адхіленне наадварот|норма
Адхіленне ад нормы?|анамалія
Адхіленне ад нормы?|дэвіяцыя
Адхіленне ад нормы|аберацыя
Адхіленне ад афіцыйных царкоўных дагматаў|ерась
Адхіленне ад папярэдне ўзгодненай палітычнай лініі|ухіл
Адхіленне ад рэлігійных дагматаў|ерась
Адхіленні паверхні вадкасці ад раўнаважкага стану|хвалі
Які адшчапіўся ад ледніка дрэйфуючы ледзяны масіў з глыбока пагружанай падводнай часткай|айсберг
Адшчапілася|скол
Адкампіляваны код прыкладання, прызначаны для выканання браўзэрам|аплет
Адкорм скаціны на натуральных пашах|напас
Адкормленасць?|сытасць
Адхон|схіл
Адкрывае замак; нотны знак; знак адрознення камергера|ключ
Адкрывае замак|ключ
Адкрываць тут|верх
Адкрытая вялікая лодка ў эскімосаў|умиак
Адкрытая галерэя з калонамі|айван
Адкрытая галерэя з калонамі|порцік
Адкрытая галерэя, гаўбец у верхняй частцы вялікай залы|хоры
Адкрытая галерэя, гаўбец у верхняй частцы вялікага будынка (адказ у мн. ч.)|хоры
Адкрытая галерэя, якая прылягае да будынка|лоджыя
Адкрытая горная распрацоўка|разрэз
Адкрытая ці зачыненая пляцоўка для верхавой язды|манеж
Адкрытая частка саду ці парку з траўнікамі, статуямі і т. п.|партэр
Адкрыццё, дасканалае з дапамогай крышанчыка|узлом
Адкрыта выказаная нязгода з панавальнымі гледжаннямі|ерась
Адкрытае ўзнёслае месца|юрасёў
Адкрытае ці забяспечанае засланкай адтуліна ў абарончых збудаваннях і бранявежах для вядзення агню з прылад?|амбразура
Адкрытае пладовае цела сумчатых грыбоў|апотеций
Адкрытае пашкоджанне ў тканінах цела|рана
Адкрытая прастора за горадам; фізічны тэрмін|поле
Адкрытая прастора за горадам|поле
Адкрытае з тылу палявое ўмацаванне, якое ўжывалася да пачатку ХХ стагоддзі|люнет
Адкрыты ўнутраны двор у іспанскіх хатах|патио
Адкрыты вадаправод?|канал
Адкрыты агмень у земляной падлозе ў грузинск. жыллё|кера
Адкрыты стол, за якім не сядзяць, а стаяць|фуршэт
Адкрыты шырокі каўнер кашулі|апаш
Адкуль у калонка бяруць валасы для выраба пэндзляў|хвост
Откупорщик бутэлек|лейцар
Отливная ракавіна|унітаз
Адрозная па колеры ці малюнку паласа па краі тканіны, вырабы|аблямоўка
Адрозная колерам ці выступалая акантоўка па краях чаго-небудзь (напр., тканіны, шпалер, кветнікі)|бардзюр
Адметны знак дзяржавы, гарады, роды|герб
Адметны знак на рэчы, прадмеце|пазнака
Адметны знак на якой-небудзь рэчы?|пазнака
Выдатны працаўнік, увольняемый па канчатку працы|маўр
Адхонны бераг, зручны для купальшчыкаў і для прыняцця сонечных ваннаў|пляж
Адхонны бераг, зручны для купання і сонечных ваннаў|пляж
Адклад ад руху леднікоў|марэна
Адклады ў паравых катлах|шлам
Адклады водных струменяў, якія складаюць речн. тэрасы|алювій
Адкладны каўнер з суцэльнымі закаўрашамі, звычайна закругленымі|шаль
Адлучэнне ад царквы, праклён; аповяд А. Купрына|анафема
Адлучэнне ад царквы, праклён|анафема
Адмена закона, рашэнні|абаліцыя
Адмена, прызнанне несапраўдным якога-небудзь рашэння ці дакумента|ануляванне
Адмененае практыкаванне ў штангістаў|жым
Хвацкая садавіна ў дакуменце пра спісанне|гнілата
Адмераная колькасць чаго-небудзь (якога-небудзь рэчыва, лекі)|доза
Адзнака ў пашпарце, якая азначае дазвол на ўезд дадзенаму твару на тэрыторыю іншай дзяржавы|віза
Адзнака, бал|адзнака
Отмывочная пакой|ванная
Адносная перавытворчасць тавараў|крызіс
Стаўленне двух рацыянальных лікаў; выгляд зарада для палявання|дроб
Стаўленне двух рацыянальных лікаў|дроб
Стаўленне паміж сямействамі Монтекки і Капулетти у “Ромео і Джульеце”|варожасць
Стаўленне процілеглага катэта да гіпатэнузы прастакутнага трыкутніка|сінус
Стаўленне суб'ектыўнага да аб'ектыўнага|адзнака
Зусім не паэзія?|проза
Адлюстравальная частка манітора|экран
Адагнуты верхні кут палічкі паліто, жакета, пінжака|лацкан
Адарвалі мішцы лапу... (аўтар)|барта
Адарваны ці адрэзаны кавалак тканіны, скуры|лапік
Адпадзенне гуку ў канцы слова|апокопа
Адпадзенне аднаго ці некалькіх гукаў у канцы слова, напрыклад: “каб” замест “каб”|апокопа
Адпеты гулец сярод цароў у “Махабхарате”|наль
Адбітак лапы звера|след
Адбітак з гравюры|адбітак
Адбітак з гравюры|эстамп
Адбітак тэксту на паперы|адбітак
Адбітак чаго-небудзь на якой-небудзь паверхні|след
Адбітак, які можа прастыць|след
Адплата за паразу; мексіканскі серыял|рэванш
Адплата за паразу|рэванш
Адпраўленне цягніка|ад'езд
Адпраўленне чаго-небудзь уплаў па плыні ракі|сплаў
Адпрасаваны сок вінаграда|сусла
Атожылак Кенги у казцы пра Віні-Пуху|ру
Атожылак|клон
Адпачынак па цяжарнасці і родам (разг.)|дэкрэт
Адпушчэнне грахоў, якое выдаецца каталіц. царквой за плату ці адмысловыя заслугі?|індульгенцыя
Якая адпрацавала свечка|недагарак
Атрута|зарин
Атрутнік стрэл, апеты А. Пушкіным|анчар
Атручванне?|інтаксікацыя
Атрутнае рэчыва скурна-нарывного дзеянні|іпрыт
Атрутнае рэчыва скурна-нарывного дзеянні|люізіт
Атрутнае рэчыва нервова-паралітычнага дзеяння|зарин
Атрутнае рэчыва нервова-паралітычнага дзеяння|зоман
Атрутнае рэчыва нервова-паралітычнага дзеяння|яд
Атрутнае рэчыва раздражняльнага дзеяння|адамсіт
Атрутнае рэчыва, якое дзейнічае на слізістую абалонку насаглоткі|адамсіт
Атрутны газ, названы па імі ракі, у раёне якой ён быў упершыню ўжыты|іпрыт
Уцешнае жыллё (раманс)|церам
Уцешнае жыллё (песеннае)|церам
Адлюстраванне гукавых хваль ад якой-небудзь перашкоды|рэха
Адлюстраваныя ад прадмета таямніца і цішыня|цень
Галіны і службы, злучаныя з палётамі|авіяцыя
Галіна ведаў, што вывучае працоўныя працэсы з мэтай стварэння найлепшых умоў працы?|эрганоміка
Галіна матэрыяльнай вытворчасці, якая здзяйсняе перавозкі па паветры|авіятранспарт
Галіна медыцыны, што вывучае лячэбнае ўздзеянне мінеральных вод?|бальнеялогія
Галіна навукі і тэхнікі, якая распрацоўвае тэорыю і метады аўтаматызацыі вытворчых працэсаў|аўтаматыка
Галіна навукі, што займаецца выяўленнем прыкмет жыцця ў Сусвеце|астрабіялогія
Галіна прамысловасці|авіябудаванне
Галіна прамысловасці|аўтабудаванне
Галіна прамысловасці|апаратабудаванне
Галіна прамысловасці|рыбалоўства
