Гарэзны гуляка (па Далю)|ера
Абдураны бутылек (парфума.)|флакон
Аконная фіранка, раздвигаемая ў бакі ці ўгару|запавеса
Аконная фіранка|запавеса
Аконныя запавесы з драўляных пласцінак на шнурах|жалюзі
Аконная вокладка|рама
Канчатак рэі|нак
Канчатковае аздабленне тканіны, прадзіва, скуры і т. п. адмысловымі рэчывамі|апрэтура
Канчатковая стадыя інд. развіцці казурак|имаго
Канчаткова згуслы кандытарскі выраб?|рулет
Канчатковае рашэнне суда пра вінаватасць адказніка?|прысуд
Скончыць вну|дыплом
Акоп для аднаго байца|вочка
Акоп, вырываемый у кірунку да суперніка|сапа
Акенца, адтуліна для вядзення стральбы?|байніца
Афарбоўка поўсці персідскай коткі, якая валодае блакітнымі, памяранцавымі ці адначасова рознымі па колеры вачамі|белая
Афарбоўка шерстного полага сабакі|масць
Афарбаваныя разнавіднасці гэтага мінерала ўжываюць у ювелірнай справе|кварц
Афарбаваны прыродай горны крышталь|аметыст
Наваколлі Масквы|Шула
Наваколлі Масквы|Бачнае
Наваколлі Масквы|Гжель
Наваколлі Масквы|Дрезна
Наваколлі Масквы|Дубна
Наваколлі Масквы|Кашино
Наваколлі Масквы|Клін
Наваколлі Масквы|Лобня
Наваколлі Масквы|Монино
Наваколлі Масквы|Мытищи
Наваколлі Масквы|Пущино
Наваколлі Масквы|Руза
Наваколлі Масквы|Сходня
Наваколлі Масквы|Талдом
Наваколлі Масквы|Таруса
Наваколлі Масквы|Троицк
Наваколлі Масквы|Хімкі
Наваколлі Масквы|Чэхаў
Наваколлі Масквы|Шатура
Наваколлі Масквы|Яхрома
Наваколле Масквы|Нара
Наваколле, ваколіца|акруга
Што аслеп меч|шабля
Акруга ў ФРГ у басейне Эльбы?|Лейпцыг
Акруга, група воласцяў, якія імкнуліся да горада, складовая частка губерні|павет
Круглявае ўзвышша з пакатымі схіламі|узгорак
Круглявая форма твару віцэ-прэм'ера|авал
Круглявая циркообразная вяршыня бэлькі ці яра, часам сам яр|яндоўка
Акругленыя абломкі горных парод?|галька
Круглявае ўзняцце пластоў зямной кары|купал
Круглявая пасудзіна з ручкай|коўш
Круглявая пасудзіна|чара
Атачальная мясцовасць|акруга
Атачальнае становішча ў маральным плане|атмасфера
Атачальныя ўмовы, становішча|атмасфера
Атачальны нас матэрыяльны свет?|прырода
Асяроддзе войскамі ўмацаванага месца з мэтай яго захопу|аблога
Асяроддзе варожымі войскамі|мяшок
Асяроддзе, якое атачае становішча?|антураж
Асяроддзе, сукупнасць умоў|асяроддзе
Акружанае бялком густое жоўтае рэчыва птушынага яйка|жаўток
Акруговы паліцыянт у ЗША?|шэрыф
Акрылены паштар|голуб
Окунеобразная пяцімятровая рыба|марлин
Олеко Дундич (нацыянальнасць)|харват
Аленевы вазак|каюр
Алень, які сустракаецца ў Аўстраліі, а яшчэ часцей – у крыжаванках|аксис
Алень, што жыве ў Аўстраліі|аксис
Алень, які насяляе ў лясах Індыі|аксис
Аленевая нартовая пастронак|еса
Аліўкавае масла, якое ўжываецца пры царкоўных абрадах|ялей
Аліўкавыя дрэвы|олинфы
Алігарх|магнат
Алімп. коўзанка ў Сараево|зетра
Алімп. чэмпіёнка (18-е гульні) у пяціборства|Прэс
Алімп. чэмпіёнка (танцы на лёду)|Грищук
Алімпійская “фехтавальшчыца”|рапіра
Алімпійская лодка|каноэ
Алімпійская сталіца з раскосымі вачамі?|Токіо
Алімпійская сталіца?|Хельсінкі
Алімпійскі бог, дзядзька Гермеса па бацькаўскай лініі|Аид
Алімпійскі камітэт дзяржавы (аббрев.)|НАК
Алімпійскі стадыён у Інсбруку|Тиволи
Алімпійскі стыль плавання?|трус
Алімпійскі чэмпіён 1972 гады па скачках у вышыню|Тармак
Алімпійская зброя|рапіра
Алімпійская фехтавальная зброя|шпага
Пакост, міро (агульнае)|масла
Ўвасабленне чалавечай душы ў інш.-греч. міфалогіі|Псіхея
Оловорудный раён у Малайзіі|Кинта
Оловянно-свінцовы сплаў з малым трэннем для залівання ўкладышаў падшыпнікаў слізгацення|бабіт
Алавяны пласт|палуда
Змярцвенне тканак арганізма з-за спыненні кровазабеспячэння?|гангрэна
Омертвление органа, часці целы з прычыны парушэння кровазвароту?|гангрэна
Омертвление часці арганізма|некроз
Оммаж, феадальная прысяга|аммаж
Ён “нарадзіўся” ў маленькай карчме 26 кастрычніка 1863 гады|футбол
Ён бег з Расіі ў Вену, годам пазней быў вернуты, прысуджаны Сенатам і Сінодам да смяротнага пакарання смерцю, памёр да пакарання смерцю пасля чытання прысуду. Хто ён? (тытул + імя)|царэвіч Аляксей
Ён блізкі, а ўсё адно не ўкусіш|локаць
Ён бывае без палачкі|нуль
Ён бывае белы і блакітны, а адзін рускі паэт нават назваў яго жоўтым. Ён з'яўляецца месцам жыхарства адной прынцэсы, калі судзіць па яе імі. Назавіце Яго|Ніл
Ён бывае ў выглядзе грашовых сродкаў, а бывае ў выглядзе травы|збор
Ён бывае вадзяны, нафтавы і газавы|фантан
Ён бывае дзвярны, аконны і печкавы|праём
Ён бывае і каралеўскім, і вясковым, і нават жывёльным|двор
Ён бывае вапнавы і крэмневы. У ім пераважаюць часцінкі велічынёй ад 0,01 да 0,06 мм. Ад гэтага ён валодае значнай глейкасцю. Назавіце яго, калі ў яго ёсць нямала цёзак-самалётаў|глей
Ён бывае месячны, квартальны, гадавы|справаздача
Ён бывае палявым і пракатным?|постаць
Ён бывае паласкун і ракоед|янот
Ён быў восьмым у спісе чэмпіёнаў па шахматах?|Таль
Ён быў галоўным архітэктарам Кіева ў паваенныя гады|Уласаў
Ён быў вынайдзены Генры Бишопом у 1661 году і ўжыты на ангельскай пошце. Частка якая змяшчаецца ў ім інфармацыі змяняецца кожны дзень. Пра што ідзе гаворка? “о ...”|паштовым штэмпелі
Ён быў музыкам-арганістам, філосафам, пісьменнікам, гісторыкам, лекарам, лаўрэатам Нобелеўскай прэміі свету. Хто ён?|Швейцер
Ён быў намаляваны на дзверы ў каморцы таты Карла|агмень
Ён б'е ад холаду ці хваляванні|дрыжыкі
Ён у тым супакоі пасяліўся, Дзе вясковы старажыл Лёт сарок з ключніцай лаяўся, У ... глядзеў і мух ціскалак. (А. Пушкін, “Яўген Онегин”)|акно
Ён узняў сцяг на Рэйхстазе|Ягораў
Ён цалкам падыходзіць для ікебаны|кветка
Ён заўсёды пляцецца ў канцы вайсковага злучэння|абоз
Ён выступаў за зборную СССР па футболе і да, і пасля некалькіх гадоў, праведзеных у зняволенні?|Стральцоў
Ён гіпнатызуе маленькіх птушак і кажаноў, калі кружыць над імі|сокал
Ён дзейнічае гэтак жа, як удар паленам па галаве|знячуленне
Ён даказаў знакамітую тэарэму пра гіпатэнузу і катэтах?|Піфагор
Ён павінен быць кароткім, але ёмістым|тост
Ён ездзіў на печы|Ямеля
Ён ёсць у Амерыцы, але адшукаецца і ў нашай любой установе|штат
Ён ёсць у адзежы, працы і літаратуры|стыль
Ён ёсць і ў Амерыцы і ў любой установе|штат
Ён ёсць і ў дрэва, і ў кнігі|ліст
Ён ёсць абавязкова ў асла, але ў студэнта таксама бывае|хвост
Ён ёсць у мячэці, парашута і цырка|купал
Ён ёсць у рубля, карабля і партыі|курс
Ён жа – Бурка, ён жа – Прарочая Каурка|сявец
Ён жыве і ў Амерыцы, і на Командорских выспах|алеўт
Ён замяняе нам ложак|канапа
Ён кліча на пажар|звон
Ён і ў Сахары, і ў цукарніцы|пясок
Ён і ў кароўніку, і пад мостам|бык
Ён і десятиногий рак, і Хайям|амар
Ён гуляе на духавай прыладзе|трубач
Ён вынайшаў акваланг, падводныя хаты, апарат “які нырае сподак”|Кусто
Ён выпраўляе агрэхі алоўка|гумка
Ён костак не ломіць|пара
Ён замінаў ниндзям-чарапашкам|Шредер
Ён шмат гадоў сябраваў з сярпом|молат
Ён можа быць гідраўлічным, кривошипным і брушным|прэс
Ён можа быць галаўным ці прыбраным|убор
Ён можа быць як начным, так і штукарскім|каўпак
Ён можа быць княствам, а можа і доляй|доля
Ён можа быць на тры галовы хвацкія, на сто галоў вераб'іных, і шмат яшчэ якой. У вядомай камедыі ён, напэўна, быў на адну нагу, у іншым фільме яго выдавалі за грыбы. Пра што ідзе гаворка? О ...|паклажа
Ён можа змяніць жанчыне, не даводзячыся ёй ні мужам, ні палюбоўнікам|густ
Ён мужна сустракае цяжкасці жыцця па меры іх паступлення?|стоік
Ён імчыць яе лясной дарогай; Раптам між дерев ... убогай; Вакол усё глухмень; отвсюду ён Пустэльным снегам занесены, І ярка свеціцца акенца. (А. Пушкін, “Яўген Онегин”)|будан
Ён наляпляецца на бутэльку|цэтлік
Ён не без добрых людзей|святло
Ён не стукне ў нос|попыт
Ён неабходзен нашаму арганізму, як вавёркі з вугляводамі|тлушч
Ён неабходзен пры налічэнні пенсіі|стаж
Ён неабходзен, калі ў дзвюх фірмаў справа дайшла да бойкі|арбітраж
Ён патрэбен настаўніку і бильярдисту|мел
Ён валодаў барытонам, а стаў вялікім тэнарам з-за памылкі педагога. Хто ён?|Карузо
Ён абгортваўся ў сокала ў рускай народнай казцы|Финист
Ён звычайна мае справу з тэлескопам|астраном
Ён адзін у цыклопа|вока
Ён вызначае крэпасць нашатырнага спірту|аміяк
Ён адмовіў паэту ў руцэ сваёй дачкі|Аленін
Ён перадае кручэнне колам у аўтамабілях|кардан
