Покрыва для торта|глазура
Становішча, размяшчэнне, месца|пазіцыя
Становішча, у якім адлюстравана заканамернасць, сталыя суадносіны якіх-небудзь з'яў|правіла
Становішчы, устанавл. парадак правядзення спаборніцтва|кіравала
Дадатныя бакі (поспехі, дасягненні, перавагі) пры іх параўнанні з адмоўнымі|актыў
Дадатны|пазітыў
Палатно паміж сцэнай і глядзельнай залай|заслона
Палічка ці шафка для выяў, абразаў, св. воды, асвячоных прадметаў і т. п.|бажніца
Полуарка ў гатычнай архітэктуры|аркбутан
Паўвостраў у С. Амерыцы|Мелвилл
Паўвостраў у С. Амерыцы|Фларыда
Паўвостраў у Канадзе|Лабрадор
Паўвостраў у Турцыі|Галлипольский
Паўвостраў у Турцыі|Пашаэли
Паўвостраў у Даніі, поруч якога адбывалася марская бітва ў 1916, Англія-Нямеччына|Ютландия
Паўвостраў у Італіі|Гаргано
Паўвостраў у Малайзіі|Малакка
Паўвостраў у Паўднёва-усходняй Азіі|Індастан
Паўвостраў у Францыі|Брэтань
Паўвостраў і марка халадзільніка|Апшерон
Паўвостраў на поўначы Расіі|Кольскі
Паўвостраў на паўночным усходзе СССР|Камчатка
Паўмалпа|долгопят
Паўавальная полая якая разбараняецца пасярэдзіне размаляваная драўляная лялька, у якую ўстаўляюцца іншыя такія ж лялькі меншага памеру|матрошка
Полудоска-полубревно|аполак
Напаўкаштоўны камень, разнавіднасць кварца|халцэдон
Напаўкаштоўны камень|малахіт
Напаўкаштоўны камень|меланит
Напаўкаштоўны камень|раданіт
Напаўкаштоўны камень|турмалін
Полуимпровизационный, з выразным рытмам акампанементу стыль фартэпіяннай гульні і танцавальных п'ес|регтайм
Паўкруглае завяршэнне верхн. часці сцены інш.-рус. будынкаў|закамара
Паўкруглы схіл|амфітэатр
Паўкруглы жалабок у сталярных дэталях|галтэль
Паўхмызняк (дрэвы і хмызнякі)|базілік
Полулегенд. краіна са сталіцай Калапа ў будызме|шамбала
Паўпаклон з паўпрысяданнем|кніксэн
Паўправадніковы дыёд – зменны кандэнсатар|варыкап
Паўправадніковы прымач аптычнага выпраменьвання, які валодае аднабаковей фотопроводимостью|фотадыёд
Паўправадніковы прыбор (дыёд)|варактар
Паўправадніковы прыбор (кандэнсатар)|варыконд
Паўправадніковы прыбор, выкарыстоўваны як ёмістасць, што змяняецца пры змене прыкладзенай напругі|варыкап
Паўправадніковы прыбор|варыстар
Паўфабрыкат прядильного вытворчасці|роўніца
Паўчалавек-полуконь (греч. міф.)|кентаўр
Атрыманне рухомых малюнкаў маляваных персанажаў і розных аб'ектаў|анімацыя
Атрыманне кветак, гародніны, пладоў і ягад у пазасезонны час|выганка
Поліцукрыд (утрымоўваецца ў печані, лёгкіх, ужываецца пры пераліванні крыві)|гепарын
Полиграфич. метад воспроизвед. паўтонавых малюнкаў|аўтатыпія
Паліграфічная машына, якая адлівае радок асобнымі друкаванымі знакамі|манатып
Палімерны матэрыял для пакрыцця падлог|лінолеум
Палімерны матэрыял, што захоўвае форму, зададзеную пры вырабе вырабаў (напр., ліццём пад ціскам)|пластык
Поліпептыд, які змяшчаецца ў слінных залозах медыцынскай п'яўкі|гирудин
Паліты. кіраўнік вайсковай часткі часоў гражд. войны|камісар
Палітык закулісных гульняў|інтрыган
Палітыка расавай дыскрымінацыі і сегрэгацыі|апартэід
Палітыка гаспадарчага адасаблення краіны|аўтаркія
Палітыка гвалтоўнага падзелу насельніцтва ў краіне|апартэід
Палітыка некаторых дзяржаў, накіраваная на стварэнне замкнёнай нацыянальнай гаспадаркі, адасобленага ад эканомікі іншых дзяржаў|аўтаркія
Палітыка, заснаваная на беспярэчным падначаленні ўлады|аўтарытарнасць
Политич. лад, народаўладдзе|дэмакратыя
Палітычнае амплуа|дэмакрат
Палітычная заява|маніфест
Палітычная плынь, злучанае з імем французскага ўтапіста|бланкізм
Палітычны звяз|кааліцыя
Палітычны кіраўнік вайсковай часткі ў Чырвоным Войску|камісар
Палітычны лідар Польшчы ў 90-е гады|Валенса
Паліцэйская пасада ў Расіі|вартаўнік
Паліцэйская пасада, чын у Расіі|прыстаў
Паліцэйская пасада, чын у Расіі|станавы
Паліцэйская зброя|дубінка
Паліцыянт у Італіі|палісмен
Паліцыянт у Францыі|жандар
Паліцэйскі чын у адмысловых паліцэйскіх войсках, прызначаных для палітычнай аховы і вышуку|жандар
Паліцэйскі чын у Расіі|ураднік
Поліэтылен, каучук, бялок, полістырол – аб'яднаўчае слова|палімер
Паліца з абразамі|бажніца
Паліца ці ківот з абразамі|бажніца
Паліца пад столлю|антрэсоль
Палкавы сцяг у кавалерыйскіх частках|штандар
Вайскавод Аляксандра Македонскага, диадох (361–281 да н. э.)|Лисимах
Вайскавод-мусульманін, ваяваў супраць крыжакоў у 12 ст.|Саладин
Палкоўнік стралецкага палка, у гонар якога Пятром I узведзена вежа ў Маскве ў канцы ХVII ст.|Сухарев
Паліцы для захоўвання чаго-небудзь у вертыкальным становішчы|стэлаж
Поўная бязбольнасць арганізма|аналгезія
Поўная грузападымальнасць судна з уключэннем усё неабходных для плавання запасаў і людзей|дедвейт
Поўная незалежнасць|воля
Поўная супрацьлегласць неафіта|старавер
Поўная энергіі чорта чалавека|жвавасць
Найпоўны ералаш|тарарам
Поўнае ўтрыманне якія жывуць у каго-небудзь|пансіён
Поўнае багацце|багацце
Поўнае адмаўленне ўсяго, поўны скептыцызм|нігілізм
Поўны збор святых тэкстаў будызму|типитака
Поўны абшчак|камуна
Поўны набор, склад чаго-небудзь|камплект
Поўны падбор, камплект мэблі|гарнітур
Паўгадзіны часу ў маракоў|склянка
Полы конус са сваёй мовай|звон
Польск. кампазітар|Огиньский
Польская кінаактрыса|Брыльска
Польская кінаактрыса|Тышкевіч
Польская, літоўская дынастыі|Ягелон
Польскі бальны танец|полонез
Польскі дзяржаўны і грамадскі дзеяч. У 1990–96 прэзідэнт Польшчы. Адзін з заснавальнікаў (1980) і лідар прафаб'яднання Салідарнасць (да 1991). Нобелеўская прэмія свету (1983)|Валенса
Польскі графік|Ленгрен
Польскі кампазітар|Ружицкий
Польскі магнат|Патоцкі
Польскі народны танец|кракавяк
Польскі народны, ценический і бальны танец, таксама музыка ў рытме гэтага танца|мазурка
Польскі нацыянальны танец|мазурка
Польскі парны ўрачысты танец-шэсце|полонез
Польскі першадрукар|Штраубе
Польскі пісьменнік, які служыў ад'ютантам у Тадэвуша Касцюшка|Немцович
Польскі танец|кракавяк
Карыстач вылічальнай сістэмы (звычайна кампутарнай сеткі), што займаецца пошукам незаконных спосабаў атрымання доступу да абароненых рэсурсаў|узломшчык
Польшча (горад у Еўропе)|Познань
Полюбовное дамова, дазвол спрэчкі, цяжбы без суда|сусветная
Палярная станцыя ў Антарктыдзе, СССР, 1959–1961 г.|Лазарев
Палярная вобласць зямнога шара|Арктыка
Палянка|лужок
Маёнтак у лацінаамерыканскіх краінах|асьенда
Маёнтак на Русі|сядзіба
Мешанка тыгра і льва|тигролев
Перашкода на экране радара ад мясцовых аб'ектаў|местник
Перашкода, перашкода|перашкода
Пазнака ў выглядзе малюнка якая ляціць птушачкі|галачка
Памяшканне з абароненым грунтам для гадоўлі раслін|цяпліца
Памяшканне ў офісе|кабінет
Памяшканне ў хрысціянскім храме|нартекс
Памяшканне ў будынку для жылля|пакой
Памяшканне ў хаце|святліца
Памяшканне ў стайні для захоўвання конскага рыштунка|амуничник
Памяшканне ў крэпасці для абароны асабовага склада, зброі і боепрыпасаў ад агню суперніка|каземат
Памяшканне ў кватэры, непасрэдна прылеглае да ўваходных дзвярэй|пярэдні пакой
Памяшканне ў праваслаўным храме|рызніца
Памяшканне ў цэрквы для захоўвання ўбораў святароў і царкоўнага начыння|рызніца
Памяшканне ў палацы князя|грыдніца
Памяшканне для ўтрымання хатняй птушкі|куратнік
Памяшканне для ўтрымання хатняй птушкі|птушнік
Памяшканне для ўтрымання звяроў|звярынец
Памяшканне для ўтрымання і гадоўлі паддоследных ці дэманстраваных жывёл|віварыюм
Памяшканне для ўтрымання канёў|стайня
Памяшканне для ўтрымання дробнай рагатай скаціны|аўчарнік
Памяшканне для ўтрымання паддоследных жывёл|віварыюм
Памяшканне для ўтрымання гадаў|тэрарыум
Памяшканне для ўтрымання пчаліных сем'яў узімку|імшанік
Памяшканне для адпраўлення натуральных патрэб|прыбіральня
Памяшканне для раслін|ружоўнік
Памяшканне для працы службовых асоб у сельскай мясцовасці ў дарэвалюцыйнай Расіі|земская
Памяшканне для захоўвання начыння|рызніца
Памяшканне для захоўвання тавараў, харчоў, матэрыялаў|камора
