Галіна сельскай гаспадаркі?|садоўніцтва
Атожылак нервовай клеткі?|аксон
Атожылак расліны|дзетка
Атожылак, невялікі нараст|выраст
Атожылак, выступ косткі|апофіз
Адрыў самалёта ад зямлі|узлёт
Адрывістыя міжвольныя гукі, якія выдаюцца пры іканні|ікаўка
Адрывісты гук|удар
Адрывісты рэзкі гук, вокрык|зык
Адрывісты ўдар чым-небудзь цвёрдым, нягучны гук кароткага і рэзкага ўдару|пстрычка
Адрыўная частка|талон
Адрыўны талон каштоўнай паперы|купон
Урывак гаворкі, вымаўлены ў прыпаднятым тоне|тырада
Ўрывак складання, тэксту?|фрагмент
Атрад вымерлых бескілявых якія бегаюць птушак|моа
Атрад вымерлых бескілявых птушак, што насялялі ў лясах Новай Зеландыі|моа
Атрад выкапнёвых гадаў, якія жылі ў мезойскую эру?|іхтыязаўры
Атрад конніцы А. Македонскага|ала
Атрад конніцы ў А. Македонскага|глею
Атрад буйных марскіх ластоногих млекаспажыўцоў (зоол.), у які ўваходзяць ламанціны і дзюгоні|сірэны
Атрад млекаспажыўцоў|даманы
Атрад найпростых одноклеточн. жывёл|амёба
Атрад рымскай конніцы|ала
Атрадам кніг утаропіў паліцу, Чытаў, чытаў, а ўсё без толку: Там ... , там зман ці трызненне; У тым сумлення, у тым сэнсу няма (А. Пушкін, “Яўген Онегин”)|нуда
Водбліск заходу на небе|полынь
Водбліск заходу, пажару|полынь
Водбліск пажару ці заходу на небе|полынь
Водбліскі на небе (аблоках) ад пажару, яркіх агнёў на зямлі|полынь
Адсмоктванне: пылі з памяшканняў; вадкасцяў і паветра з цела|аспірацыя
Адсмоктванне пылу з памяшканняў|аспірацыя
Адстаўка, звальненне са службы (устар.)|абшид
Адстаўны генерал, губернатар Краснаярскага краю|Лебедзь
Адсталы, замыкальны, які займае адно з апошніх месцаў|аўтсайдар
Адстойнік для палюбоўніка|гаўбец
Водступ у пачатковым радку тэксту|абзац
Водступ на кніжнай старонцы ад верхняга краю да пачатку тэксту|спуск
Адступ – у рускім войску ў 18 павеку|сикурс
Адступ акіяна|адліў
Адступ ад агульнапрынятых поглядаў|ерась
Адсутнасць ці паслабленне рэакцыі арганізма на вонкавыя раздражненні|кома
Адсутнасць болевай адчувальнасці|аналгия
Адсутнасць весялосці, займальнасці|нуда
Адсутнасць уражанняў, забавак|нуда
Адсутнасць усіх зубоў, як следств. эмбрыён. парушэнняў|адентия
Адсутнасць стрэлу пры стральбе з прычыны няспраўнасці зброі ці патрона|асечка
Адсутнасць выйсця|тупік
Адсутнасць голасу пры захаванасці шепотной гаворкі|афанія
Адсутнасць руху і шуму|супакой
Адсутнасць звонкага голасу з прычыны захворвання|афанія
Адсутнасць гукаў|цішыня
Адсутнасць ці парушэнне сіметрыі|асіметрыя
Адсутнасць ці парушэнне каляровага зроку|ахроматопсия
Адсутнасць ці абмежаванне гаворкі ў дзяцей|алалия
Адсутнасць кіслароду ў крыві|аноксемия
Адсутнасць масці|рэнонс
Адсутнасць абвінавачванага ці падазраванага на месцы злачынства|алібі
Адсутнасць абвінавачванага на месцы злачынства ў момант яго здзяйснення як доказ невінаватасці?|алібі
Адсутнасць адзежы|галізна
Адсутнасць сілкавання|афагия
Адсутнасць парадку, поўная блытаніна|хаос
Адсутнасць прыкмет падлогі|асексуальность
Адсутнасць прасвету ў трубчастым органе (мёд.)|атрезия
Адсутнасць выніку, але таксама вынік (спорт.)|нічыя
Адсутнасць рэфлексаў|арефлексия
Адсутнасць гаворкі?|немата
Адсутнасць святла, цемра|цямрэча
Адсутнасць волі, палон, рабства|няволя
Адсутнасць салянай кіслаты і пепсіну ў желудочн. соку|ахілія
Адсутнасць народкаў у насеннай вадкасці|аспермия
Адсутнасць здольнасці казаць|немата
Адсутнасць сарамлівасцяў і абмежаванняў?|воля
Адсутнасць у арганізма пігментацыі, уласцівай дадзенаму выгляду|альбінізм
Адсутнасць крышталіка ў воку|афакія
Адсутнасць пачуцця меры на свяце|оргія
Адсутнасць шуму, бязмоўе|цішыня
Адсутнасць гэтага ў мужчыны ў Баварыі дае нагода для жарту, што ён калека. Што гэта?|жывот
Отсчетное прылада вымяральнага прыбора|шкала
Атава (краіна)|Канада
Адтаванне парай пароды|пойнт
Адценне і гушчыня фарбы|колер
Адценне выканання|нюанс
Адценне тону ў жывапісе|валер
Адценне, ледзь прыкметны пераход, тонкае адрозненне ў чым-небудзь|нюанс
Адбітак з наименованем установы ці інш. звесткамі на дакументах і прылада для яго нанясення|штамп
Адбітак са слупка друкарскага набору|гранка
Адбітак мастацкага малюнка з друкаванай формы, выкананай пры ўдзеле аўтара|эстамп
Адбітак, адбітак з гравюры|эстамп
Адбітак, адбітак, станковая гравюра ці літаграфія|эстамп
Адбіткі са слупка друкарскага набору|гранкі
Канапа як прадмет мэблі|канапа
Вывастраны бок ляза|фаска
Адтуль зыходзіць смяротная пагроза для зямлян у амерыканскім блокбастары “Армагедон”|космас
Адыход крухмальна-паточного вытворчасці, сиропообразная вадкасць цёмна-карычневага колеру|гідрол
Адыход крухмальнай вытворчасці|жамерыны
Адыход апрацоўкі лёну, канопляў|пакулле
Адыход вытворчасці алею|шрот
Адыход пры апрацоўцы валакна, прадзіва|чад
Адыход пры апрацоўцы валакна; атручванне ўгарным газам|чад
Адыход пры апрацоўцы валакна|чад
Адыход с/г вытворчасці (робяць будаўнічыя і цеплаізаляцыйныя пліты, паперу)|кастрыца
Адыход с/г вытворчасці|мякіна
Адыход, які атрымліваецца з насення алейных раслін пасля абястлушчвання іх растваральнікам, выкарыстоўваецца як корм для скаціны?|шрот
Адыход, які атрымліваецца пасля перапрацоўкі малака|адгон
Адыходы дрэваапрацоўкі|пілавінне
Адыходы з тканіны?|рыззё
Адыходы металу|крышан
Адыходы мукамольнай вытворчасці, сцёртыя абалонкі збожжа|вотруб'е
Адыходы ўзбагачэння карысных выкапняў|хвасты
Адыходы ад апрацоўкі лёну і пянькі, прокладочный матэрыял|пакулле
Адыходы ад перапрацоўкі пянькі, лёну і інш., выкарыстоўваныя як протирочный матэрыял, для набівання ўшчыльненняў (сальнікаў) і т. п.|пакулле
Адыходы пры малацьбе, выкарыстоўваныя на корм|мякіна
Адыходы пры перапрацоўцы кудзелістых тэкстыльных матэрыялаў (выкарыстоўваецца для выпрацоўкі прадзіва нізкіх гатункаў, ваты)|угары
Адыходы пры распілоўцы дроў|пілавінне
Адыходы произв. даменных і сталеплавільных цэхаў|скрап
Адыходы спиртового вытворчасці і піваварства ў выглядзе гушчы|брага
Адыходы, рэчы, непрыдатныя да ўжывання, але прыдатныя для перапрацоўкі ў якасці другаснай сыравіны|утыль
Адыходы, якія застаюцца пасля аддзялення ястыка|ікра
Адыходы?|смецце
Бацькаўскае пажаданне|наказ
Адчайны чалавек з задзірлівымі паводзінамі, скандаліст, дуэлянт (устар.)|брэцёр
Імя па бацьку “джэнтльмена поспеху” Васіля|Алибабаевич
Імя па бацьку Б. Ахмадулиной|Ахатовна
Імя па бацьку рускага савецкага пісьменніка Аляксандра Папова стала яго псеўданімам. Якое ў яго імя па бацьку?|Серафімавіч
Справаздача пра выкананне задання ці абавязанні|рапарт
Адчужэнне ад людзей, нялюбасць да іх, чалавеканенавісніцтва?|мізантропія
Пустэльнік у ракавіне|рак
Адшліфаваная грань каменя|фасет
Адабранне малака ў буренок|дойка
Офиц. знак дзяржавы|сцяг
Афіцэр (ці прапаршчык, мічман), які складаецца пры начальніку для выканання даручэнняў|ад'ютант
Афіцэр, што складаўся пры начальстве ці ў штабе для розных даручэнняў?|ад'ютант
Афіцэр, які складаецца пры начальніку для розных даручэнняў|ад'ютант
Афіцэрскі тытул у Асман. імперыі; земнаводнае сім. жаб|ага
Афіцэрскі чын у казачых войсках царскай Расіі|сотнік
Афіцэрскі чын у янычарскіх войсках|дей
Афіцэрскае званне ў флоце?|капітан
Афіцэрскае званне ці чын рангам вышэй капітана і ніжэй падпалкоўніка, а таксама твар, якое носіць гэта званне ці мелае гэты чын|маёр
Официальн. мова ў Індыі|хинди
Афіцыйная эмблема дзяржавы|герб
Афіцыйна прыняты распарадак урачыстых прыёмаў?|цырыманіял
Афіцыйна прысвоенае найменне, якое вызначае ступень заслуг|званне
Афіцыйнае грашовае ці матэрыяльнае заахвочванне ва ўзнагароду завошта-небудзь|прэмія
Афіцыйная заява з просьбай пра ўхіленне якога-небудзь непарадку, несправядлівасці|скарга
Афіцыйны твар, прылічанае да дыпламатычнага прадстаўніцтва, як адмысловец у якой-небудзь вобласці?|аташэ
Афіцыйная назва г. Курессааре ў Эстоніі да 1917 (горад)|Аренсбург
Афіцыйная назва г. Обяляй у Літве да 1917 (горад у Еўропе)|Абели
Афіцыйная назва горада Ліепая да 1917 гады|Либава
Афіцыйная назва перыяду кіравання японскага імператара Иосихито (1912–26), што азначае “вялікая справядлівасць”|тайсе
Афіцыйны пісьмовы зварот урада|нота
Афіцыйнае пісьмовае пасведчанне ў чым-небудзь?|сертыфікат
Афіцыйнае наведванне, якое “наносяць”, як удар|візіт
Афіцыйнае наведванне?|візіт
Афіцыйны дыпламатычны дакумент|нота
Афіцыйны дакумент|акт
Афіцыйны агляд каго-небудзь ці чаго-небудзь з мэтай знайсці і выключыць прадметы, дакументы, якія могуць мець значэнне для следства|пяротрус
Афіцыйны пісьмовы допыт кожнага ў савецкія часы|анкета
Афіцыйны пасроднік, які валодае месцам на біржы і што складаў угоды ад свайго імя і за кошт кліента|брокер
Афіцыйны прыём у высокапастаўленага твару?|аўдыенцыя
Афіцыйны тытул у Асманскай імперыі|ага
Афіцыйны тытул манарха|цар
Афіцыйны ўзровень кваліфікацыі ў спорце|разрад
Афіцыйная мова Пакістану (нароўні з ангельскім), адзін з літаратурных моў Індыі. Выкарыстоўвае арабскую графіку|урду
Афіцыйная мова і адзін з асноўных літаратурных моў Індыі|хинди
