Однодворовое селішча ў Сібіры|засценак
Одномачтовое судна, што нясе больш 2-х касых ветразяў, уключаючы грот|тэндар
Одномачтовое гандлёвае судна ў Нідэрландах 18–19 ст.|кааг
Аднамесная нізкая зачыненая спартовая лодка з двухлопасным вяслом|каяк
Аднамесная спартовая лодка з падвесным рухавіком|скутар
Аднамесны нумар у кароўніку|стойла
Аднаму дакладнаму сябру бацькі Перикла на беразе Саламина быў пастаўлены помнік, які зваўся Киноссема. Хто гэта за сябар?|сабака
Аднаму з вядомых футбалістаў заўзятары далі мянушку, змяніўшы ўсяго адну літару ў слове suреrmаn. Хто гэты футбаліст?|Шукер
Аднастайны гулкі гук|вуркатанне
Однопалатный парламент у Даніі?|фалькетынг
Аднаполае каханне з пункту гледжання ўстоянай маралі|анамалія
Аднаразовы галаўны ўбор|вэлюм
Аднастайная група людзей у грамадстве|пласт
Аднастайная густая маса з толченых прадуктаў|пюрэ
Аднастайная па пародзе, паў, узросту група канёў, якая змяшчаецца на пашу|табун
Аднастайная па складзе і ўласцівасцям частка сістэмы, што мае межы, на якіх уласцівасці змяняюцца. Напр., лёд, вада і пара|фаза
Аднастайная сістэма, якая складаецца з дзвюх і больш металаў|сплаў
Аднастайная сумесь у выглядзе цестападобнай масы|паста
Аднастайная сумесь металаў|сплаў
Аднастайная сумесь, што ўтварылася з прычыны зацвярдзення сумесі расплаўленых дзвюх ці некалькіх рэчываў|сплаў
Аднастайны іглічны лес|ельнік
Односемейной плён?|арэх
Аднабаковы безворсовый дыван з буйнымі ўзорамі|сумах
Аднатыпная частка прылады, збудаванні (будынкі, батарэі, катла і т. п.)|секцыя
Цёзкі – кінаакцёр і музыка?|Скляр
Цёзкі Раберта і Дзіна, знакамітыя сваёй пышнай гульнёй|Баджо
Ўхвала аўтарам ці ўладальнікам аўтарскіх правоў дзейнасці, злучанай з яго творам ці прадуктам, напр. перакладу кнігі, курсаў навучання|аўтарызацыя
Прыручаны заяц|трус
Каралі з каштоўных камянёў|калье
Каралі ці падвескі|рясно
Каралі з каштоўнымі ўпрыгожваннямі, падвескамі?|калье
Ажыўлены дыялог з адстойваннем сваіх пунктаў гледжання|спрэчка
Агучаная эмоцыя?|усклік
Аздараўленчая рытмічная гімнастыка, выкананая пад музыку|аэробіка
Азёрная форма арктычнага гольца (рыба сем. ласосевых)|палия
Азёрны чарот|куга
Возера ЗША і Канады|Гары
Возера ЗША і Канады|Гурон
Возера ЗША і Канады|Касба
Возера ЗША і Канады|Аленевае
Возера ЗША і Канады|Пелли
Возера ЗША і Канады|Тохак
Возера ЗША і Канады|Траут
Возера ЗША і Канады|Хотта
Возера ЗША і Канады|Эванс
Возера ў Аўстраліі|Маккай
Возера ў Азербайджане|Акчала
Возера ў Азіі|Ван
Возера ў Азіі|Кай
Возера ў Азіі|Намцо
Возера ў Азіі|Поянху
Возера ў Азіі|Резайе
Возера ў Азіі|Тайху
Возера ў Амерыцы|Эйлмер
Возера ў Арханг. вобласці|Лача
Возера ў Арханг. вобласці|Пільня
Возера ў Арханг. вобласці|Юрта
Возера ў Афрыцы?|Ньяса
Возера ў Афрыцы|Киву
Возера ў Афрыцы|Мверу
Возера ў Афрыцы|Нгами
Возера ў Афрыцы|Тумба
Возера ў Башкартастане|Асликуль
Возера ў Беларусі|Нарач
Возера ў Бразіліі|Патус
Возера ў Бураціі|Баунт
Возера ў Бураціі|Бусани
Возера ў Валгаградскай вобл.|Сарпа
Возера ў Валгаградскай вобл.|Цаца
Возера ў Валгаградскай вобл.|Эльтон
Возера ў Валагоцкай вобл.|Белае
Возера ў Валагоцкай вобл.|Лача
Возера ў Валагоцкай вобласці|Вожы
Возера ў Грэцыі, Албаніі, Македоніі|Преспа
Возера ў Грэцыі|Яніна
Возера ў Грузіі|Рица
Возера ў Егіпце|Идку
Возера ў Іспаніі|Нава
Возера ў Італіі і Швейцарыі|Лугано
Возера ў Італіі; металлич. шчыток на дзяржальні шпагі|Гарда
Возера ў Італіі|Гарда
Возера ў Італіі|Изео
Возера ў Італіі|Кома
Возера ў Казахстане?|Балхаш
Возера ў Казахстане|Айке
Возера ў Казахстане|Акколь
Возера ў Казахстане|Аксаут
Возера ў Казахстане|Аксуат
Возера ў Казахстане|Арыс
Возера ў Казахстане|Зайсан
Возера ў Казахстане|Индер
Возера ў Казахстане|Иргиз
Возера ў Казахстане|Теке
Возера ў Казахстане|Тенгиз
Возера ў Казахстане|Тениз
Возера ў Казахстане|Уялы
Возера ў Канадзе|Атабаска
Возера ў Карэліі|Сандал
Возера ў Краснаярскам краі з будысцкай назвай|Лама
Возера ў Краснаярскам краі|Вива
Возера ў Краснаярскам краі|Кашук
Возера ў Крыму|Сасык
Возера ў Маскоўскай вобл.|Сенеж
Возера ў Панаме|Гатун
Возера ў Польшчы|Мамры
Возера ў Прыморскам краі|Ханка
Возера ў Прыморскам краі|Хасан
Возера ў Прымор'е|Хасан
Возера ў Расіі|Байкал
Возера ў Расіі|Валдай
Возера ў Румыніі|Арджеш
Возера ў СССР|Байкал
Возера ў ЗША?|Мічыган
Возера ў Паўночнай Амерыцы?|Гурон
Возера ў Паўночнай Амерыцы|Трауг
Возера ў Паўночнай Амерыцы|Хотта
Возера ў Сібіры (самае глыбокае ў свеце)|Байкал
Возера ў Сібіры; напой|Байкал
Возера ў Сібіры|Агата
Возера ў Сібіры|Ессей
Возера ў Турцыі|Апольонт
Возера ў Турцыі|Ван
Возера ў Турцыі|Изник
Возера ў Турцыі|Маньяс
Возера ў Фінляндыі, у якім водзіцца кольчатая нерпа|Сайма
Возера ў Фінляндыі, сцякае ў Баранцавае мора|Инари
Возера ў Фінляндыі; у японскай міфалогіі бог ураджая, багацці, пішчы (знак – лісіца)|Инари
Возера ў Фінляндыі|Инсари
Возера ў Хабараўскам краі|Орель
Возера ў Хабараўскам краі|Удыль
Возера ў Хабараўскам краі|Эворон
Возера ў Чылі|Ранко
Возера ў Швецыі|Венерн
Возера ў Швецыі|Сильян
Возера ў Эвенкіі|Дюпкун
Возера ў Эвенкійскай аўтаномнай акрузе|Ессей
Возера ў Экватарыяльнай Афрыцы|Альберт
Возера ў Эфіёпіі|Тана
Возера ў Югаславіі і Албаніі|Шкодер
Возера ў Якутыі|Бустах
Возера ў Якутыі|Шаты
Возера ў Японіі|Бива
Возера ў азіяцкай частцы СССР|Балхаш
Возера ў астраханскай вобласці, дзе знаходзіцца вядомае радовішча солі|Баскунчак
Возера ў кітайскай правінцыі Гуйчжоу|Цаохай
Возера ў наваколлях Растова Вялікага|Неро
Возера ў сістэме Вялікіх азёр; горад у ЗША|Эри
Возера ў сістэме Вялікіх азёр|Эри
Возера ў ЗША і Канадзе|Эри
Возера ў Фінляндыі|Инари
Возера ў цэнтральнай частцы Паўночна-сібірскай нізіны|Лабаз
Возера і горад з бальнеялагічным курортам у Хакасіі|Шира
Возера з “індзейскага” рамана Фенимора Купера?|Антарыа
Возера на Валдайскім узвышшы|Волга
Возера на Поўначы Расіі|Мстино
Возера на мяжы Эфіёпіі і Джибути|Аббе
Возера на захадзе Карэліі|Нюк
Возера на п-ове Мангышлак|Батыр
Возера на поўначы Фінляндыі|Инари
Возера на паўночна-сібірскай нізіне|Какора
Возера ў цюрак|нур
Возера, якое “Хвалебнае мора”|Байкал
Возера, найбуйнае ў сістэме Верхне-волжскіх азёр на Валдайскім узвышшы|Волга
Возера, на якім проихошла бітва ў 1938, СССР–Японія|Хасан
Возера, на якім самураі выпрабавалі напор сталі і агню|Хасан
Возера, выспа і паўвостраў у Расіі|Таймыр
Возера, сажалка, вадасховішча па сваёй сутнасці|вадаём
Гарэза і ... Васіль Буслаев уступіў у бой з усім Ноўгарадам|гуляка
