Памяшканне для захоўвання|камора
Папулярная ва ўсім свеце марка аўтамата|угд
Папулярная малдаўская эстрадная спявачка|Кодряну
Папулярная прыбалтыйская спявачка|Вайкуле
Папулярная эстрадная спявачка і кінаактрыса|Пугачова
Папулярная эстрадная спявачка|Мадона
Папулярныя ам. цыгарэты|мальбара
Папулярны акцёр па імі Міхась|Пуговкин
Папулярны ангел. акцёр, выканавец ролі Эркюля Пуаро|Усцінаў
Папулярны ангельскі акцёр, выканавец ролі Эркюля Пуаро|Усцінаў
Папулярны савецкі акцёр па імі Міхась|Ульянаў
Папулярны оперны і эстрадны савецкі спявак па імі Муслим|Магомаев
Папулярны расійскі акцёр па імі Мікалай|Рыбнікаў
Папулярны расійскі акцёр па імі Зміцер, адзін з гардэмарынаў|Харатьян
Папулярны расійскі эстрадны спявак, па імі Аляксандр|Малинин
Папулярны ў мінулым танец-песня, які нагадвае пра мучны прадукт сілкавання|макарена
Папулярны кіроўны на ОРТ|Якубович
Папулярны жанр літаратурнага твора|дэтэктыў
Папулярны іспанскі эстрадны спявак|Іглесіяс
Папулярны кампазітар, спявак, акцёр па імі Ігар|Тальков
Папулярны кінаакцёр, эстрадны спявак|Баярскі
Папулярны літоўскі акцёр тэатра, кіно, тэлебачанні, народны артыст СССР|Адомайтис
Папулярны матроскі танец|яблычак
Папулярны медыцынскі часопіс|здароўе
Папулярны савецкі спявак па імі Сяргей|Лемешев
Спроба апусціць да свайго ўзроўня|зневажэнне
Страта жыццяздольнасці ці памяншэнне памераў органа ці тканіны з прычыны парушэння іх сілкавання ці працяглай бяздзейнасці|атрафія
Страта рухомасці цела ці нейкіх цягліц з-за паразы нервовай сістэмы|параліч
Страта адчувальнасці з прычыны паразы ці адключэнні нерваў|анестэзія
Страта адчувальнасці, што ўзнікае пры некаторых захворваннях нервовай сістэмы|анестэзія
Страціўшы цябе сёння, як ні дзіўна, я сябе знайшоў (исполн. песні)|Кіркораў
Патэнцыйны дэбашыр|хуліган
Патэнцыйнае бардо|вінаград
Нашчадства ў жывёл|прыплод
Нашчадства, атрыманае ад маткі ці вытворцы|прыплод
Нашчадак ад шлюбу паміж людзьмі розных рос (ж. р.)|метыска
Нашчадак ад міжвідавога скрыжавання жывёл|бастард
Нашчадак Чынгісхана|чингисид
Пацалунак у любоўнай гульні, як знак прыпынку|коска
Ганаровая пасада і прыдворны чын на Русі ў 15–18 ст.|краўчы
Ганаровае званне тоўстай кнігі|фаліянт
Ганаровы знак, ордэн, якім адзначаюць чые-небудзь заслугі|узнагарода
Ганаровы тытул найбуйных музыкаў, жывапісцаў|маэстра
Глеба, якая змяшчае солі|саланчак
Глеба, прыродная зона|тарфянішча
Шаноўная замужняя жанчына ў старажытным Рыме|матрона
Шаноўная немаладая жанчына, маці сямейства|матрона
Шаноўная, замужняя жанчына ці шляхетная жанчына ў Рыме|матрона
Паштовае пакаванне для немаўля|канверт
Паштовая картка|паштоўка
Паштовае адпраўленне|пасылка
Паважнае прысяданне дзяўчыны перад старэйшым, як знак яе выхаванасці|кніксэн
Паважнае прысяданне перад старэйшым|кніксэн
Паважны паклон з прысяданнем|кніксэн
Паважны паклон дамы|рэверанс
Пайшла Пісаць губерня (літар. герой)|Чычыкаў
Паэзія, у якой рыфма нават не начавала|верлібр
Паэзія, якую бачаць|жывапіс
Паэма А. Узнясенскага|лонжюмо
Паэма А. Узнясенскага|майстры
Паэма А. Пушкіна|Палтава
Паэма С. Ясеніна|Пугачев
Паэма Ясеніна|таварыш
Паэма Н. Гумілёва|капітаны
Паэма Т. Г. Шаўчэнка|Кацярына
Паэма Т. Шаўчэнка|юродзівы
Паэма Тургенева|абшарнік
Паэма Боккаччо|тесеида
Паэма Вальтэра|генриада
Паэма Гесіёда|тэагонія
Паэма Гамера|адысея
Паэма Лермантава|іспанцы
Паэма М. Лермантава|чэркесы
Паэма М. Цвятаевай|пацукалоў
Паэма Преловского|станцыя
Паэма Пушкіна|Езерский
Паэма Пушкіна|Мсціслаў
Паэма Фирдоуси|шахнаме
Паэт рускага замежжа, лаўрэат Нобелеўскай прэміі|Бродскі
Паэт, якога ўспамінаюць у сувязі з Рембо|Верлен
Паэт-спявак на поўдні Францыі, у Італіі і Іспаніі 11–13 ст.|трубадур
Паэтычнае адданне пра якую-небудзь гістарычную падзею|легенда
Паэтычны твор, якое паказвае дабрадзейнае ціхамірнае жыццё на ўлонні прыроды|ідылія
Паэтычнае тварэнне, у якім рыфма нават не начавала|верлібр
Паэтычны жанр антычнай паэзіі|буколіка
Паэтычны жанр, што ўзнік у Старажытнай Грэцыі|ідылія
Паэтычны жанр|балада
Пояс, які насілі сяляне на Русі па-над адзежай|падпяразка
Паясок па перыметры найвялікага перасеку дыямента|рундист
Тлумачэнне аўтара да тэксту п'есы|рэмарка
Тлумачэнне аўтара твора да тэксту (звычайна ў дужках)|рэмарка
Тлумачэнні аўтара да тэксту|рэмарка
Якая тлумачыць ці ўдакладняючая штосьці пазнака, заўвага аўтара тэксту|рэмарка
Што тлумачыць тэкст, таксама збор умоўных знакаў пры карце, плане, схеме|легенда
З'яўленне ў асобных асобін прыкмет далёкіх продкаў|атавізм
З'яўленне ў сталых арганізмаў уласцівасцяў і прыкмет, характэрных для іх далёкіх продкаў|атавізм
З'яўленне ў чалавека, жывёл ці раслін прыкмет, уласцівых іх аддаленым продкам|атавізм
З'яўленне звярынага нашчадства|прыплод
З'яўленне гуку ёт перад галосным гукам|ётацыя
Права на созд. коммерч. прадпрыемствы на опр. перыяд|франшиза
Права нацыянальна-тэрытарыяльнай адзінкі самастойна вырашаць справы ўнутранага кіравання ў адпаведнасці з канстытуцыяй|аўтаномія
Праваслаўная церк. кніга з тэкстамі службаў і інструкцыямі па здзяйсненні адпраў – малітваў і абрадаў, якія здзяйсняюцца па патрабаванні вернікаў|трэбнік
Праваслаўны святар, таксама зварот да яго|бацечка
Праваслаўны храм|царква
Праваслаўны для магаметаніна|іншаверац
Праваслаўны манах, што прыняў зарок весці асоба суровы, аскетычны лад жыцця|схімнік
Правапарушэнне ў літаратуры, музыцы|плагіят
Правапарушэнне, злучанае з грашыма|растрата
Правапарушэнне, злучанае са здрадай Радзіме|шпіянаж
Правапарушэнне, абгавор|паклёп
Правапарушэнне, крадзеж|крадзеж
Правапарушэнне, камплот|змова
Праўдзівы малюнак рэчаіснасці ў мастацкіх выявах|рэалізм
Правіла выканання здаровай чысціні|гігіена
Кіравала ўзорнага літаратурнага вымаўлення|арфаэпія
Кіравала паводзін у пятроўскі час|палітэс
Правіла, якая існуе прылада, рэжым|парадак
Правільная, звычайная дзейнасць арганізма, яго поўны фізічны і псіхалагічны дабрабыт|здароўе
Правільна складзены шэраг чаго-небудзь|штабель
Правільны, наладжаны стан, становішча чаго-небудзь|парадак
Правільны шматкантовік|ікасаэдр
Правільны шматкантовік|актаэдр
Правільны шматкантовік|тэтраэдр
Кіраўнік з неабмежаванай уладай, самадзержац|аўтакрат
Кіраўнік з тяжолой шапкай|маномах
Кіраўнік Судану|бабай
Кіраўнік Егіпту і шэраг інш. вышэйшых пасад|прэфект
Кіраўнік дзяржавы, які карыстаецца неабмежаванай уладай|дыктатар
Урадавыя ўстановы Рускай дзяржавы ХVII ст.|загады
Кіравальны спевам святар|канонарх
Прадзядуля вальса|лендлер
Святы ў гонар багіні юнацкасці Ювенты ў Інш. Рыме|ювяналіі
Праздношатающаяся кампанія|вольніца
Святы ў Інш. Грэцыі і інш. Рыме ў гонар багіні Кибелы|галаксии
Святочны ўзрыўпакет|хлопаўка
Практыка продажу царкоўных пасад|симония
Практычная хватка|спрыт
Практычна сапраўдная сыравіна для вытворчасці|фабрыкат
Практычна сталы стан расійскай эканомікі|рэформа
Прасаваны бурштын з дробных абломкаў|янтароид
Пераслед з мэтай прыгнёту, прыгнёты|ганенне
Пераслед і знішчэнне больш 6 млн. габрэяў падчас Другой сусветнай вайны|халакост
Гад (рэптылія)|чарапаха
Гад цёплых краін атрада яшчарак, якое змяняе сваю афарбоўку|хамелеон
Гад цёплых краін, здольнае змяняць афарбоўку ў залежнасці ад тэмпературы і асветленасці|хамелеон
Плазаватыя хрыбетныя жывёлы: змеі, яшчаркі, кракадзілы, чарапахі і інш.|рэптыліі
Пресновод. малюск|анцилус
Пресновод. малюск|битиния
Пресноводная рыба|келба
Пресноводный двухстворкавы малюск|бяззубка
Пресноводная рыба|чырвонапёрка
Злачынства супраць цэлага народа|генацыд
Злачынства, якое складаецца ў зборы і перадачы сакрэтнай інфармацыі іншай дзяржаве|шпіянаж
Злачынства, што ўяўляе перажытак радавога побыту|кайтарма
Злачынная дзейнасць – выводзіны, збіранне ці выкраданне звестак, складнікаў ваенную ці дзяржаўную таямніцу, для перадачы іх іншай дзяржаве|шпіянаж
Злачынец, які займаецца крадзяжамі|зладзюжка
Злачынца, што займаецца крадзяжамі|зладзейка
Прэстыжная італьянская фірма, якая выпускае аргтэхніку|оливетти
