Прэстыжны лонданскі ўнівермаг|хэрродс
Прадстаўнік экватарыяльнай расы (цёмная скура, кучаравыя валасы, шырокі нос)|негроід
Прадстаўніца асноўнага насельніцтва сацыялістычнай дзяржавы|манголка
Прадстаўніца угро-фінскага народа|карэлка
Прадстаўніца закаўказскай народнасці|армянка
Прадстаўніца италийских плямёнаў, што стаялі ў вытокаў падставы Рыма|лацінка
Прадстаўніца кашубаў – этнаграфічная група палякаў (прыморская частка Польшчы)|кашубка
Прадстаўніца карэннага насельніцтва Карэліі|карэлка
Прадстаўніца карэннага насельніцтва Каракскай аўтаномнай акругі|кірэчка
Прадстаўніца карэннага насельніцтва Бураціі|буратка
Прадстаўніца карэннага насельніцтва Інгушэціі (саманазва – галгаи)|інгушка
Прадстаўніца дробных дзікіх котак, якая сустракаецца на ўсходзе Індыі, Кітая, Паўднёва-усходняй Азіі|темминка
Прадстаўніца народа Азіі|иорданка
Прадстаўніца народа Еўропы, жыхарка краіны, якой прыналежыць найбуйная выспа ў свеце|датчанка
Прадстаўніца народа Еўропы|аўстрыйка
Прадстаўніца народа Еўропы|андоррка
Прадстаўніца народа Еўропы|балгарка
Прадстаўніца народа Еўропы|брэтонка
Прадстаўніца народа Еўропы|грачанка
Прадстаўніца народа Еўропы|іспанка
Прадстаўніца народа Еўропы|караімка
Прадстаўніца народа Еўропы|румынка
Прадстаўніца народа Еўропы|славачка
Прадстаўніца народа Еўропы|турчанка
Прадстаўніца народа Еўропы|цыганка
Прадстаўніца народа Еўропы|эльзаска
Прадстаўніца народа Расіі|адыгейка
Прадстаўніца народа Расіі|буратка
Прадстаўніца народа Расіі|дарганка
Прадстаўніца народа Расіі|габрэйка
Прадстаўніца народа Расіі|інгушка
Прадстаўніца народа Расіі|калмычка
Прадстаўніца народа Расіі|карэлка
Прадстаўніца народа Расіі|кірэчка
Прадстаўніца народа Расіі|кумычка
Прадстаўніца народа Расіі|лакчанка
Прадстаўніца народа Расіі|марыйка
Прадстаўніца народа Расіі|нанайка
Прадстаўніца народа Расіі|асяцінка
Прадстаўніца народа Расіі|татарка
Прадстаўніца народа Расіі|тувінка
Прадстаўніца народа Расіі|удмуртка
Прадстаўніца народа Расіі|удэгейка
Прадстаўніца народа Расіі|хакаска
Прадстаўніца народа Расіі|чачэнка
Прадстаўніца народа Расіі|чувашка
Прадстаўніца народа Расіі|юкагірка
Прадстаўніца народа блізкага замежжа, Расіі|цахурка
Прадстаўніца народа блізкага замежжа|грузінка
Прадстаўніца народа блізкага замежжа|дунганка
Прадстаўніца народа блізкага замежжа|казашка
Прадстаўніца народа блізкага замежжа|кіргізка
Прадстаўніца народа блізкага замежжа|лезгінка
Прадстаўніца народа блізкага замежжа|літоўка
Прадстаўніца народа блізкага замежжа|таджычка
Прадстаўніца народа блізкага замежжа|узбечка
Прадстаўніца народа блізкага замежжа|украінка
Прадстаўніца народа блізкага замежжа|эстонка
Прадстаўніца народа ў Рос. Федэрацыі (саманазва – нани, устар. назва – гольды)|нанайка
Прадстаўніца народа юкагіраў (саманазва – деткиль)|юкагірка
Прадстаўніца нацыянальнай меншасці|нацменка
Прадстаўніцы народа, чыё жыццё вельмі займала рускага вандроўцу Мікалая Миклухо-Маклая|папуаскі
Ўяўленне, у якім акторка паступова распранаецца на сцэне|стрыптыз
Лімітавая вышыня ўздыму лятальнага апарата|столь
Лімітавыя вонкавыя абрысы прадмета|габарыт
Падаванне ў поўнае распараджэнне часткі агульнай маёмасці|выдзел
Падаванне ўладальнікам абароненага патэнтавым ці аўтарскім правам аб'екта права выкарыстоўваць іх іншаму твару|ліцэнзія
Падаванне жыхару (ацелячы, прыватнай хаты) поўнага сілкавання|пансіён
Падаванне феадалам селяніну грошай у абавязак на Русі|покрута
Якая засцерагае тканіна|подклад
Продак бундэсвера|вермахт
Продак кампутарнай базы дадзеных|каталог
Продак тэатра, рыфма Івану|балаган
Забабоннасць, заснаваны на веры ў звышнатуральнае|забабоны
Папярэдні збеглы малюнак|накід
Папярэдні выгляд чаго-небудзь|фастрыга
Прадвесце чаго-небудзь у забабонных уяўленнях|прымета
Правадыр остготаў, што захапіў Равенну і які забіў Одоакра|Теодорих
Правадыр паўстання рабоў у Рыме|Спартак
Правадыр гарадскога апалчэння на Русі да шэры. 15 ст.|тысяцкі
Правадыр грэцкіх войскаў у Траянскай вайне|Агамемнон
Правадыр сялянскага паўстання|Пугачев
Правадыр сялянскай вайны ў Расіі ў канцы 18-го стагоддзі|Пугачев
Правадыр кубінскай рэвалюцыі|Кастро
Прадбачанне, прадказанне|прагноз
Прадвесце|знак
Падстава, нагода|зачэпка
Прадмет старадаўняй сялянскай адзежы|малахай
Прадмет сталовага посуду|салатнік
Прадмет адзежы, які зачыняе руку|пальчатка
Прадмет адзежы|макінтош
Прадмет адзежы|шлейкі
Прадмет адзежы|пуловер
Прадмет адзежы|кашуля
Прадмет адзежы|рукавіца
Прадмет рэлігійнай глыбокай пашаны|рэліквія
Прадмет падоўжанай формы, што з'яўляецца воссю, сярэдзінай ці асновай чаго-небудзь|стрыжань
Прадмет у салоне аўтамабіля|сядушка
Прадмет у мастацкай гімнастыцы|скакалка
Прадмет верхняй цёплай адзежы|ватоўка
Прадмет хатняга сялянскага начыння ў выглядзе палачкі з сучкамі на канцы для ўзбівання|калатоўка
Прадмет ці месца рэлігійнай глыбокай пашаны|святыня
Прадмет як вынік чалавечай працы|прадукт
Прадмет кухоннага начыння: вялікая лыжка з частымі дзірачкамі|шумоўка
Прадмет клубнай мэблі|трыбуна
Прадмет асабістай гігіены|вяхотка
Прадмет мэблі ў выглядзе дошкі на ножках|лаўка
Прадмет мэблі для сядушкі|лаўка
Прадмет мэблі з шэрагу паліц адна над іншай|этажэрка
Прадмет мэблі, які склаў першую частку імя аўтара Дон Кіхота|сервант
Прадмет мэблі, ідэальны пылесобиратель|стэлаж
Прадмет мэблі|вешалка
Прадмет мэблі|гардэроб
Прадмет мэблі|ложак
Прадмет мэблі|лонгшез
Прадмет мэблі|портшез
Прадмет мэблі|тумбачка
Прадмет мэблі|шыфаньер
Прадмет мужчынскай адзежы|гальштук
Прадмет мяккай мэблі|кушэтка
Прадмет пасцельнай бялізны|прасціна
Прадмет пляжнай мэблі|шэзлонг
Прадмет турысцкага посуду|кацялок
Прадмет формавай адзежы|тужурка
Прадмет царкоўнага начыння|крапіла
Прадмет, службовец для забаўкі дзіцяці і спрыяльны яго развіццю|цацка
Прадмет, што вызначае кірунак руху|арыенцір
Прадмет, выстаўлены ў музеі для агляду|экспанат
Прадмет, выстаўляны для агляду ў музеі ці на выставе|экспанат
Прадмет, які захоўваюць як памяць пра мінулае|рэліквія
Прадмет, якім быў забіты Л. Троцкі|ледасек
Прадмет, знойдзены на дарозе, які па павер'ях прыносіць шчасце які знайшоў і захоўвае ад бед|падкова
Прадмет, што прыносіць яго ўладальніку шчасце, поспех|талісман
Прадмет, які выклікае агіда|поскудзь
Прадметнае значэнне імя (знака)|денотат
Прадметы рэлігійнай глыбокай пашаны, напр., моцы святых ці што належалі ім прадметы|рэліквіі
