Прыкмета, прадвесце чаго-небудзь|прымета
Заправа да страў – нераскрывшиеся ныркі хмызняка|каперсы
Заправа да страў|рэзкая затаўка
Заправа, соус|бешамель
Заправа, пряновкусовое травяністая расліна|кардамон
Заправа, травяністая расліна|гваздзік
Прыпіска да ўжо скончанага і падпісанага ліста|постскрыптум
Прыталены пінжак спартовага крою|блэйзер
Прыгнёт, беззаконне|гвалт
Прыгнёт, пераслед, варожае стаўленне з боку ўладных людзі|ганенне
Прыток Алдана|Тимптон
Прыток Алдана|Хандыга
Прыток Амазонкі|Мараньон
Прыток Амура|Тунгуска
Прыток Енісея|Курейка
Прыток Енісея|Турухан
Прыток Енісея|Шагонар
Прыток Нёмана|Бярэзіна
Прыток Колымы|Боханча
Прыток Кубані|Зеленчук
Прыток Акі|Клязьма
Прыток ракі Конга|Луалаба
Прыток ракі Вилюй|Ыгыатта
Прыток ракі Лугань|Ольховка
Прыток ракі Маныч|Егорлык
Прыток Хопра|Сердоба
Прыток Бирюсы|Туманшет
Прыток Волгі|Ветлуга
Прыток Волгі|Еруслан
Прыток Волгі|Сызранка
Прыток Волгі|Чапаевка
Прыток Витима|Бодайбо
Прыток Вяткі|Быстрица
Прыток Вяткі|Кильмезь
Прыток Дняпра|Бярэзіна
Прыток Дняпра|Ворскла
Прыток Иртыша|Бухтарма
Прыток Місісіпі|Арканзас
Прыток Печоры|Варкута
Прыток Дубца|Черемош
Прыток Урала|Кизил
Прыток Урала|Сакмара
Прыток Яўзы|Работня
Прыток бразільскай ракі Паранапанема|Итараре
Прытворства, крывадушнасць у якіх-небудзь дзеяннях|камедыя
Прычэп для перавозкі цяжкавагавых і длинномерных грузаў|трэйлер
Прычапная сельскагаспадарчая прылада|акучнік
Прычал на Маскве-рацэ|Мневники
Прычал на Маскве-рацэ|Нагатино
Прычал на Маскве-рацэ|Рыблово
Прычал на Маскве-рацэ|Строгино
Причальный ліна|швартов
Прычоска католическ. духавенствы – выгалены круг на верхавіне|танзура
Псаломшчык, найнізкая служка пры хрысціянскай царкве|дзячок
Дзівацтва ў паводзінах|выкрутас
Дзівацтва, глуповатость, бесталковасць|дур
Мудрагелістая п'еса для фартэпіяна|арабеска
Вычварнасць, рэдкасць, нешта незвычайнае|экзотыка
Мудрагелісты арнамент з усходнімі матывамі|арабеска
Чыннік, якая прымушае дрэнных татак адпраўляцца ў бегі|аліменты
Прыемны халадок, свежасць|прахалода
Простыя гадзіны?|катлы
Скача, але не заяц, зялёная, але не кракадзіл|жаба
Якая скача казурка|конік
Скакун, часта атрымлівальны парыў сэрца ад страху|кенгуру
Скачок каня, л-т высш. школы верхавой язды|крупада
Скачок каня, элемент высш. школы верхавой язды|лансада
Прамая рыса на паперы, на якой-небудзь паверхні, якая дапамагае пісаць прамымі роўнымі радкамі|лінейка
Прамая, што злучае дзве кропкі акружнасці і праходзілая праз яе цэнтр|дыяметр
Прамая, якая дзеліць кут напалову|раўнасечная
Прямоуг. будынак, падзеленае ўсярэдзіне шэрагамі калон на падоўжныя часткі (нефы). Сярэдні неф больш высокі, асвятляецца вокнамі над дахамі бакавых|базіліка
Прямоуг. кветнік у складзе кветніка|рабатка
Прастакутная табліца, якая змяшчае лікі ці выразы (матем.)|матрыца
Прастакутнае ў плане будынак, падзеленае ўсярэдзіне шэрагамі калон ці слупоў на падоўжныя часткі|базіліка
Прастакутны будынак з двума шэрагамі калон усярэдзіне|базіліка
Прастакутны вертыкальны выступ на сцяне, аформлены як калона|пілястра
Прамы сваяк коніка і цвыркуна, але з бандыцкімі схільнасцямі|саранча
Прамы нож для здымання кары з бервяна|скобля
Прямокрылое ўсяедная казурка, шкоднік у гаспадарцы|прусак
Прямокрылое казурка|цвыркун
Прасталінейны згін на тканіны|зморшчына
Рэзкая культура роду палын|эстрагон
Рэзка-смакавая расліна|базілік
Рэзкая затаўка з сушоных кветкавых нырак трапічнага дрэва|гваздзік
Пряновкусовое расліна|фенхель
Рэзкі бутон|гваздзік
Пустая прастора ўсярэдзіне чаго-небудзь|паражніна
Пустая гутарка, плётка|пересуд
Пустэча ў бетоне, адлітым метале|ракавіна
Пустэча ў горнай пародзе|каверна
Пустэча, якая ўтварылася ў органе з прычыны разбурэння яго тканін хваробай|каверна
Пустыя гутаркі, балбатня|антымоніі
Пустэльны куток, апеты А. С. Пушкіным|вёска
Пустэльня ў Ю. Афрыцы|Калахари
Пустэльня на поўначы Чылі|Атакама
Пустэльня на поўдні Афрыкі|Калахари
Пурпурная каралеўская мантыя|парфіра
Пурпурная тканіна, якая згадваецца ў рускіх крыніцах 1286 г.|скарлат
Пух, якім напоўнена ваша падушка|набіванне
Публицистич. выкрывальны твор|памфлет
Публицистич. твор у форме ліста|пасланне
Публічна нанесеная абраза|афронт
Публічны гандаль|аўкцыён
Публічная хата|бардэль
Публічны гандаль, пры якім тавар дастаецца таму, хто больш заплаціць|аўкцыён
Пудзіла для казнакрадаў|рэвізор
Пудзель Мальвіны|Артемон
Пузырьковидное адукацыя ў органах хрыбетнікаў, якое выконвае розныя функцыі|фалікул
Кулямётная ці палёгкавая|чарга
Кулямётная кнопка ў самалёце|гашэтка
Кулямётны воз|тачанка
Пульсавалыя зменныя зоркі-звышгіганты|цефеиды
Пункт прыпынку на чыгунках, на міжгародных аўтобусных маршрутах|станцыя
Пухірка, што з'яўляецца на скуры ад холаду, страху|мурашка
Вандроўца 18 ст., доктар медыцыны, удзельнік складання Слоўніка Расійскай Акадэміі|Лепехин
Вандроўца і натураліст, чыім імем ахрысцілі марскую карову|Стеллер
Шлях разваг ад асобных выпадкаў да агульных высноў|індукцыя
Шлях духоўнага ўдасканалення ў суфиев|тарикат
Вірлавокая акварыумная рыба|тэлескоп
Пучок лубаў ці якіх-небудзь валокнаў, употр. для мыцця, сціранні бруду, праціркі|вяхотка
Пучок нітак ці шнуркоў для ўпрыгожвання|пэндзлік
Пухнаты джгут з валокнаў, які ідзе на выраб прадзіва|роўніца
Пушкар|кананір
Пушкін у юнацкасці|ліцэіст
Пушкинс. персанаж; у ветхозав. адданнях прарок|Елісей
Пушны звярок|бурундук
Пушны звярок|андатра
Пушны звярок|апосум
Першая сталіца на Русі|Кіеў
Першы збор законаў на Русі|руская праўда
Першы цар сямейства Раманавых?|Міхась
Павіян|сфінкс
Павіян|чакма
Прадпрыемства па аказанні некаторых выглядаў побытавых паслуг насельніцтву|атэлье
Павільён, намёт для дробнага гандлю|шапік
Павільён, стылізаваны пад антычныя разваліны|руіна
Павільён-птушнік|вальер
Паўлін з “Кнігі джунгляў” Редьярда Киплинга|Мао
Склон у некаторых мовах|аблатив
Падзенне ў лузу прыцэльнага шара пры ўдары|мур
Падзенне ўніз галавой?|пикирование
Падзенне групы велагоншчыкаў на дыстанцыі|завала
Падзенне страцілага хуткасць самалёта ці планёра па стромкай шрубавай лініі, часам выконваецца ў вышэйшым пілатажы|лейцар
Палы анёл і звадыяш чалавецтва ў “Кнізе Еноха”|Азазель
Паза ў выглядзе прарэзу на адной са злучаных дэталяў, у які ўваходзіць выступ (зуб) іншы|шлиц
Пай у справе|дзель
