Ён злавіў размаўлялы шчупака|Ямеля
Яна была дачкой другога, сястрой трэцяга і жонкай чацвёртага. А адкуль родам была яе маці? “з ...”|Фларэнцыі
Яна ў галаве ў таго, у каго блытаніна думак|каша
Яна ўсё стрывае|папера
Яна ўваходзіць у склад батальёна|рота
Яна выпхнула бочку з князем Гвидоном на бераг, пачуўшы яго дамаўленням|хваля
Яна душыць на нас слупом|атмасфера
Яна дарога да абеду|лыжка
Яна ёсць у більярдавага стала|луза
Яна ёсць у ачкоў, але адсутнічае ў пенснэ|дужка
Яна ж Кірха, звярнула спадарожнікаў Адысея ў свінняў|Цирцея
Яна ж плашчак, прылада для нарезания вонкавай разьбы|лерка
Яна і на дрэве, і ў кашальку чэха ці шведа|крона
Адна з бакоў бухгалтарскага балансу|актыў
Яна можа быць вайсковай, дробавай і проста кавалкам кавуна|частка
Яна можа быць і атамнай, і сэксуальнай|бомба
Яна можа быць і тэлефонная, і прычынна-следчая, і палавая|сувязь
Яна можа быць прамая, непераборлівая, складная, палымяная|гаворка
Яна можа быць кулямётнай, але падыходзіць і для банта, і для ордэна|стужка
Яна можа паўстаць пры атрыманні караблём прабоіны|цеча
Яна можа перанесці на сваіх малюсенькіх лапках пяць мільёнаў мікробаў|муха
Яна не вызначае ўтрыманне, хутчэй, залежыць ад яго|форма
Яна не падлягае разгалашэнню|таямніца
Яна патрэбна, як кажуць, пры лоўлі блыхаў|паспех
Яна абцяжарвае|цяжар
Яна застаецца на поле пасля жніва|іржышча
Яна адсутнічае ў белых вершах|рыфма
Яна ахоплівала Онегина, калі ён сядзеў у пасцелі хворага дзядзькі “і дзень, і ноч, не адыходзячы ні кроку прочкі”|нуда
Яна ацэньваецца ў свечках|гульня
Яна падаецца вынаходнікам, ахвотнікам атрымаць патэнт на сваё стварэнне|заяўка
Яна позваляет разгледзець дробныя дэталі прадмета|лупа
Яна атрымаецца, калі пляц прастакутніка падзяліць на шырыню|даўжыня
Яна дапамагае раслінам гадуй і развівацца|медзь
Яна з'явіцца, калі вып'еш шмат нясвежай гарэлкі|ваніты
Яна з'яўляецца (і не адна) на начным небе пры ясным надвор'і?|зорка
Яна хаваецца ў калодзе|карта
Яна пушчы няволі|паляванне
Яна аднагодка Злучаных Штатаў, і там яе ведаюць нават малыя дзеці. Пра яе нават складаюць песні ў стылі рэп. За гады свайго існавання яна вырасла ў некалькі разоў. Пра што ідзе гаворка?|канстытуцыя ЗША
Яна нарадзіла Л. Агутину дачка|Варум
Яна нарадзілася ў 1959 году і неўзабаве стала знакамітай, яна пакахалася ўсім. Пазней у яе з'явіўся муж, хата, дача, аўтамабілі. Нядаўна шматлікія ў Амерыцы ўбачылі яе цяжарнай. Назавіце яе імя|Барби
Яна свайго сяла не пакідае (каўказ. прыказка)|сабака
Яна стрымлівае самаўпраўнасць і каня|аброць
Яна скочваецца па шчацэ ад замілавання|сляза
Яна слёзам не верыць|Масква
Яна служыла пакаёўкі ў графа Соколова (літаратур.)|Анюта
Яна салому ломіць (фольк.)|сіла
Яна спадарожнічала графу Соколову пры жыцці (літаратур.)|слава
Яна сыходзіць з гары?|лавіна
Яна тонкая ў таго, у каго не трымае прамая|кішка
Яна пераканала ўсіх нас, што важней усяго надвор'е ў хаце|Даліна
Яна ўпрыгожвала галаву Мікіты Хрушчова|лысіна
Яна ўмее не толькі енчыць, вохкаць і вухкаць, але яшчэ і пішчаць, хрыпець і віскатаць|сава
Яна добрая для кавы, а памяншальна – для калена|кубак
Яна явіла на святло Афрадыту?|пена
Яна, пракладзеная народам, не зарасце да помніка Пушкіна|сцежка
Онегин паляцеў да тэатра, Дзе кожны, вольнасцю дыхаючы, Гатовы охлопать ... (А. Пушкін, “Яўген Онегин”)|антраша
Онегинская страфа ўсходняй паэзіі|касыда
Онегинский “даведнік да Кіева”, які бянтэжыў Пушкіна: “перш Онегина ... мяне бянтэжыў; але я абвык да яго з'едлівай спрэчкі, і да жарту, з жоўцю напалову, і да злосці змрочных эпіграм”|мова
Яны бываюць 5 выглядаў: белыя, чорныя, індыйскія, яванскія і суматранские. А хто яны?|насарогі
Яны бываюць махрыстымі, гарбатымі, выпуклымі, геаметрычнымі, дзвюх- і трехкоготными, слановымі, лягушковыми, пилоспинными, змеешейными, эластычнымі і. т. д. Пра каго гаворка? “о ...”|чарапахах
Яны жывуць у адной краіне, у адным горадзе, у адной хаце, і ў той жа час з'яўляюцца антыподамі. Хто яны?|Знайка і Нязнайка
Яны ідуць туды, дзе можна без працы дастаць вясёлых жанчын і віны – асаблівасць штаноў гэтых шукальнікаў прыгод|клёш
Яны крапалі з ясных вачэй Марусі (песень.)|слёзы
Яны кормяць бегуна|ногі
Яны красамоўныя, калі бракуе слоў|жэсты
Яны на млын павінны // Прыехаць заўтра досвета, // Узвесці адзін на аднаго ... // І пазначаць у сцягно ці ў скронь. (А. Пушкін, “Яўген Онегин”)|цынгель
Яны зваліся аравійскімі з адным і бактрийскими з дзвюма. Назавіце іх|вярблюды
Яны пачынаюць і даюць мацюк у тры ходу, што ў іх, дарэчы, не атрымалася ў грамадзянскую|белыя
Яны ўпадуць, калі “воля нас сустрэне радасна ва ўваходу”|кайданы
Яны першымі бягуць з які тоне карабля|пацукі
Яны запатрабаваліся крыловской Малпе, калі тая “да старасці слабая вачамі стала”|ачкі
Яны вырашаюць усё, як лічыў Сталін|кадры
Яны там, дзе справа нячыста, там, дзе гіне ўсё добрае і бязгрэшнае і дзе сатанінскі прынцып бярэ верх. Так пра іх кажуць французскія крыміналісты. Назавіце іх|жанчыны
Яно – не верабей|слова
Яны ёсць і ў сцен?|вушы
Яно ёсць ва ўсякага артыста|амплуа
Яно можа быць румяным, вочным і з'яўляцца прадметам разладу|яблык
Яно на радасць нам дадзена?|віно
Яно дазваляе бачыць скрозь сцяну|акно
Яно хаваецца пад маскай|твар
Ападае з дрэў увосень|лістота
Небяспечная хвароба сабак|чума
Небяспечная рэч, з якой Таццяна Ларина блукала ў цішыні лясоў|кніга
Небяспечнае захворванне, якое паражае карані і сцябло капусты|кіла
Небяспека|рызыка
Небяспечныя захворванні, такія як бяры-бяры, пелагра і інш. выклікаюцца падобным чыннікам. Які?|авітаміноз
Небяспечны вандроўца па венах|тромб
Махала?|веер
Апякунка Папялушкі|фея
Опера “___ Арден”, якую напісаў нямы. кампазітар Отмар Герстер у 1936 г.|енох
Опера : Гуно|Сафо
Опера А. Г. Рубинштейна|дэман
Опера А. Кузняцова|Анжело
Опера А. Н. Сярова|Юдифь
Опера А. Т. Тиграняна|ануш
Опера Баланчивадзе|мзия
Опера Беллини, якая ў кожнага свая: каму – сто грам, каму – бочка|норма
Опера Бортнянского|Креонт
Опера Бортнянского|сокал
Опера В. Беллини; матем. тэрмін; узаконенае ўсталяванне|норма
Опера В. Беллини|норма
Опера В. Губаренко|мамаи
Опера Верди|римини
Опера Верди|Эрнани
Опера Ўласава|айчурек
Опера Ўласава|манас
Опера Г. Генделя|атон
Опера Г. Атанасова|алцек
Опера Г. Генделя|адмет
Опера Г. Майбороды|арсенал
Опера Г. Майбороды|мілана
Опера Гайдна|ацис
Опера Генделя|саул
Опера Глюка|Артаксеркс
Опера Д. Бортнянского|алкид
Опера Д. Пуччини; аповяд А. Чэхава; сум, засмучэнне|нуда
Опера Д. Пуччини|багема
Опера Д. Пуччини|нуда
Опера Д. Шостаковича|гульцы
Опера Д. Шостаковича|нос
Опера Давыда|лалла
Опера Даллапикколы|улияс
Опера Дварионаса|даля
Опера Дворжака|армида
Опера Дебюсси|гульні
Опера Дебюсси|камма
Опера Дж. Верди|аіда
Опера Дж. Верди|атыла
Опера Дж. Верди|эрнани
Опера Дж. Энеску|Эдип
Опера Димитреску|нини
Опера Ж. Б. Люлли|армида
Опера Ж. Бизе|Кармэн
Опера Ж. Массне|вертер
Опера Ж. Массне|манон
Опера З. Палиашвили|даиси
Опера Ипполитова-Іванова|руфь
Опера К. Вэбера|Аберон
Опера Л. Делиба|лакме
Опера Лысенко|Энеида
Опера Масканьи|касач
Опера Массне|панург
Опера Мошоньи|алмош
Опера П. І. Чайковского|Мазепа
Опера П. Чайковского “Ваявода”, напісана па п'есе А. Астроўскага “... на Волзе”|сон
Опера Р. Леонкавалло|блазны
Опера Р. Вагнера|риенци
Опера Р. Леонкавалло|заза
Опера Рымскага-Корсакова|Садко
Опера Россини|Атэла
Опера С. Манюшка; марскія каменьчыкі|галька
Опера С. Манюшка|Галька
Опера Сальеры|тарар
Опера Смятаны, прысвечаная гісторыі чэшскага народа|либуше
Опера Спендиарова, у аснове якой ляжыць адзін з трагічных эпізодаў барацьбы армянскага народа з іранскімі занявольнікамі|алмаст
Опера Стравінскага|Анжело
Опера Стравінскага|Маўра
Опера Т. Н. Хренникова|маці
