Японец-сацыяліст|Нарита
Японскі пісьменнік (“Фенікс”)|Ито
Японскі пісьменнік, аўтар навэлы “Расемон”|Акутагава
Японскі пісьменнік, прадстаўнік натуралізму|Таяма
Японскі пісьменнік. Нобелеўская прэмія (1994)?|Оэ
Японскі пісьменнік|Нома
Японскі порт на выспе Кюсю|Сасебо
Японскі сягун, памёр у 1651 г.|Иэмицу
Японскі сямисэн як музычная прылада|лютня
Японскі тэатр|але
Японскі тэатр|ноо
Японскі фізік. Нобелеўская прэмія (1949)|Юкава
Японскі фізік. Нобелеўская прэмія (1973, сумесна з А. Джайевером і Б. Джозефсоном)|Эсаки
Японскі физикохимик. Нобелеўская прэмія (1981, сумесна з Р. Хофманом)|Фукуи
Японскі физикохимик|Нитта
Японскі халат|кімано
Японскі хімік (1882–1980)|Сибата
Японскі хімік і фармаколаг|Цуда
Японскі хімік, Нобелеўская прэмія 1981|Фукуи
Японскі хімік-арганік (1894–1976)|Котакэ
Японскі мастак 16 стагоддзі|Эйтоку
Японскае “ўра”|банзай
Японскае баявое мастацтва, якому Чак Норрис супрацьпаставіў тхэквондо|караце
Японскае будыйскае бажаство|дзидзо
Японскі мініяцюрны твор са слановай косткі|нэцкэ
Японская назва Курыльскай плыні|Оясио
Японская назва бавоўніка|вата
Японская халодная кідальная зброя|арарэ
Яркая ў каровіным абліччы|цялушка
Яркая лата на трухлявым рыззі спевака. Аляксандр Пушкін|слава
Яркая зорка, альфа ў сузор'і Панны|Спика
Яркая чырвоная фарба, якая атрымліваецца з цела самак кашанілі|кармін
Яркія маркі гэтай гімалайскай краіны сталі для яе найбуйнай крыніцай валютных паступленняў|Бутан
Яркі длиннохвостый певень|фазан
Яркае іскрыстае святло|бляск
Яркі буйны метэор|балід
Яркі метэор са што свеціцца канцом|балід
Яркі прадстаўнік інтэлектуальных меншасцяў|геній
Яркае святло, які выпраменьваецца ці адбіваны чым-небудзь|ззянне
Яркае святло, што выпраменьваецца чым-небудзь|ззянне
Ярка-чырвоны матэрыял|кумач
Яркая зорная скупнасць у сузор'і Цяля|Гиады
Яркае нябеснае цела|балід
Яркае асвятленне гарызонту перад узыходам ці заходам сонца|світанак
Яркае асвятленне гарызонту перад узыходам ці пасля заходу сонца|полынь
Яркае адлюстраванне сонечных прамянёў ці святла лямпы ад паверхні, прадмета?|блік
Яркае эстраднае ўяўленне|шоў
Ярка-чырвоная ці пунсовая фарба|кармін
Цэтлік; дошчачка для нарэзак, якія адзначаюць рахунак|бірка
Цэтлік|бірка
Кірмаш па сваёй сутнасці|рынак
Кірмаш, свята ў галандцаў, немцаў|кермес
Кірмашовы намёт|ятка
Кірмашовае гледзішча|раёк
Кірмашовы штукар, акрабат|фігляр
Ярмо|няволя
Яравая трава, збожжа якога звычайна ідуць на корм жывёлам, на крупы|авёс
Яравы рапс|кольза
Ярус, шэраг выяў у іканастасе|тябло
Ясная Паляна ў адносінах да Льва Талстому|маёнтак
Празорца|прарок
Яснай і бязмесячнай ноччу няўзброеным вокам у гэтым сузор'і можна бачыць каля 15 зорак, але толькі тры з іх ярчэй чацвёртай зорнай велічыні. Як завецца гэта сузор'е?|Трыкутнік
Ятим з ф-ма “Стомленыя сонцам”|Митя
Яхве|Іегова
Яхта для катання па лёдзе|буер
Яхта капітана Врунгеля|бяда
Яхта міжнароднага класа|кадэт
Яхта-швербот алімпійскага класа|фін
Яхтсмен, трохкратны алімпійскі чэмпіён|Манкин
Вочка сота, дзе расце лічынка пчалінай маткі|матачнік
Вочка пчалы|сот
Яшкина ежа, калі няма малака (Некрасовское)|цура
Яспіс|яспис
Яшчарка, знакамітая тым, што яе афарбоўка можа моцна змяняцца ў залежнасці ад асвятлення і вонкавых умоў|хамелеон
Яшчарка – сухапутны кракадзіл|варан
Яшчарка сямейства агам|малох
Яшчарка, як пшаніцу прадаўшы|хирот
Яшчарка, якая дае, як курыца, і мяса, і яйкі|ігуана
Яшчарка, што сілкуецца яшчаркамі і змеямі|варан
Яшчарка, распаўсюджаная ў Цэнтральнай і Паўднёвай Амерыцы|ігуана
Яшчарка|випера
Яшчарка|геккон
Яшчарка|цмок
Яшчарка|калот
Яшчарка|мабуя
Яшчарка|сцинк
Яшчарка|тейид
Яшчарка|яшчурка
Ящерка без задніх ножак, на чарвяка яна падобная, у Мексіцы яна жыве|хирот
Скрыня з прыладдзем для жывапісу|эцюднік
Скрыня без “т”|ара
Скрыня для ўсё ўсялякай|куфар
Скрыня для галасавання|урна
Скрыня для выбарчых бюлетэняў; для праху памерлага|урна
Скрыня для компаса на палубе карабля|нактоуз
Скрыня для ліцця|апока
Скрыня для апускання выбарчых бюлетэняў|урна
Скрыня для вязняў (кин-дза-дза)|эцих
Скрыня з драцяной сеткі, які запаўняецца галькай ці каменем; выкарыстоўваецца для абароны рэчышчаў рэк ад размыву, абароны мастоў і інш.|габіён
Скрыня ці рама з фармовачнай сумессю пры ліцці металу|апока
Скрыня з патронамі (воен.)|цынк
Скрыня з перасоўнымі малюначкамі|раёк
Скрыня з чаем да 2-ух пудаў|цибик
Скрыня, бочка, мяшок|тара
Скрыня, у які кахаюць глядзець жывёлы|яслі
Скрыня, выкарыстоўваны пры галасаванні|урна
Скрыня, шафа для захоўвання грошай і каштоўных папер|каса
Скрыня|кораб
Скрыні, мяшкі для пакавання|тара
Скрыначка для захоўвання каштоўнасцяў|куфар
А. Узнясенскі пісаў: Шалік здзіраюць, шаль зрываюць, мішуру, // Як здзіраюць з апельсіна лупіну. // А ў вачах нуда такая, як у птушак. // Гэты танец завецца... Як?|стрыптыз
А. С. Пушкін адклікаўся пра яго, як пра адзіны паэтычны твар у рускай гісторыі, але інакш лічыў Костомаров, кажучы, што гэта быў вылюдак няўдалага склада грамадства. Хто гэты чалавек?|Разін
А. С. Пушкін узяў гэта ў дзвюх рэк, а М. Ю. Лермантаў – у трэцяй. Назавіце ўсе тры рэкі|Анега Лена Печора
А. С. Пушкін некалькі гадоў правёў у ваўчыным гаі. Што гэта за месца?|ліцэй
Аўтамат-касір?|банкамат
Аўтар кароткіх вострасюжэтных твораў?|навэліст
Аўтар партрэта акторкі Ермоловой?|Сяроў
Аўтар фразы “выхаваем Бабу Ягу ў сваім калектыве!”|Агуркоў
Аўтар фразы “дзеці, давайце жыць дружна!”|Леапольд
Акадэмік, стваральнік новых высокаўраджайных гатункаў пшаніцы|Цицин
Актыўны перыяд жыццядзейнасці раслін?|вегетацыя
Акула-катран – 12, бялуга – 14, чарнаморская стаўрыда – 22, вялікая барракуда – 44, тунец желтоперый – 65, ветразнік – 110. Чаго?|кіламетраў у гадзіну
Алегарычны малюнак, абвешчанае знакам дзяржавы, гарады, шляхетнага роду|герб
Альфрэд Хічкок казаў, што ў гэтага чалавека – самыя лепшыя акцёры, таму што ён ужывае ўнікальную методыку іх адбору. Адкажыце адным словам, што ён робіць з дрэннымі акцёрамі? (адказ – дзеяслоў)|сцірае
Алюмініевая папера?|фальга
Амерыканскі біяхімік|Коле
Амерыканцы лічаць гэту вадкасць гаючай, лечаць ёй прастуду і таму завуць яе габрэйскім пеніцылінам. вырабляюць яе са строга вызначанага выгляду жывых істот. Што гэта такое?|курыны булён
Ангельская адзінка масы?|унцыя
Ангельскі ваенны лётчык Дуглас Бейдер стаў ім 14 снежня 1931 г. А як клікалі савецкага лётчыка, які стаў ім на дзесяць гадоў пазней?|Маресьев
Ангельскі крытык Джордж Бесфорд казаў, што той, хто ставіць шматкроп'і – філосаф, знак пытання – студэнт, а занадта шмат клічнікаў – ... Хто?|фанатык
Ангельскі пісьменнік Эдвард Бульвер-Литтон лічыў, што геній робіць тое, што жадае. А што робіць талент?|тое што можа
Ангелец у такіх сітуацыях успамінае бога, эстонец – чорта, немец – навальніцу... А рускі?|вашу маці
Антонім сімпатыя?|непрыязнасць
Арыстоцель вучыў, што асноўныя элементы свету могуць пераходзіць сябар у сябра шляхам змены першасных якасцяў. Гэта яго вучэнне стала тэарэтычнай базай для развіцця... Чаго?|алхіміі
Арыфметычнае дзеянне, якое раздзірае сэрца банкіра?|адыманне
Армяне сцвярджаюць, што каб ап'янець двойчы, досыць піць віно... Якое?|дармовое
Артуру прынеслі вядомасць цыдулкі аднаго, а Язэпу – цыдулка другога. А адкрыццё чаго прынесла вядомасць цёзкам аўтараў цыдулак?|структуры ДНК
