Штат у Бразіліі|Амапа
Э. Сервус раіў не дакопвацца да чыннікаў, калі, вядома, вас уладкоўвае ГЭТА. Людзі, якія доўгі час вялі ГЭТА на тэлебачанні, маюць самае непасрэднае стаўленне да гульцоў у “Што? Дзе? Калі?”. Хто яны?|знаўцы
Э. Г. Агаджанян казаў: “У каго ЯНЫ ёсць – у таго ёсць праблемы. У каго ІХ няма – у таго праблем яшчэ больш”. А колькі ІХ звычайна ёсць?|32
Эскадренный мінаносец, шматмэтавы баявы карабель, узброены артылерыяй, тарпедамі, ракетамі|эсмінец
Эст. пісьменнік|Якобсон
Эстафетная палачка, якую людзі перадаюць адзін аднаму|бацыла
Эстонскія гуслі|каннель
Эстонія (горад)|Хаапсалу
Эстрадны разножанровый тэатр|вар'етэ
Эстрадны танец з хуткім і звонкім адбіваннем рытму нагамі|чачотка
Эра ў гісторыі Землі|археозой
Эра ў гісторыі Землі|кайназой
Эра ў гісторыі Землі|мезазой
Эра ў гісторыі Землі|палеазой
Эратычная італьянская киноновелла|Каміла
Эратычны часопіс для мужчын|плэйбой
Зубасты бразілец|Рональдо
Эверэст на ўзроўні Ўкраінскіх Карпат|Говерла
Эвалюцыйнае развіццё арганізмаў|ароморфоз
Эвбейский герой, які выкрыў вар'яцтва Адысея|Паламед
Эвенк у мінулым|тунгус
Эўкаліпт завуць бессаромным таму, што ён скідае гэту “адзежу”?|кара
Эвалюцыйная канцэпцыя|аристогенез
Эгаізм здароўя|спорт
Эдгар Па апісаў гэтыя рэчывы за 50 гадоў да іх адкрыцця. А цяпер яны выкарыстоўваюцца ў электратэхніку. Што за гэтыя рэчывы?|вадкія крышталі
Эдит Пиаф літасцю божай?|спявачка
Эдита Пьеха спявала “Мне будзільнік ні навошта, таму што давяраю я ... свайму”. Той, каму яна давярае?|сусед
Эзатэрычнае мяшчанства|снабізм
Эйзенхауэр, але карацей|Айк
Экс-чэмпіён свету па шахматах|Петрасян
Экс-чэмпіён свету па шахматах|Сэнсаў
Экскрыменты, паўпадалыя ў дзяцінства|какашка
Эканамічная катэгорыя, якая выказвае вынікі фінансавай деятельн|прыбытак
Экранізаваная руская народная казка пра што ходзіць халадзільнік|Марозка
Экранізаваны аповяд А. Чэхава пра сабаку|Каштанка
Экранізаваны раман Л. Карелина|змеялоў
Экв. сузор'е; тканіна; завод у Маскве; паляўнічы-волат|Арыён
Экв. сузор'е|Арыён
Эквадор (сталіца, цэнтр)|Кито
Экватарыяльнае сузор'е|вадаліў
Экватарыяльнае сузор'е|аднарог
Эквадорскі пісьменнік (раманы “Метысы”, “Чалавек з Кито”)|Икаса
Эквадорскі пісьменнік, адзін са стваральнікаў сучаснага лацінаамерыканскага рамана|Икаса
(Спика) Зорка ў сузор'і Панны|Колас
Экватарыяльнае сузор'е?|Кіт
Экватарыяльнае сузор'е|Панна
Экватарыяльнае сузор'е|Арол
Экватарыяльнае сузор'е|Арыён
Экватарыяльнае сузор'е|Пегас
Экватарыяльнае сузор'е|Рыбы
Эквівалент грошай у казіно?|фішка
Эквівалент грошай пры гульні на рулетцы|фішка
Эквівалент мыла?|шыла
Эквівалентная доза выпраменьвання|зиверт
Іспытная праца, за якую С. Рахманінаў атрымаў залаты медаль|Алеко
