Ватоўка, ватоўка?|целагрэйка
Якія выюць пяцідзесятыя, пранізлівыя шасцідзесятыя, а што перад імі?|равучыя саракавыя
Ўпершыню яны прабразгалі падчас вялікай вайны, але толькі праз 40 гадоў сталі па істоце тым, чым з'яўляюцца па назве. Пра што ідзе гаворка? “о ...”|падводных лодках
Упершыню гэтым скарысталіся вазніцы Старажытнай Грэцыі. З тых часоў гэта прайшло доўгі шлях. Цяпер на яго вытворчасці нажываюць мільёны. Пра што ідзе гаворка?|спартовая адзежа
Лекар, прафесійна пераконваючы, што чысціня – заклад здароўя?|гігіеніст
Лекары лічаць, што самая распаўсюджаная заразная інфекцыйная хвароба ў свеце – гэта катар. А што лічыцца самай распаўсюджанай у свеце незаразной інфекцыйнай хваробай?|карыес
Час узмоцненага малітоўнага звароту да Бога і ўстрыманні ад жывёльнай ежы?|пост
Усё вы, напэўна, ведаеце, што атрымаецца, калі скрыжаваць вожыка з удавам? 10 метраў калючага дрота. А што атрымаецца, калі скрыжаваць свінню з паштовай скрыняй?|свіння-скарбонка
Ўсе мы ведаем, што маніць нядобра. Але яшчэ Платон, які ненавідзеў хлусня, дазваляў яе для вызначанай катэгорыі людзей, і дагэтуль мы згодны з меркаваннем Платона. Хто ж гэтыя людзі?|лекары
Ўся зброя ў гульні Dооm II?|IDКFА
Усяго іх 108, назвы маюць 105, з іх 2 необщепринятых. Як завецца першы?|вадарод
Усяго іх 7. Першую з іх клічуць Сільвія, апошнюю – Марчела. А аб'ядноўвае ўсіх семярых прыгожае жаночае імя, падобнае на імя вялікага філосафа. Назавіце гэта імя|Эммануэль
Усяго іх было 31. Шосты з іх знаходзіцца ў Парыжы. Адзінаццаты і дваццаць восьмай – у Санкт-Пецярбургу. Што гэта?|эталон метра
Ўсім вядомы псеўданім Аўроры Дюдеван – Жорж Санд. А ў ХVIII павеку пад псеўданімам Пётр Угадаев і іншымі ў Расіі публікавалася адна асоба нямецкага паходжання. Хто ж яна?|Кацярына II
Усім вядома, што радзіма кенгуру – Аўстралія. Як жа яны апынуліся на Гаваях? Апыняецца, яшчэ ў 1916 году пары кенгуру была прывезена кантрабандай пад выглядам зусім іншых жывёл. Якіх?|зайцаў
Усім нам гэта трэба як вада, паветра і ежа. Пазбаўленне гэтага пакутліва. Так каралі смерцю ў Кітаі, да пакарання смерцю праз пазбаўленне гэтага быў прысуджаны які квапіўся на жыццё Людовіка ХV. Што гэта?|сон
Успомніўшы адну вядомую рускую народную казку, вы зможаце назваць земнаводнае, якое змяняе скуру 4 разу ў год, кожны раз з'ядаючы яе|жаба
Ўспомнім грэцкую мову: назоўны – атлас, а родны?|атлант
Успомніце медыцынскую сімволіку і скажыце, у якое сузор'е Зеўс ператварыў Эскулапа пасля смерці за яго дапамогу якія імкнуцца людзям?|змееносец
Успомніце прозвішча нямецкага ювеліра, які распрацаваў спосаб атрымання штучных каштоўных камянёў|страз
Успомніце, што шануюцца гульцы, выбітнасці пецярбурга і скажыце, як завецца праходзілы там конкурс мадэльераў?|адміралцейская іголка
Ўся карта ў гульні Dооm II?|IDDТ
Другая страва з першай літары кірыліцы|азу
“Ўваход сюды адкрыты для любога, які пажадаў рассеяць памылкі Платона”. Назавіце месца, куды вёў гэты ўваход|ліцэй Арыстоцеля
Вы ўсё напэўна ведаеце нейкага Хольгерсона, жыхара вёскі Вестменхег. А як яго клікалі?|Нильс
Вы ведаеце, што такое глаголіца і кірыліца. А дзе карыстаюцца вуковицей?|Сербія
Вы неаднаразова бачылі капейку. Не гледзячы на яе цяпер, назавіце яе дыяметр у міліметрах|15
Напышлівае імкненне да славы, да шанавання|ганарыстасць
Выдумка, зман, хвальба няіснымі сіламі і сродкамі, часта з мэтай запалохвання?|блеф
Выдумка, небыліца|выдумка
Высушаныя палоўкамі абрыкосы без костачак?|курага
Вышэйшая ступень, росквіт чаго-небудзь?|апагей
Вышэйшы выканаўчы орган дзяржаўнай улады ў краіне?|урад
Гермаў. плямёны, якія пасяліліся ў Паўночнай Афрыцы|вандалы
Горад-порт у Нямеччыне|Гамбург
Гарачы напой з віна з рэзкімі затаўкамі|глінтвейн
Грушо Маркес кажа пра гэту мудрасць, што гэта – паняцце, што змяшчае супярэчнасць у самім сабе. Якая гэта мудрасць?|ваенная
Габарыт вядомага казачнага хлопчыка, цалкам прыдатнага ў жаніхі Дюймовочке?|пальчык
Дзе ў Маскве можна ўбачыць сваякоў знакамітых насельнікаў аднаго з петербугских мастоў? “на ...”|Вялікім тэатры
Дзе ж гэтыя жанчыны – 1799 гады нараджэння? Якія два словы прапушчаны ў гэтым жарце Барыса Брайнина?|бальзакаўскага ўзросту
Дзе жывуць габрэі?|усюды
Дзе можна ўбачыць птушак, якія размаўляюць па-ангельску, і нават птушак з зубамі? “у ...”|мультфільмах
Дзе мы цяпер можам убачыць растыражаваныя ў мільёнах асобнікаў скульптурныя партрэты папулярнай у 50-х гадах амерыканскай акторкі Коні Стывенс?|лялька Барби
Дзе знаходзіцца Афон – святая гара?|Грэцыя
Дзе адбылося паўстанне Спартака?|Рым
Дзе раней на ваенных караблях усталёўваліся пагонныя прылады? “на ...”|носу
Дзе сабраны разам попел, вапна, белая матэрыя, колер, ружа, вясёлка і пах?|табліца Мендзялеева
Дзе захоўваюць непатрэбныя файлы (у ...)?|кошыку
Генрых IV у 1399 г. заснаваў ордэн лазні. Што было галоўным прывілеем чальцоў гэтага ордэна?|мыцца кожны дзень
Нямеччына знаходзіцца на 32 месцы, Расія – на 44, Польшча – на 84, Францыя – на 87, а Амерыка – толькі на 95. А на першым?|вадарод
Гётэ лічыў, што незадаволенасць бывае актыўным і пасіўным. Актыўная незадаволенасць – гэта нянавісць, а пасіўныя вы назавяце праз хвіліну, улічваючы, што парою мы адрозніваем гэта дзвюх кветак|зайздрасць
Гирканское, Хазарскае, Хвалынское... А ўсяго больш 60 назваў. Як мы завём яго цяпер?|Каспійскае
Частка гарадскога органа дзярж. улады ў Еўропе ў сярэднія вякі?|бургамістр
Частка гэтай цэхавой карпарацыі па сваім становішчы ў грамадстве і ў цэрквы адпавядаў кардыналу. Назва гэтай пасады захавалася і да нашых дзён. Назавіце яе|дэкан
Галоўная прыналежнасць рускай рулеткі?|рэвальвер
Галоўная сталіца піратаў у сярэднія вякі?|Санта-дамінга
Галоўным недахопам капіталізму Ўінстан Чэрчыль зваў нераўнамернае размеркаванне выгод. А галоўнай перавагай сацыялізму ён зваў раўнамернае размеркаванне ...?|пазбаўленняў
Часткай рымска-каталіцкай царквы з'яўляецца рымскі тата. А хто з'яўляецца адзіным часткай святой саборнай і апостальскай царквы?|Хрыстос
Вока чалавека ўспрымае толькі 12–14% святла, выходнага ад люмінесцэнтнай лямпы. Назавіце жывую крыніцу святла, калі чалавечае вока ўспрымае 95% яго свячэнні|светлякі
Вочны фрукт?|яблык
Глыбокая канава перад крэпасцю, напоўненая вадой?|роў
Глыбокай ноччу пасярод лісцянага лесу жывёлы займаюцца нехарактэрнай для сябе дзейнасцю... З якіх двух выглядаў дрэў гэты лес складаецца?|асіны і дубы
Дурны, нячулы чалавек?|дуб
Дзяржава ў Афрыцы|Гана
Кажуць, што Козьма Прутков, апынуўшыся ў сітуацыі, калі было цяжка абраць лепшае з дзвюх прапаноў, часта паказваў пальцам на сцяну. Што ён жадаў гэтым сказаць?|мне падабаюцца шпалеры
Кажуць, што перад неблизким вандраваннем з нейкай кампаніяй Эзоп узяў на сябе самы вялікі кошык. Што ў ёй было?|ежа на дарогу
Год чарнобыльскай аварыі?|1986
Галаўны ўбор таты Рымскага гэта?|тыяра
Галаўны ўбор Юлія Цэзара?|вянок
Горны натхніцель рускага мастака Мікалая Рериха?|Тыбет
Горад Грэцыі?|Салонікі
Горад кінафэстаў?|Каны
Горад, адкуль родам Архімед?|Сіракузы
Гарадская акруга, на левым беразе Тэмзы, у складзе Лондану?|Вестмінстар
Горы ў Новым Паўднёвым Уэльсе завуцца гэтак жа, як адна з п'ес Антона Паўлавіча Чэхава. Як?|тры сёстры
Бога гульцы! Скажыце, як клікалі самага вядомага ў СССР выхадца Марыўпаля?|Жданаў
Граф дэ ла Фер?|Атос
Грэкі казалі, што ў іх ёсць дзве навукі, адна спелая, а іншая няспелая. Няспелай яны лічылі філасофію. А якую навуку яны лічылі спелай?|геаметрыю
Грэкі лічылі, што памерлых судзіць не сам Плутон, а Минос, Эак і Радамант. Прычым Эак судзіць еўрапейцаў, Радамант – азіятаў. А чым займаецца Минос?|вырашае сумніўныя выпадкі
Грэцкі хор здзяйсняў вызначаныя рухі падчас песні. За кожны рух хор выконваў нейкую частку сваёй песні. Скажыце, як зваўся танцавальны рух хору?|страфа
Група якія едуць разам вершнікаў?|кавалерыя
Дрэвы і хмызнякі|говения
Дрэвы і хмызнякі|квебрахо
Дрэвы і хмызнякі|крушына
Добраахвотна-прымусовае вясновае мерапрыемства|суботнік
Хатняя паказуха|тэлевізар
Даччынае прадпрыемства Пянджа і Вахша|Амудар'я
Духавая прылада для навядзення парадку|пыласос
“Ды будзе сорамна таму, хто пра гэта блага падумае”. Такі надпіс гравіруецца на золаце, прычым не так ужо часта – раз у некалькі гадоў. Пра што яна?|дэвіз ордэна падвязкі
Давыд Самойлаў казаў: калі вам плацяць 1 рубель 20 капеек за радок, то на гэта даводзіцца 20 коп. На што? “на ...”|рыфму
Даўным-даўно гэта слова было вядома як назва рыбы. А пасля прац Аляксандрава ў 1865 г. так сталі зваць міну, а якую?|самарушную
Дальтонік за рулём у прынцыпе можа неяк ездзіць. Але, прыехаўшы ў Кітай, ён немінуча патрапіць у аварыю. Чаму?|чырвоны знізу
Дана прапорцыя: плюшавая арматура ставіцца да аўстралійскага саксаула як замежны дзядзька навошта? “да ...”|бузіне ў гародзе
Два – 1 на 85. Тры – 1 на 7000. Чатыры – 1 на 700000. Пра што гаворка? “о ...”|нараджэнні двайнят
Рухавік, у якім энергія пары, газу ці рухомай вады пераўтворыцца ў механічную працу?|турбіна
Дзяўчынка, якая закідала палі сваімі вачамі|Анюта
Дзяжурны крытык адной газеты, разбіраючы нумар, сказаў, што чацвёртая паласа яго вельмі засмуціла і не апраўдала яго надзей. Што ж было апублікавана на ёй?|табліца выйгрышаў
Дзень смерці гэтага чалавека стаў вялікім святам. Апроч іншых цырымоній у гэты дзень урачыста паднімаецца дзяржаўны сцяг Швецыі. Хто гэты чалавек?|Нобель
Дрэва сем. арэхавых|гикори
Дрэва сямейства бомбаксовых, лісце пальчатосложные, якія ападаюць на гарачы час, кветкі белыя буйныя?|баабаб
Расліна; дрэвы і хмызнякі|айлант
Расліна; дрэвы і хмызнякі|акажу
Расліна; дрэвы і хмызнякі|лапина
Дэталь у выглядзе полага цыліндру ці конусу, у адтуліну якога ўваходзіць спалучаная дэталь?|утулка
Дзіцяня гэтага парнакапытнага вытрымлівае падзенне з вышыні дзвюх-трох метраў. Чыё дзіцяня і калі?|жирафенок пры родах
Дзіцячая блуза?|матроска
Джон Салливан у 1889 году быў апошнім чэмпіёнам свету па боксе, які падчас баёў абыходзіўся... Без чаго?|пальчатак
Джонатан Свіфт сцвярджаў, што самымі выбітнымі прадстаўнікамі нейкай прафесіі з'яўляюцца спадарыня дыета, спадар супакой і спадар весялосць. Якая гэта прафесія?|лекар
Дзікая амерыканская котка, якая вельмі кахае рыбу?|ягуар
Для выраба гэтага ў старажытнасці былі патрэбныя: молат, верхнія і ніжнія пунсоны, разец, кавадла, часам – абцугі і горан. Што выраблялі пры дапамозе ўсяго гэтага?|манеты
Для медсясцёр яна h-1а, для сельскагаспадарчых працоўных – r-2f, для ўладальнікаў унікальных здольнасцяў – о, для носьбітаў унікальных традыцый – q. Пра што ідзе гаворка?|амерыканская віза
Для сабак якой пароды сто гадоў назад у Бадэн-Бадэне выбудавалі сапраўдны палац з цырульнай і сталовай?|пекинес
Для таго, каб патрапіць у кнігу рэкордаў Гиннеса, камандзе з васьмі чалавек прыйшлося прапусціць праз ручную помпу 124624 літра вады. Назавіце прафесію рэкардсменаў|пажарнікі
Для чаго старажытныя грэкі выкарыстоўвалі акулавыя сківіцы і хрыбетнікі іншых буйных рыб?|пілы
Для шыі ў японцаў гэта звалася дзигай. Для жывата адна назва была сеппуку, а другое?|харакіры
Да 1721 г. гэта быў найнізкі дваранскі чын у Расіі, і людзі, якія мелі яго, мелі прывілей падаваць цару адзежу. З 1775 г. так сталі зваць памагатага пракурора. Бо звалі гэтых людзей?|страпчы
Да 1878 гады насоўка была неад'емнай прыналежнасцю кожнага футбольнага матчу. А што замяніла яго ў 1878 году?|судзейскі свісток
Да 1985 г. яны мелі ролю амбасадараў з Кітая ў розныя краіны. У Паўночную Карэю іх, напрыклад, адпраўлялася пяцёра. А з 1985 г. за гэта належыць смяротнае пакаранне смерцю. Што ж гэта за амбасадары?|вялікія панды
Да ХIII стагоддзі ў Еўропе, устаўшы раніцай, забяспечаныя людзі абавязкова прымалі ванну. Але з ХV па ХVIII стагоддзі гэта традыцыя была забыта. З вынаходствам чаго гэта было злучана?|начной бялізны
Да якога садова-агароднага інвентара ў нас скарацілі нямецкую светлавую камеру? “да ...”|палівачкі
Да нядаўняга часу кошт складаў 5 рублёў за 100 грам. Гэта ёсць у кожнага, прычым пераважная большасць з нас імкнуцца не губляць гэтага. Што ж гэта?|кроў
Да з'яўлення агнястрэльнай зброі іх задача была ляжаць, што і адбілася ў іх назве. Пасля з'яўлення стрэльбаў іх задача стала – стаяць, завошта яны і шануюцца. Хто яны?|лягавыя сабакі
Да рэвалюцыі спартовыя каментатары не ведалі, як называць гэтых жанчын – спартовак і звалі іх ундзінамі. А чым яны займаюцца?|плаваннем
Да рэвалюцыі: выбарны твар, кіраўнічае справамі саслоўнай арганізацыі?|старшына
Дагэтуль гэта неўзаметку на дахах французскіх каталіцкіх храмаў. Што?|громаадводы
Доктар Нікалас Бейбон пасля лонданскага пажару 1666 г. перакваліфікоўваўся і адкрыў першую кантору падобнага роду. Чым яна займалася?|страхавала ад пажараў
Хата для злачынца?|турма
Каштоўны камень; празрысты берыл з прымешкай хрому, які мае густы зялёны колер?|смарагд
Старажытнагрэцкі гігант Аск даў сваё імя не толькі скураному меху для віна аскосу, але і гораду. Якому?|Дамаску
Старажытная сценабітная прылада?|таран
Найстаражытная духавая музычная прылада?|рог
Старажытнаруская назва знахароў, ведзьмакоў, прадракальнікаў?|вяшчун
Старажытныя грэкі звалі гэту зорку киносура, гэта значыць карміцелька Зеўса, а тое што дало ёй сучасная назва будзе бліжэй усяго да яе ў 2100 году. Як мы яе цяпер завём?|Палярная
Старажытныя грэкі лічылі, што плады гэтай расліны валодаюць розумам. Што гэта за плады?|грэцкі арэх
Старажытныя рымляне рабілі гэта лежучы, размясціўшыся ў адмысловых ложах. А седзячы гэта рабілі толькі ў выпадку жалобы, каб працэс ішоў хутчэй. Што ж такім чынам рабілі рымляне?|абедалі
Старажытныя рымляне меркавалі, што ўваход у пекла знаходзіцца на адным з Липарских выспаў у Тырэнскім моры. Як завецца гэта выспа?|Вулкан
Старажытная Вялікабрытанія?|Брытанія
Духавая прылада, кіроўны паходжанне ад паляўнічага рога?|валторна
Еўрапейская назва кожнага з арабаў, якія заваявалі ў сярэднія вякі Іспанію?|маўр
Егіпецкія жрацы аб'яўлялі, што калі вада ў рацэ паднімецца вышэй адзнакі 864 гл, тое гэта служыць сведчаннем таго, што вады досыць. Што ж яны ў гэтым выпадку гарантавалі?|ураджай
Егіпцяне звалі яе Бубастидой, фракійцы – Бендидой, грэкі – Артэмідай, рымляне – Дыянай. А як завём яе мы?|Месяцам
Яго заходні канец усходней усходняга, а ўсходні – заходней заходняга. Ён створаны, каб злучаць тых, хто і так злучаны і дзеліць тое, што да яго было адным цэлым. Назавіце гэта|Панамскі канал
Яго сапраўднае імя – дон Хуан дэ Мазліва, а пад якім імем ведаем яго мы?|Дон Жуан
Яго псеўданімамі былі: Дэрс, Эдгар Кутвеллис, Эдгар У. Х. Вестхилл, Каролус Людовикус. А ведаем яго ўсе мы пад іншым псеўданімам. Назавіце прозвішча|Кэрролл
Яго шлях да Крамля праходзіў ад паклоннай гары праз Дорогомилово і Арбат 2–3 верасня, а якога года?|1812
Яе заснавальнікам лічыцца Франц фон Зуппе. А па рэйтынгу папулярнасці першым лічаць Штраўса, а другім, мабыць, Легара. Што аб'ядноўвае гэтыя тры імя?|аперэта
Яе распрацоўваў Арыстоцель, яе атаясамлялі з дыялектыкай, мы не заўсёды карыстаемся ёй, але ўспамінаем яе ў сувязі з тварамі жаночай падлогі. Што гэта такое?|логіка
Штогод з Калумбіі экспартуецца 350–450 тон гэтага прадукта, што прыносіць чатыры мільярда даляраў прыбытку і робіць гэта самым вялікім артыкулам экспарту краіны. Што гэта за прадукт?|какаін
Калі б не было яго, то тытулы Вільгельма Гіндэнбурга ці Івана IV гучалі б інакш. Хто ён?|Цэзар
Калі ў Баварыі гэта Оксенфурт, тое што ў Англіі, калі там гэта пераправа для тых жа жывёльных?|Оксфард
