Песня групы “Кіно”. “І мне здаецца, сонца – не больш чым сон” (назва)|казка
(перен.) Паслядоўнік, прапаведнік якога-небудзь вучэння, якой-небудзь ідэі.|апостал
(перен.) Нататкі, паказальнікі і іншыя дадатковыя матэрыялы да навуковай працы, збору складанняў і т. п.|апарат
(перен. разг.) Кароткі шланг у ніжняй частцы паветранага шара, аэрастата, дырыжабля, службовец для напаўнення абалонкі газам і для выйсця яго лішкаў падчас палёту.|апендыкс
(перен. разг.) Частка будынка, якая ўяўляе сабою адгалінаванне ад яго цэнтра.|апендыкс
(перен.) Цяга навошта-або, жаданне, запатрабаванне займацца чым-небудзь|апетыт
(перен.) Асцярожныя, з намёкамі, недамоўкамі падыходы да гутаркі.|апрошы
Глыбокія зігзагападобныя равы, хады паведамлення для подступаў да осаждаемому ўмацаванню, крэпасці і т. п.|апрошы
(перен.) Праява дэспатызму, самаўпраўнасці, гвалты ў якой-небудзь вобласці грамадскага жыцця.|аракчэеўшчына
(перен.) Удзельнікі навуковай экспедыцыі, вандроўцы.|арганаўты
(перен.) Месца, дзе адбываюцца якія-небудзь падзеі (звычайна драматычныя).|арэна
(перен.) Ніва, сфера дзейнасці.|арэна
(перен.) Вялікая колькасць, вялікая маса каго-або, чаго-небудзь|армада
(перен.) Няўлоўная, але характэрная прыкмета, своеасаблівасць чаго-небудзь|водар
(перен.) Запас, вялікая колькасць чаго-небудзь|арсенал
(перен.) Сукупнасць сродкаў, прыёмаў, спосабаў і т. п., наяўных у распараджэнні каго-або, чаго-небудзь|арсенал
(перен. разг.) Група якія памкнуліся ці ідучых разам людзей.|талака
(перен.) Важны шлях зносін (звычайна водны).|артэрыя
(перен.) Той, хто, валодаючы высокім майстэрствам у якой-небудзь справе, віртуозна выконвае сваю працу.|артыст
(перен. разг.) Той, хто, майстэрска прыкідваючыся, хавае праўдзівыя пачуцці, настрой, стаўленне да каго-або, чаму-небудзь|артыст
(перен.) Высокае творчае майстэрства, віртуознасць у якой-небудзь справе.|артыстызм
(перен.) Адмысловая вытанчанасць манер, зграбнасць рухаў.|артыстызм
(перен.) Мастак, пісьменнік і т. п., скупа выкарыстоўвалы выяўленчыя сродкі.|аскет
(перен.) Наўмысная скупасць у выкарыстанні выяўленчых сродкаў у мастацтве.|аскетызм
(перен. разг.-сниж.) Падступны, хітры, злы чалавек.|аспід
(перен.) Рашучыя дзеянні з мэтай дамагчыся чаго-небудзь|напад
(перен. разг.) Востры прыступ хваробы.|напад
(перен.) Заклік спыніць штосьці рабіць як дзеянне.|атанде
(перен.) Употр. як заклік спыніць якое-небудзь дзеянне; адпавядае па значэнні сл.: даволі, досыць, хопіць.|атанде
(перен. устар.) Выбітны, выдатны ў якім-небудзь стаўленні чалавек.|атлет
(перен. разг.) Атамная энергія.|атам
(перен.) Страта, прытупленне пачуццяў.|атрафія
(перен.) Заклік змарнаваць каго-або пераследамі, паклёпам і т. п.|ату
Каманда паляўнічага сабаку, якая адпавядае па значэнні сл.: бяры! лаві! хапай!|ату
(перен.) Становішча, якая ствараецца вакол каго-або|аўра
(перен.) Той, хто апыняецца апошнім, адстае ў якой-небудзь справе.|аўтсайдар
(перен. разг.) Савецкія ваяры, якія прымалі ўдзел у ваенных дзеяннях на тэрыторыі Афганістана ў 1980–1989 гг.|афганцы
(перен.) Тое, што выстаўлена напаказ, вонкавы, паказны бок чаго-небудзь|афіша
(перен.) Адзнака каго-або, чаго-небудзь як вельмі прывабнага, незвычайнага.|ах
(перен.) Нясмелы, нерашучы мужчына, юнак (звычайна з адценнем неодобрительности).|баба
(перен. разг.) Ліхая, сварлівая жанчына.|баба-яга
(перен. разг.) Веды, досвед, наяўныя ў каго-або|багаж
(перен. разг.) Бязладны шум, крык.|кірмаш
(перен. разг.) Непаваротлівы, гультаяваты чалавек.|абібок
(перен. разг.) Самотны, не мелы сваёй сям'і чалавек.|абібок
(перен.) Падбухторшчык, бунтар.|чмут
(перен.) То, чаму нельга паверыць; глупства, глупства.|баланда
(перен.) Тое, што з'яўляецца лішнім, непатрэбным, якія абцяжарваюць каго-або, штосьці|баласт
(перен.) Той, хто мае поспех у чым-небудзь, каму спадарожнічаюць поспех, поспех.|пястун
(перен.) Тое, што можа супакоіць, суцешыць.|бальзам
(перен. устар.) Гутаркі, балбатня.|андрыдулы
(перен. разг.-сниж.) Штосьці грувасткае, неадпаведнае ў частках.|бандура
(перен.) Той, хто патрываў поўную няўдачу, крах у ажыццяўленні чаго-небудзь|банкрут
(перен.) Поўная няўдача, крах у ажыццяўленні чаго-небудзь|банкруцтва
(перен. разг.) Месца, памяшканне, дзе вельмі горача.|лазня
(перен. разг.) Якая-небудзь падзея, якое праходзіць бурна, напружана, злучанае з непрыемнымі наступствамі для каго-або|лазня
(перен. разг.-сниж.) Дурны, упарты чалавек.|баран
(перен. разг.) Найнізкая адзнака за выступ у спаборніцтвах (у гаворкі спартоўцаў); нуль ачкоў, балаў.|абаранак
(перен.) Злы, грубіянскі чалавек.|барбос
(перен. разг.) Распешчаны, спешчаны чалавек, які жыве ў багацці і кіроўны бяздзейнае жыццё.|пан
