Асобнік, індывід|асобіна
Электронна-вылічальная машына, якая прагназуе сумяшчальнасць твараў, што прадугледжваюць узяць шлюб|свацця
Электронная прылада з двума ўстойлівымі станамі?|трыгер
Электронную лямпу – трыёд стварыў?|Форест
Электронны прощупыватель неба?|лакатар
Электраасвятляльны прыбор; частка свяцільні|засня
Электраасвятляльны прыбор|засня
Электроположительность|анод
Электрапрыбор для падсмажвання хлеба|тостар
Электрапрыбор?|прас
Электрапрыбор?|халадзільнік
Электрапрыбор?|тэлевізар
Электрапрыбор?|кіпяцільнік
Электропробка|жучок
Электразваршчык, які ўжыў ванны спосаб зваркі металаў|Улесов
Элем. часціца, маса і спін якой роўныя масе і спіну якой-небудзь часціцы|антычасціна
Элемент “дзён апошніх”, да якога В. Маякоўскі збіраўся “свяціць, і ніякіх цвікоў – вось лозунг мой і Сонцы!”|донца
Элемент азбукі|літара
Элемент акцёрскага мастацтва|міміка
Элемент альпінісцкага рыштунка?|альпеншток
Элемент арабскага асабістага імя|Ибн
Элемент баявога парадку войскаў|эшалон
Элемент у парным фігурным катанні|тодес
Элемент у фігурным катанні на каньках|тодес
Элемент вальтыжыроўкі|упор
Элемент высш. шк. верх. язды – конь амаль вертик. на дыбы|пезада
Элемент вышэйшай школы верхавой язды|пиаффе
Элемент глыбокага друку|растр
Элемент горнага мацавання; целавае пакаранне салдатаў даўней|стойка
Элемент горнага мацавання|стойка
Элемент гатычнай архітэктуры|фиала
Элемент дэкору ў старажытнарускай архітэктуры|паляць
Элемент духавага муз. прылады|клапан
Элемент малюнка на фотастужцы|кадр
Элемент каментара да рамана, павесці|рэалія
Элемент конскай збруі|хамут
Элемент канструкцыі судна, папярочная бэлька на дно, якая мацуе да кіля левы і правы флортимберсы|флор
Элемент мацавання ў будаўніцтве|клямка
Элемент месяцовага пейзажу|кратар
Элемент адзежы|кішэнь
Элемент адзежы|рамень
Элемент арнаменту парталаў і ліштвы|пацерка
Элемент арнаментальнага апраўлення парталаў і ліштвы|дынька
Элемент парнага фігурнага катання на каньках|ласо
Элемент ветразнага судна; верш. М. Лермантава, І. Буніна|ветразь
Элемент ветразнага судна|ветразь
Элемент перакрыццяў будынкаў, які ўсталёўваецца на апорныя канструкцыі|насціл
Элемент перакрыцця будынка|насціл
Элемент печы|падзіна
Элемент плывучага моста|пантон
Элемент прыёму ў спартовай барацьбе|захоп
Элемент прычоскі|чуб
Элемент радыёпрымача|антэна
Элемент зборнага будынка|панэль
Элемент сімволікі дзяржаўнага сцяга былога СССР|серп
Элемент рыштунка альпініста|альпеншток
Элемент спісу: абзац, пазначаны лічбай, літарай ці інш. знакам|пункт
Элемент будынка клеткі|ядро
Элемент будынка; незаняты прамежак часу (перен.)|акно
Элемент будынка|дзверы
Элемент будынка|акно
Элемент будаўнічай канструкцыі|панэль
Элемент сурдута|фалда
Элемент упрыгожвання швейцарскага сыра|дзірка
Элемент футбольнага поля|вароты
Элемент шахм. камбінацыі?|размен
Элементарная жывая сістэма, аснова будынка ўсіх жывёл і раслін|клетка
Элементарная жывая сістэма; тэрмін Р. Гука|клетка
Элементарная жывая сістэма|клетка
Элементарная сістэма, якая ляжыць у аснове развіцця, будынкі і жыццядзейнасці ўсіх жывёльных і раслінных арганізмаў?|клетка
Элементарная часціца ці квазичастица з цэлым спінам|базон
Элементарная часціца з цэлалікавым спінам|базон
Элементарная часціца хлеба|дробка
Элементарная часціца, схільная моцнаму ўзаемадзеянню|адрон
