Слімак, кальмар, васьміног. Агульная назва?|малюск
На ... у Маскве, дзяўчына спыняе машыну, нахіляецца да акна, і кажа: – Сёння для Вас новы тарыф “Эканомны”, першыя 15 мінуць бясплатна...|Цвярскі
Сляпому ў рукі трапілася тарка. Ён узяў яе, ражон-ражон, мацаў-мацаў а потым не вытрымаўшы: – І які вырадак такую байду ...!|напісаў
Новы Ляўшун: на малюначку памерам 1х1 ... здолеў змясціць сваё імя і фатаграфію...|піксель
З дынамікаў у аўтобусе голас кіроўцы: – Паважаныя пасажыры! Тыя, хто ўвайшоў, прыгатуйце квіткі для кантролю... Для тых, хто не змог увайсці – кантралёр ... папазней...|выйдзе
Ўсяго пасля чатырох урокаў каратэ Фядор ужо лёгка ламаў трехсантиметровую дошку адным ударам ...|гіпсавай павязкі
Адно з першых правіл з інструкцыі для лыжнікаў-пачаткоўцаў на горналыжным курорце: – ... снег не ёсць!|жоўты
Ў кустах раздаваўся дзявоцкі крык, плыўна пераходзячы ў ... .|жаночы
Ў Адэсе памёр Изя. Сваякі доўга думалі, як бы танней паведаміць пра гэту сумную падзею родным у Ізраіль. Прыдумалі і паслалі: “Изя ўсё”. Праз тыдзень прыходзіць зваротная тэлеграма: “...”.|Ой
Спачатку ён зняў з яе спадніцу, затым павольна сцягнуў блузку, потым ён расшпіліў станік, і ён зваліўся да яго ног, а потым ён зняў з яе трусікі... Перад ім засталася голая ... |бялізнавая вяроўка
Два льва набрылі на рыцара, спячага пад дрэвам прама ў даспехах. – Ізноў ... жэрці прыйдзецца! – Незадаволена прагыркаў адзін леў.|кансервы
– Ведаеце, доктар, я так баюся зубы лячыць, што згодна хутчэй нарадзіць, чым пераносіць боль ад бормашыны. Дантыст: – Вы вызначайцеся хутчэй, каб я ведаў, у якім становішчы ... усталёўваць.|крэсла
Мужык у тюрягу патрапіў. Аглядаецца. Потым сакамернікам выдае: – Сумна ў вас тут, братва. Мяне вось у тюрягу дзве кралі выпраўлялі. У адной у грудзі (паказвае), у іншай – у азадак. Тут з нар араны прыпадняўся: – На сабе не паказвай, ... дрэнная.|прымета
– Борт 2176, выклікаю ___! Гаручае на нулі! Усе прыборы – адмовілі!! Мы губляем вышыню!!! – Ну чэ разорался?.. Чую я... Выкрасляю...|дыспетчара
Мытнік, зазіраючы ў ... пасажыру з прыбылага рэйса: – Такім чынам, які шануецца, давайце вызначымся, дзе тут вашы рэчы, а дзе – мае.|валізка
Аднойчы ... надзел порткі навыварат... І націснуў кнопку...|Карлсан
– База, база, я – борт нумар пяць, у мяне гаручае на нулі. Прыём. – Борт пяць, борт пяць, дзе вы знаходзіцеся? Прыём. – ... 17, паўтараю, ... 17.|ангар
Тры дня і тры ночы скакаў Іван-царэвіч, пакуль у яго ... не адабралі.|скакалку
– Таварыш прапаршчык, а вы маглі б спыніць цягнік? – Папросту. Цягнік, стой, ...!|раз-два
“Ён у мяне як шалёны конь – я яму кажу: «Стой», – а ён ___...”|не варта
Закінуў стары ў моры невад, і варта, як дурань, без ... .|невада
– Учора ў трамваі сустрэла твайго мужа; ён мне такі шыкоўны анекдот распавёў! Я так смяялася, так смяялася, ледзь з ... не звалілася!|ложкі
– Тата, тата, я больш ніколі не пайду з табой на санках катацца! – Не балбачы, а ... .|цягні мацней
Бландынка зразумела, што яе хлопец ёй змяняе. Яна ўзяла пісталет, уварвалася ў гасцінічны нумар. І ўбачыла хлопца ў пасцелі з рудай. Яна прыставіла пісталет сабе да галавы. “О, не! Не рабі гэтага” – крыкнуў хлопец. “Затыкніся! Ты ...” – адказала бландынка.|наступны
Пажар у лякарні. Пажарныя ўсе патушылі. Падыходзяць да галоўдоктара і кажуць: – Ёсць ахвяры. У склепе было трое. Дваіх мы адпампавалі, аднаго не змаглі.  Галоўдоктар траціць прытомнасць. Яго адпампоўваюць і пытаюць, што з ім. – Дзеці, у нас там ... наогул.|морг
Варта ... перад каменем, на якім напісана: “Налева пойдзеш – каня страціш, направа – галаву пакладзеш”, і думае...|кентаўр
Пры выкрыцці ... было выяўлена яшчэ 7 трупаў. Назва якой лялькі прапушчана? (адказ у род. п.)|матрошкі
Шлюбная пара абмяркоўвае апошнюю кинопремьеру. – Дарогай, я не разумею, што ўсё знайшлі ў гэтай Анжелине Джоли. Ну што атрымаецца, калі адкінуць яе смазливое тварык, пачуццёвыя вусны, якія ўздымаюцца грудзі, точеную фігурку, каціную грацыю? – ... .|Ты
Тэлефонны званок на фірму: – Колькі ў вас варта ... папера? – Пагледзіце на старонцы 273 нашага каталога. – Калі б у мяне быў ваш каталог, падумайце, мне патрэбна была б ... папера?|туалетная
Дырэктар развітваецца з працаўніком, пераходзячым на іншую працу: – Вельмі шкада, я абвык да вас. Вы мне былі як родны сын: такі ж безадказны, ..., неарганізаваны.|гультаяваты
Ўчора міліцыя злавіла кішэннага злодзея, які за апошні тыдзень выкраў больш 100 ... .|кішэняў
– Твой муж выглядае умнейшим чалавекам. Я мяркую, ён усё ведае. – Не кажы дурасці, ён нават нічога не ... .|падазрае
Аб'ява ў газеце: “Сведчанне о ... за нумарам АТ 28673 лічыць несапраўдным. Зразумела, дурніца?!”|шлюбе
Аб'ява: Прадаю ... для нованароджанага сіняга колеру.|калыску
Рукапісы каменнага веку не гараць, але ... .|тонуць
– Прыкінь, я нядаўна з парашутам скакала! – Ну, і чэ ты бачыла? – А ниче не бачыла, у мяне ... задралася.|спадніца
– Ведаеце, доктар – я бачу толькі рухомыя прадметы... – А як жа вы сюды дашлі? – А я галавой ...|матаў
– Толькі што бачыў, як нейкі мужчына спрабаваў пацалаваць тваю жонку. – І яму гэта атрымалася? – Не... – Гэта была ...!|не мая жонка
Хто сказаў, што курэнне не ўплывае на голас жанчыны? Паспрабуйце, седзячы на канапе, стрэсці ... на дыван!|попел
Трэнер адчытвае свайго ...: – Ну колькі табе можна казаць?!! Патройны скачок робіцца ў ТРЫ прыёму, а ты зноў 17 метраў зрабіў адным скачком...|падапечнага
Шукаю сяброўку жыцця, умелую чысціць рыбу, капаць чарвякоў, якая выклікае прыхільнасць маторнай лодкай. Фатаграфія ... абавязковая.|лодкі
На Новы Год усё апранулі розныя маскі: хто зайчыка, хто ліскі... І толькі ... апрануў сваю каханую: 255.255.255.0|сісадмін
Чым Windоws падобны на ...? – Нікому не падабаецца, але ўсё выкарыстоўваюць.|прэзерватыў
Шахматы па-руску – гэта калі ... гульню не толькі завяршае, але і суправаджае.|мацюк
– Дзяўчына, давайце згуляем у карты на распрананне? – А вам цікава ўбачыць ці ...?|пахваліцца
– Дзяўчына, а дзе вы такія крывыя ... купілі?|калготкі
– Ці можна паслаць жанчыну ў космас? – Так, гэта досыць далёка і цалкам ... .|прыстойна
Піва – вадкі хлеб. Гарэлка – вадкае мяса. Пайду рабіць ...|бутэрброды
Лета, вёска, туалет без дзвярэй, мужык сядзіць пнецца. Міма ідзе цётка: – Пятровіч, каб цябе, ты хоць бы дзверы навесіў. – Дзверы?! Навошта?!! Чэ тут ...-то?!!!|браць
Два рыбака: – Глядзі, у цябе ж чарвяка даўно няма, увесь гаплік голы! – Ды добра, можа якая ... дзяўбне!|сытая
Сяржант Петренко аштрафаваў падарожны міма коўзанка за адсутнасць ... і лысую гуму.|запаскі
– Я ўсё жыццё працую ў загсе і жадаю, каб мая праца прыносіла людзям радасць. Дарагія Даша і Сяргей! Аб'яўляю ваш шлюб ...!|скасаваным
Бясконца можна рабіць тры рэчы: глядзець на агонь, глядзець на ваду і бачыць як іншыя працуюць. Ідэальны расклад – ...|пажар
На вахце ў інтэрнаце: – Вы да каго? – А вы каго ...?|парэкамендуеце
Юбілей – гэта калі шмат ___ , але ты яшчэ жывы.|кветак
– Тата, я збіраюся жаніцца. – Перш, чым жаніцца, сынок, ты павінен зразумець, што сям'я стане для цябе ўсім. Таму падумай, што для цябе важней – ... ці сям'я.|усё
Грузінская школа: – Учител, пачиму ви пішыце слова “КОН” бэз мяккага знака? – Патаму што гэта ..., дурань!|шчолач
Тэкс... Страляюць на стрэльбішча, пасвяцца на пашу, стаяць на стойбішча, а ляжаць на лежню. Зараз жадаю пазнаць, дзе прадаюць тавары за ... адзінкі?|умоўныя
Яны на кірмашах зарабляюць тым, што сочаць за кірмашом.|вартаўнікі
Я магу працаваць гадзінамі. Напрыклад, ... паведамляць.|час
На спаборніцтвах “Кэмел-Трофи” перамог украінскі экіпаж на звычайным “Запарожцу” без рухавіка. Як растлумачылі спартоўцы – так яго лягчэй ... .|пхаць
Для аматараў рускай мовы: у Ламаносава ў працах сустракаецца словазлучэнне “распушчаны падонак”, што ў той час азначала “раствораны ...”.|уляганняў
Цэнтр кіравання палётамі. Касманаўт выходзіць на сувязь: – ЦУП!!! Што адбываецца?!! Карабель выдаляецца ад Зямлі!!! Кіраўнік палёту: – Вася!.. Ты выбач... Ну... ... выйшла!..|нестыковочка
Маці вучня тэлефануе настаўніку матэматыкі: –Ігар Іванавіч, ну навошта Вы дзецям далечы на хату ..., у якой бутэлька піва варта 50 капеек? –А што такога? –Мой муж так знерваваўся, што ўсю ноч не спаў!|задачу
Ў чорным-чорным горадзе, на чорнай-чорнай вуліцы, у чорным-чорнай хаце, у чорнай-чорнай кватэры сядзяць два чорных-чорных мужыка і адзін кажа іншаму: – Ніколі больш не буду сам запраўляць ...!|картрыджы
– Распавядзіце, як гэта адбылося? – Увечар я рукамі мыла крыса ў вестыбюлі. І тым часам да мяне хтосьці падкраўся ззаду і згвалтаваў. – А чаму вы ад гвалтаўніка не ўцякалі? – Уцякаць ...?!!|ПА ПОМЫТОМУ
– Ала! Гэта сэкс па тэлефоне? – Не. Гэта сэкс па ...! – У якім сэнсе? – У тым сэнсе, што гэта хата састарэлых.|барабану
Нішто так не дапамагае ўсвядоміць, колькі ўсякай непатрэбнай бздуры ўтрымоўваецца ў мозгу, як разгадывание ...|крыжаванкі
Мама з сынам на пляжы. Сын пытае: “Мам, а чаму ў некаторых дзядзькоў у плаўленнях больш, а ў іншых менш?”. Мама адказвае: “Ну, пэўна ў каго больш, той багацей”. Сын: “Мам, а мам, вунь той дзядзька, які на цябе глядзіць, усё ... і ...”.|багацее
“Сёння ў цэнтры горада сапхнулася адразу 10 «Мэрсэдэсаў». Падарожны міма кіроўца «Запарожца» сканаў ад ...”|смеху
– Афіцыянт, мы з жонкай адзначаем 25 гадоў сумеснага жыцця. Якое віно вы можаце нам прапанаваць? – Давайце спачатку вызначымся: вы жадаеце святкаваць ці ...?|забыцца
Ў амерыканскай булочной: – Мне батон і полчерного! Прашу прабачэння, палоўку ...!|афробуханки
– Дзяўчына! А што вы робіце сёння ўвечар? – Замуж выходжу. – Так? ...?|А потым
Непазбежны працяг святочнага стала – святочны ...|крэсла
– Дарагая! Доктар сказаў, што я больш не змагу мець дзяцей! – Дзякуй богу, ... пракляты!!!|педафіл
– У мяне сусед пакутуе ад ... . Калі б вы ведалі, як ён душыцца варэнікамі са смятанай!|ціскі
Дзве сяброўкі зайшлі ў ... і зніклі з канцамі...|сэкс-шоп
– Навіны чуў? Канец года. Самы прэстыжны мужчынскі конкурс. – А як завецца вось? – Ну, я ж кажу – “...”.|Канец года
Добра сядзім. Павялічваецца настрой, пачынаецца ... .|нас троение
“Шашкі на лёду” – гэта пра які выгляд спорту?|керлинг
“Свідравальная” гульня слоў: “... бетон ...”.|пераможа
Вовачка з Машанькай распрануліся, і ўзяўшыся за рукі ўвайшлі ў цёмны пакой... ... быў у шоку|Бабай
Купілі Віні-Пух з Пятачком па тры порцыі марозіва. І так ...!|налізаліся
–Леха, глядзі, якая дзяўчына! Сцёгны – ва, грудзі – ва!  –Саня, супакойся, у цябе ... +10!|ачкі
– У мяне чорны пояс па караце! – А ў мяне жоўтая ... ад баязліўцаў па плаванні!|гумка
– У мяне жонка – як куля!   – Хуткая?   – Ды няма, ...|дурніца
Ў зопарке: – Мама, гэта малпа? – Не, гэта яшчэ ... .|касір
Пышнай бяседай і традыцыйным разбіваннем бутэлькі шампанскага адзначылі ўвод у эксплуатацыю новага судна ... лякарні нумар 3.|санітары
З адной анкеты на ўступ у грамадства пацыфістаў: “Я ненавіджу гвалт і гатовы за гэта ...!”|забіваць
...яна даверліва паклала яму ... на плечы.|ногі
Калі пасля п'янкі засталося ... – значыць, усярэдзіне калектыва існуюць праблемы.|спіртное
– Доктар, у мяне ... няўстойлівы.  – Так прысядзьце на канапу...|крэсла
– Як распазнаць гінеколага на медыцынскім кангрэсе?  – Толькі ў яго аднаго гадзіны на ... .|перадплечча
Прыемна ляжаць на голай падлозе, калі ён – ...!|процілеглы
Расійскім вучаным атрымалася скрыжаваць ... і крата. Звярок ні хрэна не бачыць, але калі намацае...!!!|труса
– Ці валодае жанчына дарма задавальняць мужчыну? – Валодае, але не ...|дарма
– Такім чынам, назіраем тры маляўнічыя карціны: на першай намаляваны якія надгарэлі пірогі, на другой – патанулы чалавек, на трэцяй – цяжарная жанчына. Пытаецца, Холмс: што агульнага ў гэтых сюжэтах? – Элементарна, Ватсон, ...|позна выцягнулі
– Паслухайце, гэта не ваша сабачка патрапіла пад коўзанку? – А як яна выглядае? – Як цалкам прыстойны ...!|кілімок
Прапаршчык салдатам: – Вы не павінны спускаць вока са свайго ...! Сідараў, ты чаго так утаропіўся на мяне?|ворага
Навошта ў слана хвост? Каб слон не канчаўся ...|раптам
– Калі вы дыхнулі на дзяўчыну, і яе вочы ..., значыць, яна да вас халодная.|запацелі
– А гэта сапраўды дапаможа? – спытала Царэўна Несмеяна, асцярожна ...|зацягваючыся
Птушыны грып – не апошні! У Карэі зарэгістраваны першы выпадак захворвання сабачым грыпам, у Францыі – жабіным, на Ўкраіне – поросячьим... І толькі ў Расіі спакойныя: ... грыпаў не бывае!|водячих
...з ... робяць ліны, трасы, мяшкі, вяроўкі, шмат вяровак... такіх доўгіх-доўгіх цудоўных вяровак... такіх смешных і такіх доўгіх вераўчаных вяровак, веревкинских такіх веревкинских вяровак веревковатого выгляду...|канопляў
Кароль Артур і рыцары квадратнага стала шукаюць рогіль і ...|лобзік
Выйдучы ад псіхатэрапеўта: – І гэта ... змагло вылечыць мяне ад комплексу непаўнавартаснасці?!|нікчэмнасць
Ездзіў я ў адпачынак. Калі прыехаў дахаты, убачыў, што хаты пабывалі злодзеі, але нічога не выкралі. І стала мне неяк ..., блін...|крыўдна
Шукаю паддоследнага труса. Подпіс: ... трус.|дасведчаны
Муж: – Штосьці твой новы капялюшык мне зусім не падабаецца... – Ну не магу ж я надзець на галаву ...!|бутэльку гарэлкі
“Наша ўзяло...” (чыстасардэчнае прызнанне ... хабарніка).|чукоцкага
... толькі спачатку варта дорага, а потым яе кошт не мае значэнні.|гарэлка
– Таварыш прадавец, мяса свяжэй? – Не ведаю, у мяне ...|катар
– Эх, дзень вось які класны! Жадаецца дыхаць ...! – Родная мая, дыхай, чым ёсць...|поўнымі грудзьмі
Надпіс на значку ў 150-кілаграмовага мужыка: “Жадаеш памерці? Спытай мяне, ці жадаю я ...!”|схуднець
– “Делми”, нашы хлопчыкі памкнуліся на ... . Што мы ім прыгатуем? – Тата, тата, мама зноў з маргарынам размаўляе.|рыбалку
З падручніка для ваенных кіроўцаў: “Люстэрка задняга выгляду служыць для ... задняга выгляду ў вочы кіроўцы.”|падачы
– Я ад Сінагогі. – А, вы ад габрэйскай ...? – Слюшай, навошта габрэйскай, навошта ..., ти Гоги ведаеш? Так я ад сина Гоги!|абшчыны
– Як жыццё? – Хрэнавае! Заняў знаёмаму 5 тышчаў баксаў на ..., а зараз не ведаю, як ён выглядае!|пластычную аперацыю
Ў жыцці Наташы Роставай быў толькі адзін мужчына, які мог з ёй рабіць усё, што захоча. Клікалі яго ... .|Леў Талсты
Сустракаюцца дзве сяброўкі і адна іншы распавядае: “У нас учора з мужам такі канфуз выйшаў! Уяўляеш, сядзім мы, і тут – грук у дзверы. А мы абодва ў ... як ламанёмся!..”|шафа
Калі вас дастаюць суседзі гучнай музыкай да трох ночы, ператэлефануеце ім ..., і распавядзіце, як вам спадабалася.|у чатыры
– Чаму вы не выратавалі сваю жонку, калі яна танула? – Я і не зразумеў, што яна тоне. ..., як звычайна.|Гарлапаніла
Я ніколі не мог прывесці дахаты жанчыну. Спачатку з-за бацькоў, потым з-за ...|жонкі
– Калі раніцай я чую гук будзільніка, мне здаецца, што ў мяне стрэлілі. – І што? Ты ўскокваеш? – Ды няма, ляжу ...|як забіты
– Скажыце свайму сыну, каб ён не перадражніваў мяне! – Вовачка, не курчы з сябе ...|ідыёта
– Я з жонкай на рыбалку ежу! – Яна ў цябе рыбачыць? – Спачатку рыбачыла, а потым нічога – ...|уцягнулася
Прыйшлі ў лазню дэпутат, бізнэсмэн і човеншчык. Распрануліся, і ва ўсіх траіх да калена. ...у дэпутата – мова, у бізнэсмэна – ..., у човеншчыка – рукі.|пуза
– Сынок, сыходзь да суседзяў, папытай малаток. – Тат, кажуць няма. – Вось жыды праклятыя! Добра, нясі ...|наш
– Не, як усёткі шчодрая наша прырода! Вось учора іду ўвечар па парку: гляджу – ланцуг залатая ляжыць. Ну я ... з яе вытрас і ношу сабе на здароўе!|мужыка
“Кашу маслам не сапсуеш” – сказаў трактарыст, зліваючы ... на грэчкавае поле.|адпрацоўку
На ўсерасійскім конкурсе “Самы сумленны прадпрымальнік года” было прысуджана два другіх і тры трэціх месцы. За першае месца ніхто ... не змог.|заплаціць
