– Якая мода перайшла ад Ганны Карэнінай? – Туфлі на ...|платформе
Фарш немагчыма пракруціць назад, І мяса з ... не адновіш...|катлет
Шэф дае сакратарцы дзве дыскеты: – Леночка, скапіюйце вось гэту дыскету на гэту, чыстую. Праз пару хвілін яна звяртаецца ў слёзах: – Іван Іваныч, чыстую дыскету ... зажаваў!|ксеракс
У тэлескоп на ... можна паглядзець усяго два разу ў жыцці. Адзін раз правым і адзін раз левым вокам.|Сонца
Ведаеце, як па-ангельску пішацца ...? – Неrniа|кіла
– Сара, ты чуеш, як язмін пахне? – Чую, чую. Не ... .|глухая
Ў войска бяруць здаровых, а пытаюць, як з ... .|разумных
– Якімі новыя рускія культурнымі становяцца, – распавядае муж жонцы. – Перабег праз дарогу, ледзь пад мерс не патрапіў, а ён да мяне на “Вы”, ды па прозвішчы: “Для Вас, ..., падземных пераходаў нарабілі, а Вы пад колы лезеце”.|Казлоў
Лектар скончыў свой даклад. – У каго будуць пытанні? – У Вас там ... на трыбуне не вызваліўся?|шклянка
– Гаішнікі зусім знахабіліся, дакопваюцца да ўсяго запар! – А што здарылася? – Ды вось спыняе мяне і пытае: “А Вы чаму без ...?”|машыны
Муж – жонцы: – Скажы сумленна, колькі табе трэба ..., каб праз 15 хвілін ты была гатовая?|часу
Дзеці пішуць складанне 1 верасня. Маша цягне руку і пытае: – Марь Иванна, а як пішацца “...”. – Маша не пішы пра лета, пішы пра Пушкіна.|зацяжарыла
Высвятліць што-небудзь у жанчыны немагчыма ў любым узросце: дзявоцкая памяць плыўна пераходзіць у жаночыя ..., а яны, у сваю чаргу – у старэчы склероз.|сакрэты
Ў меру выпітая гарэлка добрая ў ... колькасцях.|любых
Тата Карла паглядзеў на палена і зразумеў, што ... ляжыць няправільна.|плён
– Вялікія грошы разбэшчваюць, маленькія – азлабляюць. Жадаю шмат, шмат, шмат ... грошай!|сярэдніх
– Так, таварыш прадавец, дайце мне, калі ласка, бутэлечку шампанскага, скрыначку “Рафаэлло”, шакаладку і пачак прэзерватываў. – А прэзерватываў няма. – Ну, тады ...|нічога не трэба
Мужык доўга катаўся на каню і пад канец зусім выматаўся, не ўтрымаўся і зваліўся. – Так, ведаў бы дзе зваліцца, саломкі б заслаў, – сказаў мужык. – Так, і ... бы заадно... – падумаў конь.|паелі
Як паведамляе Інстытут ... Даследаванняў (ИНИ), у сямі выпадках з дзесяці|Незавершаных
– Ваша аўчарка сканчала школу службовых сабак? – Крыўдзіце. Яна там ... .|выкладае
Аб'ява: Запрашаюцца бойкія, цямлівыя дзяўчынкі для працы ў ... “Трах-тарарах”. Не бойцеся, не “Гербалайф”.|кааператыве
Лекар падыходзіць да пасцелі хворага і аглядае яго. Хворы: – Доктар, я жадаю пачуць ад вас праўду, я абяцаю быць мужным, які б ні была гэта праўда, скажыце мне прама: я хутка буду павінен ізноў выходзіць ...?|на працу
Ў вёсцы: – А што твайго Гришки не відаць, Маш? – А ён у горадзе ўладкаваўся на працу... Пастухом працуе. Краляў пасвіць поруч ... .|рэстарана
“Комплекс пераможаны! Чмурэючы, у адлюстраванне гляджуся. Хто сказаў, што я сівею?! Я ... СТАНАЎЛЮСЯ!”|БЛАНДЫНКАЙ
– Доктар, у мяне галава кружыцца! – ...!|Сам бачу
– Я не выйшла за яго замуж па трох чынніках. Па-першае, яго дараванні не хопіць на ўтрыманне такой жанчыны, як я. Па-другое, яго ... нічога асаблівага сабой не ўяўляюць. А па-трэцяе, пасля таго, як мы пазнаёміліся, ён кудысьці падзеўся і больш не паказваецца.|бацькі
Жаніх: – Пойдзем, я пакаджу табе свой вясельны ... . Нявеста: – А мама казала, што да вяселля нельга!|падарунак
– Мужыкі, а ў мяне конь упаў... – Як?! – Нізка. Паліць, п'е, канёў ...|навяла
Ідзе па вуліцы дзяўчына. Падыходзіць да яе хлопец і пытае: – Дзяўчына, Вы, напэўна, з салона прыгажосці ідзяце? – Так. – Напэўна, ... было?|зачынена
Рэклама: Фірма прапануе са склада ў Маскве: курыныя кубікі, авечыя шарыкі і каровіны ... .|аладкі
Машына ніяк не заводзілася. А ён з ... марыў завесці сабе машыну.|дзяцінства
Добрая малайчына Пяткин старанна прадумаў, як ён заб'е жонку і схавае цела. Толькі пасля гэтага ён зрабіў першы крок – ... .|жаніўся
Мужык у двары чысціць свой гарнітур. Праходзілы міма сусед цікавіцца: – Сусед, што стрэслася з тваім гарнітурам? – Так, купіў у краме парашок супраць ... . Мала таго, што гэта набрыдзь зжэрла ўвесь парашок, так яе яшчэ на гарнітур званітавала.|молі
Памкнуліся неяк упіры, ваўкалакі і вампіры на могілкі. З мэтай паспрачацца – хто спрытней кроў смактаць можа. Ну, паспрачаліся пару гадзін, ды і разбегліся – ... дасталі...|камары
– Мама, ідзі сюды, я выпусціў вялікія драбінкі, – крычыць хлопчык. – Ну, тата табе задасць, калі пазнае. – Тата ўжо ведае, ён на ... вісіць.|люстры
Калі б грошы былі злом, ад іх было б не так проста ... .|пазбавіцца
– Уяўляеш, які ў мяне аблом! Купіў сабе гумовую жанчыну. – Так гэта ж выдатна. – Так. Але ўчора да нас заявілася ...!|гумовая цешча
Рэклама: Кожны, хто купіць у нас горныя лыжы, бясплатна атрымае ...! (гумар)|мыліцы
Стыль Хайку: Спачатку ..., затым маўчанне. Як выдатная смерць манітора за $1000.|снег
– Дарагая, я зноў не магу знайсці свой гальштук! Куды ты зноў ...?|перасунула шафу
20 тысяч кіламетраў конна на ... – такі новы рэкорд, які ўсталяваў пасажыр трансатлантычнага авіялайнера Кудюкин, папярэдне з'еўшы ў аэрапорту дыньку.|унітазе
Ў хірурга. – Што вас турбуе? – Доктар, мяне кінула дзяўчына... – Вам да псіхатэрапеўта. – ...я праляцеў дзесяць метраў – і стукнуўся галавой о ... .|сцяну
Званок у дзверы. – Дабрыдзень, я ваша суседка. – Зверху ці знізу? – Што, вось так ...?|адразу
Сустракаюцца двое. – Я ўчора такую красуню ў пасцелю паскладаў, – летуценна кажа адзін. – А мне не вязе. Усе старыя трапляюцца, – сумна адказвае другі. І абодва ... паляцелі далей.|віруса грыпу
Мужык знайшоў падкову. – Бяру, – думае, – павешу хаты, яна мне шчасце прынясе! Паднімае, перагортвае на іншы бок, а там ...|конь
На дарозе ляжыць курыца. Едзе трактар, пераехаў курыцу. Курыца ўстала, страсянулася: – Вось гэта ...!|мужчына
Надпіс у заапарку: “Карміць звяроў забараняецца. Калі ў вас ёсць якая-небудзь падыходная ежа – аддайце яе ...”.|ахоўнікам
Знаёмяцца рускі і грузін. Рускі: – Мяне клічуць Вася, а па-вашаму – Вахтанг. Грузін: – А мяне клічуць Акоп, а па-вашаму – ... .|Траншэй
– Дык вось дзе сабака закапана!.. – падумаў некрофильный ... .|зоофил
Існуе тры асноўных правілы для здароўя вашых зубоў: 1) чысціце іх два разу ў дзень; 2) наведвайце ... не радзей двух разоў у годзе; 3) не совайце нос не ў свае справы.|стаматолага
– Прапаршчык Пупкін! Да мяне, з дакладам! – Таварыш маёр, дазволіце докласть? – Не докласть, а дакласці, балван! – Вінаваты! Так сапраўды, дакласці! – Ды ўжо ... ужо, ... .|долаживай
Сёння ... правялі буйнамаштабную акцыю па перакладзе бабуль праз дарогу. Сотні ўгневаных дзядуляў так і засталіся стаяць у праезнай часткі.|цімураўцы
Зняволены разважае: “Якая гэта ўсёткі дзіўная рэч – ...: вось мяне пасадзілі за тое, што я выкраў баханку хлеба, і зараз ім даводзіцца выдаваць мне па баханцы ў дзень.”|закон
– Узвод, усім узяць лапаты і капаць акоп! – Таварыш прапаршчык, а навошта трэба капаць акоп? – Вораг нападае, нам трэба ... . – Таварыш прапаршчык, можа, мы самі на яго нападзём, хай лепш ён капае акоп?|хованка
“Рускія сваіх на ... не кідаюць!” (Брат-2)|вайне
“Мы вывучыліся рабіць маленькія ... . Мы перасталі лазіць у акно да каханых жанчын...” (Той самы Мюнхаузен)|дурасці
“Цяпер верыць нельга нікому. Нават сабе. ... можна.” (17 імгненняў вясны)|Мне
“Маральна ..., значыць” (Карнавальная ноч)|расклаўся
“Бліжэй да ...” (12 крэслаў)|целу
“– У вас няма каньяку.  – У мяне ёсць каньяк.  – Значыць, у вас няма ... .  – У мяне ёсць ... .  – Значыць, мы з вамі ямо з адной кармушкі.”|салямі
“Гэты чалавек падняў руку на самае ... – на Прыватную ўласнасць!” (Беражыся аўтамабіля)|святое
“Я дам Вам ...!” (12 крэслаў)|парабелум
Усход – справа ... (Белае сонца пустэльні)|тонкае
...ой! не біце сюды, гэта маё балючае месца... і па ___ не біце – гэта таксама балючае месца... (Службовы раман)|галаве
“Прафесар! «...» гэта ж Главрыба!!!” (Сабачае сэрца)|Абырвалг
Дзяўчына, дзяўчына...а як вас клічуць? – ... – А мяне Федзя. – Ну і дурніца. (Джэнтльмены поспеху)|Таня
“Толькі я малю Вас, Вы не ешце на ноч волкіх ..., каб не прычыніць шкоды страўніку...” (Залатое цяля)|памідораў
“Падніміце! Ніводная ... золата не павінна знікнуць!”|парушынка
“Бабе – кветкі, ... – марозіва!” (Дыяментавая рука)|дитям
“З задавальненнем аддаюся ў рукі роднай міліцыі, спадзяюся на яе і ... .” (Іван Васільевіч змяняе прафесію)|спадзяюся
“Ты навошта вусы згаліў, ...?” (Дыяментавая рука)|дурик
“Елі нямытыя ...?!” (Айбаліт-66)|бананы
“... хадзі, ...!” (Джэнтльмены поспеху)|канём
– Рукі? – А? – ...? (Аперацыя Ы)|мылі
Вусе знікла, ...! (Дыяментавая рука)|шэф
“Усё ўжо ... да нас!” (Аперацыя Ы)|выкрадзена
“Вып'ем, закусім, пра справы нашых ... пабалакаем...” (Месца сустрэчы змяніць нельга)|журботных
Гэта не глупства, гэта зусім нават не глупства, ... Битнер. Асабліва ў такой справе! (17 імгненняў вясны)|дружа
– Бамбарбия! ...! – Што ён сказаў? (Каўказская палонніца)|Киргуду
– Як прайсці ў ...? – У тры гадзіны ночы?! Ідыёт! (Аперацыя Ы)|бібліятэку
Гэта не дзела калі акцёр, разумееце, цэлы дзень боўтаецца ў ...! (Беражыся аўтамабіля)|тэатры
– У мяне на правым пярэднім крыле ... надрапана непрыстойнае слова. – Так! Якое? (Беражыся аўтамабіля)|цвіком
Куй жулезо не адыходзячы ад ...! (Дыяментавая рука)|касы
“...такі добры дзяўчына, а бацька – ..., спекулянт!” (Джэнтльмены поспеху)|барыга
“Што рабіць, што рабіць? ...!” (Беражыся аўтамабіля)|Сухары сушыць
“Як шмат ты можаш ведаць пра сябе, калі ты ні разу не ...?” (Байцоўскі клуб)|дзёрся
Ну, будзеце ў нас на ... – Кхе... Не, ужо лепш вы да нас! (Дыяментавая рука)|Колыме
– Вы разумееце, яны разбілі маё сэрца! Плюнулі мне ў душу! Растапталі лепшыя пачуцці!. Пане, ды завошта ж мне, простаму ... – і такое шчасце?!|мазахісту
ФСБ абвясціла тэндар на вытворчасць дэтэктараў хлусні. Тэндар выйграў Маскоўскі завод ... .|паяльнікаў
Жанчына з гранатай – усё адно што ... за рулём...|малпа
– Як пазбегнуць ...? – Трэба браць у войска не мужчын, а жанчын. Ці наўрад яны захочуць зваць сябе бабулямі.|дзедаўшчыны
Парый важна не проста падужаць сябе, а паскладаць на абедзве лапаткі і пажадана на ...|канапа
Ў Расіі сустракаюцца ўсяго 3 выгляду палітыкаў: У чымсьці замяшаныя; На чымсьці памяшаныя; І проста ... .|смешныя
Аб'ява ў студэнцкай сталовай: “Не падбірайце дробкі – не злуяце ...!”.|прусакоў
Суперакцыя! Толькі ў нас і толькі да канца месяца! Кожнаму які набыў ... талерку – ... лыжку і ... відэлец у падарунак!|спадарожнікавую
Калі ўзяць каляровай паперы, // Ручку, нажніцы і клей // І яшчэ ледзь-ледзь адвагі // Можна зрабіць ...|100 рублёў
– Тата, які сінонім у слова шматжэнства? – Палігамія, сынок. – А одноженство? – ... .|Манатоннасць
Дзед унуку: – Я табе распавяду, як стварылі першую пару людзей на зямлі. – Я ведаю. Распавядзі лепш, як стварылі ... .|трэцяга чалавека
Аднойчы мне прыснілася, што мая жонка гучна храпе. Прачынаюся: нічога падобнага – ...!|не жанаты
Нікому так не важна правільна абраць дарогу ў жыцці, як ... .|гаішніку
Надлі ў гурбу, адчуй сябе ... .|лазерам
Начальнік – сакратарцы: – Тое, што вы пішаце на працы любоўныя лісты, я магу зразумець, але навошта вы іх даяце мне ...?|на подпіс
У школе Барыс Майсееў быў неактыўным ...|піянерам
карыстаючыся ..., жадаю перадаць прывітанне сябрам, якія таксама карыстаюцца “...”!!!!|момантам
Бываюць такія хвіліны, калі ўсё вырашаюць секунды, і доўжыцца гэта ...!|гадзінамі
Калі ты нікога не баішся, значыць, ты – самы ...|страшны
Калі ... чытаць наадварот – атрымліваецца “ЯЙКАЎ НЯМА, ОП!”|ПАТЭНЦЫЯ
Нямко злавіў залатую рыбку. – Зараз у яго ёсць карова, – лыжныя палкі – і ...|вялікія грудзі
Па факце згубы мужа было ўзбуджана два ...|суседа
Тата распавядае сыну казку на ноч: – І пайшоў ... да сябе ў пячору... – Хто, блін? – Спі, блін.|гоблін
– Доктар, у мяне такое пачуццё, нібы мяне ніхто сур'езна не прымае! – ...!|Вы жартуеце
Большасць мужчын больш паважліва ставіліся б да жаночага розуму, калі б ён у іх пры хадзе злёгку ...|падскокваў
І ўскочыў Іван-Царэвіч на каня, крыкнуў па-хвацку, але тут жа падбеглі да яго нейкія людзі і на зямлю скінулі. І правільна – куды ж без квітка на ... прэшся?|карусель
“... нам толькі бракавала”, – падумала мама, калі Маляня прадставіла ёй Карлсана, які жыве на даху.|бамжоў
Тэлекаментатар звяртаецца да гоншчыка: – Вы не перамаглі, але як вам спадабалася сама гонка? – О, ... нам спадабалася.|самагонка
– Няўжо я выпіла мала фанты? – паспела падумаць ..., бачачы, што цягнік і не збіраецца спыняцца.|Ганна Карэніна
Навіна: Учора на самарскім лікёра-гарэлкавым заводзе падарвалася цыстэрна з шампанскім. Першымі на месца здарэння прыбылі пажарнікі. І не ...! Прадпрыемству нанесены велізарная матэрыяльная шкода.|пашкадавалі
– Дзетачка, сядзь у машыну – я табе цукерку дам! Дзетачка, сядзь у машыну – я табе дзве цукеркі дам! Дзетачка, сядзь у машыну – я табе шакаладку куплю! – Ведаеш, тата, сам ездзі на сваім “...”|Запарожцу
Маленькі крокодильчик падбягае да мамы: – Мама, а дзе наш тата працуе? Мама: – Тата твой у пасольстве служыць “...”!|дыпламатам
У псіхіятра. – Так вы кажаце, што плаціце падаткі з ...? І калі гэта ў вас пачалося?|радасцю
“Тры гады краіна стаяла на краю прорвы... і вось нарэшце мы зрабілі ...”|крок наперад
Сустракаюцца два аднакурсніка. Адзін кажа іншаму: – Як падумаю, які з мяне інжынер – баюся да ... ісці.|доктару
Навукоўцы-медыкі адкрылі новую хваробу, у якой няма ... . Яе цяжка выявіць, і лекаў ад яе не існуе. Да шчасця, дагэтуль не было зарэгістравана ніводнага выпадку захворвання.|сімптомаў
А з нашага акна пляц Чырвоная бачная! Я ў аптычны прыцэл нават ... разглядзеў!|твары
– Тата, а адкуль людзі пазналі, што зямля круглая? – Маляня, ты хіба ніколі не бачыў ...?|глобус
Ідуць двое па вуліцы. – Глядзі, 100 баксаў валяюцца! Давай на іх што-небудзь купім. – Клас! Давай. – Давай купім на даляр хлеба, а на астатняе – гарэлкі. – Не зразумеў, а навошта нам гэтулькі ...?|хлеба
“Што ж усёткі ў яго ў руцэ?” – падумала ..., убачыўшы гаішніка на дарозе.|зебра
– Ты чаго такі стомлены і сумны? – Праца... Праца... Адна праца... Раніцай і ўвечар... І ўсё праца... – І даўно так працуеш? – ...|Заўтра пачынаю
Я стаў вегетарыянцам не таму, што кахаю жывёл. Я ...|ненавіджу расліны
Начальнік аддзела ўваходзіць у кабінет і гарлапаніць на супрацоўнікаў: – Я ж сказаў: падчас працы паліць забараняецца! – А хто тут ...?|працуе
– ... сказаў дзяўчынцы: “Кінь мыліцы і ідзі!” І яна кінула іх і пахабная. – А чым яна хварэла? – Грыпам! А мыліцы дзядулю несла.|Кашпировский
– Скажыце, што прымушае вас напівацца кожны дзень? – Нічога не прымушае, я ... .|добраахвотнік
– Бэрымор, што ў мяне хлюпае ў чаравіку? – ..., сэр. – ...?! Што яна там робіць?! – Хлюпае, сэр...|Аўсянка
– Дзядуля Мароз, выходзь! – крычалі, пританцовывая, дзеці каля ... .|туалета
– А чаго ты больш на трамбоне не гуляеш? – Ды так, пазнаў выпадкова, што сусед ... купіў...|стрэльба
– Доктар, я жадаю дзіця, а мой муж не жадае. Што рабіць? – Ну так нараджайце. А ён хай ... .|не нараджае
Адна дзяўчына кажа сяброўцы: – Ты ведаеш, у мяне зараз ужо няма такіх прэтэнзій да мужчын, як раней. Галоўнае – каб ён быў добрым, спагадным, людскім. Як ты думаеш, яшчэ засталіся такія ...?|банкіры
Шэф звяртаецца да свайго ...: – Слухайце, вы ў маёй фірме працуеце больш 10 гадоў і ні разу не прасілі пра дадатак зарплаты. Што за цёмныя справункі вы тут пракручваеце?|бухгалтару
Наша котка таксама баялася пыласоса... нічога, потым ...|уцягнулася
