Назавіце адзінку вымярэння даўжыні?|метр
Празмернае ўсхваленне чаго-небудзь свайго, сваіх добрых якасцяў?|хвальба
Ніводная пажадлівая жывёла не дакранецца да тушэ звера, загінулага ад... Ад чаго? (чаго?)|маланкі
Новы парадак, звычай, метад?|навіна
Пра сябра кажуць: мой да труннай дошкі, мой да кончыкаў пальцаў. А як сказалі пра кульгавага брыгадзіра?|Мойдодыр
Пра знакамітага кінасцэнарыста Яўгеніі Іосіфавічу Габриловиче хадзіў жарт – сакрэт яго вечнай маладосці і поспеху ў тым, што ён піў жывую кроў. Чыю?|ленінскую
Малпа з выцягнутай пысай?|павіян
Вобласць медыцыны, якая вывучае паталагічныя працэсы і асобныя захворванні?|паталогія
Пазначэнне адзнакі ведаў навучэнца?|адзнака
Зварот, годнае ангельскага караля?|сир
Атрымаўшы перамогу ў барацьбе за незалежнасць, Амерыка дала штуршок да развіцця цэлага кантынента. Назавіце самы буйны горад гэтага кантынента|Сіднэй
Одзін з гогалеўскіх герояў вельмі выразна вынікаў міжнародным правілам наймення завадовых сабак. Назавіце яго прозвішча|Ноздрев
Одзін з лепшых гульцоў зборнай Бразіліі па футболе?|Раналда
Одзін з вайскаводаў цара Митридата VI Архелай выявіў, што дрэва, апушчанае ў квасцовый раствор, як гэта ні парадаксальна, становіцца... Якім?|вогнетрывалым
Одзін з сучасных аўтараў назваў яе музычным партрэтам дажджу. Хто яна?|арфа
Одзін з трох цэнтраў Інш. Русі|Куявия
Одзін музычны часопіс падлічыў, што прыкладна кожныя два тыдні ў свеце хто-небудзь аб'яўляе, што расчыніў гэты сакрэт. Чый гэта сакрэт?|Страдивари
Одзін немец у 1978 году прымудрыўся аб'ехаць на ровары вакол святла без прыпынку. Больш таго, пры гэтым яго ровар наогул не рухаўся з месца. А як клікалі гэтага немца?|Ен
Одзін навуковец сур'езна даказваў, што бог у раі звяртаўся да Адама па-швецку, Адам адказваў яму па-дацку. А на якой мове, па меркаванні гэтага навукоўца, гутарыў з Евай змей-спакуснік? “на ...”|французскім
Адна вялікая сцяна ў Кітаі ўжо ёсць. Але кітайцы вырашылі зрабіць яшчэ адну, у паўднёвай частцы краіны. Будзе яна даўжынёй каля 7000 км. З чаго яе збіраюцца зрабіць?|зялёныя насаджэнні
Адна з епархій, падпарадкаваных Александрыйскай праваслаўнай царквы, завецца епархія Иоаннополиса. На тэрыторыі якой дзяржавы яна размешчана?|ПАР
Адна з класіфікацый суніцы – на гатункі, якія даюць гэта і не давальныя. Гэта можа з'явіцца і ў чалавека, калі ён доўга не будзе карыстацца нейкім прыборам. Якім?|брытвай
Адна з умоўных кропак на нябеснай сферы, працягласць працоўнага дня, прыметнік, якое паведамляе нам пра добры зрок, ініцыялы нейкага чалавека. Што гэта ўсё такое?|фотаапараты
Адна кварта роўная дзвюм пінтам. А колькі пінт у галоне?|восем
Адна легенда распавядае, што калі сонца пры сваім бачным руху па экліптыцы праходзіла праз гэта сузор'е, пачыналі ліць моцныя вясновыя дажджы. Што гэта за сузор'е? “сузор'е ...”|Рыб
Аднойчы ў Армавире на навагоднім ранішніку замест Дзеда Марозу дзяцей віншаваў іншы дзед. Ён раздаваў падарункі і фатаграфаваўся з ахвотнікамі. Назавіце яго. “дзядуля ...”|Ленін
Аднойчы Верди сказаў, што гэта з'яўляецца неад'емнай часткай некаторых выглядаў музыкі, і таму іх варта ўпісваць у партытуру. Пра што ён так сказаў?|апладысменты
Адным з імёнаў бога Шывы было Деваниши, што, па меркаванні некаторых даследнікаў даказвае роднасную сувязь паміж Шывай і іншым богам. Назавіце яго|Дыяніс
Адно з імёнаў бога кахання Камы – Мадана, а як завецца тое, што п'яніць?|мёд
Адно з назваў даляраў у 90-е гады|лэвэ
Аднаго з заваёўнікаў Брытаніі клікалі Свейн Вилкобородый. А што вы можаце сказаць пра бараду чалавека, з імем якога злучана два няўдалых вайскоўцаў паходу?|рудая
Адну з іх прапанавалі ўзяць, яшчэ адна паслужыла ўніверсальным выйсцем. А якія, па меркаванні Марыны, былі ў некаторых генералаў?|шырокія
Адну паэму пад такой назвай напісаў Пушкін. Іншую – два пісьменніка-сатырыка ў Савецкім Звязе. Праўда, у іх паэма не названа. Як яна завецца ў Пушкіна?|гавриилиада
Чаканы, але невядомы прыемны прадмет|падарунак
Возера ў Афрыцы?|Танганьіка
Наваколлі Масквы?|Чыгуначны
Ён бывае балістычны і градыентны, праўдзівы і ўяўны, курсавы і панавальны. а што ён робіць, калі брэша сабака?|носіць
Ён быў скончаны ў 1682 г. і прызначаўся для Людовіка ХIV. На яго будаўніцтве працавала 30 тыс. чалавек пад кіраўніцтвам Жуля Ардуи-Мансере. Што ж яны пабудавалі?|Версальскі палац
Ён быў металургам, але ўславіўся, узаемадзейнічаючы з садавінай. Хто ён?|Ньютан
Ён і Іпацій, ён і Карп, ён і Макар, ён і Панцялей, ён і тата, ён і Харытон, ён і Васіль, ён і Георгій, і шматлікае, шматлікае іншае. Хто ж ён?|Зеўс
Ён не стаў ахвярай 2 людзей і трох жывёл. А хто знішчыў гэту кулінарную страву?|ліса
Ён ненавісны мне... Мяне ён душыць... Тут я больш не вольны. Гэтыя радкі В. Гюго ўклаў у вусны Людовіка 13-го. Пра каго кажа кароль? “о ...”|Рышэлье
Ён складае пералікі кніг і займаецца іх навуковым апісаннем?|бібліёграф
Яна бывае тэлеграфная, сцягавая, семафорная, а якая нам звыклей усяго?|літарная
Яна ёсць у чалавека і ў турбіны, у архітэктуры гэта – патаўшчэнне сцяны, а на камчатцы – мыс на поўдні паўвострава. Што гэта?|лапатка
Яна з'явілася на святло ў 1959 году. Яе сябар – праз два гады. Затым з'явілася на святло яе лепшая сяброўка Миджи, а трохі пазней – яе браты – Скипер і Аллан. Як яе клічуць?|Барби
Яна ў радавога чорная, у прадстаўніка фіялетавая, у генералаў чырвоная, а ў ключніка белая. А што гэта такое?|сутана
Яны не зоркі, але іх завуць выглядам зорак, а Аліса Селезнева нават пабывала аднойчы палонніцай аднаго з іх. Як жа мы іх завём?|астэроіды
Яны ёсць у пераважнай большасці людзей. Восемдзесят адсоткаў з іх складаюцца з трох цёзак старажытнагрэцкіх баявых адзінак, а дваццаць іншых толькі з дзвюх. Назавіце іх|пальцы
Яны, наогул, прызначаны для праведнікаў. Але калі ім памяняць усяго адну літару, яны з усёй лютасцю абрынуцца на злыдняў. Назавіце іх|гурыі
Апішыце спартовы рыштунак старажытнагрэцкага скакуна|голы з гантэлямі
Аптычны квантавы генератар?|лазер
Ордэн ганаровага легіёна яму ўручалі на верхняй платформе яго ж збудаванні. Назавіце яго|Эйфель
Заснавальнік маскоўскага ўніверсітэта?|Ламаносаў
Асноўная ежа дзяцей, салдат і хворых|каша
Асноўнае насельніцтва Старажытнай Грэцыі?|эліны
Асноўны выгляд ваенных дзеянняў?|наступ
Адмысловы рацыён (звычайна абмежаваны) і рэжым сілкавання?|дыета
Выспа – Новая Гвінея, акіян – Атлантычны, возера – Верхняе, вулкан – Попокатепетль, вяршыня – Чогори, рака – Амазонка, мацярык Афрыка. Якія яны ўсё?|другія
Дасціпныя амерыканцы склалі з назвы гэтай кампаніі анаграму fеаr tооl – прылада страху. Што гэта за кампанія? (адказ лат. літарамі)|аеrоflоt
Ажыццяўленне, увасабленне ў жыццё (плану, намеры і т. п.)?|рэалізацыя
Ад старажытнаіндыйскага слова сакха – галіна – адбылося не толькі слова сук, але і яшчэ адно слова, якое пазначае тое, што превоначально з сука ці галіны рабілі. Што гэта?|сахі
Ад старажытных грэкаў патрапілі ў філасофію два словы, якія пазначаюць вялікі свет і малы свет. Што гэта за словы?|макракосм і мікракосм
Ад катару і ад кахання лекаў няма. Выснова?|само праходзіць
Адтуліна ў абарончых збудаваннях?|амбразура
Адгадайце загадку. Хто мяне зрабіў – не сказывает, хто мяне не ведае – прымае, а хто ведае – на двор не пускае|фальшывыя грошы
Адкуль было прывезена ў Англію золата для чаканкі першых залатых манет добрай якасцю ў 21 шылінг?|Гвінея
Галіна жывёлагадоўлі?|трусагадоўля
Галіна ведаў пра метады сістэматызацыі і апісанні твораў друку?|бібліяграфія
Адсек для хуткапсавальных прадуктаў?|маразільнік
Адсутнасць у патрэбнай колькасці?|нястача
Бацькамі рускай рэвалюцыі па праве можна лічыць Леніна і Троцкага. Бацькамі якой рэвалюцыі ва ўсім свеце лічаць амерыканцаў Вірджынію Джонсан і Ўільяма Мастерса? (адказ – прил. у род. п.)|сэксуальнай
Пустэльнік?|анахарэт
Палы анёл рос. эстрады|Майсееў
Папараць і лішайнікі|листовик
Папараць і лішайнікі|вужоўнік
Партнёрка амерыканскага танцоўніка Фреда Астера?|Роджерс
Перавядзіце з лацінскага слова fibrillа|волоконце
Першае ўяўленне спектакля, цыркавой праграмы, фільма|прэм'ера
Педагагічная расліна|крапіва
Партманетка па-руску|папернік
Заступніца шабасу ведзьмаў|Вальпургия
Паэма Пушкіна|Палтава
Паэт, які працуе, не чакаючы прыходу музы|рыфмаплёт
Преснов. рыба|чырвонапёрка
Прахадная ў прибережной зоне|фарватар
Ахаладжальны напой|юпи
Твор Сенеки|палівачка
Супрацьзачаткавы сродак|контрацептив
Шлях скрозь горы на чыгунцы|тунэль
Партызанка вялікай айчыннай вайны, герой савецкага звяза (1942, пасмяротна)?|Космодемьянская
Ветразнае судна?|яхта
Патэтычны твор?|ода
Малец па-італьянску?|бамбино
Спеў гэтак жа ставіцца да малітвы, як важнейшая справа да меней важнага чаго? (адказ у дат. п.)|пацесе
Першая чыгунка ішла з Піцера куды?|Царскае сяло
Першая з іх носіць афіцыйная назва Арал-Сорская СГ-1, другая – Биикжальская СГ-2. А як завецца трэцяя, размешчаная ў мястэчку Вильгискоддеоайвинъярви?|Кольская звышглыбокая
Першая ці верхняя пара сківіц у ракападобных, шматножак і казурак|жвало
Першае кругасветнае вандраванне здзейсніў Магеллан. Гэта ведаюць усё. А хто здзейсніў другое кругасветнае вандраванне?|Дрейк
Першае маё з цэлага нарадзілася, а цэлае маё апошняга баіцца. Гэта старадаўняя фальклорная загадка. Разгадайце яе|вінаград
Першапачаткова гэта слова азначала тавар, які прадаецца найболей паспяхова. Цяпер мала хто пра гэта памятае, а слова гэта трывала асацыюецца з адной з абласцей мастацтва. Назавіце гэта слова|шлягер
Першыя яго ўзоры нагадвалі імбрычак. Сярод яго найболей вядомых разнавіднасцяў – куфравы, корнуэльский, шатландскі, прямоточный. Пра што ідзе гаворка?|паравы кацёл
Першы атрымаў 8 рублёў і 3 талона на абед. Другога адпусцілі са светам, хоць і без здабычы. Як клікалі трэцяга, бязлітасна выкінутага з кабінета?|Паниковский
Першы раз мы іх убачылі ў 1973 году. Іх было сямнаццаць, але яны змясціліся ў дванаццаць. Хто яны?|імгненні вясны
Першым нумарам у праграму старажытных алімпійскіх гульняў увайшоў бег. А што ўвайшло другім?|барацьба
Перавядзіце на старажытнагрэцкі два словы – покрыва і кашуля, калі ўлічыць, што пакрывала ў адрозненне ад кашулі было даступна далёка не кожнаму?|тога і туніка
Перавядзіце з латыні словазлучэнне dеfесtus sоlis|сонечнае зацьменне
Перапісы насельніцтва праводзіліся яшчэ ў Старажытным Кітаі, у Егіпце, у Рыме і ў Грэцыі. Яны мелі вельмі вызначаную мэту. Якія ўстановы ў нас займаюцца падобнай працай?|ваенкаматы
Пётр Абрамовіч валодаў Пятроўскім, а яго бацька валодаў і Пятроўскім, і больш нам вядомым... Назавіце гэта больш вядомае|Міхайлаўскае
Пісьменнік Юры Палякаў параўнаў яе з задранай у неба жаночай ножкай у чорнай ажурнай панчосе. Назавіце прозвішча яе стваральніка|Эйфель
Плён раслін|зярняўка
Плён раслін|улётка
Плён раслін|сямянка
