Эфіёпская срэбная манета|бер
Юж. травы. дэкор. расліна|иберис
Юж. эфиромасличное расліна|базілік
Юж.-славянск. смычков. муз. прылада|лирица
Паўднёвая Карэя (горад у Азіі)|Кванджу
Паўднёвая Карэя, порт (горад у Азіі)|Чемульпо
Паўднёвая вадзяная птушка з далікатна-ружовым апярэннем, доўгай шыяй і доўгімі нагамі|фламінга
Паўднёвая палярная птушка|пінгвін
Паўднёва-Афрыканская Рэспубліка (сталіца, цэнтр)|Прэторыя
Южноамер. ударная прылада|маракас
Паўднёваамерыканская расліна сямейства молочайных, з каранёў якога робяць тапиоку і хлеб|маніёку
Паўднёваамерыканскае млекопитающее, браняносец|армадзіл
Паўднёваамерыканская ўдарная музычная прылада, род бразготак|маракас
Паўднёваамерыканскі галаўны ўбор|самбрэра
Паўднёвае арэхавае дрэва|фісташка
Паўднёвая расліна сем. розоцветных, дрэва ці хмызняк, меданос|мушмула
Паўднёвае вечназялёнае іглічнае дрэва|кіпарыс
Паўднёвае дрэва з буйнымі духмянымі кветкамі|магнолія
Паўднёвае дрэва з пладамі ў выглядзе ядомых арэшкаў|фісташка
Паўднёвае дрэва з пладамі ў выглядзе авальных арэхаў|міндаль
Паўднёвае дрэва ці хмызняк сямейства розоцветных, з пладамі ў выглядзе светлых падоўжаных арэхаў|міндаль
Паўднёвае дрэва, якое дае плады ў выглядзе зелянявых ядомых арэшкаў|фісташка
Паўднёвае дэкор. расліна сямейства кисличных (заячая капуста)|кісліца
Паўднёвае дэкаратыўнае дрэва ці хмызняк, шаўковая акацыя|альбиция
Паўднёвае лек. дрэва|эўкаліпт
Паўднёвая ліянавая расліна з салодкімі ягадамі|вінаград
Паўднёвае пладовае дрэва|мандарын
Паўднёвае пладовае дрэва|мушмула
Паўднёвая травяністая расліна, меданос|зарніца
Паўднёвая травяністая цыбульная расліна|амарыліс
Паўднёваруская, коллі, нямецкая, каўказская (агульнае)|аўчарка
Южноиспанский стыль выканання песень і танцаў|фламенко
Паўднёвая Карэя (горад у Азіі)|Вонджу
Паўднёвая Карэя (горад у Азіі)|Тэгу
Паўднёвая Карэя (горад у Азіі)|Тэджон
Паўднёвы ўскраек паўвострава Камчатка?|Лапатка
Паўднёвая разнавіднасць ядлоўца выкарыстоўванага як почвоохранное і водаахоўная расліна|арча
Паўднёвая частка Кардыльераў|Анды
Паўднёва-Афрыканская Рэспубліка, прыгарад Йоханнесбурга (горад у Афрыцы)|Бенони
Южноамер. дэкаратыўная расліна|акка
Южноамер. птушачка|гокко
Паўднёваамерыканская птушка, якую яшчэ завуць перцеедом|тукан
Паўднёваамерыканскія стэпы|пампа
Паўднёваамерыканскі грызун, сваяк марской свінкі|мара
Паўднёваамерыканскае дрэва з чырвонай драўнінай, якая выкарыстоўваецца для інкрустацыі|амарант
Паўднёваамерыканская жывёла, роднаснае ламе|вігонь
Паўднёваамерыканскае трапічнае дрэва|балата
Паўднёваафрыканская грашовая адзінка|рэнд
Паўднёваафрыканская палярная станцыя ў Антарктыдзе|санаэ
Паўднёваафрыканскі аналог “Оскара”|артес
Паўднёвае вечназялёнае дрэва ці хмызняк, духмянае лісце якога ўжываюць як спецыя|лаўр
Паўднёвае вечназялёнае дрэва?|кіпарыс
Паўднёвае вечназялёнае дрэва|самшыт
Паўднёвая вечназялёная расліна|мірт
Паўднёвае вечназялёнае іглічнае дрэва ці хмызняк з каштоўнай цвёрдай драўнінай|ціс
Паўднёвае вьюееся ці якая лазіць чэпкая расліна|ліяна
Паўднёвая дэкаратыўная расліна|агава
Паўднёвае дрэва з араматычнай драўнінай|сандал
Паўднёвае дрэва з чырвонай драўнінай; дрэвы і хмызнякі|амарант
Паўднёвае дрэва з маленькімі зялёнымі пладамі|аліва
Паўднёвае дрэва з каштоўнай драўнінай|цік
Паўднёвае дрэва сямейства розоцветных|айва
Паўднёвае дрэва сямейства симарубовых, лісце якога ідуць на корм гусеніцам шаўкапрада|айлант
Паўднёвае дрэва сямейства тутавых|інжыр
Паўднёвае дрэва з салодкімі пладамі|хурма
Паўднёвае дрэва, з якім у якасці кампліменту параўноўваюць мужчын?|кіпарыс
Паўднёвая земнаводная расліна з прыгожымі буйнымі кветкамі|лотас
Паўднёвая ці пакаёвая лекавая расліна з мясістым лісцем|альяс
Паўднёвая хмызняковая расліна, якое дае жоўта-чырвоную фарбу|хна
Паўднёвая цыбульная расліна, што разводзіцца ў аранжарэях|амарыліс
Паўднёвая алейная травяністая расліна|кунжут
Паўднёвае пладовае дрэва, роднаснае сліве|алыча
Паўднёвае пладовае дрэва|айва
Паўднёвае пладовае дрэва|інжыр
Паўднёвае пладовае дрэва|цытрына
Паўднёвае пладовае дрэва|фейхоа
Паўднёвае пладовае калючае дрэва|гранат
Паўднёвае полукустарниковое якая сцелецца расліна|каперс
Паўднёвая расліна з тоўстым сакавітым сцяблом|кактус
Паўднёвая расліна сямейства гарбузовых|люфа
Паўднёвая расліна, некаторыя выгляды якога вядомыя тым, што згортвае лісце пры дакрананні да іх|мімоза
Паўднёвая расліна, у якога замест лісця растуць калючкі|кактус
Паўднёвая расліна, што квітнее ранняй вясной|мімоза
Паўднёвае сузор'е; ахоўнае ўзбраенне|шчыт
Паўднёвае сузор'е|Шчыт
Паўднёвае травы. расліна|амела
Паўднёвая травяністая цыбульная расліна, парашок з высушаных рыльцев кветак якога ўжываецца як рэзкая затаўка і якое фарбуе рэчыва|шафран
Паўднёвае фруктовае дрэва сямейства розоцветных|персік
Паўднёвая іглічная расліна: дрэвы і хмызнякі|араўкарыя
Паўднёвая, а таксама пакаёвая лекавая расліна|агава
Южнокорейск. сухі док, самы вялікі ў свеце (кн. рэк. Гинн.)|Окпо
Паўднёвакарэйскі аўтамабіль|киа
Паўднёвакарэйскі горад|Ири
Паўднёвы вечназялёны хмызняк з падоўжаным скурыстым лісцем і з чырвонымі, ружовымі ці белымі кветкамі|алеандр
Паўднёвы вечназялёны хмызняк ці паўхмызняк, з якога здабываюць духмянае масла|размарын
Паўднёвы вечназялёны хмызняк, з якога здабываюць духмянае масла|размарын
Паўднёвы вецер, накіраваны ў бок Іспаніі|солано
Паўднёвы вецер, накіраваны ў бок Іспаніі|хамсин
Паўднёвы вечназялёны хмызняк ці дрэва з белымі духмянымі кветкамі|мірт
Паўднёвы выгляд ляшчыны|фундук
Паўднёвы жоўта-чырвоны сакавіты плён з буйнай костачкай|абрыкос
Паўднёвая трава і крупы для кашы|сорга
Паўднёвая ляшчына|фундук
Паўднёвы плён|інжыр
Паўднёвы плён|хурма
Паўднёвы пладовы хмызняк|кизил
Паўднёвы сваяк белага хлеба|лаваш
Паўднёвы сакавіты плён|персік
Паўднёвы сакавіты салодкі плён, які ўжываецца ў свежым і сушоным выглядзе|інжыр
Паўднёвы фрукт з пахам суніцы і ананаса?|фейхоа
Юлій Цэзар і Малик-шах уславіліся адным і тым жа. Цэзар – сам, Малик-шах – разам з Амарам Хайямом. Назавіце рымскага тату, які праславіўся тым жа. (Імя і парадкавы нумар рымскімі лічбамі)|Рыгор ХII
Юлій Цэзар іх ненавідзеў, Вальтэр ставіўся да іх з усмешкай, у Напалеона на іх была алергія, а ў Аўраама Лінкольна іх было тры. Пра каго ідзе гаворка?|коткі
Юлій па-французску|Жуль
Гумарыстычная мініяцюра ў прозе ці вершах|гумарэска
Гумарыстычная паэзія|травесці
Гумар, выведзены з цярпення|сатыра
Гумарэска, складзеная самым жыццём|кур'ёз
Гумарыст-эстраднік, вялікі знаўца і аматар ракаў: і маленькіх па 3, і вялікіх па 5|Карцев
Гумарыстычны партрэт, у якім карыкатурна падкрэслены характэрныя рысы|шарж
Юнак, якога Зеўс зрабіў сваім віначэрпам|Ганимед
Юнга, герой абароны Севастопаля 1854 г.|Бабёр
Юнацкая мянушка Е. Еўтушэнка за прыхільнасць да шампанскага|шамп
Юны герой, па імі Павлик|Марозаў
Юны герой з “Выспы скарбаў” Стивенсона?|Хокинс
Юны сябар прыроды|юннат
Юны даследнік жывой прыроды|юннат
Юны партызан Вялікай Айчыннай вайны, Герай Савецкага Звяза (1942, пасмяротна). Выведнік партызанскага атрада Перадавой (Тульская вобл.). Пакараны фашыстамі ў г. Лихвин Тульскай вобл.|Чекалин
Юны партызан Вялікай Айчыннай вайны, Герай Савецкага Звяза (1944, пасмяротна)|Дзяркачоў
Юны партызан Вялікай Айчыннай вайны, Герай Савецкага Звяза (1958, пасмяротна)|Каток
