“Машыны ва ўваходу не ставіць. Штраф – ...”.|лапатай па шкле
Ў траўмапункт заходзіць ___, у якога рука затрымалася ў пацыенце. Доктар: – У нас траўмапункт, а не лялечны тэатр.|проктолог
Пасля трагічнага выпадку, у Манголіі забаронена залазіць у маршрутку з ... .|дзідай
– Таварыш прапаршчык, а што такое шлюб па разліку? – Ну, гэта, калі будуеш салдатаў у ..., на першы-другі рассчитайсь, а потым першыя жэняцца на другіх.|шэраг
Тэрарысты, якія захапілі закладнікаў, ізноў змякчылі свае патрабаванні. Калі першапачаткова яны патрабавалі 30 мільёнаў даляраў і шрубалёт, то зараз – бутэльку гарэлкі, два агурка і ... . Перамовы працягваюцца...|ровар
Ці ведаеце вы што... 98% салдатаў імкнуцца патрапіць на грамадзянку, і толькі 2% на ...|грамадзяніна
Лекар – балюча: – Абцяжарваюся паставіць вам ... . Напэўна гэта алкагалізм. – Добра. Тады я зайду калі вы працверазееце.|дыягназ
  Дзень флота. Ідзе па вуліцы ў вусцілку п'яны марак, у бесказырцы, апранутай задам наперад. Ідзе, значыць, і стужачкі ўвесь час ад вачэй адмахвае. Запарыўся ўвесь і кажа: – Ну, калі ўжо гэтыя чортавы ... скончацца?!|чароты
– Што трэба ёсць на параходзе падчас гайданкі? – Самае ... .|таннае
Мужык выскоквае з хаты на гучныя крыкі сваёй аўтамабільнай сігналізацыі. У яго аўтамашыны стаяць тры здаровых мужыка і спакойна кажуць: – Што мужык, ... прынёс? Давай!|ключы
Песіміст – гэта чалавек, які плачацца ў камізэльку, аптыміст аддае перавагу плакацца ў ... .|дэкальтэ
Дзяўчына распавядае сяброўкам: – Мужык у мяне, дзяўчаты, сапраўдны звер! Парода – сэксуальны ...|гультай
Жонка – мужу: – Так надакучылі ўсе гэтыя нашы скандалы! Муж: – Жадаеш, проста моўчкі ...?|пысу напакую
– Гэтага супу можна было сварыць літраў сто, – кажа муж жонцы. – Ён так табе спадабаўся? – Не, проста тады ён не быў бы такім ... .|салёным
Кіраўнік кампаніяй вяртаецца дахаты з працы ў агідным настроі. Жонка пытае яго: – Адбылася якая-небудзь непрыемнасць? – Праўда што. Хлопец, на якім я зрываю ..., сёння не выйшаў на працу.|злосць
... – гэта чалавек, які думае больш пра сябе, чым аб мне.|эгаіст
Калі навука пераможа алкагалізм, людзі перастануць ... адзін аднаго.|паважаць
– Ах, малады чалавек, да чаго Вы мне нагадваеце майго трэцяга мужа... – А колькі іх у Вас усяго было? – ... .|Два
– А мой дзед загадзя ведаў, у які дзень памрэ. І нават гадзіна прыблізна. – Экстрасэнс, ці што, быў? – Які да чорта экстрасэнс! ... яму сказаў.|суддзя
Калі Вы кажаце з богам – гэта завецца малітва. Калі бог кажа з Вамі – гэта завецца ...|шызафрэнія
– Афіцыянт! Калі гэта біфштэкс, то я – ідыёт!!! – Гэта біфштэкс... Гэта ... біфштэкс!|сапраўдны
Для развіцця сучаснай хірургіі Р. Дж. Гатлинг зрабіў значна больш, чым усе астатнія. Ён вынайшаў ... .|кулямёт
– Як справы ў школе, сынок? – Я з бацькам ... не размаўляю.|двоечніка
– Я не разумею, чаму ўсе мужчыны бегаюць за мной?! – Ну ты ...!|даеш
У рэчаіснасці ўсё не так проста, як ...!|насамрэч
Прыехаў у сельскую школу інспектар з раёна і пытае дырэктара: – Чаму ў вас дзеці кажуць: “прыйшоўшы, сышоўшы”? – А сабака іх ведае, можа яны так ...!|абвыкшы
Задачка: Вядома, што ___ов вучаць апранаць порткі за 3 секунды... Пытанне: колькі портак здолее надзець навучаны ___ за 5 мінуць?|пажарнік
На новых банкнотах, ва ўльтрафіялетавым святле, бачная надпіс: “АСЦЯРОЖНА! УЛЬТРАФІЯЛЕТАВАЕ ...!”|ВЫПРАМЕНЬВАННЕ
– Дарогай, – пытае жонка мужа, – гэты ты навучыў нашага ... непрыстойным словам? – Што ты, я наадварот казаў яму, якія словы не варта прамаўляць.|чыюка
Жонка пытае: – Мілы, ты не ведаеш, дзе наша кніга “Як пражыць 100 гадоў”? – Я яе спаліў, ... жадала ўзяць шанаваць.|цешча
Аб'ява ў газеце: “Жадаю кінуць паліць, таму шукаю працу на складзе ... ці выбухоўкі”.|бензіну
– Даведкавая слухае. – Алё, унучачка, дай мне тэлефончык... ну, дзе пенсію плацяць. – Выбачыце, ... перамовы не заказваем...|міжнародныя
Ў Расіі па легендзе дзве праблемы. Калі наш ... кудысьці едзе, адна сутаргава пачынае вырашаць другую.|прэзідэнт
– Я, калі ў камандзіроўку апошні раз з'яжджаў, у шафе ... на мядзведзя пакінуў. Уяўляеш – прыязджаю і адразу ў шафу – сядзіць прыгажун! – Хто? Палюбоўнік? – Ды няма... Мядзведзь!|капкан
– Гэта агіднасць! Ваш сабака ўсю ноч выла пад маім акном! – Не засмучайцеся. Яна ... .|выспіцца днём
Гарэлка “Бураціна”... Адчуйце сябе ...|дровамі
Калі сканчаецца барацьба за кавалак хлеба, пачынаецца барацьба за кавалак ...|маслы
Ваша палітычнае крэда? – ...! (12 крэслаў)|Заўсёды
– А дзе бабуля? – ...! (Аперацыя Ы)|Я за яе
Вы ведаеце што, я Вам адзін ... скажу, але толькі Вы не крыўдзіцеся. (Мимино)|разумны рэч
Русо турыста – облико ..., ферштейн?! (Дыяментавая рука)|морале
Не мітусіцеся! Камандаваць ... буду я! (Залатое цяля)|парадам
Стварэнне дылем шляхам планамернага знішчэння загадак. Ананім-старэйшы|навука
Строгая класіфікацыя таго, што сёння лічыцца фактамі. Ананім-старэйшы|навука
Шосты закон Паркінсана. Прагрэс навукі зваротна прапарцыйны ліку выходзільных ... .|часопісаў
Закон Янга. Усе вялікія адкрыцці робяцца ...|па памылцы
А я б не хадзіў. ... не дама, гутарка пойдзе не пра каханне. (Д’Артаньян і 3 мушкецёра)|Кардынал
Арфы няма, вазьміце ...!!! (У бой ідуць адны старыя)|бубен
Вось што крыж ... робіць! (Іван Васільевіч змяняе прафесію)|жыватворчы
Закон сілы Энтані. “Не марнуйце сілы, вазьміце ... пабольш!”|малаток
Другі закон Вышковского. “Усё можна ..., калі круціць у руках досыць доўга.”|наладзіць
Назіранне Хонгрена. “Сярод эканамістаў ... часцяком лічыцца прыватным выпадкам.”|рэальны свет
Якую навуку апісвае наступным чынам “Кароткі вызначальнік сучасных навук”: “Калі зялёнае ці тузаецца – гэта ...”?|біялогія
Якую навуку апісвае наступным чынам “Кароткі вызначальнік сучасных навук”: “Калі блага пахне – гэта ...”?|хімія
Якую навуку апісвае наступным чынам “Кароткі вызначальнік сучасных навук”: “Калі не працуе – гэта ...”?|фізіка
Правіла дакладнасці Рэя. “Вымярай мікраметрам. Адзначай ... . Адсякай сякерай.”|мелам
Дылема Деври. “Калі Вы адначасова націснулі дзве клавішы пішучай машынкі, тое аддрукуецца тая, якую Вы націснулі ... .”|неспадзявана
Ён мне сказаў: Такую асабістую непрыязнасць я выпрабоўваю да пацярпелага, што ... не магу. (Мимино)|есці
Зачынена! Нарыхтоўка ... часова спынена... (Залатое цяля)|рогаў
П'янае паветра згуляла з прафесарам Плейшнером жарт. Явачная кватэра савецкага выведніка была правалена ... . (17 імгненняў вясны)|фашыстамі
Вам трэба толькі інсцэнаваць крадзеж. Вам трэба ўзламаць ... і спакойна выдаліцца, нічога не ўзяўшы. (Аперацыя Ы)|замак
Аксіёма Ананіма-малодшага. “... – гэта стварэнне таго дзіўнага парадку, пры якім наша асяроддзе запаўняецца рэчамі, значна больш умелымі, чым мы самі.”|Навука
Першы закон процідзеяння Вудда. “Пхніце што-небудзь ..., і яно перакуліцца.”|цяжкае
Аксіёма Кана. “Калі нішто іншае не дапамагае, прачытайце, нарэшце, ...!”|інструкцыю
Другі закон Ярука. “Калі новы станок танней, кампанія будзе настойваць на ... старога.”|рамонце
Абрамовіч сустракае Рабиновича. – Мойша, шо такое? Я чуў, што ты развёўся ўжо ў чацвёрты раз. Няўжо ўсе жанчыны такія пераборлівыя? – Не... толькі ... .|мама
Час – самы лепшы доктар. Да няшчасця яно забівае ўсіх сваіх ... .|вучняў
– Колькі будзе нуль цэлых пяць дзясятых плюс адна другая? – ... нутром чую, што ..., а даказаць не магу!|літр
– Усе мужыкі – звалачы! Усім ім трэба толькі адно. Але чаму, чаму не ...?!|ад мяне
Іспыт па анатоміі. Прафесар: – Ну, як па-іншаму завуць ...? Студэнтка паціскае плячамі. – Добра... Як клікалі першага мужчыну?! – (збянтэжана) Валодзя!|кадык
25 студзеня – дзень студэнта. ... – дзень які не адбыўся студэнта!|23 лютага
Дзядуля з Бабуляй кахалі гуляць у хованкі, раніцай Бабуля хавала ..., калі Дзядуля яго знаходзіў, увечар хавалася Бабуля...|самагонка
Суддзя абвінавачванаму: – Вы сцвярджаеце, што стукнулі сябра піўной кружкай па галаве, быўшы ў шалёным стане? – Вядома. – А чым вы можаце гэта даказаць? – Так бо кружка была ...!|поўная
Даўгавечніка, пражылага 180 гадоў, пытаюць: – Як вам атрымалася гэтулькі пражыць? Напэўна, не пілі, не палілі?... – Так, і гэта таксама. Але галоўнае – я спазніўся на “...”...|Тытанік
– Чаму ў цябе пад вокам сіняк? – А хай ...!|не лезуць
Не рой яму іншаму, каб ён не выкарыстоўваў яе як ... .|акоп
– Аперацыю вы перанеслі добра, а вось перад ёй вы паводзілі сябе проста немагчыма: вырываліся, крычалі... А ваш знаёмы з суседняй койкі паводзіў сябе яшчэ горш! – Дзіва што! Бо нас у клініку паслалі ___ .|вокны мыць
Ідзе медыцынская камісія заклічнікаў. – На што жаліцеся? – У мяне ... . – Нічога. Будзеце ў першых акопах, каб лепш бачыць!...|блізарукасць
– Кожную ноч, доктар, мне сніцца сон: перад мной дзверы з надпісам і я стукаю па ёй рукамі і нагамі але ніяк не магу адкрыць. Доктар: – А што за надпіс на дзверы? – “...”.|На сябе
Студэнт на іспыце нічога не можа адказаць. Прафесар ставіць двойку. – Прафесар, я ўчора лёг каля дзвюх! – У наступны раз класціся каля ... будзеце.|адной
– “Не” з дзеясловамі пішацца разам ці асобна? – ...!|Праз прабел
Калі пахмелле не лячыць – яно праходзіць за адзін дзень. Калі лячыць – ...|за дзесяць
На балі паручнік Ржэўскі, нажоршыся як свіння, прыставаў да жанчын. Пры гэтым яго вужу не цікавіла ні знешнасць жанчыны, ні ўзрост, ні яе ... .|падлога
– Чухай адгэтуль! А зараз ...!|ніжэй
– Афіцыянт, у мяне ў супе плавае ...! – Што, прабачыце?|слыхавы апарат
Навіны: – Двое невядомых уварваліся ўчора ў кватэру мужа і жонкі Сидоровых. Зачыніўшы ... у ваннай, невядомыя распілуй з гаспадаром бутэльку гарэлкі.|гаспадыню
Каментатар падчас футбольнага матчу: – Нашай камандзе бракуе тэхнікі – нават маленькі ... у корані змяніў бы становішча на поле...|бульдозер
Сусед стукаецца ў дзверы: – Прывітанне. Мы купілі новую машыну. Не пазычыш трохі ...?|хлеба
– Усё ў свеце ___ . – Што ты маеш на ўвазе? – 100 рублёў, пра якія мая жонка не ведае, мне даражэй 1000, пра якія яна ведае...|адносна
“Ў Хабараўску зноў павялічыўся лік беспрацоўных”, – перадае з Нью-Ёрка наш ... карэспандэнт.|былы
– Мы, піянеры, вырашылі здаць дзве тоны ... . Пагрузілі яе ў машыну, паехалі, але не ўпісаліся ў заваротак. Заадно здалі дзве тоны металалому...|макулатуры
Самы лепшы спосаб стварыць малы бізнэс у кампутарнай індустрыі: купі ... і набярыся цярпенні...|вялікі
Ён быў старэй яе на 10 гадоў. Але яна села яму на шыю і звесіла ногі. Гледзіце 30 траўня ва ўсіх школах – апошні ... .|званок
Нічога так не ўпрыгожвае жанчыну, як часавае ... мужа.|адсутнасць
Дама ў футравай краме кажа прадаўцу: – Вы ўжо выбачыце, што грошы такія мокрыя – муж так ..., калі аддаваў іх мне!|рыдаў
Надпіс на плакаце размешчаным уздоўж бегавой дарожкі: “Прымаючы нізкі старт, пераканаецеся ў тым, што ззаду ніхто не бяжыць з ...!”|тычкай
Гавораць адкрыта дзве сяброўкі: – Твой муж кахае цябе па-ранейшаму? – Не, нядаўна я навучыла яго ... .|новаму спосабу
Ў плыні шматлікіх гадоў Иванушкин думаў, што вывучае каратэ, а апынулася – ... .|сурдоперевод
Суддзя: – Чаму вы выкралі гэту машыну? Падсудны: – Яна стаяла ў ..., і я натуральна падумаў, што яе гаспадар памёр!|могілак
Начальнік турмы пытае новага наглядчыка: – Вы ўпэўнены, што зладзіцеся з нашымі ўрвіцелямі? – Вядома! А тых, хто не будзе падпарадкоўвацца, ...!|выганю прэч
На ўроку біялогіі настаўніца робіць заўвагу вучню: – Іванаў! Ну-ка не круціся і не крыўляйся, а лепш глядзі на мяне, а то так і не пазнаеш будынак і звычкі ... .|малпы
Брыдкая дама наняла вазака і ўстрывожана спытала ў яго: – Ваш конь не палахлівая, яна не панясе? Я баюся... – Нічога, садзіцеся спадарыня яна не ... .|аглядаецца
Жонка пытае мужа: – Ты мяне моцна кахаеш дарогай? – Так, ... . – Ну ведаеш!...|як ты мяне
– Святы бацька, я грэшная ў тым, што некалькі разоў у дзень гляджуся ў люстэрка і бачу, як я прыгожая. – Працягвайце, дзіцё маё. Гэта не грэх. Гэта ўсяго толькі ... .|памылка
Ў адэскім порце ў самага прычала ўсплывае русалка з маленькім дзіцем на руках і звяртаецца да натоўпу цікаўных: – А дзе тут жыве ... Жору?|вадалаз
– Я прыйшоў паведаміць, што знікла мая жонка. – Запоўніце ... і апішыце яе прыметы. – Добра, але пры ўмове: калі знойдзеце яе, не паказвайце ... ёй.|бланк
Дырэктар цырка тэлефануе ў міліцыю: – У нас збег слон! – Адмысловыя ...? – пытае дзяжурны.|прыметы
Наведвальнік жаліцца дырэктару рэстарана: – У вас напісана ў рэкламе – афіцыянткі топлесс. А нас абслугоўвала адна, так у яе праз адны грудзі станік. – Якая, вунь тая? – Так. – Гэта звычайна. Яна ў нас ... .|на паўстаўкі
Новы рускі раніцай здаў свой мерс на СТО са скаргай на моцныя грукі пры заваротках. Увечар яму выдалі зняволенне: “Выміце з багажніка шар для ...!!!”|боўлінга
Ў жыцці кожнага мужчыны настае перыяд, калі чыстыя ... прасцей купіць.|шкарпэткі
Дзве рэчы ненавіджу – расізм і ... .|неграў
Лорд – слузе: – Том, мне патрэбна гарачая ванна! – Ужо ..., сэр!|вылажу
Жонка: – Я падаю на развод! Муж: – Я абедзвюма ... – за!|рогамі
Нават самы маркотны пакой ажывяць самыя звычайныя дзеці, хораша расстаўленыя па ... .|кутам
– Дзяўчына, а што будзе, калі я Вас пацалунку? – Ты ... вывучаў? Нічога не будзе, нічога!|анатомію
Алкаголь актывізуе працу мозгу. Напрыклад, толькі ў п'яным выглядзе чалавек пачынае разумець, што Зямля, сапраўды, ...!|круціцца
Генеральны дырэктар шукае сабе бухгалтара. Памагаты яму кажа: – Ёсць у мяне на прымеце адзін падыходны, але яму яшчэ ... паўгода.|сядзець
– А Вы чулі, якое пудзіла Рабинович паставіў у сябе на гародзе? – Не, а якое? – Да таго страшнае, што крумкачы вярнулі ... за мінулы год!|ураджай
– Дзе знаходзяцца ... узімку? – Не ведаю, але я жадаў бы, каб яны заставаліся там і ўлетку!|мухі
Мозг чалавека на 98 адсоткаў складаецца з вады – некаторым яшчэ і не ... .|даліваюць
Была б азадак. А ... знойдуцца...|непрыемнасці
Сапраўдны кітайскі мужчына павінен у сваім жыцці пабудаваць 10 тысяч хат, пасадзіць 100 тысяч дрэў... Увогуле, хоць неяк ... .|адцягнуцца
– У адной маёй знаёмай грудзі 46-го памеру! – Ды добра хлусіць вось! – Слова гонару! ... мераў.|Кроссовком
Жонка мужу: – Дарогай, паглядзі, я прыпаркавала машыну не занадта далёка ад ...? – Ад правай ці ад левай?|абочыны
З заявы: Прашу, акрамя надбаўкі за шкоднасць, даплочваць мне таксама за прагнасць і за ... .|ганебнасць
Бландынка, адпачываючы ў Егіпце, наведвае музей. Экскурсавод: – Урна, якую вы бачыце, утрымоўвае попел фараона. Бландынка: – Ну ні хрэна сабе мужык, гэтулькі ...!|накурыць
– Ала, дарагая, што больш кахаеш – бананы ці персікі? – Ты на рынку? – Не, ... .|у аптэцы
Аб'ява на слупе: Купім валасы. ... не прапанаваць.|Скальпы
Дзядуха ў войскі існавала падчас Барадзінскай Бітвы!!! Інакш як разумець радкі Лермантава: “...Хто ... чысціў, УВЕСЬ ЗБІТЫ”?|ківер
Паштовыя ... тармозяць развіццё Інтэрнэту ў Зімбабвэ.|галубы
Праводзіцца эксперымент стагоддзя! ... лічаць кітайцаў!|Эстонцы
... “Д`Артаньян”. Тры (свайго) мушкецёра!|Мазь
Рускія, разграміўшы Напалеона, стаялі ў Парыжы ўсяго тры дня – і з тых часоў у Францыі сотні кафэ пад назвай “___”... Немцы былі ў Расіі амаль тры гады – але ў нас няма НІВОДНАГА кафэ пад назвай “Шнель”.|Бістро
– Чаму ў войскі няма КВЗ? – Таму што вясёлыя сядзяць на гаупвахте, а знаходлівыя – ... .|хаты
Размаўляюць дзве бландынкі: – Я сёння тэст на цяжарнасць здала. – Складаныя ... былі?|пытанні
Іспыт па анотомии. Тэма: будынак палавога чальца. Экзаменатар: “Іванаў, не гледзіце на ...!”|шпаргалку
Навіны пра птушыны грып. ... чхаюць пад зямлю!!! Краты ў паніцы!!!|Страўсы
Сапраўдны лідар павінен быць заўсёды ззаду. Гэта вам растлумачыць любы ... .|пастух
Пахаванні электрыка. Голас з натоўпу: – Ох, зусім жа яшчэ малады. Колькі яму стукнула? – ...|380
Стаяць два сельскіх мужыка поруч вакзала: – Петро, а чого мы ім далы драбяза – а воны не танцювалы? – Мыкола, поймы... Гоп-стоп і ... – розныя рэчы!|гапак
Малады чалавек паступае ў тэатральны інстытут. На іспыце яму даюць заданне – эцюд: намаляваць слана. Ён робіць тупы выраз твару, выварочвае абодва кішэні штаноў і кажа: – ... паказаць?|Хобат
Навіны археалогіі: Як паказалі нядаўнія раскопкі на Курыльскіх выспах, яны па сумяшчальніцтве з'яўляюцца яшчэ і ... .|Выпивальскими
...Вы датэлефанаваліся ў ваенкамат! Калі жадаеце служыць, націсніце “зорачку”, калі няма – “...”.|рашотку
Навіну: Малдаўскія навукоўцы даказалі, што Зямля не круглая. Яна ... і рыпае на зубах.|брудная
Калі людзі плююць табе ў спіну, значыць ты ...! Канфуцый.|наперадзе
– Недарэчная смерць! Супрацоўніка ДПС забіла лістом ...!|ДСП
– Ніколі не здавайцеся, бо любая пешка можа дайсці да канца дошкі і стаць каралевай... – Ці канём – усё ад ... залежыць...|макіяжа
Крыжаванка, заданне: “Валасаты агрэгат”. Слова з трох літар. Апынулася – ... .|фен
Хоць калі падумаць, ганарлівае амерыканскае US простай зменай раскладкі клавіятуры ператвараецца ў простае рускае ...|ГЫ
Толькі бландынкі ўстаючы на ..., уцягваюць жывот.|шалі
Мы з маёй жонкай былі шчаслівыя цэлых дваццаць гадоў. А потым мы ...|сустрэліся
Па алімпійскай трасе бягуць два расійскіх біятланіста. Раптам адзін здымае вінтоўку, згортвае ў кусты і крычыць другому: “Юрась, бяжы, я ...”.|прычыню
Каб людзі не выкідвалі новы дыск Дзімы Билана адразу пасля праслухоўвання, ён змесцаваў на ім расклад электрычак, ... і календарик на 2006 год...|лінейку
Габрэі-чыгуначнікі ўжо больш 100 гадоў змагаюцца з наркаманіяй. Доказ: Прачытайце надпіс “...” у вагоне справа налева.|Стоп-кран
Не грузіце мяне, я не сухагруз. Я танкер, ... мне.|наліце
Тэлефануе габрэй у хуткую: – Ала, хуткая, ..., а то я з мабільніка.|ператэлефануеце
Ўчора пасажыр цягніка Смехобург-Масква атрымаў па пысе ад правадніцы, калі намякнуў ёй наконт ...|засцялі
Званок у міліцыю: – Усё выкралі!!! Руль – выкралі, педалі – сперлі, прыборную дошку – выкралі! Трубку кідаюць. Праз хвіліну – званок: – Камандзір прабач, сеў ... .|на заднюю сядушку
Руская баба дарэмна спрабавала спыніць каня на скаку, а ... усё круцілася і круцілася...|карусель
Вялікаму караблю – вялікі ...! (гумар.)|айсберг
У продаж паступілі крываногія лялькі Барби. Так хлопчыкаў рыхтуюць да ... .|рэальнага жыцця
Герасім злавіў залатую рыбку. Зараз у яго тры ... .|каровы
– Доктар, што са мной? Штораніцы, калі я гляджу ў люстэрка, мяне падванітоўвае. – Не ведаю, спадарыня, але ... у вас, відаць, звычайнае.|зрок
Шпіёну-чукчы Цэнтр зашыў у каўнер паліто ... з цыяністым каліем. Самае складанае было прымусіць ворагаў кусаць паліто менавіта ў гэтым месцы!|ампулу
Памятаеце, што сціплая бутэлька гарэлкі не толькі ўпрыгожыць стол, але і схавае вашы кулінарныя ... .|прамашкі
– Ну што за горад у вас! Адны толькі М і Ж, Ж і М. Увесь дзень прабягала, а ... так і не знайшло!|туалета
Нострадамус у пёрах.|зязюля
Гідратэхнічная прылада.|вясло
Невялікае ўзвышша.|купка
Буйная рака ў раёне пустэльні Сахара.|няма
Ветлівая форма звароту да незнаёмага чалавека.|чуеш-ка
Пазначэнне градусу.|кружочак
Перыферыйная прылада для кіравання кампутарам.|рукі
