Разнавіднасць палыну (травы. расліна)|чарнобыль
Дзіцячая выхадка|свавольства
Рэвалюцыянер, старшыня амурскага аблвыканкама, расстраляны белагвардзейцамі|Мухин
Рэвалюцыянер-дэмакрат, чалец радыкальнага палітычнага клуба падчас французскай буржуазнай рэвалюцыі 18 стагоддзі|якабінец
Рэвізія на Русі|перапіс
Рэгуляванне|наладка
Рэгулярнае аказанне лячэбна-прафілактычнай дапамогі на хаце нованароджаным і некаторым катэгорыям хворых|патранаж
Рэгулярны прафілактычны агляд паражніны рота і лячэнне зубоў (мёд.)|санацыя
Рэгістр пеўчага голасу|фальцэт
Рэгістрацыйны дакумент машыны, апарата|пашпарт
Рэгіянальны заканадаўчы орган у Нямеччыне|ландтаг
Рэдкая сетчаая тканіна|карункі
Рэдкая сеткаватая тканіна|карункі
Рэдкая марка старадаўняга аўтамабіля|рарытэт
Рэдкая дробная змяя|эйренис
Рэдкая каштоўная рэч|рарытэт
Рэдкае імя грэцкага паходжання расійскага акцёра|Арыстарх
Рэдказямельны метал групы лантаноідаў|гольмій
Рэдказямельны метал групы лантаноідаў|ітэрбій
Рэдказямельны метал, радыёактыўны элемент|праметый
Рэдказямельны метал, хімічны элемент, лантаноід|дыспрозій
Рэдказямельны метал|скандый
Рэдкі муж не чуў гэта вызначэнне ад сваёй жонкі|ахламон
Рэдкі мінерал з групы цэалітаў|арменит
Рэжучая частка свідра|каронка
Рэжучая прылада ў выглядзе сталёвай стужкі з зуб'ямі|палатно
Рэжысёр Рыгор Аляксандраў пачаў сваё працоўнае жыццё менавіта з гэтай пасады ў Екацярынбургскім оперным тэатры|рассыльны
Рэжысёр і акцёр, імя якога носіць адзін з іркуцкіх тэатраў|Зуяў
Рэжысёр і мастак, самы вядомы яго фільм – “Цяні забытых продкаў”|Параджанов
Рэжысёр мультыплікацыйнага фільма-казкі пра дачку і пасербцы і пра Мароз Іванавічу|Аксенчук
Рэжысёр навукова-папулярнага кіно, народны артыст СССР|Згуриди
Рэжым сувязі, пры якім прыём і перадача паведамленняў вядуцца адначасова|дуплекс
Рэжым працы клавіятуры кампутара ці пішучай машынкі, які вызначае набор друкаваных знакаў (напр., маленькія ці вялікія літары)|рэгістр
Рэзервуар для ўтрымання водных жывёл і раслін|акварыум
Вынік складання|сума
Вынік дзялення|дзель
Вынік няправільнага росту клетак арганізма|пухліна
Вынік паўторнага ўжывання якой-небудзь матэматычнай аперацыі|ітэрацыя
Рэзістар з памяццю|мемистор
Рэзідэнцыя іспанскіх каралёў|эскориал
Гумовая соска, якую даюць смактаць немаўлю|пустышка
Резит, хімічнае рэчыва|палімер
Рэзкае ўзрастанне амплітуды ваганняў сістэмы пры вызначаных чашчынях уздзеяння вонкавых сіл|рэзананс
Рэзкае і міжвольнае, звычайна хваравітае, скарачэнне цягліц|курча
Рэзкая змена працэсу|пералом
У спартовых спаборніцтвах на хуткасць (бег, гонкі і т. п.) парушэнне правіл абгону суперніка няправільным (затрымлівалым) скрыжаваннем яго дарожкі|кроссинг
Рэзкі спад, развал (напр., у эканоміцы)|калапс
Рэзкі рост амплітуды пры сінхронных ваганнях|рэзананс
Разьбяной посудный шафа ў эпоху Адраджэнні|дрессуар
Рэйка з дзяленнямі для вымярэння глыбіні, узроўня вады ў вадаёме|футшток
Рэйка, прибиваемая па перыметры падлогі|ліштва
Рака ў Аўстраліі|Дарлинг
Рака ў Азіі|Иравади
Рака ў Азіі|Меконг
Рака ў Азіі|Сырдар'я
Рака ў Алтайскім краі|Кулунда
Рака ў Афрыцы|Замбези
Рака ў Афрыцы|Лимпопо
Рака ў Афрыцы|Окаванго
Рака ў Афрыцы|Руфиджи
Рака ў Санкт-Пецярбургу|Ивановка
Рака ў Ср. Азіі|Зеравшан
Рака ў Ср. Азіі|Сырдар'я
Рака ў Сярэдняй Азіі|Амудар'я
Рака ў ЗША, Канадзе|Калумбія
Рака ў ЗША, на якой размешчаны Вашынгтон|Потомак
Рака ў ЗША|Арканзас
Рака ў ЗША|Ілінойс
Рака ў ЗША|Каларада
Рака ў ЗША|Теннесси
Рака ў Сібіры|Хатанга
Рака ў Казахстане|Бухтарма
Рака ў Канадзе, цёзка па прозвішчу ангел. віцэ-адмірала|Нэльсан
Рака ў Канадзе|Макензи
Рака ў Кітаі|Дунцзян
Рака ў Кітаі|ханьшуй
Рака ў Кыргызтане|Касансай
Рака ў Кыргызтане|Сарыджаз
Рака ў Расіі, Арэнбургская вобл.|Бузулук
Рака ў Беларусі; рака ў Бранскай вобл.|Іпуць
Рака ў Беларусі, прыток Буга|Мухавец
Рака ў Бразіліі, правы прыток Амазонкі|Тапажос
Рака ў Венесуэле і Калумбіі|Арынока
Рака ў Варонежскай вобл.|Осередь
Рака ў Іспаніі і Партугаліі|Гвадиана
Рака ў Індакітаі|Иравади
Рака ў Індыі|Годавари
Рака ў Індыі|Дамодар
Рака ў Маскве|Городня
Рака ў Маскве|Неглинка
Рака ў Манголіі, Расіі, якая ўпадае ў Байкал|Селенга
Рака ў Манголіі|Керулен
Рака ў Пскоўскай вобл.|Вялікая
Рака ў Перу, прыток Амазонкі|Уальяга
Рака ва Ўзбекістане|Зеравшан
Рака ў Якутыі|Бадяриха
Рака ў Якутыі|Ожогина
Рака ў Паўднёвай Амерыцы|Парана
Рака ў Францыі|Гаронна
Рака на Алтаі|Кулунда
Рака на Апенінскім п-ове|Рубікон
Рака на Камчатцы|Хуткая
Рака на Камчатцы|Пенжина
Рака на Камчатцы|Шаманка
Рака на о. Сахалін|Поронай
Рака на Блізкім Усходзе|Ярдан
Рака на Далёкім Усходзе|Уссури
Рака на Ўкраіне і ў Белорусии|Прыпяць
Рака на Ўкраіне, правы прыток Дняпра|Ингулец
Рака на Паўднёвым Урале, левы прыток Уфы|Юрюзань
Рака на захадзе Францыі|Шаранта
Рака, у вярхоўях якой былі выяўлены стаянкі людзей, якія жылі 4–6 тыс. гадоў назад|Клязьма
