Акцёр з фільма “Афіцэры”|Юматов
Акторка, выканаўца роляў у фільмах “За лебядзінай зграяй воблака” і “Родная кроў”|Артмане
Акторка, якой шмат разоў пагражаў Анатоль Папанов?|Румянова
Акторка, якая згуляла “Маленькую Веру”|Негода
Акторка, што згуляла роля Клаўдзіі ў фільме “Цыган”|Лучко
Акуметрия, вымярэнне вастрыні слыху|аўдыяметрыя
Акустычны акампанемент моцнага марозу|трэск
Акустычны інтэрвал|квінта
Акустычны ўзмацняльнік|рупар
Акцэнт верша, рытмічны націск|икт
Акцыянернае грамадства|АТ
Акын, які пераехаў з Паміра на Каўказ|ашуг
Алб. пісьменнік|Кадаре
Алб. паэт|Асдрени
Албанія (горад у Еўропе)|Берат
Албанія (горад у Еўропе)|Курчачы
Албанія (сталіца, цэнтр)|Тырана
Албанія, порт (горад у Еўропе)|Влера
Албанская валюта|лек
Албанцы па-турэцку|арнауты
Алгебраічная сума двух адначленаў|біном
Алгарытм зняволенняў|логіка
Алгарытмічная мова праграмавання|алгол
Аляксандр Македонскі, Павел Пестэль, Ісус Хрыстос. Назавіце лік, якое іх аб'ядноўвае|33
Аляксандра скарочана|Шура
Аляксандра-Неўская ў Санкт-Пецярбургу ці Траецка-Сергіева ў падмаскоўе|лаўра
Алёнаў Делон зняўся ў фільме “... і яго браты”|Рокко
Алж. паэт|Амруш
Алжырскі пісьменнік, аўтар трылогіі “Алжыр”|Диб
Алжырскі пісьменнік. Раман “Танец караля”|Диб
Алк. напой на траве|вермут
Алк. напой; верш. А. Пушкіна|віно
Алк. напой|брэндзі
Алк. напой|віно
Алк. напой|віскі
Алкалоід опіумнага маку|марфін
Алкалоід расліны итсегек роды анабазис (ежовник)|анабазін
Алкалоід, які змяшчаецца ў кары хинного дрэва|хина
Алкалоід, што змяшчаецца ў кары хинного дрэва|хінін
Алкалоід, які змяшчаецца ў тытуні|анабазін
Алкагольны напой з малака ў Манголіі і Ю. Сібіры|архи
Алкагольны напой; старажытная сталіца Лузитании|брага
Алкагольны напой?|гарэлка
Алкагольны напой?|джын
Алкагольны напой?|текила
Алкагольны напой?|піва
Алкагольны напой?|каньяк
Алкагольны напой?|віно
Алкагольны напой|брага
Алкагольны напой|ром
Алегарычная карціна Франчэска дель Косса, навеяная выявай простай сялянскай жанчыны|восень
Алатропная мадыфікацыя кіслароду|азон
Алюр каня, пры якім яна адначасова робіць крок дзвюма нагамі па дыяганалі, хуткасць 9–50 км/г|рысь
Дыямент, дыямент|адамант
Дыяменты падзяляюцца на 7 класаў. Найболей каштоўныя – бясколерныя і рэдкіх кветак – ставяцца да першага. Дыяменты 6-го і 7-го класаў – карычневыя. А якога колеру дыяменты 5-го класа?|жоўтыя
Дыяменты, непрыдатныя да агранкі і ўжывальныя для тэхнічных мэт|борт
Алтайскі нар. муз. прылада|топшур
Алтарны выступ у храме|апсіда
Шастак + чатыры гроша = ?|пятак
Алфавіт; чытанка|азбука
Алфавіт|азбука
Альбом Алы Пугачовай|ды
Альбом В. Меладзе|Сэра
Альбом групы Акварыум (1982 г.)|табу
Алькоў як ён ёсць|ніша
Альпака|лама
Альпиния лекавая|дуброўка
Альтэрнатыва пеклу|рай
Альтэрнатыва балбатлівасці|немата
Альтэрнатыва волата|карлік
Альтэрнатыва гаваруну|нямко
Альтэрнатыва жніву|сяўба
Альтэрнатыва супермаркету|ларок
Альтэрнатыўная хімія|алхімія
Альтыст, нар. артыст Расіі|Башмет
Альфа Лебедзя?|Денеб
Ам. акцёр, зорка (“Панесеныя ветрам”, 1939)|Гейбл
Ам. акцёр|Войт
Ам. акцёр|Ламбер
Ам. акцёр|Ширер
Ам. архітэктар|Бройер
Ам. астранаўт|Хаук
Ам. астраном|Хербиг
Ам. грызун|пака
Ам. джазмэн, аўтар тэмы “5/4”|Брубек
Ам. драматург (“Ліскі”)|Хелман
Ам. жанглёр-рэкардсмен (8 булаў)|Гатто
Ам. изобр-ці (колавы параход)|Фултон
Ам. изобр-ці|Бердан
Ам. кінаакцёр|Фокс
Ам. кинореж. (“Амадэй”, “Адрыў”, “Валасы”, “Рэгтайм”)|Форман
Ам. кинореж. (“Зорныя войны”)|Лукас
Ам. кинореж. (“Забойцы”)|Сигел
Ам. кинореж., харэограф (“Кабарэ”, “Ленни”)|Фосс
Ам. кинореж.|Капра
Ам. кампазітар, піяніст, джаз|Бейси
Ам. кампазітар|Барбер
Ам. лёгкаатлет, чэмпіён Алімп. гульняў 1968 г.|Бимон
Ам. логік, матэматык і філосаф|Куайн
Ам. спявак, общ. дзеяч|Робсон
Ам. пис-ца (псеўданім – Майклс)|Мерц
Ам. пис-ца, дэтэктывы, гераіня Поллифакс|Гилман
Ам. пісьменнік, біяграфія фізіка Р. Вуда|Сибрук
Ам. пісьменнік, гісторык, общ. дзеяч|Дюбуа
Ам. пісьменнік|Беллоу
Ам. пісьменнік|Бирс
Ам. паэтка і драматург|Миллей
Ам. рэжысёр|Муни
Ам. серебр. манета|дайм
Ам. спартовец у кіданні дыска|Ортер
Ам. фізік (зрух узроўняў энергіі), Ноб. інш. (1955)|Лэмб
Ам. фізік (транзістар)|Шокли
Ам. фізік і медык, Ноб. інш.|Ялоу
Ам. фізік, адкрыў электронны захоп як выгляд радиоакт-ти|Альварэс
Ам. фізік, адзін са стваральнікаў вектарнага вылічэння|Гиббс
Ам. фізік-тэарэтык?|Уиллард
Ам. мастак|Бентан
Ам. эканаміст, юрыст|Берли
Ам. этнограф, тэарэтык гісторыі культуры|Кребер
Ам. астранаўт, пабываў на Месяцы|Шепард
Ам. астранаўт|Бобко
Ам. астранаўт|Руса
Ам. астранаўт|Энгл
Ам. драматург 30–40-х гг., “Прачніся і спявай”|Одетс
Ам. лаўрэат Ноб. прэміі, описавш. рыбасомы і мітахондрыі|Паладе
Амерыканскі мікрабіёлаг, Нобелеўскі лаўрэат; шатландскі эканаміст і філосаф 18 ст.|Сміт
Ам. фізік|Сиборг
Амазонскі дэльфін|иния
Амерыканскі астраном|Хол
Амер.: фізік|Андерсон
Амер. авіякампанія і марка самалёта|боінг
Амер. авіяносец|нимиц
Амер. акцёр (“Асноўны інстынкт”)|Дуглас
Амер. акцёр нямога кіно, аўтар кинопародий|Китон
Амер. акцёр|Гир
Амер. архітэктар 20 ст., будынак ЮНЭСКА ў Парыжы|Брейер
Амер. архітэктар 20 ст.|Нейтра
Амер. астранаўт (“Апалон-8”)|Андерс
Амер. астранаўт; першы псеўданім Жаны Агузаровой|Андерс
Амер. астранаўт|Карр
Амер. астранаўт|Паркер
Амер. астранаўт|Поуг
Амер. астранаўт|Сега
Амер. астранаўт|Уайт
Амер. астранаўт|Эванс
Амер. астранаўт|Эйзел
Амер. астранаўт|Янг
Амер. астраном|Аббот
Амер. астраном|Хабл
Амер. біяхімік|Арнон
Амер. баксёр-цяжкавагавік|Тайсан
