Айчынны матэматык|Сокалаў
Аддзяленне лазні|апарня
Аддзяленне гарадской паліцыі ў дарэвалюцыйнай Расіі|участак
Аддзяленне малака малочнай залозай|лактацыя
Аздобная апрацоўка паверхні металу для лепшага спалучэння дэталяў|шаброўка
Асобная самастойная частка ў складзе цэлага, асобны прадмет (ці чалавек) у групе падобных|адзінка
Асобная вобласць дзейнасці, навукі, вытворчасці|галіна
Асобная група дрэў, кустоў, кветак у садзе|курціна
Асобная частка вашага цела, у якой раптам паўсталі болі|вобласць
Асобная частка шляху|участак
Асобна стаячая дапаможная пабудова, кампазіцыйна падпарадкаваная галоўнай хаце сядзібы|флігель
Асобнае жылое памяшканне|кватэра
Асобнае зярнятка ікры|икринка
Асобнае кинопроизведение|фільм
Асобнае памяшканне для часавага ўтрымання хворых з нераспазнаным ці інфекцыйным захворваннем|ізалятар
Асобнае памяшканне для жылля ў кватэры|пакой
Асобнае памяшканне для затрыманых па падазроне ў здзяйсненні злачынства|ізалятар
Асобны адбітак артыкула, частка кнігі|репринт
Асобнае вочка, са мноства якіх складаецца фасеткавае вока (казурак і некаторых інш. бесхрыбтовых)|фасетка
Асобная хата з прылеглымі да яго будынкамі, угоддзямі|сядзіба
Асобная хата|асабняк
Асобная жылая хата, як правіла для адной сям'і, з невялікім зямельным участкам|катэдж
Асобны завершаны ўчастак, частка ў паслядоўным будаўніцтве|чарга
Асобны касцяны ці храстковы элемент шкілетнай восі|пазванок
Адлучная кабіна касмічнага апарата, выратавальны адсек і т. п.|капсула
Водгук, водгалас|рэзананс
Водгук з плюсам|хвала
Спагадлівасць, душэўнасць|дабрыня
Спагадлівасць, душэўнасць|чуласць
Спагадлівасць, душэўнае размяшчэнне да людзей|дабрыня
Откр. ці зачыненая пляцоўка, абгароджаная сеткай|вальера
Адкрытае і шматслоўнае прызнанне|выліванне
Адкрывальнік не толькі цэзія, але і рубідыя|Кірхгоф
Адкрытая да ночы, добра абстаўленая сталовая з падачай дарагіх заказных страў і напояў, звычайна з музычнай эстрадай|рэстаран
Адкрытая транспартная машына з двума ці трыма коламі і рухавіком унутранага згарання|матацыкл
Адкрытае выкраданне чужой маёмасці|рабаванне
Адкрытае пладовае цела сумчат. грыбоў і лішайнікаў|апотеций
Адкрыццё мастацкай выставы|вернісаж
Адкрытыя шмат'ярусныя паліцы на агульным каркасе|стэлаж
Адкрыты рот разявы|рукавіца
Адкрыты вузкі доўгі роў|траншэя
Адкуль у нашы краі на зіму прылятае пуначка|тундра
Адкупнік у інш. Рыме|публикан
Адкідны галаўны ўбор, пришитый ці пристегиваемый да каўняра верхняй адзежы|каптур
Адхіленне стрэлкі компаса пад уплывам вялікіх мас жалеза ці электрамагнітнага поля|дэвіяцыя
Адхіленне ад агульнай нормы, заканамернасці|анамалія
Адхіленне ад нормы, няправільнасць|анамалія
Адхіленне руху Месяца ад руху па законах Кеплера пад уздзеяннем Сонца|эвекция
Адхіленне чаго-небудзь ад зададзенага кірунку ці велічыні|дэвіяцыя
Адхіленні памераў дэталі ў межах зададзенага класа дакладнасці|допускі
Якая адхіляецца ўніз хваставая частка крыла самалёта|закрылак
Водгук, рэакцыя на якую-небудзь падзею|рэзананс
Адліты з металу ці сплава полы конус з мовай, што выдае гучны звон|звон
Адметная ўласцівасць сухога віна|кіслінка
Адметная ўласцівасць, асаблівасць, якасць чаго-небудзь|характар
Адметная ўласцівасць, прыкмета, па якім можна пазнаць каго-небудзь ці што-небудзь|прымета
Адметная прыкмета, характэрная ўласцівасць|атрыбут
Выдатная адзнака|пяцёрка
Выдатнік наадварот|двоечнік
Адмераная колькасць рэчыва|завеса
Адмена састарэлага закона|аброгация
Адмена, аб'ява несапраўдным якога-небудзь акту, дамовы ці мае рацыю|ануляцыя
Адзнака якая сячэ прыладай на чым-небудзь|засечка
Адзнака ў пашпарце пра месца жыхарства|прапіска
Адмыванне|замыўка
Што адносіцца да зладзейскага, крымінальнага асяроддзя, напр. жаргон (адказ – прыметнік)|блатны
Стаўленне памераў чарцяжа ці карты і намаляваных на іх рэальных аб'ектаў|маштаб
Стаўленне даўжыні лініі на карце да даўжыні лініі ў натуры|маштаб
Стаўленне паміж людзьмі, заснаванае на адзінстве мэт, інтарэсаў, поглядаў, якога як раз не дастае правым сілам Расіі|яднанне
Адпяванне ў каталікоў, якое натхніла шматлікіх кампазітараў, напрыклад, Моцарта і Верди|рэквіем
Адпеты распуснік|распуснік
Адпраўнік паштовага адпраўлення|адрасант
Адпраўнік ліста, тэлеграмы і т. п.|адрасант
Атожылак рускага кіраўніка|царэвіч
Адценне, ледзь улоўны пераход|нюанс
Вывастрана-з'едлівая зброя гумарыста|вастрыня
Адбітак з растравага клішэ|аўтатыпія
Адцягненая на канцы шкляная трубачка з гумовым наканечнікам з іншага боку для набору і отмеривания лекі па кроплях|піпетка
Бацькі піянераў (песенн., мн. ч.)|працоўныя
Пустэльнік, анахарэт|схімнік
Пустэльнік, пустэльнік|анахарэт
Ад'езд важнага твару|адбыццё
Афорт (сінонім)|аквафорте
Офіс вартаўніка|вартоўня
Офіс дырэктара|кабінет
Афіцэр – прафесіянал|кадравік
Афіцэр для даручэнняў пры камандзіру, начальніку|ад'ютант
Афіцэр для даручэнняў, які складаецца пры камандзіру, начальніку|ад'ютант
Афіцэр, што складаецца пры ваенным начальніку для выканання службовых даручэнняў|ад'ютант
Афіцэрскі чын у рускім войску|паручнік
Афіцэрскі чын у кавалерыі рускага войска|ротмістр
Афіцэрскі чын у царскім войску рангам ніжэй штабс-капітана|паручнік
Афіцыйная папера з друкам і подпісам|дакумент
Афіцыйна прысвойванае найменне, якое вызначаецца кваліфікацыяй|ступень
Афіцыйны выраз прызнання чыіх-небудзь вялікіх заслуг|ушанаванне
Афіцыйнае пісьмовае паведамленне з выклікам, запрашэннем куды-небудзь|позва
Афіцыйнае ўрачыстае абяцанне|прысяга
Афіцыйны дакумент, што сведчыць асоба ўладальніка|пашпарт
Афіцыйны дакумент|грамата
Афіцыйная мова Індыі|хинди
Афіцыйная мова Ізраілю|іўрыт
Афіцыянт (нямы., австр.)|кельнер
Адзнака саду па гаспадарчых прыкметах|таксацыя
Адзнака ведаў навучэнцаў|адзнака
Адзнака лясоў па прадуктыўнасці|банітэт
Зачараванне, абаянне, прывабнасць|хараство
Агмень омертвления ў тканінах пры спазме ці закаркаванню пасудзін|інфаркт
Пачасак, пучек якога-небудзь кудзелістага рэчыва|зуй
Чарговасць падпісання тэксту дамовы ўдзельнікамі|альтернат
Чарговы тавар (устар.)|дэфіцыт
Нарыс С. Цвейга|Диккенс
Вельмі рэдкая рэч, кніга, з'ява|рарытэт
Вельмі важная дэталь калена|кубачак
Вельмі гарачая вада|кіпень
Вельмі доўгі час, бясконцасць|вечнасць
Вельмі дужы галандскі грошык|гульдэн
Вельмі буйная мор. медуза|физалия
Вельмі маленькая рыбка|маляўка
Вельмі маленькая птушачка атрада длиннокрылых|калібры
Вельмі маленькая птушачка, якая жыве ў Ц. і Ю. Амерыцы|калібры
Вельмі маленькая частка чаго-небудзь|часціца
Вельмі дробны дождж|імга
Вельмі паслухмянае дзіця, ды і сталы ў вуснах іранічнай дамы, калі ён ціхоня і не дае волі рукам|цаца
Вельмі рухомы, клапатлівы чалавек|непаседа
Вельмі папулярны пас'янс|саліцёр
Вельмі тонкі, высокі, звычайна мужчынскі голас у спеве|фальцэт
Вельмі цвёрды камень, першапачаткова ўжываўся для высякання агню|крамень
Ачышчальнік на шкле аўта|дворнік
Ачыстка ад пылу|выбіўка
Ачыстка паверхні невялікіх металічных вырабаў абразіўным матэрыялам у круцельных барабанах|голтовка
Ачыстка пладовых дрэў ад сухіх галін|абразанне
Чысціць ад шкарлупіны, шалупіны, лускі (сущ. ад глаг.)|лусканне
Ачышчэнне духу пры дапамозе страху і спачуванні па Арыстоцелю|катарсіс
Вычышчаная ад дрэў дарога ў лесе|прасека
Ачкі для аднаго вока|манокль
Ачкі, неад'емны атрыбут “чэхаўскага інтэлігента” з анекдотаў|пенснэ
