Травяністая расліна, сямействы травы|бусенник
Традыцыйнае татарскае башкірскае вясновае свята|сабантуй
Трактат Арыстоцеля|органон
Трактат следчага|справа
Трансп. сродак на коннай цязе|воз
Транспарт, які ідзе з падвышанай хуткасцю і без прыпынкаў|экспрэс
Транспарт, што ідзе без грузу|паражняк
Транспартная машына на ж.-д. ходу|дрызіна
Транспартнае збудаванне|тунэль
Транспартны самалёт, прызначаны для частых і недоўгачасовых рэйсаў|аэробус
Трансфармацыя з рэвізора ў настаўнікі па фінансавай частцы|аўдытар
Трэска|лабардан
Трохскладовы вершаваны памер з націскам на першым складзе|дактыль
Трохстворкавае люстэрка, якое дазваляе бачыць сябе з розных бакоў|трэльяж
Трохгаловы сабака ў інш.-греч. міфалогіі|Цэрбер
Трохкутная верхняя частка фасада будынка|франтон
Трохкутнае ў плане вонкавае прыгоннае ўмацаванне за ровам, паміж бастыёнамі|равелін
Трохкутнае завяршэнне фасада будынка|франтон
Трыкутнік Серпинского, сняжынка Коха, крывая Пеана, мноства Мандельброта, лоренцевы атрактары. Агульная назва|фрактал
Трохкутны касы ветразь, узніманы па штазе|стаксель
Патрабаванне падчас крызісу мыць рукі замест ежы|гігіена
Патрабаванне, прад'яўлянае адной з дагаворных бакоў|умова
Патрабуецца рамонт|паломка
Трывога, мітусня|исполох
Трывога, пошуг|мітусня
Трэнер зборнай СССР па хакеі з шайбай|Ціханаў
Трэнер футб. зборнай Бразіліі 1994 г.|Паррейра
Трэнер, шмат гадоў які ўзначальваў нашу зборную па хакеі|Ціханаў
Трэнне|фрикция
Трэніравальны бой у боксе і інш. спартовых адзінаборствах|спарынг
Трэніроўка ганчакоў у прыродных умовах|нагонка
Трацейскі суд, у якім спрэчка вырашаецца суддзём-пасроднікам|арбітраж
Трэцяя асоба для выплаты|рэмітэнт
Трэцяя гадасць у шэрагу: ВРЗ, грып, ...|ангіна
Трос з грузам для вымярэння глыбіні з судна|лотлінь
Трос для мацавання суднавых шчоглаў|бакштаг
Трос для прычальвання судна|швартов
Трос, які ўваходзіць у камплект прыдновага трала|гайдроп
Трос, выпушчаны за карму стаячага на якары судна для мацавання шлюпкі ці катэры|бакштоў
Трос, якім судна прывязваецца да прыстані|швартов
Тройка блізка размешчаных спектральных ліній|трыплет
Трон, улада манарха|пасад
Сцежак у літаратуры|перыфраз
Трапічная стэпавая раўніна з рэдка што растуць дрэвамі і хмызнякамі|савана
Трапічны стэп з самотнымі баабабамі|савана
Трапічная птушка з пярэстым апярэннем|чыюк
Трапічная расліна з кветкай мудрагелістай формы|архідэя
Трапічная расліна сямейства імбірных, насенне якога ўжываюцца як рэзкая затаўка|кардамон
Трапічная расліна сямейства молочайных|маніёку
Трапічная расліна, вельмі пахкае, з мудрагелістай формай кветкі|архідэя
Трапічнае вечназялёнае дрэва, асноўная крыніца натуральнага каучуку|гевея
Трапічны гад|алігатар
Трапічная травяністая расліна сямейства осоковых|папірус
Трапічны звер, не отличащийся рухомасцю|гультай
Труба, звычайна выгнутая спіраллю, якая выкарыстоўваецца пры перагонцы вадкасцяў, у розных цеплавых усталёўках|змеявік
Трубачка для пітва кактэйлю|саломка
Трубка з вельмі вузкім каналам, самыя дробныя крывяносныя і інш. пасудзіны ў арганізме|капіляр
Трубка з які пашыраецца дагары конич. праходам, у якім знаходзіцца паплавок|ротаметр
Трубка ў маторы – галаўны боль распачыналых аўтааматараў|патрубак
Трубчасты грыб (на дрэвах)|губа
Трубчасты грыб, які расце на дрэвах|губа
Трубчасты цягліцавы орган, што злучае глытку са страўнікам|стрававод
Праца Нострадамуса|стагоддзі
Праца залежнага селяніна ў гаспадарцы феадала (истор.)|паншчына
Працаголік|ударнік
Цяжкапраходныя трапічныя лясы|джунглі
Труднопроизносимое польскае імя з кучай шыпячых|Кшиштоф
Працавік|рабацяга
Працаўнік з рамана “Адхіленыя” француза Віктара Гюго|Вальжан
Тры творы, аб'яднаныя адной задумай|трыпціх
Трыганаметрычная функцыя|тангенс
Трыдзевятая дзяржаўная фармацыя|царства
Трыкатажная кофта без гузікаў|джэмпер
Трыкатажная фуфайка без каўняра і зашпілек|пуловер
Трыкатажны выраб|калготкі
Трылогія Ф. Абрамова|пряслины
Трукач, ловчила (разг.)|камбінатар
Туалет са злівам вады|ватэрклазет
Туалет|прыбіральня
Туалетны столік з люстэркам|трэльяж
Турец. ценявы тэатр, склаўся да 16 стагоддзю|карагез
Турэцкая крэпасць на Днястры, захопленая Суворавым у руска-турэцкай вайне 1787–91 гг.|аккерман
Турыстычная прыналежнасць|намёт
Туркм. кампазітар|Мухатов
Туркменія (горад)|Чарджоу
Турмалін (агульная назва)|мінерал
Турцыя (горад у Азіі)|Кютахья
Турцыя, илей, адм. цэнтр г. Анталля|Анталля
Сухоты, інш. хранічныя хваробы са знясіленнем арганізма (устар.)|сухоты
Тувалу (сталіца, цэнтр)|Фунафути
Туніс, вілает, адм. ц. – Бизерта|Бизерта
Туфлі на якая патаўшчаецца да пяткі падэшве|танкеткі
Туфель на падэшве, што патаўшчаецца да пяткі|танкетка
Тушеное мяса ў турак|кавурма
Цвёрдая абалонка яйка, арэха|шкарлупіна
Цвёрдая лекавая форма з прасаванага парашка|таблетка
Цвёрдасць, устойлівасць у жыццёвых выпрабаваннях|стаіцызм
Цвёрдае рэчыва, разагрэтае да вадкага стану|расплаў
Цвёрдае дэфармаванае цела, абмежаванае дзвюма паверхнямі, адлегласць паміж якімі мала ў параўнанні з двума іншымі памерамі|абалонка
Цвёрдае кристаллич. рэчыва прыроднага паходжання, якое мае вызначаны химич. склад і ўласцівасці|мінерал
Цвёрды намер зрабіць штосьці|рашэнне
Цвёрдае цела, вось кручэння якога вольная, але пры хуткім кручэнні захоўвае свой кірунак у прасторы|гіраскоп
Цвёрдае цела, якое мае натуральную форму правільнага сіметрычнага шматкантовіка|крышталь
Цвёрдае цела, што мае спарадкаваны сіметрычны будынак|крышталь
Цвёрдае, непранікальнае пакрыццё чаго-небудзь|панцыр
Цвёрды сплаў карбіду вальфраму з кобальтам, служыць для выраба разцоў для станкоў|пераможа
Цвёрды дыэлектрык, працягла які захоўвае наэлектрызаваны стан|электрэт
Цвёрды ахоўны полаг некаторых бесхрыбтовых жывёл|ракавіна
Цвёрды камень, што ўжываецца для брукавання вуліц, дарог|камень
Цвёрды кусковой цукар|рафінад
Цвержа, попираемая гараджанамі|асфальт
Творца шампанскага|вінароб
Тварог, які атрымліваецца падаграваннем сыраваткі ў рускай печы|кокорки
Творчае змаганне|конкурс
Творчае спаборніцтва|конкурс
Тыражны параход, на якім пачынаў кар'еру мастака О. Бэндар|Скрябин
Ціхі акіян, другая назва|Вялікі
Ціхі храп|сапенне
Тыбецкі сабака|апсо
Тыбецкая галіна будызму з элементамі містыкі, вучэнні пра рай і адзе|ламаізм
Тигриная мужа|тыгрыца
Цімур, сярэднеазіяцкі вайскавод|Тамерлан
Тып амерыканскіх ракет|тамагаўк
Тып суквецця, кветкі|метелка
Тып суквецця, кветкі|завушніца
Тып суквецця|завіток
Тып судна (упершыню выйшаў у моры Д. Кук)|вугальшчык
Тып старадаўняй кнігі|паліпціх
Тып абутку (адказ у мн. ч.)|макасіны
Тып абутку|банкеткі
Тып абутку|чаравікі
Тып аб'ектыва|ахрамат
Тып раслін (адказ у мн. ч.)|пладовыя
Тып расліны|пладовае
Тып расліннасці|низколесье
Тып расліннасці|падлесак
Тып храма|паўасьміна
Тып хімічнага рэчыва|неметал
Тып верхняй адзежы|накідка
Тып дзяржаўнай прылады ў мінулым|ханства
Тып дзяржаўнай прылады|дэспатыя
Тып дзяржаўнай прылады|асада
Тып гоначнага аўтамабіля|индикар
Тып выраба, тавара, таксама яго лічбавае ці літарнае пазначэнне|артыкул
Тып ці род выраба, тавара, а таксама яго лічбавае ці літарнае пазначэнне|артыкул
Тып кузава легкавога аўтамабіля|лімузін
Тып параднай адзежы|смокінг
Тып глебы, ападкавая горная парода|суглінак
Тып глебы|желтозем
Тып глебы|шэразём
Тып глебы|саланец
Тып правапарушэння, самавольнае ўзяцце скаціны|баранта
Тып прадпрыемства|канцэрн
Тып прадпрыемства|сіндыкат
Тып прадпрыемства|холдынг
Тып прыматаў, чалавекападобных (адказ у мн. ч.)|понгиды
Тып урадлівай глебы|чарназём
