То ж, што пілястра|пілястра
Гандлёва-забеспячэнскі і нарыхтоўчы пункт у аддаленых прамысловых раёнах|факторыя
Гандлёвая кантора і селішча, заснаваныя замежнымі купцамі ў каланіяльных краінах|факторыя
Гандляр аптэкарскім ці москательным таварам|дрогист
Гандляр цыгарэтамі|тытуннік
Гандляр ужыванымі і старадаўнімі кнігамі|букініст
Гандляр, уладальнік лабаза|вятроўнік
Гандляр, уладальнік крамы|крамнік
Гандлёва-збытавы дадатак да кошту тавара ў рахунак прыбытку гандлёвых арганізацый|накідка
Гандлёва-забеспячэнскі і нарыхтоўчы пункт у аддаленых раёнах|факторыя
Гандлёвае ці промышл. таварыства|кампанія
Гандлёвае ці прамысловае прадпрыемства|кампанія
Гандлёвая назва пластычнага пенапласту|паралон
Гандлёвае прадпрыемства|булочная
Гандлёвае прадпрыемства|крама
Гандлёвае прадпрыемства|павільён
Гандаль, рэалізацыя тавара|продаж
Гандаль|негоция
Ўрачыстае адкрыццё худы. выставы|вернісаж
Урачыстае адкрыццё мастацкай выставы|вернісаж
Урачыстае адкрыццё выставы|вернісаж
Урачыстая пабудова ў дзіцячай піянерскай арганізацыі|лінейка
Ўрачыстае мінанне, працэсія|шэсце
Ўрачысты пісьмовы зварот вярхоўнай улады да народа|маніфест
Урачысты ці ваяўнічы сігнал|фанфара
Якое тырчыць наперад на носу ветразнага судна рангоутное дрэва, выкарыстоўванае для пастаноўкі пярэдніх касых ветразяў|бушпрыт
Тавар, абавязкова прадаваны разам з іншым|нагрузка
Тавар, што прадаецца паштучна ці невялікімі колькасцямі|розніца
Тавар, на якім чым больш зэканоміў, тым хутчэй яго выкінеш|бесцань
Тавар, прададзены паштучна|розніца
Таварасуправаджальны дакумент|фактура
Таварыш далікатнага полу|таварышка
Таварыш па зброі, нават калі зброя – лейцар|паплечнік
Таварная лупіна, абгортка, тара|пакаванне
Таварны цягнік, які ідзе без змены складу і грузу да месца значэння|маршрут
Тоўсты драўляны клямар, што ідзе па краях калёс, вазы ці агінальная верхнюю частку санак|козлы
Тоўстая жалезная пласцінка ў форме растуленага кольца, прибиваемая па краях капыта ездавой жывёлы|падкова
Тоўстая кніга вялікага фармату|фаліянт
Тоўстая палка|дубінка
Тоўсты жалезны дубец з загнутым канцом для перамешвання паліва ў печы|качарга
Тоўсты жалезны дубец для перамешвання паліва ў печы|качарга
Тоўстае, пульхнае маляня|карапуз
Натоўп|сборышча
Штуршок да дзеяння, звычайна які грашыць эмацыйнасцю|імпульс
Штуршок як заахвочвальны матыў|імпульс
Штуршок, падахвочванне навошта-або|імпульс
Толькі ў нас у краіне стала магчымым стаць ім, не пакідаючы краіны|эмігрант
Тонк. трубка некотор. раслін для вылучыць., защитн. функцый|малачай
Тонкая баваўняная тканіна ў клетку ці ў палоску|сарпінка
Тонкая ворсовая скура|крона
Тонкая дэкаратыўная рашотка з павойнымі раслінамі|трэльяж
Тонкая дошка ці фанера, устаўляемая ў якую-небудзь раму|філёнга
Тонкая дошка|тесница
Тонкая дошка|шелевка
Тонкая цвёрдая празрыстая матавая шаўковая тканіна|органди
Тонкая перагародка, перапонка ў розных технич. прыладах і арганізмах|мембрана
Тонкая подсцілка на ўнутранай частцы абутковай падэшвы|вусцілка
Тонкая празрыстая тканіна з прадзіва з кручанымі ніткамі|маркізэт
Тонкая спружына, нітка ў якім-небудзь прыборы|валасінка
Тонкая пласцінка, у якой прарэзаны знакі, малюнак для прайгравання|трафарэт
Тонкая цёмная тканіна з глянцам|люстрын
Тонкая трубка некаторых раслін для вылучальнай і ахоўнай функцый|малачай
Тонкая ваўняная ці напаўваўняная тканіна|кашмір
Тонкая, мяккая, звычайна афарбаваная скура|саф'ян
Танкасценная прасторавая апорная канструкцыя|абалонка
Тонкія доўгія макароны, папулярныя ў Італіі|спагецці
Тонкія пласцінкі з цеста прамысловай вытворчасці для кандытарскіх вырабаў|аплатка
Тонкі высокі абцас на жаночым туфлі|шпілька
Тонкі ліст з адтулінамі для нанясення малюнкаў|трафарэт
Тонкі ліст з выразанымі постацямі, контурамі літар і т. п., выкарыстоўваны для іх хуткага і акуратнага прайгравання пры чарчэнні ці афарбоўцы|трафарэт
Сякерка індзейца|тамагаўк
Гразкае месца на балоце|багна
Гразкае, мокрае месца на балоце, паміж купінамі|мочажина
Паліва для рухавікоў|гаручае
Паліва для трактароў|лигроин
Паліва, нафтапрадукт|газойль
Паліва, нафтапрадукт|газа
Багна, балота|багна
Той ... складаўся крыўднай тырадай, // Дарэчы, навесілі праўдзе чужыя справы. // Маўляў, якая то брыда завецца праўдай, // Ну, а сама прапілася, праспалася дагала. (В. Высоцкі)|пратакол
Той ці іншы спосаб паказу аб'ёмных прадметаў на плоскасці (ізаметрычная, аксонометрическая і інш.)|праекцыя
Той, каго не кахаюць, увесь час незаслужана крыўдзяць|папялушка
Той, у каго нос вышэй дахі|зазнайка
Той, каго на мякіне не падманеш|верабей
Той, каго прадпісана кахаць больш самога сябе|блізкі
Той, які жадае, але не можа, зыходзячы з таго, што калі можа і не жадае – набрыдзь|імпатэнт
Той, які павінен вось-вось з'явіцца па прадказаннях Апакаліпсісу|Антыхрыст
Той, які лепш няпрошанага госця|татарын
Той, хто здаў іспыты за курс навучальнай установы, не навучаючыся ў ім|экстэрн
Той, хто ажыццяўляе агульнае худож., арганізацыйнае і фінансавае кіраўніцтва здымкамі фільма, відовішчнымі мерапрыемствамі|прадзюсар
Той, хто аказвае каму-небудзь садзейнічанне, якое палягчае выкананне працы|памагаты
Той, хто бярэ ў слоіку не гэтулькі, колькі дадуць, а гэтулькі, колькі панясе|налётчык
Той, хто ў чымсьці непадобны на іншых, дзівак|арыгінал
Той, хто ўзяў у абавязак ці абавязаны каму-або чым-небудзь|даўжнік
Той, хто гатовы толькі на задавальненне ад справы, але не на пакуты|дылетант
Той, хто рухаецца павольна|ціхаход
Той, хто жаліцца|скаржнік
Той, хто завучвае штосьці бессэнсоўна, без выразнага разумення|зубрыла
Той, хто заганяе куды-небудзь скаціна, статак|загоншчык
Той, хто заганяе, выганяе звера на паляўнічых пры аблаве|загоншчык
Той, хто займаецца зубрэннем, бессэнсоўным завучваннем|зубрыла
Той, хто займаецца навукай ці мастацтвам без адмысловай прафесійнай падрыхтоўкі|дылетант
Той, хто займаецца пошукамі, здабываннем|шукальнік
устар. Той, хто займаецца вытворчасцю спірту з хлебнай травы ці бульбы|вінакур
Той, хто кахае доўгія маралі і развагі|рэзанёр
Тая, хто кахае гуляць і гарэзаваць|дурасліўка
Той, хто можа даць грошай (разг.)|фундатар
Той, хто ўзнагароджаны прэстыжнай прэміяй|лаўрэат
Той, хто няўхільна варта якому-небудзь вучэнню, ідэалогіі, политич. лініі|артадокс
Той, хто мае патрэбу ў нашай дапамозе (па Льве Талстому)|блізкі
Той, хто ніколі і нікому не павінен тлумачыць, чаму ў яго на насоўцы сляды губной памады. Леанард Левинсон|халасцяк
Той, хто перасяліўся з аднаго месца ў іншае|мігрант
Той, хто перасоўваецца павольна|ціхаход
Той, хто ўвесь час займаецца чым-небудзь (ирон.)|штатны
Той, хто падае скаргу|скаржнік
Той, хто купляе што-небудзь для перапродажу|скупшчык
Той, хто карыстаецца чыім-або заступніцтвам, пратэкцыяй|пратэжэ
Той, хто памяняў перакананні і перайшоў у лагер ідэйных супернікаў, адрачэнец|рэнегат
Той, хто ўслаўляе, узвялічвае чыта-або (перен.)|трубадур
Той, хто прапаведуе якое-небудзь вучэнне па кнігах, дагматычна, не разумеючы яго сутнасці|начотчык
Той, хто прытрымваецца крайніх поглядаў|маргінал
Той, хто прыйшоў з візітам|візіцёр
Той, хто слепа дзейнічае па чужой волі (перен.)|цацка
Той, хто глядзіць тэлевізар, уяўленне, портивное змаганне|глядач
Той, хто едзе конна|вершнік
Той, хто ідзе разам з кім-небудзь|спадарожнік
Точеная палачка для карунак|каклюшка
Кропка абіты спадарожніка падвойнай зоркі, найболей выдаленая ад галоўнага кампанента зоркі|апоастр
Кропка радыяцыі знічак|радыянт
Кропка месяцовай арбіты|перигей
Кропка на паверхні, якая адказвае цэнтру землятрусу ці месцу ядзернага выбуху|эпіцэнтр
Кропка нябеснай сферы, куды пераважна накіравана рух зорак|вертекс
Кропка нябеснай сферы|антиапекс
Кропка скрыжавання працягнутых шляхоў метэораў|радыянт
Дакладная верхняя грань мноства|супремум
Дакладнае прайграванне графічнага арыгінала (дакумента, рукапісы, подпісы)|факсіміле
Траса хуткаснага спуску для няпрошаных госцяў|усходы
Траса для гонак на микролитражных машынах без кузава|картынг
Траекторыя лятальнага апарата пры зніжэнні|глісада
Траекторыя палёту самалёта пры зніжэнні|глісада
Жалобнае муз. твор для хору з аркестрам|рэквіем
Травы. расліна сем. бабовых|люцэрна
Травы. расліна сем. бабовых|эспарцэт
Травы. расліна сем. зёлкавых|кукуруза
Травы. расліна сем. казяльцовых, дэкор., яд., нек-ые медон.|морозник
Травы. расліна сем. ліснік. (для атрымання алкалоідаў), лек.|скополия
Трава з агеньчыкам|крапіва
Трава ширяш, якая адносіцца да лилейным, з якой атрымліваюць клей і фарбу|эремурус
Травяністая споравая расліна з дробным лускаватым лісцем, зрослымі ў трубку|хвошч
Травяністая расліна з сінімі кветкамі, меданос.|васілёк
Травяністая расліна з якія апальваюць валасінкамі на сцябле і лісці|крапіва
Травяністая расліна з духмянымі кветкамі разнастайнай формы і афарбоўкі, часта разводнае як дэкаратыўнае|архідэя
Травяністая расліна з яркімі кветкамі і з рэзкім пахам|гваздзік
Травяністая расліна з атрутным белым сокам|багаткі
Травяністая расліна сем. бабовых|люцэрна
Травяністая расліна сямейства сложноцветных з кветкамі, у якіх пялёсткі звычайна белыя, сярэдзіна жоўтая|рамонак
Травяністая расліна сямейства крыжакветных, з насення якога здабываецца тэхнічнае і харчовае масла|свірэпіца
Травяністая расліна жоўтага колеру, пустазелле|павітуха
Травяністая расліна, з якога робяць цукар|трыснёг
Травяністая расліна, сямействы орхидных|чаравічак
Травяністая расліна, сямействы парасонавых|баршчэўнік
