Нязграбны, непаваротлівы чалавек|непаварацень
Невысокая суцэльная агароджа на краю тэрасы, гаўбца, набярэжнай і т. п.|парапет
Невысокі слуп, укапаны ў зямлю|надаўбень
Невысокая шафа для посуду, які мае ў верхняй частцы зашклёныя паліцы|сервант
Нягашаная будаўнічая вапна|кипелка
Негомеопатич. метады лячэння|алапатыя
Нягучная гаворка|гаворка
Неглыбокі і нешырокі роў|канаўка
Нядаўна набытая, новая рэч|абноўка
Недзеяздольнасць, бяздзейнасць (улады, сістэмы і т. п.)|параліч
Тыдзень перад Вялікім пастом|мясопуст
Недахоп часу ў шахматнай партыі|цэйтнот
Недастатковая ступень драбнення|недамол
Недастатковая схільнасць дзеянню агню|недапал
Недастаткова моцнае награванне ежы пры падрыхтоўцы|недапёк
Недастаткова перакананы ў чым-небудзь чалавек|маловер
Недабудаваная загарадная рэзідэнцыя імператрыцы Кацярыны II у чорце г. Масквы|Царицыно
Недоеденный кімсьці кавалак|абгрызак
Недоеденный канём карм у кармушцы|недаедкі
Недаразвіты кінаапарат|диаскоп
Недапушчальныя ўчынкі, гутаркі (разг.)|крамола
Недубленая скура|сырамяць
Хвароба, які ў антычныя часы лячылі ўдарамі электрычнага пахілу|падагра
Нерухомая маёмасць, на якое распаўсюджваецца такое права ўспадкоўвання, па якім маёмасць пераходзіць да старэйшага ў родзе ці да старэйшага сына ў сям'і|маярат
Нежанаты мужчына|халасцяк
Нечаканы падарунак|неспадзеўка
Незалежная зменная (матем.)|аргумент
Незалежная зменная велічыня|аргумент
Незалежнае сярэднявечнае княства, якое ўз'ядналася пасля з княствам Малдавія|Валахия
Незалежная дзяржава|дзяржава
Незалежны ацэншчык|аўдытар
Незалежны эксперт, правяральны фінансавую дзейнасць|аўдытар
Незаконнае апублікаванне чужога твора пад сваім імем, прысваенне аўтарства|плагіят
Незаконны напад на іншую дзяржаву|агрэсія
Незаконнанароджанае дзіця (устар.)|байструк
Незамярзальны водны раствор|антыфрыз
Незамерзший участак ракі|палонка
Незаменная машына на селі|трактар
Незаменны арэх для падрыхтоўкі марцыпана|міндаль
Незамещенная пасада|вакансія
Хворасць, хвароба, засмучэнне здароўя, парушэнне звычайнай працы арганізма|хвароба
Незнаёмы чалавек, які ідзе па вуліцы, дарозе|мінак
Няшчырасць|двудушнасць
Незлічонае мноства|мірыяды
Нязменлівая часціца ў некаторых мовах|артыкль
Нейтральнае для арганізма рэчыва|плацебо
Некалі вельмі папулярны італьянскі эстрадны спявак і кампазітар|Кутуньо
Некалькі пакаленняў аднаго роду|дынастыя
Некаторыя кажуць, што яна патрэбна пры лоўлі блыхаў|шпаркасць
Брыдкая, выродлівая праява чаго-небудзь|грымаса
Недарэчны ўчынак|выхадка
Нялёткая, вадаплаўн. птушка|пінгвін
Няспраўны мужык, які робіць усё не так, як трэба|няўклюда
Нелогическая фантастыка|містыка
