Аўтар оперы “Лалла”|Давыд
Аўтар казкі-камедыі “Прынцэса Турандот”|Гоццы
Аўтар слоў песні “Выткаўся на возеры пунсовае святло світанку...”|Ясенін
Аўтар слоў: “Усё маё ношу з сабой”|Биант
Аўтар слоў: “Які эгаіст вырашыцца сам з'есці апошнюю восеньскую суніцу. Яе можна сарваць толькі для чыстых вуснаў каханай дзяўчыны”|Ренар
Аўтар сацыяльна-крымінальнай драмы “Нара”|Ибсен
Аўтар складання, лісты які схаваў сваё імя|ананім
Аўтар статуі Апоксимена, атлета, ачышчальнага сваё цела пасля барацьбы|Лисипп
Аўтар статуі М. Горкага|Мухина
Аўтар верша “Стансы”|Пушкін
Аўтар сцэнараў індыйскіх фільмаў “Валацуга”, “Спадар 420”|Аббас
Аўтар сцэнара да кінастужкі “Вялікая гульня”|Спаак
Аўтар сцэнара музычнай кинокомедии “Карнавальная ноч”|Ласкин
Аўтар тэксту нацыянальнага гімна Індыі|Тагор
Аўтар тэксту песні “Цёмная ноч”|Агатаў
Аўтар тэмпературнай шкалы, названай яго імем|Реомюр
Аўтар тэорыі, на якой грунтуецца сюррэалізм|Фрэйд
Аўтар тэорыі, па якой цывілізацыя выжывае, калі дае годны адказ на выклік, які прапануе гістарычны працэс|Тойнби
Аўтар трагедыі “Антигона”|Сафокл
Аўтар трылогіі “Нашэсце манголаў”|Ян
Аўтар трылогіі “Незвычайныя прыгоды Тартарена з Тараскона”|Доде
Аўтар трылогіі “Радзішчаў”|Форш
Аўтар фільмаў “Крылы”, “Балада пра салдата”, “Белае сонца пустэльні”|Ежов
Аўтар фразы: “Пара спыніць саджаць, а то хутка няма каго будзе саджаць”|Берыя
Аўтар фразы: “Прышыць бы вас, ды важдацца некалі”|дацэнт
Аўтар, “які бяжыць па хвалях” за сваёй гераіняй|Грин
Аўтар, што хавае сваё імя|ананім
Аўтар-выканавец песень|бард
Аўтарытэт з Сярэдняй Азіі|аксакал
Аўтарская ўзнагарода?|ганарар
Аўтарскае складанне без каментароў і прыкладанняў да яго|тэкст
Аўтаручка паэта|сціло
Автосиденье|крэсла
Аўтаспыннік|турыст
Аўтастрада ў Нямеччыне|аўтабан
Аўтацягач з доўгім вялікагрузным крытым ці суцэльным прычэпам-кузавам|фура
Агент замежнай выведкі ці залучаны ёю чалавек|шпіён
Агент вонкавага назірання, шпік, “шпик” у Расіі кон. 19 пач. 20 стст.|філёр
Агент страхавых арганізацый|аквизитор
Агент таемнай паліцыі, шпік|філёр
Агент Ахоўнага аддзялення ў Расіі, які вёў сачэнне|філёр
Агітацыйная ўлётка?|пракламацыя
Агонія лічыцца прыкметай перамогі смерці, грэкі ж у гэта слова ўкладвалі больш аптымістычны сэнс, лічачы смерць магчымым, але не адзіным зыходам агоніі. Які ж сэнс слова?|барацьба
Агора па-руску?|збор
Агрэгат тонкочешуйчатого талька|агнезит
Агрэгат, прылада|апарат
Агрэгатны стан рэчыва|газ
Агрэсія Нямеччыны супраць СССР (план), 1941 год?|барбароса
Пекла, пякельны агонь|пёк
Адамаў яблык|кадык
Адамава|рабро
Адат, сінонім традыцыя|звычай
Адвакат, які выступаў з гаворкай на працягу 45 дзён|Апджон
Адэкватная плата за зло|помста
Адэкватнае адлюстраванне ў свядомасці што ўспрымае таго, што існуе аб'ектыўна|праўда
Адэкватнае адлюстраванне прадметаў і з'яў рэчаіснасці якія спазнаюць|праўда
Аджарыя, порт на Чорным м. (сталіца, цэнтр)|батумі
Адм цэнтр Сяўба. Караліны|ролі
Адм-терр. ед. Грэцыі|ном
Адм. раён горада ў старой Расіі; частка рамана|частка
Адм. раён горада ў старой Расіі|частка
Адмін.-тэрытар. адзінка царскай Расіі|павет
Адмін.-тэрытар. адзінка у Балгарыі ў 1947–69 гг.|аколія
Адмін.-тэрытар. адзінка у Расіі|павет
Адмін.-тэрытар. адзінка Ісландыі|сисла
Адмін.-тэрытар. адзінка ў Алжыры|вилайя
Адмін.-тэрытар. адзінка ў Вугоршчыне|медье
Адмін.-тэрытар. адзінка ў Нямеччыне і Аўстрыі; дорев. альманах|зямля
Адмін.-тэрытар. адзінка ў Нямеччыне і Аўстрыі|зямля
Адмін.-тэрытар. адзінка ў Кыргызтане; мястэчка качавога тыпу|аіл
Адмін.-тэрытар. адзінка ў Кыргызтане|аіл
Адмін.-тэрытар. адзінка ў Манголіі|сомон
Адмін.-тэрытар. адзінка ў Польшчы|гміна
Адмін.-тэрытар. адзінка ў ЗША|акруга
Адмін.-тэрытар. адзінка ў Швейцарыі; хат. акруга ў Францыі|кантон
Адмін.-тэрытар. адзінка ў Швейцарыі|кантон
Адмін.-тэрытар. адзінка ў некаторых краінах|акруга
Адмін.-тэрытар. адзінка, падраздзяленне павета ў Расіі?|воласць
Адмін.-тэрытар. адзінка ў Манголіі|хорон
Адмін.-тэрытар. адзінка Российс. імперыі|дзель
Адмін.-тэрытар. адзінка Расійскай Імперыі|край
Адмін.-тэрытар. адзінка Расійскай Імперыі|пяціна
Адмін.-тэрытар. адзінка Расійскай Імперыі|постаць
Адмін.-тэрытар. адзінка Расійскай Імперыі|тысяча
Адмін.-тэрытар. адзінка Расійскай Імперыі|улус
Адмін.-тэрытар. адзінка Расійскай імперыі|губа
Адмін.-тэрытар. адзінка Расійскай імперыі|полк
Адмін.-тэрытар. адзінка Расійскай імперыі|сотня
Адмін.-тэрытар. адзінка Расійскай імперыі|губерня
Адмін.-тэрытар. адзінка ў Даніі|амт
Адмін.-тэрытар. адзінка ў Ісландыі|сисла
Адмін.-тэрытар. адзінка ў Манголіі|сомон
Адмін.-тэрытар. адзінка ў Манголіі|хорон
Адмін.-тэрытар. адзінка ў Непале|ангол
Адмін.-тэрытар. адзінка ў Прыбалтыцы|вакус
Адмін.-тэрытарыяльная адзінка ў Расіі, у 20-х гг. 20 ст. ператворана ў раёны|павет
Администр. раён у Шатландыі з галоўным горадам Эдынбургам|лотиан
Адміністрацыйная адзінка ў Швецыі|пен
Адмін.-тэрытар. адзінка, Аўстрыя, Нямеччына|зямля
Адмін.-тэрытар. адзінка, Алжыр|вилайя
Адмін.-тэрытар. адзінка, Афганістан|вилаят
Адмін.-тэрытар. адзінка, Вугоршчына|медье
Адмін.-тэрытар. адзінка, Грэцыя, Інш. Егіпет|ном
Адмін.-тэрытар. адзінка, Іярданія, Емен|ліва
Адмін.-тэрытар. адзінка, Ісландыя|сисла
Адмін.-тэрытар. адзінка, Камбоджа|кхэт
Адмін.-тэрытар. адзінка, Манголія|сомон
Адмін.-тэрытар. адзінка, Польшча|гміна
Адміністрацыйна-тэрытарыяльная адзінка|штат
Адміністрацыйна-тэрытарыяльная адзінка ў Расіі да раянавання|павет
Адміністрацыйна-паліцэйскае падраздзяленне павета ў царскай Расіі|постаць
Адміністрацыйна-тэрытарыяльная адзінка ў Кыргызтане|айя
Адмін.-тэрытар. адзінка ў некаторых краінах|кантон
Адміністрацыйна-тэрытарыяльная (федэратыўная) адзінка ў Аўстрыі і Нямеччыны|зямля
Адміністрацыйна-тэрытарыяльная адзінка (губерня) у Фінляндыі|ляни
Адміністрацыйна-тэрытарыяльная адзінка Балгарыі|акруга
