Тып тэмпераменту чалавека|халерык
Цяжкі вадарод|дэйтэрый
Цяжкі кавалерыст у заходне-еўрапейскім і рускім войску|кірасір
Цяжкі тугаплаўкі метал|вальфрам
Windоws|вокны
Х/б тканіна|паркаль
Харакіры ў становішчы стоячы ў японцаў|татибара
Характар паверхні матэрыялу з пункту гледжання дэкаратыўнасці ці выкарыстанні для худож. творы|фактура
Характар паверхні|тэкстура
Характарыстыка якія свецяцца целаў|яркасць
Характарыстыка стральбы|дакладнасць
Характарыстыка руху цягніка|хуткасць
Характарыстыка дакладнасці выраба дэталі|квалитет
Характарыстыка дакладнага вока пры разліве гарэлкі на траіх|грунтвага
Характарыстыка, што азначае высокую ступень падзеі (слэнг); Агідны кампазітар, пішучы ванітныя папсовыя песні|Стромкі
Характарыстыка, прыкмета, крытэр, колькасны выраз якой-небудзь уласцівасці|параметр
Характэрныя асаблівасці пры хадні|хада
Хек, рыба сем. трасковых|мерлуза
Хор, а таксама змяшаны ансамбль са спевакоў і музыкаў|капэла
Харэаграфічны ансамбль, заснаваны ў 1948 году Н. С. Надеждиной|бярозка
Харалогія, навука пра вобласці распростр. раст. і жывёл|ареалогия
Добрае стаўленне катэта да гіпатэнузы|косінус
Добрая справа так не назавуць|шлюб
Добра падрыхтаваны жарт, якая выдаецца за вынік што нарынула натхнення|экспромт
Добры сняданак, але дрэнная вячэра. Што так вызначыў Френсис Бэкон|надзея
Добры мужык, але не арол у фільме “Простая гісторыя” (акцёр)|Ульянаў
Хорв. паэт|Гундулич
Харвацкі натурфілосаф 18 ст.|Бошкович
Хорда, якая праходзіць праз цэнтр акружнасці|дыяметр
Хадавая частка вуліцы|ходнік
Ходзіць па дарозе, адкрытай геніем|талент
Хадня ў сне|лунатызм
Хадня на адкрытым паветры для адпачынку, забаўкі|шпацыр
Гаспадар чаго-небудзь|уладальнік
Гаспадар чацверанога сябра Ясеніна|Качалов
Гаспадарчае прадпрыемства, дзе разводзяць якіх-небудзь жывёл|зооферма
Гаспадарка, адзінка падаткаабкладання на Русі|дым
Гаспадыня Меднай гары ў маскарадным уборы|яшчарка
Хакеіст, адзіны ў свеце чэмпіён пяці розных нацыянальных чэмпіянатаў (ужо 6)|Андерсон
Хакейная каманда РХЛ|трактар
Хакейная каманда заходняй зоны РХЛ|крышталь
Хакейны клуб Фінляндыі|йокерит
Хакейны клуб вышэйшай лігі|трактар
Халерная бактэрыя|вібрыён
Холад, пры якім зуб зуба падганяе (разг.)|колотун
Квашаніна|заліўная
Халодная зброя – дзіда-сякера|алебарда
Халодная зброя|нунчакі
Халодная страва з гародніны з квасам|халаднік
Халодная страва|вінегрэт
Халодная страва з розных кампанентаў|вінегрэт
Халодная страва з квасу|халаднік
Халодная страва з квасу|халаднік
Халодны сівер і наогул колотун|сіберна
Ўзгорак каля Іерусаліма, на якім здзяйсняліся пакаранні смерцю і дзе, па евангельскім міфе быў раскрыжаваны Хрыстос|Галгофа
Ўзгорак, на якім быў раскрыжаваны Хрыстос|Галгофа
Ўзгорак, на якім каралі смерцю Выратавальніка|Галгофа
Ўзгорак, пагорак|узгор'е
Адважны паляўнічы за змеямі|мангуст
Адважнае пераможца зласлівага шантажыста з казкі “Тараканище” Карнея Чуковского|верабей
Храм афінскага Акропаля|парфенон
Храм у Афінах, найвялікі помнік архітэктуры|парфенон
Храм усіх богаў у Старажытным Рыме|пантэон
Храм на поўначы Індыі|сатпура
Храм гонар багіні Афіны ў інш. Грэцыі|парфенон
Сховішча двоек|дзённік
Сховішча для пашпарта (Маяковск.)|калашына
Сховішча мудрасці|скарбніца
Сховішча твораў жывапісу|пінакатэка
Захавальнік дзяржаўнага друку ў Расіі|друкар
Храп, стогн, віск, гудок – усё разам|гукі
Хрыбет у сістэме Верхоянского хрыбта, у Якутыі|Орулган
Хрыбет у Казахстане|Кетмень
Хрыбет на Чукотцы|Рарыткин
Храматычны гармонік з фартэпіяннай клавіятурай для правай рукі|акардэон
Кульгавая ці замкнёная (жаночае імя)|Клаўдзія
Хромка, назва прылады|гармонік
Хранічная вірусная хвароба, якая паражае вочы і што прыводзіць да слепаты|трахома
Хранічнае заразнае віруснае захворванне вачэй|трахома
Далікатнае смалістае жаўтлява-чырвонае рэчыва, выкарыстоўванае пры паянні, для шмаравання смычков|каніфоль
Христианск. секта ў ЗША|мармоны
Хрысціянская секта пратэстанцкага толку, якая прызнае крыніцай веры Святое Пісанне і што адпрэчвае культ святых, абразы, вадохрышча ў дзіцячым узросце|баптысты
Хрысціянская набажэнская кніга, утрымоўвае частка Новага запавету і Апакаліпсіс|апостал
Хрысціянская царкоўная служба па памерлым|паніхіда
Хрысціянскае набажэнства, якое ўключае ў сябе малітвы, спеў, чытанне святых кніг, пропаведзі і іншыя абрадавыя дзеянні|літургія
Хрысціянскія абшчыны, распростр. у ЗША і Англіі. Адпрэчваюць святароў і царкоўныя абрады, прапаведуюць пацыфізм, дабрачыннасць|квакеры
Хрысціянскі абрад прысвячэння ў манаства, падчас якога чалавеку даюць новае імя і выстрыгаюцца валасы на верхавіне|пастрыг
Хрысціянскі абрад, а таксама свята пасля гэтага абраду|хрэсьбіны
Хрысціянскі абрад|вадохрышча
Хрысціянскае свята|грамніцы
Хрипотца, як частка пракуранага і прапітага голасу|прыгук
Худзенькая, шустрая, быстравокая дзяўчынка, дзяўчына|кнігаўка
Мастацкая размалёўка эмаллю па метале|фініфць
Мастацкая фарба, адна з асноўных у палітры прафесіянала|краплак
Мастацкая паказуха|выстава
Мастацка аформленае ўнутранае памяшканне будынка|інтэр'ер
Мастацкі выраб з тоўстых плеценых нітак|макрамэ
Мастацкі стыль 16–18 стагоддзяў|барока
Мастацкі кіраўнік|рэжысёр
Мастацкі прыём: малюнак чаго-небудзь у перабольшана-камічным выглядзе|гратэск
Мастак (перапісвала “Старая сажалка” больш 5000 раз)|Бикслер
Мастак 19 ст., партрэтыст, аўтар партрэта княгіні А. Долгоруковой|Вуркатанняў
Мастак з задаткамі маляра|няздара
Мастак, які стварае мазаікі, мазаічныя палотны|мазаіст
Мастак, адмысловец па вызначанай тэме|жанрыст
Мастак, адмысловец па жанры (жывапіс на побытавыя сюжэты)|жанрыст
Мастак, што стварае свае творы з засушаных раслін|фларыст
Мастак, які малюе жывёл, да якіх чалавека ён не адносіць|анімаліст
Мастак, што малюе травой і кветкамі|фларыст
Мастак, умела спалучалы фарбы|каларыст
Мастак, які захаваў на палатне ў 1925 г. храм Хрыста Выратавальніка|Чернышев
Мастак, які паказвае жывёл|анімаліст
Мастак, што паказвае марскія выгляды, марское жыццё|марыніст
Мастак, які вырабляе формы для манет і медаляў|медальер
Мастак, пішучы на марскія тэмы|марыніст
Мастак, што імкнецца праўдзіва маляваць рэчаіснасць у яе тыповых рысах|рэаліст
Мастак-канструктар (агульнае)|дызайнер
Мастак-мультыплікатар, аўтар перадгісторыі сустрэчы ў Навагоднюю ноч, якая здарылася па іроніі лёсу і стараннямі сучасных архітэктараў|Тарасаў
Знеслаўленне наадварот|хвала
Хуліган, гарэза (разг.)|архаравец
Хвастливая выхадка|фанфаронада
Хапаць, сціскаць зубамі ці джаліць, паранячы (сущ. ад глаг.)|кусание
Хвост, атрыманы ослікам Іа-Іа на дзень нараджэння ад Савы|падарунак
Галлё|ламачча
Іглічнае дрэва, з якім у жанчын прынята параўноўваць вечназялёнага і стройнага мужчыну|кіпарыс
Хирон як міфічны паўчалавек|кентаўр
Хирургич. прылада|троакар
Хірургічная антыалкагольная аперацыя|ушыванне
Хірургічнае ўмяшанне|аперацыя
Хим. злучэнне мыш'яку з металам|арсенід
Хим. сродак барацьбы з пустазеллямі|гербіцыд
Хим. статут кіслароду ў табліцы Зміцера Мендзялеева|элемент
Хим. зброя, якое спецыялізуецца на абцугах|акарицид
Хим. рэчыва, заўв. супраць пустазельнай драўняна-кустарн. раст-ти|арбарыцыд
Хим. рэчыва, якое ўжываецца ў кітайскай кухні пры жарении|глютамат
Хим. рэчыва, якое ўжываецца ў кітайскай кухні пры жарении|френсис
Хим. крыніца электрычнага току|элемент
Хим. ці фармацэўтычны прадукт|прэпарат
Хим. парашковы фарбавальнік|пігмент
Хим. прэпарат, прадукт|хімікат
Хим. элемент, актыноід|амерыцый
Хим. элемент, актыноід|нептуній
Хим. элемент, серабрыста-белы метал з чырванаватым адценнем|кобальт
