Цукерка з маку|верхавіна
Сялянскае антыфеадальнае паўстанне ў Францыі ў 1358 г., выкліканае ўзмацненнем феадальнага прыгнёту, эканамічнай разрухай у перыяд Стогадовай вайны 1337–1453 гг.|жакерыя
Сялянскае паселішча|вёска
Сяляне ў Сярэдняй Азіі|дэхкане
Селянін у Сярэдняй Азіі і некаторых краінах Усходу|дэхканін
Селянін, земляроб у Сярэдняй Азіі|дэхканін
Селянін, які зарабляе возніцтвам|вазак
Селянін, чалец сельскай абшчыны|парафіянін
Крэдытная ўстанова|ламбард
Крэдытны квіток, што замяняе ў звароце металічныя грошы|банкнот
Крэдытны знак грошай, які выпускаецца эмісійнымі слоікамі|банкнота
Крэмль на Русі|дзяцінец
Кремнийорганическое рэчыва, палімер|сілікон
Крапежная дэталь, стрыжань з разьбой на абодвух канцах|шпілька
Крапежная дэталь|заклёпванне
Прыгонная акторка тэатра Шереметева|Шлыкова
Прыгонная сцяна з вертыкальна ўкапанага бярвення|частакол
Прыгонная павіннасць – чынш ці паншчына ў феадальнай Русі|цягло
Прыгоннае ваеннае ўмацаванне|бастыён
Прыгоннае ці палявое ваеннае ўмацаванне|бастыён
Прыгонны архітэктар графа П. Б. Шереметева, які ўзначальваў будаўніцтва драўлянага палаца-тэатра ў Астанкіна|Аргунов
Крэпасць 16 ст. для прычынення подступаў да Берліна|шпандау
Крэпасць і турма ў Парыжы ў 14–18 стст.|Бастылія
Крэпасць, а таксама яе ўнутраная найболей умацаваная частка|цытадэль
Крэпасць, нешта непарушнае|цвярдыня
Крэпасць, пабудаваная Галандцамі ў заваяванай імі Інданэзіі|Батавія
Дужы спіртны напой|арманьяк
Дужы раствор якога-небудзь рэчыва, які разводзіцца пры ўжыванні|эсэнцыя
Дужы настой ці выцяжка з раслін на спірце|эліксір
Мацаванае вінаграднае віно, якое атрымліваецца няпоўным зброджваннем сусла ці жамерын з дадаткам спірту|портвейн
Мацаванае вінаграднае віно|портвейн
Мацаванне рэчышча струменя плаціны|рысберма
Крывавая помста ў імпартным выкананні|вендэта
Дахавы матэрыял, фасонныя пласціны з абпаленай гліны|чарапіца
Дахавы адзінкавы матэрыял|шыфер
Крывасмок сярод нябожчыкаў|ваўкалак
Крывасмактальная казурка|гіз
Крэўная помста на Корсіцы і Сардзініі|вендэта
Кроенне|кроенне
Акрамя забарон на вызначаныя фасоны адзежы, прычосак Павел 1 забараніў сваім падданкам і гэта нявіннае задавальненне|танцы
Круг абмяркоўвальных дадзенай газетай пытанняў|тэматыка
Круг будучых магчымасцяў|гарызонт
Круг дзейнасці|функцыя
Круг ведаў і ідэй|гарызонт
Кругазварот|ратацыя
Вакол папера, усярэдзіне трава, а далей трубачка пустая|папяроса
Круглы саламяны капялюш з плоскім верхам і прамымі палямі|канотье
Круглая ў плане пабудова, звычайна з купалам і калонамі|ратонда
Круглая лінза для карэкцыі зроку аднаго вока, што ўтрымоўваецца ў вочнай западзіне (устар.)|манокль
Круглая пабудова, увянчаная купалам|ратонда
Круглае аптычнае шкло для аднаго вока|манокль
Круглы ці паўкруглы невялікі будынак, звычайна з купалам|ратонда
Круглы кончык лыча ў свінні, кабана|пятачок
Карункавая жаночая накідка на галаву і плечы ў Іспаніі і Лат. Амерыцы|мантылля
Макулінка, збожжа граду|градзіна
Макулінка, зярнятка|гранула
Крупн. дыямент, упраўлены ў пярсцёнак асобна|саліцёр
Буйная адміністрацыйна-тэрытарыяльная адзінка ў Турцыі, унисе і Алжыры|вілает
Буйная адміністрацыйна-тэрытарыяльная адзінка|вобласць
Буйная сварка з бойкай паміж варагуючымі групамі|разборка
Буйны сабака для палявання на драпежнікаў|ваўкадаў
Буйны паляўнічы сабака|ваўкадаў
Буйная рэптылія|кракадзіл
Буйная драпежная рыба сямейства ласосевых|таймень
Буйны белы вартаўнічы сабака|комондор
Буйная балотная птушка з доўгім, выгнутым дадолу дзюбай, род куліка|краншнэп
Буйная хатняя птушка сямейства курыных|індычка
Буйная класіфікацыйная адзінка ў розных галінах навукі, напр. прыступку историч. развіцці грамадства, тыповае спалучэнне горных парод (геол.)|фармацыя
Буйная лясная птушка атрада курыных|цецярук
Буйная марская птушка|альбатрос
Буйная шматгаліновая кампанія, якая мае цэнтралізаванае кіраўніцтва|канцэрн
Буйная прамысловая рыба сямейства осетровых|сяўруга
Буйная прамысловая птушка|глушэц
Буйная птушка з вялікай дзюбай|пелікан
Буйная птушка, улюбёнка паляўнічых|цецярук
Буйная птушка|журавель
Буйная частка сцяны ці перакрыцці сучаснай зборнай драўлянай хаты|шчыт
Крупнейш. тэлекампанія Мексікі|телевиса
Найбуйная ў Еўропе група роднасных па мове і культуры народаў|славяне
Найбуйная пустэльня Чылі|атакама
Найбуйны адміністрацыйны будынак у свеце|пентагон
Найбуйнае возера ў Вугоршчыне|Балатон
Найбуйнае ў свеце молибденовое радовішча|Клаймакс
Найбуйны замежнагандлёвы порт Японіі на выспе Хансю|Ёкагама
Буйная садовая травяністая расліна сямейства сложноцветных з вялікімі яркімі суквеццямі|вяргіня
Буйная садовая травяністая расліна, кветка|вяргіня
Буйны аркестравы твор|сімфонія
Буйная драпежная жывёла сямействы каціных|пантэра
Буйнае драпежнае млекопитающее з доўгай поўсцю і тоўстымі нагамі|мядзведзь
Буйны драпежны гад, рэптылія|алігатар
Буйнае баявое сутыкненне войскаў|бітва
Буйны водны гад|кракадзіл
