Памылка, нядбайнасць|памылка
Расліна незасоленных глеб і прэсных вадаёмаў|гликофит
Расліна, здольнае вытрымліваць працяглыя дажджы|омброфил
Расліна, што расце на засоленай глебе|гелофит
Расліна, добра перанослае цень|сциофит
Расліна, якое жыве ў месцах залішняга ўвільгатнення глебы і ў вільготнай атмасферы|гіграфіт
Расліна, крыніца нектару для пчол|меданос
Расліна, што ідзе на корм скаціне|люцэрна
Расліна, якое ідзе на пяньку і масла|каноплі
Расліна, якое ўтрымоўвае анабазін – алкалоід, вельмі блізкі да нікаціну, так што цалкам можа замяніць тытунь|ежовник
Расліна, якое для прыгажосці высаджваюць на глін. дахах|маладзіла
Расліна, не выносілае зацьменні і працяглых дажджоў|омброфоб
Расліна, якая атрымала свая назва ад слова “вецер” у грэцкім вымаўленні|анемон
Расліна, прызначанае для пасадкі|расада
Расліна, што прываблівае пчол|меданос
Расліна, трава|цюцюпан
Расліна-паразіт нашых палёў і гародаў, не мелае каранёў|павітуха
Расліна-паразіт, небяспечнае пустазелле|павітуха
Расліна|драцена
Расліна|фацэлія
Расліна|фенхель
Расліны, у якіх ныркі аднаўлення знаходзяцца ў глебе ці пад вадой|криптофиты
Расліны, прызначаныя для пасадкі|расада
Парэпанне грунта, маляўнічага пласта ці лаку карціны|кракелюр
Раствор бясколернай смалы ў эфіры ці спірце для пакрыцця выкананых вуглём ці алоўкам малюнкаў для засцярогі іх ад псуты|фіксатыў
Раствор для пабелу|вапна
Растварэнне паглынутага на паверхні рэчыва ва ўсім аб'ёме паглынальніка|абсорбцыя
Расціранне зубамі і рухамі мовы|жаванне
Раслінныя (жывёлы) арганізмы, здаўна прабывалыя ў дадзенай мясцовасці|аўтахтоны
Расліннасць, тэрмін у батаніку|параснік
Расліннае паліва|галлё
Разлік страт па аварыі і размеркаванне іх паміж суднам, фрахтам, грузаўладальнікам|диспаша
Рассячэнне чаго-небудзь на этапы, прыступкі|градацыя
Пашырэнне ў некаторых органах, частках арганізма|цыбуліна
Пашырэнне духавага муз. прылады|раструб
Пашыранае, лейкападобнае вусце ракі|эстуарый
Пашыраны план кнігі ці выданні|праспект
Якая пашыраецца дагары шапка|кубанка
Вышываны рознакаляровымі шнурамі мундзір гусара|даламан
Праца каня перад яздой на прыз для разагравання|прамінка
Праца, выкананая батарэямі ў памяшканні і чаркай гарэлкі ў страўніку|абаграванне
Праца, заняткі як аснова досведу, уменні|практыка
Працаўнік са шматгадовым стажам|ветэран
Працаўнік с/г|птушкагадоўца
Працаўнік скупкі, камісійнай крамы|ацэншчык
Працаўнік адной са старых галін еж. прамысловасці|салявар
Працаўнік рэстарана|афіцыянт
Працаўнік газавай прамысловасці|газавік
Працаўнік выдавецтва|рэдактар
Працаўнік гарбарнай вытворчасці|скуралуп
Працаўнік кацельні|апальшчык
Працаўнік кацельні|качагар
Працаўнік мясакамбіната|жывадзёр
Працаўнік навукова-даследчага падраздзялення|лабарант
Працаўнік нафтаздабываючай ці нафтаперапрацоўчай галіны|нафтапрамысловец
Працаўнік тэатра|бутафор
