Скура натуральная недубленая|сырамяць
Калектыўны зварот веравалых хрысціян да Бога|набажэнства
Калектыўнае набажэнства ў хрысціян|набажэнства
Калектыўнае прашэнне ў пісьмовай форме|петыцыя
Калектыўнае прашэнне, адрасаванае ўладам|петыцыя
Калектыўнае прашэнне, хадайніцтва, што падаецца вышэйшым органам улады|петыцыя
Калекцыянер значкоў|фалерыст
Калекцыянер манет|нумізмат
Калекцыянер, знаўца старажытнасцяў|антыквар
Калекцыя віна ў бутэльках|эпотека
Зыбка сапраўднага гуляшу|Вугоршчына
Колцавая карціна, якая паказвае ўвесь выгляд на 360 град., сумешчаная з аб'ёмнымі макетамі на пярэднім плане|панарама
Кольца з каштоўным каменем|пярсцёнак
Кольца з зашпількай, напрананае на шыю жывёл|нашыйнік
Кольчужн. железн. сетка на шлеме для абароны шыі (інш.-рус.)|бармица
Кальчугавая сетка, якая затуляла твар, шыю і плечы рускага ваяра ў ХII–ХIII стст.|бармица
Калючы нашыйнік для охотн. і служ. сабак|парфорс
Калючы хмызняк з дробнымі чырвонымі кіслымі ягадамі|барбарыс
Калючы хмызняк з дробнымі чырвонымі кіслымі ягадамі|шыпшыннік
Колючы боль|калаццё
Кім цесты, аладка, выпечаная ў попеле|паленик
Каманда ці спартовец, якім аддаюць перавагу да змаганняў|фаварыт
Камандарм 1-го Ўкраінскага фронта|Ватутин
Камандуючы 1-й танк. войскам на Курскай бітве|Катуков
Камандуючы злучэннем караблёў|флагман
Камандуючы ВПС Чырвонага Войска ў 1941–42 гг.|Костнер
Камандуючы Добраахвотніцкім войскам у грамадзянскую вайну|Дзянікін
Камандуючы кавалерыйскім корпусам у 1941 г.|Доватор
Камандуючы буйным злучэннем ваенных караблёў, эскадрай|флагман
Камандуючы флотам ці камандзір злучэння караблёў|флагман
Камандуючы эскадрай|флагман
Камандзір злучэння караблёў ваенна-марскога флота|флагман
Камандзір харугвы ў сярэднявечных Польшчы і Літве|харунжы
Камандзір буйных партызанскіх атрадаў у Смаленскай, Арлоўскай, Магілёўскай, Ровенскай і Львоўскай вобл. падчас Вялікай Айчыннай вайны, пісьменнік, Герай Савецкага Звяза (1944), палкоўнік|Мядзведзяў
Каманднае спаборніцтва ў некаторых выглядах спорту|эстафета
Камандныя спаборніцтвы ў бегу|эстафета
Камсамолка-партызанка|Чайкина
Камсамольская песня|паравоз
Камедыйная роля Б. Брага|Бабетта
Камедыя А. Софронова|кухарка
Камедыя А. Н. Астроўскага|банкрут
Камедыя Аретино|дыялогі
Камедыя Аретино|Пуччини
Камедыя Аретино|філосаф
Камедыя Ариосто|шкаляры
Камедыя Альфьери|нешматлікія
Камедыя Н. В. Гогаля|рэвізор
Камедыя Корнеля|субрэтка
Камедыя Мольера|докучные
Камедыя лаўрэата Нобелеўскай прэміі Б. Шоў|Пигмалион
Камяк сгустевшей вадкасці|згустак
Камяк вадкасці|кропля
Камяк вадкасці|згустак
Камяк, які ўтварыўся ўсярэдзіне вадкасці|згустак
Камячок рэчыва зерноподобной формы|гранула
Камбінацыя літар, што перадаюць адзін гук|лігатура
Камбінацыя матэматычных знакаў, якая выказвае якое-небудзь сцвярджэнне|формула
Камбінезон са шчыльнай баваўнянай тканіны з нагруднікам і шлейкамі|дунгари
Камісар падпольнай камсамольскай арганізацыі Маладая гвардыя ў Вялікую Айчынную вайну, Герай Савецкага Звяза (1943 пасмяротна)|Кошевой
Камічная опера Й. Гайдна|аптэкар
Камічная мініяцюра, жарт блазна ў цырку, на эстрадзе|рэпрыза
Камічнае ці сатырычнае перайманне каму-або, падабенства чаго-небудзь|пародыя
Комн. расліна|бягонія
Пакой у хаце, кватэры|спальня
Пакой у кватэры, у якой мясцуюцца дзеці|дзіцячы
Пакой у кватэры, прызначаная для творчай працы|кабінет
Пакой у кватэры|гасціны
Пакой у кватэры|спальня
Пакой у кватэры|сталовы
Пакой у тэатры, дзе акцёры апранаюцца, рыхтуюцца да выйсця на сцэну|прыбіральня
Пакой у традиц. сялянскай хаце – чыстая палова, летняя хата|святліца
Пакой для заняткаў, працы|кабінет
Пакой для заняткаў|кабінет
Пакой на верхнім паверсе драўлянай хаты|святлічка
Пакой, дзе акцёр пераапранаецца, грымуецца|прыбіральня
Пакаёвая гульня на адмысловым стале з шарамі|биллиард
Пакаёвая кветка|бягонія
Компас для горных прац|бусоль
Кампанія гарбатых у пустэльні|караван
Кампанія непітушчых у пустэльні|караван
Кампанія, преобретающая кантрольны пакет акцый іншых кампаній|холдынг
Кампазітар Бураціі|Ямпилов
Кампазітар, пішучы для С. Ратару|Матецкий
Кампазітар, нар. артыст СССР|Покрасс
Кампазітар, нар. артыст СССР|Шапорин
Кампазітар, народны артыст СССР па імі Вано|Мурадели
Кампазітар, які напісаў у канцы ХVIII стагоддзі “Кіраўніцтва, як пры дапамозе дзвюх ігральных костак складаць вальсы, не маючы ні наймалога ўяўлення пра музыку і кампазіцыі”|Моцарт
Кампазітар, спявак па імі Ігар|Мікалаеў
Кампазітар-спеўнік, народны артыст СССР|Туликов
Кампанент аміяку|вадарод
Кампанент цытрынавага эфірнага масла|цитраль
Кампраміснае рашэнне, паслабленне ў чым-небудзь|саступка
Комплекс спартовых збудаванняў у Маскве|Лужнікі
Комплекс спартовых збудаванняў|стадыён
Комплекс палацава-паркавых ансамбляў ХVIII–ХIХ стст. на паўднёвым узбярэжжы Фінскага заліва|стрельна
Комплекс жылых, гаспадарчых і інш. пабудоў, складнікаў адно гаспадарчае і архітэктурнае цэлае|сядзіба
Комплекс мёр па прафілактыцы захворванняў|гігіена
Комплекс навук пра будынак складу і гісторыі зямной кары і Землі|геалогія
Комплекс навук пра апрацоўку сельскагаспадарчых культур|аграномія
Комплекс фізічных практыкаванняў, які дапамагае забыцца змрочныя прароцкія сны|зарадка
Комплекснае спартовае збудаванне|стадыён
Камплект бялізны, сукенкі на адну змену|змена
Камплект водных дарожак|басейн
Камплект мэблі, пакупанымі вамі для тых, хто павінен пачувацца ў вас, як хаты|гасціная
Камплект, набор (звычайна ў дачыненні да мэблі)|гарнітур
Камплект, набор прадметаў, службоўцаў для адной мэты|гарнітур
Камплектавалая да дзяржавы|скіпетр
Камплектавалая факультэта|кафедра
Кампутарная прыналежнасць|дыскета
Кампутарная прылада для зап. і считыв. інфармацыі|дыскавод
Кансерватар, які страціў працу. Эван Эзар|радыкал
Кансерваваныя ў растворы солі прадукты сілкавання|саленне
Кансультант, памагаты кіраўніка|рэферэнт
Канструктар авіярухавікоў (1895–1985)|Микулин
Канструктар авіяматораў|Микулин
Канструктар ракетна-касмічнай тэхнікі|Янгель
Канструктар дырыжабля|Цэпелін
Канструктар першага прайгравальніка з пласцінкамі (1888)|Берлинер
Канструктар кулямётаў|Дзегцяроў
Канструктар танкаў|Марозаў
Канструктыўныя дэталі самалёта для лепшай аэрадынамікі|апярэнне
Канструктыўны элемент электроннага ці электротехнич. прыбора, службовец для сувязі ўчастку электрычнага ланцуга|электрод
Канструкцыя самалёта з адной парай асноўных крылаў|манаплан
Канструкцыя верхняй часткі палевага падмурка|ростверк
Канструкцыя, якая падтрымлівае пахілы дахаў|кроквы
Канец партыі ў шахматах і шашках|эндшпіль
Канец троса для мацавання суднавых катэраў і шлюпак|бакштоў
Канец троса, што выпускаецца з кармы для мацавання змешчаных на вадзе суднавых катэраў і шлюпак|бакштоў
Конусападобныя ўзгоркі ў Сібіры|кучугуры
Конусападобная паліца пустой пароды пры шахце, рудні|тэрыкон
Конусападобны насып з пустой пароды каля шахты ці рудні|тэрыкон
Канвеер для ўздыму грузаў вертыкальна ці пад вялікім кутом да гарызонту|элеватар
Кандэнсатар з рэзка выяўленай залежнасцю ёмістасці ад велічыні прыкладзенай напругі|варыконд
Кондит. выраб|карамель
Кондит. выраб|печыва
Кондит. выраб|пірожнае
Кандытарскі выраб з міндальнага цеста|марцыпан
Кандытарскі выраб з міндальнага цеста|пірожнае
Кандытарскі выраб з фруктовай масы і цукры, з даданнем яечных бялкоў|пасціла
Кандытарскі выраб, дзіцячы ласунак|цукерка
Кандытарскі выраб|бісквіт
Кандытарскі выраб|варэнне
Кандытарскі выраб|грыльяж
Кандытарскі выраб|мармелад
Канічны рупар, які прыстаўляецца да рота для ўзмацнення гучання голасу|мегафон
Пэўная дзель цэлага|чвэрць
Пэўная гукавая афарбоўка муз. творы (тэмбр, рэгістравае становішча і інш.)|фактура
Конн. стрэлак у З. Еўропе, узброены. фитильн. стрэльбай|аркебузир
Конна-лыжны спорт|скоринг
Конны гвардзеец у Францыі ў 18 ст.|мушкецёр
Конны экіпаж|двухколка
Конны экіпаж|дыліжанс
Конны экіпаж|каламажка
Конны экіпаж|шарабан
Кантрабандыст часоў і светаў|фантаст
Кантралёр ва ўваходу ў тэатр|квіткар
Кантралёр на ўваходзе кінатэатра|квіткар
Кантралёр, інспектар|рэвізор
Кантроль гатовай прадукцыі, выяўленне шлюбу|бракераж
Кантроль, выпрабаванне|праверка
Кантынент, буйны масіў зямной кары|мацярык
Частка свету|Еўропа
Цукерка з бюракратычным прысмакам|цягучка
