Вугорскі паэт, рэвалюцыйны дэмакрат|Петефи
Вяроўка для трэніроўкі па крузе рысистых і скаковых канёў|корда
Вяроўка імя герцага Альбы (гэтым.)|альбатрос
Вяроўка лучковай пілы|цеціва
Вяроўка з завесай для лоўлі жывёл|аркан
Вяроўка з завесай|ласо
Вяроўка, захлестнутая завесай|аркан
Вяроўка, кот. злучаюць бабкі пярэдніх ног каня|путы
Вяроўка, на кот. ганяюць канёў; ангел. кінарэжысёр|корда
Вяроўка, на кот. ганяюць канёў|корда
Вяроўка, на якой вісіць балея ў студні|прычэп
Вяроўка, на якой каня ганяюць па крузе|корда
Вяровачкі ў лапцяў|фальбоны
Вераўчаныя ўсходы|рели
Вераўчаныя, драўляныя ці металічныя ўсходы на судне?|трап
Вераўчаныя лапці|чуні
Вераўчаны лапаць|чуня
Чарада гружаных вазоў; байка І. Крылова|абоз
Чарада гружаных вазоў|абоз
Чарада, чарада (падзей); выраб з металу|ланцуг
Чарада, чарада (падзей)|ланцуг
Бамбіза|хлапчына
Даверчая грамата на Русі|басма
Дакладная жонка вядомага “перестройщика”|Раіса
Дакладны сябар (пераносна)|пилад
Дакладны спосаб патрапіць у баскетбольны кошык|кідок
Вераванне, якое адхіляецца ад дагматаў хрысціянскай царквы, адпрэчванае і праследуемае ёю|ерась
Вераніка, што знялася ў фільме, дзе багатыя таксама плачуць|Кастро
Верагодная “рэзідэнцыя” Дыягена|пифос
Верагодная магчымасць ажыццяўлення чаго-небудзь|шанец
Верагодны стан, калі гарэлкі выпіта больш, чым можна, але менш, чым жадалася|водруб
Верагоднасць, магчымасць ажыццяўлення|шанец
Верагоднасць, магчымасць поспеху|шанец
Вертик. ці нахільная падземная горная выпрацоўка|шурф
Вертыкальная горная выпрацоўка, якая мае непасрэднае выйсце на паверхню|ствол
Вертыкальная ці нахільная горная выпрацоўка для геологоразведки, выбухных прац і інш., што мае выйсце на паверхню|шурф
Вертыкальная ці нахільная горная выпрацоўка|шахта
Вертыкальная ці нахільная падземная горная выпрацоўка?|шурф
Вертыкальная каменная пліта|стэла
Вертыкальная канструкцыя на палубе (на ветразных судах – для ўсталёўкі ветразяў), а таксама збудаванне ў выглядзе ўмацаванага слупа для розных тэхнічных мэт|шчогла
Вертыкальная апора ў выглядзе мужчынскай постаці, якая падтрымлівае бэлечнае перакрыцце|атлант
Вертыкальная пліта з надпісам|стэла
Вертыкальная падземная горная выпрацоўка, не мелая непасрэднага выйсця на зямную паверхню|гезенк
Вертыкальная труба вадаправода|стаяк
Вертыкальная частка будынка, збудаванні|сцяна
Вертыкальна рухомы пад'ёмнік з кабінай для перасоўвання людзей, грузаў|ліфт
Вертыкальна размешчаны падоўжаны прадмет|слуп
Вертыкальна стаячая каменная пліта з надпісам, рэльефам ці жывапісам|стэла
Вертыкальна стаячая крыга на змёрзлым вадаёме|тарос
Вертыкальнае крыло ў хваставым апярэнні самалёта і інш.|кіль
Вертыкальны памятны знак (пліта, слуп) звычайна з надпісам, рэльефным малюнкам|стэла
Вертыкальны схіл|адвес
Вертыкальны ход у некаторых збудаваннях|шахта
Вертыкальны элемент будынка?|калона
Вернікі, кіраваныя духавенствам?|паства
Веравалы фанатык забівае ... , носячы рыззё і вярыгі|цела
Верх капітэлі калоны|абак
Верх капялюша|верх
Верх. орган улады ў рэспубліканскім старажытным Рыме|сенат
Верхн. тепл. панчоха ад калена да шчыкалаткі ці верха ступні|гамаш
Верхні ўбор манаха вялікай схімы, каптур|куколь
Верхні царкоўны ўбор святара|рыза
Верхнія дыхальныя шляхі|бронхі
Верхнія пярэднія сківіцы ў казурак і ракападобных жывёл|жвала
Верхнія памяшканні ў межах асноўнага паверху будынка|антрэсоль
Верхнія порткі|штаны
Верхні воданепранікальны пласт даху будынка|дах
Верхні ці сярэдні ярус у глядзельнай зале|гаўбец
Верхні камень, які замыкае збор збудавання|ключ
Верхні край капыта ў каня; частка кветкі|венца
Верхні край капыта ў каня|венца
Верхні прамяністы пласт паветра ў греч. міф.|эфір
Верхні мазгавы прыдатак, ці шишковидная жалеза|эпіфіз
Верхні аддзел задняй канечнасці|сцягно
Верхні ўрадлівы пласт глебы|перагной
Верхні полаг даху?|дах
Верхні пласт зямлі|грунт
Верхні пласт зямной кары|глеба
Верхні пласт зямной паверхні|глеба
Верхні пласт скарынкі цытруса, у высушаным выглядзе ўжытная як рэзкая затаўка|цэдра
Верхні пласт даху|дах
Верхні пласт цытрынавай ці апельсінавай скарынкі|цэдра
Верхні пласт глебы, густа здзірванелы|дзёран
Верхні пласт глебы, дзёран|дзёран
Верхні ярус багатага палаца|церам
Верхні ярус валасянога полага ў сабак|асцюк
Верхні ярус поўсці ў млекаспажыўцоў|асцюк
Верхні, вонкавы пласт|полаг
Верхняя галерэя, гаўбец усярэдзіне царквы, у параднай зале|хоры
Верхняя жаночая адзежа 19 ст.|салоп
Верхняя жаночая адзежа|сукенка
Верхняя заканадаўчая палата парламента ў некаторых дзяржавах|сенат
Верхняя зімовая адзежа на меха|футра
Верхняя зімовая адзежа|кажух
Верхняя асабовая частка чэрапа|лоб
Верхняя муж. адзежа ў грузінаў|ахалухи
Верхняя мужчынская адзежа, у стан, з разрэзам ззаду і аздабленнем шнурамі спераду, падбітая мехам|бекеша
Верхняя мужчынская адзежа, кроем падобная на кашулю|блуза
Верхняя мужчынская адзежа, распаўсюджаная ў народаў Сярэдняй Азіі|бешмет
Верхняя вонкавая частка коміна|дымник
Верхняя адзежа праваслаўнага духавенства|рыза
Верхняя адзежа ў каталіцкага духавенства|сутана
Верхняя адзежа ў паўночных народаў|гарнітур
Верхняя адзежа, пад якой апыняецца селядзец на стале|футра
Верхняя адзежа, пераважна мужчынская|штаны
Верхняя адзежа, спартовы, парадны|гарнітур
Верхняя адзежа|жакет
Верхняя адзежа|плашч
Верхняя апорная частка ў мэблі|спінка
Верхняя остроугольная частка тарца будынка паміж пахіламі даху, у адрозненне ад франтона не адлучаная карнізам|щипец
Верхняя палата кангрэса ЗША|сенат
Верхняя палата кангрэса ў ЗША|сенат
Верхняя пліта калоны|абак
Верхняя палова нагі|сцягно
Верхняя якая стульвае частка збору ці аркі|замак
Верхняя сценка ротавай паражніны|неба
Верхняя прыступка цокаля будынка?|стылабат
Верхняя частка антаблементу; выступ у сцяне будынка|карніз
Верхняя частка вясла|ворчык
Верхняя частка галавы паміж лобнымі, патылічнымі і скроневымі косткамі|цемя
Верхняя частка падвойнай жаночай спадніцы|туніка
Верхняя частка падвойнай спадніцы|туніка
Верхняя частка жаночай сукенкі, станік|гарсаж
Верхняя частка жаночай сукенкі|станік
Верхняя частка задняй нагі, гатовая да ўжывання|кумпяк
Верхняя частка будынка|дах
Верхняя частка зямной кары, у межах якой магчымая здабыча карысных выкапняў|нетры
Верхняя частка зямной мантыі, дзе пераважаюць крэмній і магній|сима
Верхняя частка капітэлі калоны|абак
Верхняя частка званіцы, у якой мясцуюцца званы|звон
Верхняя частка гарнітура: куртка з адкладным каўняром|пінжак
Верхняя частка некаторых агародных раслін|бацвінне
Верхняя частка нагі чалавека|сцягно
Верхняя частка агароднай расліны|вяршкі
Верхняя частка аконнай вокладкі ці дзверы?|фрамуга
Верхняя частка парашута|купал
Верхняя частка пярэдняй паловы тулава|грудзі
Верхняя частка песціка ў кветцы|лычык
Верхняя частка памяшкання|антрэсоль
Верхняя частка рота|неба
Верхняя частка стрэльбавага ложа|цаўё
Верхняя частка рукі да локцевага сустава|плячо
Верхняя частка збудавання, якая ляжыць на калонах|антаблемент
Верхняя частка будынка|дах
Верхняя частка цвёрдага галаўнога ўбору|дно
Верхняя частка шафы з асобнымі дзверцамі; паліца пад столлю?|антрэсоль
Верхняя частка шафы з асобнымі дзверцамі|антрэсоль
Верхняя частка капялюша, шапкі, фуражкі (без аколышка, палі, брыля)|верх
Верхняя шырокая адзежа без рукавоў, накідка|плашч
Верхняя, якая пакрывае частка будынка|дах
Вярхоўная багіня ў рымскай міфалогіі|Юнона
Вярхоўнае бажаство ва ўсходніх славян|Пярун
Вярхоўнае бажаство ў манусела (о. Серам)|алахатала
