Ўсявышні|бог
Усякая запісаная гаворка, складанне|тэкст
Усякая манета некруглой формы|кліпа
Ўсякі лайдак упэўнены, што ... – не воўк і ў лес не ўцячэ?|праца
Ўсякі край, але не тэрыторыя|беражок
Усякі навар, рыбін, мясны|юшка
Ўсякі хлеб у збожжы ці на кораню|жыта
Ўсякі яд|таксін
Усякі, хто імкнуцца забіць цябе, усё роўна на чыёй ён боку. Джозаф Хеллер|вораг
Усякая жывая істота (устар.)|стварэнне
Ўсякая калючая расліна (устар.)|цёрн
Другая ступень ліку|квадрат
Другая мянушка Бима з аповесці Г. Троепольского|черноух
Другая па велічыні рака Паўднёвай Амерыкі|Арынока
Другарадныя элементы ў маляўнічай кампазіцыі|стаффаж
Другарадны, пасіўны ўдзельнік чаго-небудзь|статыст
Другое знізу калена складовай шчоглы судна|стэньга
Другое ў парадку старшынства званне салдата, а таксама салдат, які мае гэта званне|яфрэйтар
Другая назва выспы Корфу|Керкира
Другая назва Парыжскага ун-тая|сарбона
Другая назва грэцкай мовы|димотика
Другая назва дзесяціны, падатку на Русі|девятина
Другая назва нимфея, воднай травяністай расліны|гарлачык
Другая назва шатландскай мовы|гэльскі
Падабед у Старажытным Рыме|прандиум
Другі асобнік дакумента, што мае роўную з першым юрыдычную сілу|дублікат
Другі, галоўны і больш высокі паверх палаца, асабняка|бельпаверх
Другасныя змены ападкавых парод (геол.)|эпигенез
Другасны агмень ракавай пухліны ці інш. хваробы, які з'явіўся ў арганізме пры заражэнні з першага|метастаз
Другая Ларина|Вольга
Другая літара кірыліцы|букі
Другая дынастыя сегуноў у Японіі|Асикага
Другая жонка цара Аляксея Міхайлавіча?|Нарышкина
Другая жанчына, якая ў бясконцым серыяле пра Сансет-Бізун, ніяк не можа ўспомніць сваё мінулае|Марыя
Другая кніга Майсея (біблія)|зыход
Другая па даўжыні (пасля Волгі) рака Еўропы|Дунай
Другая па даўжыні рака “чорнага кантынента”|Конга
Другая спроба, падвойнае дзеянне і т. п.|дубль
Другая страфа ў антычнай лірыцы і драмат. хорах|антыстрафа
Другое прозвішча Чэрчыля гучала так?|Мальбара
Другая частка “штурхяля”, музычнай групы|флойд
Другая частка Аскании, запаведніка ва Ўкраіне|Новая
Другая частка кокі|кола
Другая частка прозвішча жывапісца Пятрова, які вывеў нябачаную пароду чырвоных канёў?|Водкин
Другаснае перажоўванне ежы ў некаторых жывёл|жованка
Другая страва|дзічына
Другое імя бога Апалона|Фебаў
Другое імя вялікага нямецкага фізіка Вільгельма Рэнтгена|Конрад
Другое імя вялікага навуковага Вільгельма Рэнтгена|Конрад
Другая назва Заіра|Конга
Другая назва Троі|Илион
Другая назва Фінляндыі|Суоми
Другая назва горада Аннаба (Алжыр)|Бон
Другая назва горада Кульджа ў Кітаі|Инин
Другая назва горада Теланайпура|Джамби
Другая назва о-ў Хонда|Хансю
Другая назва о-ў Хансю|Хонда
Другой у свеце касманаўт?|Цітоў
Другі дзень сёмухі?|Духоў
Падабед у Англіі і англоязычн. краінах|ланч
Падабед у Англіі і англоязычн. краінах|ленч
Другі кампанент любога выказвання, калі першы – тэма|рэма
Другі месяц французскага рэспубліканскага календара, які дзейнічаў у 1793–1805 гг.|брумер
Другой па велічыні пасля Еўразіі мацярык|Афрыка
Другой пасля патрыярха духоўны сан?|мітрапаліт
Другі цэнтр здабычы вугля ў Пячорскім басейне, калі першы – Варкута|Инта
Другі чэмпіён свету па шахматах|Ласкер
Другі асобнік рэчы|дублет
Другарадная багіня, якая ўвасабляе сілы прыроды|німфа
Другарадны чалец прапановы?|дадатак
Другарадны чалец прапановы?|акалічнасць
Другарадны чалец прапановы?|вызначэнне
Другсыравіна?|утыль
Вну?|інстытут
Вну?|універсітэт
Вну?|акадэмія
Внузскі “атэстат”|дыплом
Вулкан Минданао|Пунсова
Вулкан у Азіі|Аса
Вулкан у Азіі|Раунг
Вулкан у Азіі|Сламет
Вулкан у Антарктыдзе|Эребус
Вулкан у Афрыцы|Меру
Вулкан у Афрыцы|Целікі
Вулкан у Індыйскім акіяне|Фурнез
Вулкан у Інданэзіі?|Кракатау
Вулкан у Інданэзіі|Агунг
Вулкан у Інданэзіі|Ачунг
Вулкан у Інданэзіі|Семеру
Вулкан у Ісландыі|Гекла
Вулкан у Ісландыі|Катла
Вулкан у Італіі|Этна
Вулкан у Калумбіі|Паста
Вулкан у Акіяніі|Ясоур
Вулкан у Перу|Мисти
Вулкан у Сяўбу. Амерыцы|Катмай
Вулкан у Турцыі; горад у Арменіі|Арарат
Вулкан у Турцыі|Немрут
Вулкан у Ц. Амерыцы|Фузго
Вулкан у Эквадоры|Каямбе
Вулкан у Эквадоры|Сангай
Вулкан у Ю. Амерыцы|Ампато
Вулкан у Ю. Амерыцы|Мисти
Вулкан у Ю. Амерыцы|Самаха
Вулкан у Ю. Амерыцы|Толима
Вулкан у Юж. Амерыцы|Сахама
Вулкан у Японіі|Адзума
Вулкан у Японіі|Аса
Вулкан у Японіі|Аса
Вулкан у Японіі|Бандай
Вулкан у Японіі|Годзен
Вулкан у Японіі|Иваки
Вулкан у Японіі|Насу
Вулкан у Японіі|Сираке
Вулкан у Японіі|Текай
Вулкан у мексіцы?|Попокатепетль
Вулкан на Курыльскіх о-вах|Тата
Вулкан і рака на Камчатцы|Авача
Вулкан на Алеўцкіх о-вах|Акутан
Вулкан на Камчатцы|Ксудач
Вулкан на Камчатцы|Узонь
Вулкан на Камчатцы|Чаохч
Вулкан на Канарскіх о-вах|Тейде
Вулкан на Канарскіх выспах|Тейде
Вулкан на Курилах|Эбеко
Вулкан на Курыльскіх о-вах|Алаид
Вулкан на Курыльскіх о-вах|Эбеко
Вулкан на Курыльскіх выспах|Тата
Вулкан на о-ве Н. Гвінея|Манам
Вулкан на о-ве Ява|Гедзе
Вулкан на о-ве Ява|Мерапи
