Выдадзеныя грошы, тавар|выдача
Вылучаемая па якой-небудзь прыкмеце частка зямной паверхні, звычайна паміж дзвюма паралелямі ці мерыдыянамі|пояс
Вылучаемая ныркамі вадкасць, якая змяшчае ваду і адпрацаваныя арганізмам рэчыва|мача
Вылучаемая свядомасцю частка навакольнага свету|аб'ект
Выдзіманне шкла|выдзіманне
Выдумалі верх дасканаласці|ідэал
Выдумка з мэтай дэзарыентацыі атачальных|блеф
Выдумка, якой можна накарміць аматара казак|байка
Выдумкі|хлусня
Выманне ў дэталі|паза
Выманне ў прадмеце|паза
Выпаленае месца ў лесе|гар
Выпаленае месца ў стэпы, у лесе|апалы
Выпальванне сухой травы, рэштак пасеваў|апалы
Выцісканне з тэксту?|рэферат
Выцісканні цукровага бурака|прэс
Выжимной снарад (спорт.)|штанга
Выкліканае сэксуальнай узрушанасцю цвярдзенне мужчынскага палавога чальца, якое робіць магчымым палавы акт|эрэкцыя
Акрыянне ад несапраўднага сябе|каханне
Выклік на паўтор выканання|біс
Выкліканы рознасцю тэмператур воднай і зямной паверхні мясцовы вецер, дующий пры добрым надвор'і раніцай і ўвечар папярок берагавыя палосы мораў і буйных азёр|брыз
Выкліканы хим. прэпаратамі глыбокі сон са стратай свядомасці і болевай адчувальнасці, у які апускаюць хворага на час аперацыі|знячуленне
Выйгрыш; верш А. Ахматавай; марка аўтамабіля|перамога
Выйгрыш|перамога
Выкідак, неданосак, няварты чалавек|вывергнуў
Выкідак|аборт
Выключальнік шаляў|арэтыр
Выкуп за нявесту на Русі|вена
Выкуп за нявесту па мусульманскім звычаі|калым
Вымерлы буйны гад|дыназаўр
Вымерлы марскі гад|іхтыязаўр
Вымерлы гад атрада ящеротазовых дыназаўраў|диплодок
Вымерлы гад з атрада дыназаўраў|диплодок
Вымерлы дзікі конь шэрай масці з чорнымі грывай і хвастом, якая вадзілася ў стэпах Усходняй Еўропы|тарпан
Вымерлае млекопитающее сямействы сланоў|мамант
Вымерлае сім-у птушак отр. голубеобразных|дронты
Вымагальніцтва грошай (звычайна злачыннай групоўкай у прадпрымальнікаў у кантраляваным раёне) з ужываннем пагроз і гвалты|рэкет
Вымагальніцтва шляхам запалохвання і пагрозы|шантаж
Вымагальніцтва шляхам пагрозы разгалашэння якія кампраметуюць звестак?|шантаж
Вымагальніцтва з дапамогай шантажу|рэкет
Вымачаная лубяная частка кары маладой ліпы, выкарыстоўваная сялянамі для выраба рагожы|луб
Вымачаная лубяная частка кары маладой ліпы, падзеленая на вузкія палоскі: валокны, якія ідуць на выраб рагожы, кулёў|луб
Вымпел з коскамі?|гвидон
Выдумка|небыліца
Вымышл. горад у творах А. Грина|Зурбаган
Вымышл. горад у аповядах А. Грина; іт. жывапісец 17 ст.|Лисс
Выдуманая біяграфія сакрэтнага агента|легенда
Выдуманы партовы горад у шэрагу твораў А. Грина|Зурбаган
Выдуманае прозвішча Меркадера, забойцы Л. Троцкага|Морнар
Выдуманы горад у аповядах А. Грина|Лисс
Выдуманы народ з рамана “Машына часу” ангельца Герберта Уэллса|элои
Цягавітасць каня на даўжынь. дыстанцыі|стамина
Змушаны перасяленец з іншай краіны, гарады|уцякач
Выносіць з хаты|смецце
Цягавіты вярблюд|нар
Змушаная саступка чаму-небудзь|даніна
Змушаны сыход у лепшы свет|пакаранне смерцю
Выпадзенне органа вонкі|пролапс
Выпадзенне шерстного полага ў сабак|аллопеция
Выпечка для шафёра|абаранак
Выкананыя дзеянні, дзейнасць, роля, абавязкі|функцыя
Выпростванне чыгуначнага шляху|рыхтоўка
Выпростванне, величение аб'ёму і ацвярдзенне мужчынскага палавога чальца|эрэкцыя
Выпуск у зварот папяровых грошай ці каштоўных папер|эмісія
Выпуск у зварот папяровых грошай, каштоўных папер|эмісія
Выпуск у зварот грошай і каштоўных папер|эмісія
Выпуск дзяржавай ці прыватнымі аб'яднаннямі каштоўных папер, папяровых грошай|эмісія
Выпуск кнігі, газеты|выданне
Выпуск канёў са стайні для шпацыру, агляду|кодлы
Выпуклая форма для друку ці цісненні|патрица
Выпуклы скульптурны малюнак, якое выступае над плоскасцю  на палову аб'ёму прадметаў|барэльеф
Выпадальнае шчасце|жэрабя
Выпадзенне рухальных функцый?|параліч
Выпараны сок з лісця альясу|сабур
Выпечка з цеста з начыннем|пірог
Выпечка з разынкамі|кекс
Выпечка|заправа
Выпіс з бухгалтарскіх дакументаў, рахункаў і т. п.|бордеро
Выпіўка (слэнг)|кір
Выпіўка за так|дарэмшчына
Выплаты на ўтрыманне дзіцяці|аліменты
Выплаты, якія па ўмове мірнай дамовы плаціць пераможаная ў вайне бок|кантрыбуцыя
Выкананне дзеянняў без кантролю свядомасці?|аўтаматызм
Выкананне дзеянняў у аплату за прычыненае зло, ажыццяўленне адплаты|помста
Выкананая ўсім калектывам спешная праца|аўрал
Выпростванне сцеблаў у раслін|аўтатрапізм
Выпуклая замкнёная плоская крывая|авал
Выпуклая костка чэрапа ніжэй вока, над верхняй часткай сківіцы|скула
Выпуклы дах, збор у выглядзе паўшар'я|купал
Выпуклы дах?|купал
Выпуклая плоская замкнёная крывая|авал
Выпуклая частка нагі над ступнёй|уздым
Выпуклы малюнак на плоскасці?|рэльеф
Выпуклае перакрыцце над вялікімі заламі, будынкамі і збудаваннямі|купал
Выпускнік сярэдняй навучальнай установы (устар.)|абітурыент
Выпускнік сярэдняй навучальнай установы|абітурыент
Выпускніца з лука|страла
Выпінанне вачэй|выкочванне
Вып'ем з гора. Дзе ж кружка? (імя адрасата)|арына
Выпрацоўваемая мужчынскімі палавымі органамі насенная вадкасць, якая змяшчае палавыя клеткі|сперма
Выпрацоўваемае арганізмам біялагічна актыўнае рэчыва|гармон
Выпрацоўваецца ў мам|малако
Выпрацаваны звычаем, традыцыйны парадак здзяйснення якіх-небудзь важных дзеянняў, церк. абрадаў|рытуал
Выраз сяброўскага размяшчэння|прывітанне
Выраз твару чалавека, якое суправаджаецца характэрнай мімікай|усмешка
Выраз невымоўнага?|уздых
Выраз незадаволенасці каму-або|папрок
Выраз незадавальнення з нагоды чаго-небудзь непрыемнага|скарга
Выраз незадавальнення, неўхваленні|папрок
Выраз скрухі па памерлым, ахвярам бедства і т. п.|жалоба
Выраз пачуцця асабістай прыязнасці, добрага пажадання|прывітанне
Выраз, у якім не цалкам выказаная думка можа быць зразумета па здагадцы|намёк
Выраз, якое жонка можа “кінуць” мужу, ці нават “абсыпаць” яго|папрок
Выяўленая парламентам шляхам галасавання адзнака дзейнасці ўрада|вотум
Выразна вымаўленая доўгая фраза, рэпліка|тырада
Выразны рух твару|міна
Выразнасць, маляўнічасць|бляск
Выразнасць, сіла выраза?|экспрэсія
Выгадаваны на мяса кураня ва ўзросце да 70 сутак, а таксама маладняк інш. птушкі?|бройлер
Якое гадуецца на градах расліна|овощ
Гадоўля раслін без глебы апырскваннем каранёў, што вісяць у паветры, пажыўным растворам?|аэрапоніка
Гадоўля раслін без глебы шляхам апырсквання каранёў|аэрапоніка
Гадоўля скаціны на мяса|адкорм
Гадоўля гэтага овоща, як лічаць псіхолагі, павялічвае ў агародніку агрэсіўнасць?|лук
Выраз|выманне
Які звёўся нашчадак булавы (кухонн.)|качалка
Выраст з касцянога рэчыва на чэрапе некаторых жывёл|рог
Выраст, звычайна полая адукацыя, якое вырастае ў органе пры хваробе (мёд.)|кіста
Выраст, які развіваецца вакол насення, што спрыяе распаўсюду насення, з'яданых птушкамі|ариллус
Выручка ад рэалізацыі прадукцыі|прыбытак
Высадка войскаў на варожую тэрыторыю|дэсант
Выказванне тыпу: “Быў палкоўнік, стаў нябожчык”|антытэзіс
Выказванне, да якога не варта ставіцца сур'ёзна|жарт
Выслухванне, метад мёд. даследаванні внутр. органаў|аўскультацыя
Высокая балотная трава|мячэўнік
Высокая дзяржаўная ўзнагарода, яе нагрудны знак|ордэн
Высокі земляны насып|вал
Высокі зімовы і балотны абутак|бот
Высокая капітальная агароджа|сцяна
Высокая футравая шапка|кучомка
Высокая думка|ідэя
Высокі абутак, якая ахоплівае галёнка|бот
Высокі пірамідальны чатырохкантовы ці васьмігранны дах|шацёр
Высокая платформа, на якой узводзіліся антычныя храмы|подыум
Высокая падстаўка для нот (дирижерский ...)|пульт
Высокая скала|уцёс
Высокая ступень натхнення, уздыму, спароджаная імкненнем да дасягнення важнай мэты?|запал
Высокая тэмпература хворага|жар
Высокая тэмпература цела|жар
Высокія футравыя боты|унты
