Горад у Індыі|Сринагар
Горад і крэпасць у наўгародскай зямлі|Копорье
Горад і порт у Аўстраліі|Адэлаіда
Горад і порт у Сірыі|Латакия
Горад і порт у Кеніі|Момбаса
Горад і порт у Грэцыі на выспе Крыт|Ираклион
Горад і порт у Італіі, цэнтр аднайменнай правінцыі|Ливорно
Горад і порт у Японіі, цэнтр прэфектуры|Токусима
Горад і порт у Японіі|Сасебо
Горад і порт на Філіпінах|Баколод
Горад і правінцыя ў Іспаніі|Аликанте
Горад і правінцыя ў Італіі|Бергама
Горад і правінцыя ў Італіі|Пескара
Горад і правінцыя ў Італіі|Таранто
Горад да поўдня ад Парыжа|Лонжюмо
Горад на поўн. Італіі|Балоння
Горад на поўначы Турцыі, порт на Чорным моры|Эрегли
Горад на паўночным усходзе ЗША|Рочестер
Горад на паўночным захадзе ЗША|Сіэтл
Горад на Кіпры|Ларнака
Горад на возеры Ильмень|Осташков
Горад на Балканах, з-за інцыдэнту ў якім пачалася першая сусветная вайна|Сараево
Горад на Волзе (у адной з навэл штаб-кватэра эсэраў)|Саратаў
Горад на Захадзе ЗША, прыгарад Лос-Анжэлеса|Торранс
Горад на Ўкраіне (у 1935–58 і 1970–90 Варашылаўград)|Луганск
Горад на Ўкраіне|Бярыслаў
Горад на Ўкраіне|Вінніца
Горад на Ўкраіне|Дрогобыч
Горад на Ўкраіне|Дубляны
Горад на Ўкраіне|Жытомір
Горад на Ўкраіне|Жмеринка
Горад на Ўкраіне|Золочев
Горад на Ўкраіне|Иловайск
Горад на Ўкраіне|Ильинцы
Горад на Ўкраіне|Казатин
Горад на Ўкраіне|Ладыжин
Горад на Ўкраіне|Любомль
Горад на Ўкраіне|Абухоў
Горад на Ўкраіне|Радехов
Горад на Ўкраіне|Хмяльнік
Горад на Ўкраіне|Чарнігаў
Горад на Ўкраіне|Шаргород
Горад на Філіпінах|Батангас
Горад на ўсходзе ЗША|Балтымор
Горад на заходнім узбярэжжы Афрыкі|Нуакшот
Горад на поўдні Іспаніі|Севілля
Горад на паўднёвым усходзе ЗША, адміністрацыйны цэнтр штата Віргінія|Рычманд
Горад нефтянников у Валгаградскай вобласці|Фролово
Горад паўднёва-заходней Берліна|Патсдам
Горад, пра які шматлікія пазналі толькі ў сувязі з вайной у Чачні|Хасавюрт
Горад, заснаваны рускімі ў Кітаі|Далёкі
Горад, радзіма А. П. Чэхава|Таганрог
Горад, хакейная каманда якога выступае ў НХЛ|Ванкувер
Горад, які быў рэзідэнцыяй імператара Паўла I|Гатчина
Горад, у якім нарадзіўся А. Рублев|Раданеж
Горад, у якім нарадзіўся Антон Паўлавіч Чэхаў|Таганрог
Горад, у якім знаходзіцца школа па падрыхтоўцы сабак-правадыроў для сляпых|Купавна
Горад, які ўваходзіць у Залатое кольца Расіі|Ноўгарад
Горад, што ўваходзіць у Залатое кольца Расіі|Рыбинск
Горад, дзе жыве аўтар гэтай праграмы|Іркуцк
Горад, дзе прайшло дзяцінства А. Гайдара|Арзамас
Горад, дзе здабываюць ці ледзь не лепшы мармур у свеце|Каррара
Горад, дзе знаходзіўся замак караля Артура|Камелот
Горад, які мае хакейную каманду РХЛ|Саратаў
Горад, што мае хакейную каманду ў РХЛ|Тальяці
Горад, які мае футбольную каманду вышэйшай лігі|Варонеж
