Паветраны абардаж|таран
Ваяр з аўтаматам|аўтаматчык
Ваяр, баец|салдат
Ваяр, салдат|ратнік
Ваяр-апалчэнец у старой Расіі|ратнік
Ваяр; той, хто актыўна змагаецца за перамогу; працоўны на бойні|баец
Ваяр?|віцязь
Ваяр|баец
Вайсковая група, якая абслугоўвае прылада, кулямёт|разлік
Вайсковая адзінка|узвод
Вайсковая частка ці падраздзяленні, што перавозяцца ў цягніку (ці на судне)|эшалон
Вайсковая частка|полк
Вайсковыя фармаванні, прызначаныя для стварэння новых і ўзмацненні дзейсных груповак?|рэзерв
Вайсковы даклад|рапарт
Вайсковы атрад для суправаджэння транспарта?|канвой
Вайсковы цягнік|эшалон
Вайсковы лад шэрагам?|фронт
Вайсковае заданне, поручаемая вайскоўцу праца|убор
Вайсковае званне (ад араб. “амир аль”)?|адмірал
Вайсковае званне Швачка|салдат
Вайсковае званне ў ваенна-марскім флоце?|адмірал
Вайсковае званне ў ваенна-марскім флоце|мічман
Вайсковае званне ў рускім войску 17–19 стст.|капрал
Вайсковае званне вышэйшага афіцэрскага складу|адмірал
Вайсковае званне вышэй генеральскага, прысвойванае за выбітныя заслугі ў кіраўніцтве войскамі, а таксама твар, якое мае гэта званне|маршал
Вайсковае званне вышэй генеральскага|маршал
Вайсковае званне, чын|дзяншчык
Вайсковае званне, чын|кадэт
Вайсковае званне, чын|камдзіў
Вайсковае званне|маёр
Вайсковае адрозненне|званне
Вайсковае падраздзяленне НАМИБ|убор
Вайсковае падраздзяленне, што нясе ўнутраную ці вартавую службу|убор
Вайсковае падраздзяленне, якое нясе ахову|варта
Вайсковае падраздзяленне; 11-й прэзідэнт ЗША; адм.-террит. адзінка на Ўкраіне (16–18 стст.)|полк
Вайсковае падраздзяленне; скончанае вылічэнне|разлік
Вайсковае падраздзяленне|войска
Вайсковае падраздзяленне|узвод
Вайсковае падраздзяленне|звяно
Вайсковае падраздзяленне|варта
Вайсковае падраздзяленне|убор
Вайсковае падраздзяленне|атрад
Вайсковае падраздзяленне|полк
Вайсковае падраздзяленне|разлік
Вайсковае падраздзяленне|рота
Вайсковае падраздзяленне|флот
Вайсковае падраздзяленне|фронт
Вайсковае падраздзяленне|частка
Вайсковае падраздзяленне|экіпаж
Вайсковае суправаджэнне пры пахаванні вайскоўцаў|эскорт
Ваяўніча-пагрозлівы стан|агрэсіўнасць
Ваяўнічы сын Зеўса і Геры|арес
Лямец у зброевым патроне|клак
Лямец пад сядлом ці подсядзёлкам|потнік
Войлоч. шацёр у народаў Ср. Азіі і Каўказа|алачыг
Войлочн. шацёр эллиптич. формы ў тюркоязычн. народаў|алачик
Лямцавыя боты|буркі
Лямцавы дыван з вярблюджай ці воўны|кошма
Лямцавы каўпак, носны рускімі сялянамі|яломок
Вайна за веру ў мусульман|джыхад
Вайна са сваім здароўем?|п'янства
Войскі, высаджаныя на тэрыторыю суперніка|дэсант
Войскі, якія абараняюць апорны пункт, крэпасць?|гарнізон
Войска захопнікаў|арда
Войска, стваранай у дапамогу рэгулярнага войска?|апалчэнне
Вайсковая гаспадарчая група вазоў|абоз
Вайсковае аб'яднанне|войска
Вайсковае падраздзяленне Запарожскай Сечы і яго жылыя памяшканні|курэнь
Вайсковае падраздзяленне|сотня
Вайсковы атаман Данскога казачага войска, удзельнік Айчыннай вайны 1812 г.|Платов
Вок.-инстр. ансамбль|полымя
Вакаліст “залатога складу” групы “Dеер Рurрlе”|Гиллан
Вакаліст падчас сну|храпун
Вакаліст групы “U-2”|Бона
Вакаліст і клавішнік са знакамітага швецкага квартэта “АВВА”|Андерссон
Вакалістка ў суправаджэнні хору?|салістка
Вакальная ці інструментальная муз. п'еса задуменнага, сумнага характару|элегія
Вакальная партыя ў рымскай камедыі|канцік
Вакальна-інструментальны ансамбль, вынік “самазагарання” “Самацветаў”|полымя
Вакальна-інструментальны ансамбль|орэра
Вакальна-иструментальный жанр у музыцы Азербайджана|мугам
Вакальнае мастацтва|спеў
Вакальны твор для аднаго голасу|арыя
Вакальны твор для трох галасоў|тэрцэт
Вакальны ансамбль з трох выканаўцаў, напрыклад, у оперы|тэрцэт
Вакальны ансамбль, выпестовавший Вахтанга Кикабидзе|орэра
Вакол магілкі|агароджа
Вакол гэтага маленькага чорнага прадмета кіпіць запал на хакейнай пляцоўцы|шайба
Воланд Фаўста?|Мефістофель
Рос. валейбаліст|Зайцаў
Валейбаліст і хакеіст у адным твары (прозвішча)|Якушаў
Валейбольная пограничница|сетка
Воўк у лацінскім гучанні прымаўкі “Чалавек чалавеку – воўк”|люпус
Воўк-адзіночка?|мармоль
Хваля ад землятрусу|цунамі
Хваля з баранчыкам пены, якая разбіваецца ў скал|бурун
Хваля-гара?|цунамі
Хваляванне ў моры, падобна на рух пов-ти кіпячай вады|судой
Хваляванне перад іспытамі|трапятанне
Хваляванні, беспарадкі на старадаўні лад|смута
Хвалістая паверхня матэрыялу|гофр
Хвалепадобныя рытмічныя скарачэнні сценак органаў стрававання?|перыстальтыка
Хвалярэз|маўляў
Пакрывец, травяністая расліна, пустазелле|анхуза
Волога|юха
Валагоцкая вобл. (горад)|Тотьма
Цяганіна|бабнік
Цяганіна|фат
Кудзелістая тканіна некаторых раслін, якая ідзе на выраб прадзіва|луб
Кудзелістая тканіна раслін, па якой перасоўваюцца арганічныя рэчывы|луб
Кудзелістая частка лёну|кудзеля
Кудзелісты мінерал, теплоизолятор|азбест
Кудзелісты мінерал, шырока ўжывальны дзякуючы сваёй вогнеўстойлівасці, неэлектропроводности, кіслата- і щелочеупорности|азбест
Кудзелісты распушаны матэрыял, што ўжываецца ў медыцыне, для якія ўцяпляюць пракладак|вата
Кудзелісты светлы вогнетрывалы мінерал класа силикатов|азбест
Валакно з канопляў|пянька
Валакно з лісця агавы (изгот. грубіянскія тканіны, вяроўкі)|сизаль
Валакно лёну для прадзіва|кудзеля
Валакно, якое атрымліваецца з пладоў хлопчатого дрэва|капок
Валакно, што ўжываецца пры вырабе прадзіва|бавоўна
Валасатая пратэкцыя|рука
Валасаты нагубник|вусы
Воласць у калмыкаў, буратаў і якутаў у старой Расіі|улус
Воласць у цюрак|улус
Валасы над верхняй губой у мужчын; данскі казак, паплечнік Сцяпана Разіна|вус
Валасы над верхняй губой у мужчын|вус
Валасы над верхняй губой|вусы
Валасы, якія ігнаруюць закон росту|парык
Валасяны полаг Землі|флора
Валасяны полаг жывёлы|поўсць
Валасяны полаг на ніжняй частцы твару ў мужчын|барада
Што валачэцца ззаду падоўжаная частка падола жаночай сукенкі|шлейф
Які валачэцца край жаночай сукенкі?|шлейф
Ваўчыны апетыт|жор
Ваўчыны блюз на месяц|выццё
Ваўчыны лідар|важак
Волчник, травяністая расліна|дафна
Турок|ваўчок
Ваўчыны натоўп|зграя
Чараўнік, чарадзей, штукар|чараўнік
Чараўнік, чарадзей|вядзьмак
Чараўнік|вяшчун
