Віхура вектарнага поля|ротар
Уладар царства ценяў нябожчыкаў у інш.-греч. міфалогіі|Аид
Вільготная гангрэна на твары|нома
Вільготная маса з сілікатных матэрыялаў (у вырабе керамічных вырабаў)|шликер
Влажнотропический лес|гилея
Вільготныя экватар. трапічныя лясы ў Бразіліі|сельва
Вільготныя паўднёвыя лісцяныя лясы ў поймах рэк|левада
Вільготны трапічны лес|гилея
Ўладар Залатой Арды|хан
Уладар уладароў|грошы
Ўладар апраметнай|сатана
Ўлада, не якая ўвайшла ў прызёры (4 улада)|прэса
Ўлада, што забяспечвае панаванне таму ці іншаму класу?|дыктатура
Ўлада, з якой не можа быць пагаднення, пакуль яна над табой|няволя
Ўлада|дыктат
Цяга, імкненне да дзейнасці, заняткам, а таксама адоранасць|схільнасць
Уплыў, павага, якім карыстаецца хто-небудзь|прэстыж
Уплыў раслін аднаго выгляду на расліны інш. выгляду|аллелопатия
Ўплыў, аказваемае раслінамі адных выглядаў на расліны іншых выглядаў у выніку вылучэння імі розных рэчываў|алеллопатия
Ўплывовы твар|аўтарытэт
Уплывовая частка рукі|лапа
Ўплывовы афінянін, дамогся выгнанні Клисфена|Исагор
Закаханая прынцэса, якая чакае на небе свайго пастуха|панна
Закаханы ў Сібір і што заваяваў яе|Ярмак
Ёмішча з вузкай шчылінай для апускання манет з мэтай назапашвання|скарбонка
Ёмішча ў аўтамабілі, прыстасаванне ў ровара, матацыкла для перавозкі паклажы|багажнік
Ёмішча для вадкасцяў|ёмістасць
Ёмішча для вадкіх і сыпкіх целаў|ёмістасць
Ёмішча для чаго-небудзь у выглядзе скрыні|скрынка
Ёмішча, бутэлька, слоік|ёмістасць
Ёмішча для вадкіх і сыпкіх целаў|пасудзіна
Ёмішча для смецця|урна
Ёмішча для сыпкіх матэрыялаў?|бункер
Ёмішча для захоўвання і засцярогі чаго-небудзь|футарал
Ёмішча для захоўвання, засцярогі чаго-небудзь|футарал
Ёмішча для чаго-небудзь звычайна чатырохкутнай формы|скрыня
Ёмішча са сценкамі з драўляных клёпак, абцягнутае абручамі|кадка
Занесеныя завошта вось грошы|унёсак
Пазасістэмная адзінка яркасці|ламберт
Пазашлюбны муж|палюбоўнік
Укараненне ў зямную кару расплаўленай магмы|интрузия
Раптам надыходзячае парушэнне мазгавога кровазвароту|інсульт
Раптоўная і звычайна паўтаральная вострая праява хваробы|прыпадак
Раптоўнае распагоджанне свядомасці, яснае разуменне чаго-небудзь|азарэнне
Вонкавая ўмоўная прыстойнасць, добрапрыстойнасць|дэкорум
Вонкавая прылада ЭВМ|дыскавод
Вонкавая прыстойнасць, становішча належная пасады, становішчу|дэкорум
Вонкавыя знакі манархічнай улады|рэгаліі
Вонкавы выгляд матэрыялу, вызначаны характарам апрацоўкі, будынкі|фактура
Вонкавы выгляд чалавека|аблічча
Вонкавая нагода навошта-небудзь|падстава
Вонкавая прыкмета хваробы|сімптом
Вонкавая прыкмета, вонкавая праява чаго-небудзь|сімптом
Вонкавая частка гавані|аванпорт
Вонкавая частка порта, дзе стаяць судны, якія чакаюць падыходу да прычалаў|аванпорт
Вонкавая частка электрич. шнура|аплётка
Ўнослы замяшанне, разлад, смуту|чмут
Унук сына|праўнук
Унук Чынгісхана, які абагавіў свайго дзядулю|Хубилай
Унутраны строй памяшкання|інтэр'ер
Унутраная прылада машыны, прыбора, апарата, што прыводзіць іх у дзеянне|механізм
Унутранае ўмацаванне ў рускім сярэднявечным горадзе|дзяцінец
Унутраная прастора будынка, памяшканні, а таксама яго прылада, строй|інтэр'ер
Унутранае трэнне|глейкасць
Унутранасць мяккай цацкі|набіванне
Ўнутраныя надпісы ў кадры, напр., з перакладам|субтытры
Внутренниие памяшканні будынка, разгляданыя з пункту гледжання іх архітэктурнага і мастацкага афармлення|інтэр'ер
Унутраны орган чалавека, жывёлы|страўнік
Унутраны орган чалавека|селязёнка
Ўнутраны орган, патрэбны толькі для таго, каб укладваць чалавека на аперацыйны стол|апендыкс
Унутраны голас|інтуіцыя
Ўнутраны дадатковы сэнс выказвання|падтэкст
Унутраная частка сцябла і кораня, акружаная першаснай карой (ботан.)|стэла
Ўнутраная, звернутая да каня частка нагі вершніка ад калена да шчыкалаткі, якая дапамагае кіраваць канём|шэнкель
Внутрикомпьютерный знаўца арфаграфіі|спеллер
Внутриклеточн. часціца, осуществляющ. біясінтэз бялку|рыбасома
Ўнутрыклеткавая паліцыя|лізасома
Ўнучка бога сонца Геліяса|Арыядна
Спачатку ён добранька папрацаваў заднімі канечнасцямі. Затым – адным з органаў пачуццяў. А што ён зрабіў потым?|перамог
Пазашлюбны сын ад рабыні|рабич
Укараненне ў вытворчасць дасканалых прыбораў, прыстасаванняў, машын|аўтаматызацыя
Раптоўная думка, натхненне|натхненне
Раптоўнае капрыз|капрыз
Раптоўная праверка, вырабляная грамадскасцю|рэйд
Раптам насталы востры прыступ хваробы|крыз
Раптам прыйшэлая думка, натхненне|натхненне
Раптам разбагацелы чалавек|набоб
Раптоўны кароткі стан непрытомнасці|абсанс
Раптоўны напад, уварванне|набег
Раптоўны напад|напад
Раптоўнае абвастрэнне хваробы|крыз
Раптоўнае азарэнне, здагадка|натхненне
Раптоўнае азарэнне?|натхненне
Раптоўнае псіх. засмучэнне; навэла С. Цвейга|амок
Раптоўнае псіх. засмучэнне|амок
Раптоўны набег|наскок
Раптоўны імклівы і кароткі ўдар па суперніку|набег
Занясенне грошай за куплю|аплата
Пазасістэмная адзінка атмасфернага ціску|торр
Пазасістэмная адзінка ціску|атмасфера
Пазасістэмная адзінка ціску|бар
Пазасістэмная адзінка даўжыні|ангстрэм
Пазасістэмная адзінка лінейнай шчыльнасці валокнаў|текс
Пазасістэмная адзінка пляца|сотка
Пазасістэмная адзінка, якая характарызуе ўздзеянне радыяцыйнага апрамянення на жывыя арганізмы|бэр
Пазасістэмная традиц. марская адзінка хуткасці, 1 марская міля ў гадзіну ці 1,852 км/г, 0,5144 м/с|вузел
Вонкавае кантрольнае абследаванне|агляд
Вонкавае выяўленне, прыкмета чаго-небудзь|знак
Вонкавы абрыс чаго-небудзь|контур
Вонкавы абрыс, вонкавы выгляд прадмета|форма
Замежнагандлёвая дамова куплі-продажы|фоб
Вонкавыя абрысы, бачная паверхня чаго-небудзь|аблічча
Вонкавыя формы паводзін|манера
Вонкавыя формы паводзін|манеры
Вонкавы выгляд і целасклад жывёлы?|экстэр'ер
Вонкавы выгляд, дэманстрацыйны ўзор|макет
Вонкавы выгляд, выгляд|аблічча
Вонкавы выгляд, формы (прадмета, інтэр'еру і т. п.)|дызайн
Вонкавы контур корпуса судна|абвод
Знешнасць чалавека|аблічча
Знешнасць, манера трымаць сябе|выправа
Знешнасць, аблічча|выгляд
Вонкавая газападобная абалонка Землі|атмасфера
Вонкавая вытанчанасць, вытанчанасць|арыстакратызм
Вонкавая абалонка пыльцевого збожжа кветкавых раслін|экзина
Вонкавая пышнасць, урачыстасць|помпа
Пазаштатны лекар|інтэрн
Увага, клопат|апека
Ўвага, клопат|сыход
Увага, апека, сыход|клопат
Увага, сыход|клопат
Унук Теодориха|аларих
Унутранае афармленне будынка?|інтэр'ер
Унутранае поле франтона|тымпан
Унутранае памяшканне антычнага храма|целла
Ўнутранае памяшканне магільні, звычайна ніжэй узроўня зямлі, пад царквой ці на могілкі|склеп
Унутранае памяшканне карабля пад ніжняй палубай|трум
Унутранае ўтрыманне, значэнне чаго-небудзь, спасціганае розумам|сэнс
Унутранае вуха хрыбетных жывёл і чалавека?|лабірынт
Унутраныя памяшканні, пакоі (устар.)|пакоі
Ўнутраны вадаём колцавых каралавых выспаў (атолаў)|лагуна
