Горад у Крыму|Джанкой
Горад у Расіі, Варонежская вобл.|Богучар
Горад у Расіі, Варонежская вобл.|Россошь
Горад у Расіі, Валагоцкая вобл.|Вытегра
Горад у Расіі, Валагоцкая вобл.|Кірылаў
Горад у Расіі, Валагоцкая вобл.|Никольск
Горад у Расіі, Валгаградская вобл.|Дубовка
Горад у Расіі, Валгаградская вобл.|Урюпинск
Горад у Расіі, Уладзімірская вобл.|Меленки
Горад у Расіі, Дагестан|Буйнакск
Горад у Расіі, Іванаўская вобл.|Тейково
Горад у Расіі, Ліпецкая вобл.|Задонск
Горад у Расіі, Ліпецкая вобл.|Лебедянь
Горад у Расіі, Мардовія|Ардатов
Горад у Расіі, Мардовія|Тэмнікаў
Горад у Расіі, Мурманская вобл.|Палярны
Горад у Расіі, Пскоўская вобл.|Новоржев
Горад у Расіі, Пскоўская вобл.|Пыталово
Горад у Расіі, Пермская вобл.|Чердынь
Горад у Расіі, Пензенская вобл.|Гарадзішча
Горад у Расіі, Пензенская вобл.|Кузнецк
Горад у Расіі, Пензенская вобл.|Никольск
Горад у Расіі, Чалябінская вобл.|Залатавуст
Горад у Расіі, Чалябінская вобл.|Копейск
Горад у Расіі, Чалябінская вобл.|Юрюзань
Горад у Расіі, Чыцінская вобл.|Сретенск
Горад у Расіі, Якутыя|Вилюйск
Горад у Расіі, Якутыя|Нерюнгри
Горад у Расіі, у якім з'явіўся першы жалезны завод (1623 г.)|Туринск
Горад у Расіі, прыстань на Ацэ, Разанская вобл.|Касімаў
Горад у Расіі|Белгарад
Горад у Расіі|Волагда
Горад у Расіі|Дудзінка
Горад у Расіі|Кемерава
Горад у Расіі|Рябинск
Горад у Расіі|Салехард
Горад у Расіі|Смаленск
Горад у Расіі|Таганрог
Горад у Расійскай Федэрацыі, найбуйны горад Інгушэціі|Назрань
Горад у Румыніі, адміністрацыйны цэнтр жудеца Долж|Крайова
Горад у Румыніі|Бистрица
Горад у Румыніі|Питешти
Горад у Румыніі|Плоешти
Горад у Румыніі|Фокшани
Горад у Таджыкістане|Ходжент
Горад у Тамбоўскай вобласці|Уварово
Горад у Татарстане, радзіма мастака І. Шышкіна|Елабуга
Горад у Татарстане, на рацэ Кама|Елабуга
Горад у Ташк. вобл. (у 16 км ад чыг станцыі Кучлук)|Аккурган
Горад у Ташкенцкай вобласці Ўзбекістана|Паркент
Горад у Туркменістане|Чарджоу
Горад у Турцыі. Яго назва вельмі дзівіць рускіх вандроўцаў|Нідзе
Горад у Тульскай вобласці|Данскі
Горад у Цвярской вобл., прыстань на Волзе|Старыца
Горад у Цвярской вобл.|Бологое
Горад у Цвярской вобл.|Доронин
Горад у Цвярской вобл.|Конаково
Горад у Цвярской вобл.|Осташков
Горад у Цюменскай вобласці|Урэнгой
Горад у Херсонскай вобласці|Каховка
Горад у Башкартастане|Белорецк
Горад у Башкартастане|Салават
Горад у Башкартастане|Туймазы
Горад у Башкірыі, на рацэ Белая|Салават
Горад у Беларусі|Глыбокае
Горад у Беларусі|Докшыцы
Горад у Беларусі|Дуброўна
Горад у Беларусі|Коссово
Горад у Беларусі|Магілёў
Горад у Беларусі|Пінск
Горад у Беларусі, на рацэ Бярэзіна|Бабруйск
Горад у Беларусі|Высокае
Горад у Беларусі|Драгічын
Горад у Беларусі|Камянец
Горад у Белгарадскай вобл.|Шебекино
Горад у Балгарыі, каля якога знаходзіцца АЭС|Козлодуй
Горад у Балгарыі|Габрово
Горад у Балгарыі|Кырджали
Горад у Балгарыі|Хасково
Горад у Бранскай вобл.|Жуковка
Горад у Бірме|Мандалай
Горад у Вялікабрытаніі, дзе праходзяць штогадовыя шахматныя турніры|Гастингс
Горад у Вялікабрытаніі, летняя рэзідэнцыя каралевы|Виндзор
Горад у Вялікабрытаніі|Белфаст
Горад у Вялікабрытаніі|Иммингем
Горад у Вялікабрытаніі|Нотынгем
Горад у Вялікабрытаніі|Ньюкасл
Горад у Вялікабрытаніі|Портсмут
Горад у Вялікабрытаніі|Солсбери
Горад у Вялікабрытаніі|Стокпорт
Горад у Вялікабрытаніі|Уімблдон
Горад у Вугоршчыне|Веспрем
Горад у Вугоршчыне|Дебрецен
Горад у Вугоршчыне|Мишкольц
Горад у Варонежскай вобл., выбітнасцю якога з'яўляюцца палацы і паркі|Павловск
Горад у Валагоцкай вобл.|Никольск
Горад у Валагоцкай вобл.|Харовск
Горад у Валгаградскай вобласці|Харовск
Горад у Валынскай вобл.|Иваничи
Горад у Вінніцкай вобласці|Немиров
Горад у Нямеччыне на рацэ Рэйн|Мангейм
Горад у Нямеччыне, у якім размешчаны Вагнераўскі мемарыяльны тэатр|Байрейт
Горад у Нямеччыне, у якім праходзіў вядомы судовы працэс|Нюрнберг
Горад у Нямеччыне, месца правядзення традыцыйных міжнародных кірмашоў|Лейпцыг
Горад у Нямеччыне, на рацэ Эльба|Дрэздэн
Горад у Нямеччыне|Гамбург
Горад у Нямеччыне|Дортмунд
Горад у Нямеччыне|Дуйсбург
Горад у Нямеччыне|Патсдам
Горад у Нямеччыне|Цвиккау
Горад у Нямеччыне|Штутгарт
Горад у Галандыі, у якім Пётр I навучаўся навуцы караблебудавання|Саардам
Горад у Грэцыі|Неаполис
Горад у Грузіі, сталіца Колхидского і Имеретинского царстваў|Кутаиси
Горад у Грузіі|Кварели
Горад у Грузіі|Ланчхути
Горад у Грузіі|Очамчира
Горад у Грузіі|Цхинвал
Горад у Грузіі|Чиатура
Горад у Дагестане|Кизилюрт
Горад у Дагестане|Хасавюрт
Горад у Данецкай вобласці|Горловка
Горад у Іспаніі, прыгарад Барселоны|Тарраса
Горад у Іспаніі, цэнтр зброевай вытворчасці|Герника
Горад у Іспаніі|Аранхуэс
Горад у Іспаніі|Бадалона
Горад у Іспаніі|Кордова
Горад у Іспаніі|Сарагоса
Горад у Іспаніі|Севілля
Горад у Іраку, старажытная сталіца Мідыі і найстары цэнтр ковроделия|Хамадан
Горад у Юдэю, дэ нарадзіўся І. Хрыстос|Віфлеем
Горад у Іванаўскай вобл.|Заволжск
Горад у Іванаўскай вобл.|Матрошка
Горад у Іванаўскай вобл.|Тейково
Горад у Іванаўскай вобл.|Юрьевец
Горад у Інданэзіі|Бандунг
Горад у Індыі|Аллахабад
Горад у Індыі|Бангалор
Горад у Індыі|Биканер
Горад у Індыі|Джайпур
Горад у Індыі|Лакхнау
Горад у Індыі|Мадурай
