Выгляд матылька|сатыр
Выгляд клеткі ў багавіння|акинета
Выгляд клёцак у татарскай кухні|чумар
Выгляд дывана|палас
Выгляд скуры|лосина
Выгляд скуры|саф'ян
Выгляд скуры|шаўрэт
Выгляд скуры|юхт
Выгляд каўбасы|салямі
Выгляд кальчугі|байдан
Выгляд камунікатыўнай дзейнасці чалавека|гаворка
Выгляд кандытарскага цеста і вырабаў, блізкі да бісквітных|женуаз
Выгляд коннага спорту|скокі
Выгляд конных спаборніцтваў|дэрбі
Выгляд цукеркі?|дражэ
Выгляд короткохвостого папалохаючы|амазона
Выгляд ускоснага падатку на тавары масавага спажывання|акцыз
Выгляд касметыкі|крэм
Выгляд кароткатэрміновага камерцыйнага крэдыту|анколь
Выгляд крапяжу, якім не карысталіся рускія цясляры|цвік
Выгляд круп|вабіка
Выгляд даху|бочка
Выгляд даху|дах
Выгляд кузава аўтамабіля|фургон
Выгляд ластаўкі|касатка
Выгляд лячэбнай мазі|бальзам
