Восьмиэлектродная электронная лямпа|октод
Час залатое: есць і п'е, і спіць у супакоі|юнацкасць
Час лоўлі рыбы|пуціна
Час павольнага развіцця эканомікі, пасіўнага, млявага стану грамадскага жыцця, думай|застой
Час на роздум у гульцоў элітарнага телеказино “Што? Дзе? Калі?”|хвіліна
Час ад каляд да вадохрышча|каляды
Час ад ранішняй да вячэрняга світанку|дзень
Час адпачынку, якое прадстаўляецца за звышвызначаную працу|адгул
Час палявання ў вампіраў|ноч
Час падвядзення цыплячьего балансу|восень
Час прамысловай лоўлі рыбы|пуціна
Час прачынацца ад начнога сну|раніца
Час раскідваць|сяўба
Час савінага палявання|ноч
Час сутак, калі “ўсе коткі серы”|ноч
Час сутак; карціна Б. Кустодиева; верш. В. Маякоўскага|раніца
Час сутак; верш. Лермантава, Ясеніна; зб. Ахматавай|вечар
Час сутак; верш. М. Лермантава; аповяд І. Буніна|ноч
Час сутак?|дзень
Час сутак?|ноч
Час сутак|раніца
Час лічыць куранятаў з прыказкі|восень
Час цяжкіх выпрабаванняў|часіна
Час уборкі травы ў Расіі|пакос
Час уборкі ўраджая|жніво
Час, падчас якога вырабляецца лоўля рыбы|пуціна
Час, вылучанае для прыняцця ежы целавай у прамежку паміж порцыямі духоўнай?|антракт
Час, калі кітайцам і японцам прадпісана насіць белыя адзенні|жалоба
Час, калі леў апавяшчае акругу грозным рыкам|заход
Час, калі наша паўшар'е павернута да Сонца?|лета
Час, адзначанае важнымі падзеямі|часіна
Час, папярэдняе галоўнай падзеі|пярэдадне
Час, перыяд, тэрмін|пара
Адзінка часазлічэння|стагоддзе
Адзінка часазлічэння|месяц
Адзінка часазлічэння|тыдзень
Адзінка часазлічэння|эра
Часазлічэнне кінастужкі, гіпнозу|сеанс
Врожд. адсутнасць яечкаў у чал-ка і жывёл|анорхизм
Прыроджаная неадчувальнасць да болю|анальгезия
Прыроджанае ці ўзніклае пасля хваробы, траўмы зрашчэнне суседніх органаў ці абалонак, якія высцілаюць унутраныя паражніны цела|знітоўка
Прыроджаная адсутнасць якой-небудзь часткі цела|аплазія
Хлус, ашуканец|ілгун
Хлус|брахун
Ці наўрад В. Маякоўскі ведаў іх імёны – Феличе, Верджино і Паоло, хоць яго вершы былі, па яго ўласным меркаванні, чымсьці на іх падобныя. Хто яны?|рымскія акведукі
Ці наўрад вы ведаеце, хто такі дзяк 15 стагоддзі Мисюрь Мунехин. Але, хутчэй за ўсё, вы ведаеце пра тых чатырох, якія ўпершыню згаданы ў лісце да яго. Назавіце трэці з іх|Масква
Вершнік Пегаса|паэт
Вершнік, кавалерыст|конник
Вершнік|яздок
Усё ... урэшце становіцца відавочным|таемнае
Ўсё безквітковыя пасажиры ў гарадскім транспарце|зайцы
Ўсе вялікія планеты Сонечнай сістэмы, акрамя адной, названы імёнамі богаў. Назавіце гэта выключэнне|Зямля
Ўсё было б добра, калі б не адно ...|але
“Ўсё было проста: падлога дубовы, // Два шафы, ... , канапа пуховы, // Нідзе ні плямкі чарнілаў.” (А. Пушкін, “Яўген Онегин”)|стол
Усе газеты|прэса
Ўсе грамадзяне Старажытнага Рыма, акрамя патрийцев|плебс
Уся даступная колькасць, лімітавая норма?|ліміт
Усе старажытныя даследнікі Рыма і самі рымляне дзялілі насельніцтва Рыма на дзве катэгорыі – плебеяў і патрыцыяў. Але была і трэцяя. Назавіце яе?|рабыні
Ўсе вадкія і напаўвадкія вараныя стравы ў Старажытнай Русі|варыва
Ўсё ведае|эрудыт
Усё ведаюць, што такое боты. А што такое дужыя боты?|ботфорты
Ўся маёмасць юрыдычнага ці (радзей) фізічныя асобы|актывы
Ўсё спарахнелае, згнілае|тлен
Усе клеткі арганізма, акрамя палавых (биол.)|сома
Ўсе людзі – ... Толькі адны ўжо прызналіся ў гэтым, а іншыя яшчэ няма. Народ, які меў на ўвазе М. Светлов|габрэі
Ўсе моры|акіян
Усе мы ведаем пра існаванне дзесяці запаведзяў. Але на той выпадак, калі іх выканаць не атрымаецца, слабыя духам прыдумалі адзінаццатую запаведзь. Перадайце хоць бы прыблізна яе сэнс. “не ...”|трапляйся
Ўсё непатрэбнае|смецце
Ўсё неюридические развагі Талмуда|агада
Ўсе астатнія словы (кин-дза-дза)|ку
Ўсё дадатнае, добрае, карыснае|дабро
Ўсе вырашальныя (сталинск.)|кадры
Ўсё старадаўняе, мінулае|рэтра
Ўсё стрывае|папера
Ўсе судовыя абаронцы кагалам|адвакатура
Ўсё тое, што не вярнуць|страты
Ўсё тое, што валіцца на нас з неба, нават калі гэта манна|уляганні
Ўсё якое тырчыць, акрамя чалавека пад кайфам|выступ
Усё, паўтару я, ці нічога – гэта таемны голас сэрца майго. (спявачка)|Азиза
Ўсё, што не трэба|хлам
Усё, што абліта парай, напр. б/к лазневы венік|опарыш
Усё, што атачае які не спіць чалавека|ява
Разнастайныя пажыткі?|пажыткі
