Гафт вузкай палоскай|мярэжка
Геаметрычная фігура|парабала
Геаметрычная фігура|сінусоіда
Геаметрычная фігура|спіраль
Геаметрычная фігура|цыклоіда
Геаметрычнае цела кручэння, якое насілі на галаве|цыліндр
Геаметрычнае цела, якое атрымліваецца ад кручэння сціснутага эліпса|сфероід
Геацэнтрычная сістэма свету па Птоломею|альмагест
Гераіня Адысеі Гамера, знак дакладнай, адданай жонкі|Пенелопа
Гераіня аднайменнай оперы Р. Вагнера|Ізольда
Гераіня рамана Л. Н. Талстога|Карэніна
Гераіня ВОВАЎ, снайпер|Ковшова
Гераіня твораў Э. Па|Морелла
Гераіня твора Э. Па|Береника
Гераіня п'есы К. Гоццы|Турандот
Гераічны лётчык, Герай Савецкага Звяза, сталы адной з маскоўскіх вуліц|Гастелло
Герай авантурных фільмаў пра шукальніка ўсялякіх рэдкасцяў|Индиана
Герай СССР, падбіў 9 танкаў у адным бою ў ВОВАЎ|Каплуноў
Герай са слабой пяткай|Ахілес
Герай Савецкага Звяза (1938, пасмяротна), лейтэнант, памежнік|Махалин
Герай Савецкага Звяза (1943, пасмяротна), радавы, зачыніў целам амбразуру кулямётнага дзота гітлераўцаў, які перашкаджаў пасоўванню падраздзялення|Матросаў
Герай Савецкага Звяза (1943, пасмяротна), маёр (1942)|Куников
Герай Савецкага Звяза (1945), поўны кавалер ордэна Славы (1944, 1944, 1945), гвардыі старшына|Дубинда
Герай Савецкага Звяза (1957), маёр (1945). Пасля цяжкага ранення яму былі ампутаваны ногі|Сіўцоў
Герай Савецкага Звяза (1957, пасмяротна), лейтэнант (1939), памежнік|Лопатин
Герай Савецкага Звяза, які камандаваў Онежской ваеннай флатыліяй|Антонаў
Герай казкі К. Чуковского, які адолеў індыка|бибигон
Герай Кулікоўскай бітвы|Перасвет
Герай асяцінскага нартского эпасу, сын Албега|Тотрадз
Герай абароны Севастопаля 1854 г.|Фарасюк
Герай аднайменнага аповяду А. Купрына|Пиратка
Герай оперы М. І. Глінкі|Сусанін
Герай Айчыннай вайны 1812 г., партызан і паэт|Давыдаў
Герай рамана Даніэля Дэфо|Рабінзон
Герай рамана Ф. Гладкова|Чумалов
Герай Траянскай вайны ў інш.-греч. міфалогіі|Патрокл
Герай ВОВАЎ, выведнік па імі Кастусь|Заслонаў
Герай ВОВАЎ, радавы па імі Аляксандр|Матросаў
Герай ВОВАЎ, узняў сцяг над Рэйхстагам|Кантария
Герай ВОВАЎ, герой італьянскага супраціву|Полетаев
Герай ВОВАЎ, камандарм|Ротмістраў
Герай ВОВАЎ, камандарм|Рыбалко
Герай ВОВАЎ, партызан|Фёдараў
Герай ВОВАЎ, партызанка па імі Ліза|Чайкина
Герай ВОВАЎ, падпольшчык-молодогвардеец па імі Алег|Кошевой
Герай ВОВАЎ, падпольшчыца, молодогвардеец|Громова
Герай ВОВАЎ, падпольшчыца|Соснина
Герай ВОВАЎ, палітрук, панфиловец|Жмуткоў
Герай ВОВАЎ, юны партызан па імі Валодзя|Дубинин
Герай Гражд. войны, кавалерыя|Думенко
Герай М. Баярскага ў да/ф Сватаўство гусара (1979)|Ментузоў
Герай вайны 1812 г., паведамілы Кутузаву пра адыход войскаў Напалеона з Масквы|Дорохов
Герай вайны 1812 г.|Ермолов
Герай вайны 1812 г.|Кульнев
Герай вайны 1812 г.|Кутайсов
Герай вайны 1812 г.|Патапаў
Герай іранскага эпасу, сын Сиаваршана|Хусрава
Герай кнігі Дж. Свіфта|Гулівер
Герай шматлікіх анекдотаў пра войска|Ржэўскі
Герай не нашага часу|Печорин
Герай аповесцяў В. Липатова|Анискин
Герай прыгодніцкага серыяла Стывена Спілберга|Индиана
Герай п'есы С. Найденова|Ванюшин
Герай трылогіі А. Доде|Тартарен
Герай фільма, які ў навагоднюю ноч знайшоў умілаваную|Лукашин
Герай чэшскага тэатра лялек|Гурвинек
Герай швейцарскай народнай легенды|Телль
Гермаў. плямёны, якія пасяліліся ў Іспаніі|вестготы
Гермаў. плямёны, якія пасяліліся ў Італіі|остготы
Германская манета, 1/100 маркі|пфеніг
Германскае племя|баварцы
Германскія плямёны, што заваявалі Рым, якія разбурылі і што разрабавалі яго|вандалы
Германскія плямёны, якія заваявалі Рым, што разбурылі і якія разрабавалі яго|варвары
Германскі парламент да 1945 гады|рэйхстаг
Германскі парламент, яго будынак у Берліне|рэйхстаг
Нямеччына (горад у Еўропе)|Гановер
Нямеччына (горад у Еўропе)|Дортмунд
Нямеччына (горад у Еўропе)|Дрэздэн
Нямеччына (горад у Еўропе)|Нюрнберг
Нямеччына (горад у Еўропе)|Патсдам
Нямеччына, землі|Гамбург
Нямеччына, землі|Цюрынгія
Нямеччына, гістарычная вобласць|Гановер
Нямеччына, гістарычная вобласць|Линебург
Нямеччына, гістарычная вобласць|Мюнстар
Герметич. пасудзіна для фізіка-химич. працэсаў|аўтаклаў
Герметич. рэзервуар у інш-ве игристых (шампанскіх) вінаў|акратофор
Герметычна зачыненае ёмішча|капсула
Герметычны гарнітур|скафандр
Герметычная пасудзіна, прызначаны для награвання вадкасцяў ці правядзенні хим. рэакцый пад ціскам|аўтаклаў
Герметычны ахоўны гарнітур-абалонка з аўтаномным запасам паветра ці яго падачай па шлангу для прац пад вадой, у космасе і т. п.|скафандр
Гематион, цёмна-чырвонае шкло, вядомае са старажытнасці|пурпурын
Генсак ЦК КПСС пасля Ю. В. Андропава|Черненко
Генер. сакратар ЦК КПСС у 84–85 гг.|Андропаў
Генерал войска (1976), Герай Савецкага Звяза (1945)|Трацяк
Генерал войска (1982), Герай Савецкага Звяза (1982)|Максімаў
Генерал сярод анёльскага войска|арханёл
Генерал, Герай Савецкага Звяза, камандзір кавалерыйскага корпуса, загінуў у снежні 1941 г.|Доватор
Генерал, герой Айчыннай вайны 1812 г.|Дохтуров
Генерал, пад кіраўніцтвам якога ў 1916 г. рускае войска разграміла аўстра-германскія войскі на Паўднёва-заходнім фронце|Брусилов
Генерал-лейтэнант, які праславіўся ў бітвах пад Фокшанами і Рымников у руска-турэцкай вайне 1787–91 гг.|Дорохов
Генерал-маёр (1940), Герай Савецкага Звяза (1942, пасмяротна)|Панфілаў
Генерал-маёр (1941), Герай Савецкага Звяза (1941, пасмяротна)|Доватор
Генерал-маёр авіяцыі (1957), двойчы Герай Савецкага Звяза (1943, 1944)|Речкалов
Генерал-маёр, герой Ізмаіла, пры штурме якога першым уварваўся на прыгонны вал|Неклюдов
