Патаемная прылада ў механізме|сакрэт
Нашчадак ад шлюбу паміж прадстаўнікамі розных чалавечых рос|метыс
Нашчадак ад шлюбу белага чалавека і негра|мулат
Нашчадак ад шлюбу індзейцаў і неграў|самба
Нашчадак ад шлюбу паміж людзьмі розных рос|метыс
Нашчадак ад змяшанага шлюбу індзейцаў і неграў|самба
Нашчадак ад змяшанага шлюбу|метыс
Нашчадак першых асаднікаў: перасяленцаў з Еўропы ў Паўднёвую Амерыку|крэол
Нашчадак бацькоў розных рос|метыс
Нашчадак змяшаных шлюбаў белых і індзейцаў (іспанцаў у Лат. Амерыцы, рускіх і алеўтаў і інш.)|крэол
Нашчадак адразу дзвюх сабачых парод?|метыс
Нашчадак, зачаты без граху|клон
Нашчадак, які атрымліваецца ад скрыжавання асаблівей, што належаць да розных выглядаў, гатункам і т. д.|гібрыд
Нашчадства адной расліны, атрыманае вегетатыўным спосабам|клон
Нашчадства ад шлюбаў паміж прадстаўнікамі розных чалавечых рос (адказ у мн. ч.)|метысы
Нашчадства змяшаных шлюбаў людзей розных рос (адказ у мн. ч.)|метысы
Спажыванне на чалавека ў год: Вялікабрытанія – 3 кг 30 г. Турцыя – 2 кг 280 г. Японія – 940 г. СССР – 810 г. У Індыі – вельмі мала. Пра што ідзе гаворка?|чай
Спажыванне, выдатак якога-небудзь рэсурсу?|выдатак
Спажыванне, выдатак чаго-небудзь для вызначанай мэты?|выдатак
Запатрабаванне, жаданне піць|смага
Патрапаная фраза|штамп
Уражлівая частка квашаніны|жэле
Патухлы вулкан у Арменіі, на схіле якога размешчана Бюраканская астрафізічная абсерваторыя|арагац
Патухлы вулкан у Балівіі|Сахама
Хвала-выклічнік|ого
Выкрадальнік электроніка|Ури
Выкрадальнік маёмасці|злодзей
Выкраданне|крадзеж
Поліўка з пакуты ў палякаў і беларусаў|жур
Пахмелле наркамана|ломка
Пахмелле па-навуковаму|абстыненцыя
Похмельный колотун|дрыготка
Похмельный напой|расол
Хада, выгляд руху каня|алюр
Паходная бутля|пляшка
Паходны рух войскаў, а таксама наогул арганізаваны рух вялікіх груп людзей|марш
Паходнае жыллё?|намёт
Паходны юдзейскі храм|скінія
Паходная пасудзіна|пляшка
Паходны храм падчас вандроўкі па пустэльні|скінія
Паходны шацёр на Русі|стаўка
Падобнае на шоўк сінтэтычнае валакно|нейлон
Падобны на вавёрку грызун, які праводзіць зіму ў спячцы|соня
Падобны не на манаха, а на вярблюда|альпака
Юрлівы паляўнічы за німфамі|сатыр
Пахуданне ледніка|абляцыя
Пацалунак каралеўскай кобры|укус
Пацалунак, не праходзілы бясследна|засмокт
Працэс, адукацыя, не ўласцівыя арганізму ў норме|артэфакт
Глеба стэпавых, пустэльных і полупустынных зон, звычайна ўтрымоўвалая прыродныя солі?|саланчак
Глеба, ападкавая горная парода|гліна
Глеба, якая змяшчае 10–20 % часціц менш 0,01 мм|супесак
Глеба, верхні пласт кары нашай планеты, паверхня|зямля
Глеба, што ўтварае дно вадаёма|грунт
Почвообрабатывающий прылада|плуг
Чаму ў Нармандыі для падрыхтоўкі рыбных страў актыўна выкарыстоўваюць сідр?|няма віна
Чаму спыніла сваё існаванне “Минкэн Ундо” – японскі рух за Канстытуцыю?|яе прынялі
Почырк лацінскага маюскульного лісты|унциал
Почернение кнота|нагар
Ушанаванні, вядомасць; верш. М. Лермантава; марка гадзін|слава
Ўшанаванні, вядомасць|слава
Пашана. тытул мусульм., кіроўнага паходжанне ад Мухамеда|сейд
Ганаровая вядомасць, сведчанне ўсеагульнай павагі|слава
Ганаровае валадарнае, радавое ці падараванае дваранскае званне (князь, граф і т. п.)|тытул
Ганаровае званне ў цюрак і манголаў, даванае за вайсковыя подзвігі|батыр
Ганаровае званне навуковага брахмана ў Індыі|пандит
Ганаровае званне, наследствованное ці падараванае|тытул
Ганаровае месца ў экспазіцыі знакамітага заакіянскім музея займае форма палкоўніка Савецкага Войска. Які надпіс з сямі літар упрыгожвае гэту форму?|Трацяк
Ганаровае радавое ці дараванае званне|тытул
Ганаровае суправаджэнне высокіх госцяў|эскорт
Ганаровы канвой для суправаджэння важных афіцыйных твараў|эскорт
Ганаровы вартаўнік у старажытным Рыме|ліктар
Ганаровы тытул у Англіі, які дае права быць чальцом верхняй палаты парламента|лорд
Ганаровы тытул у некаторых мусульманскіх краінах, што прысвойваўся асоба які праславіўся вайскаводу|гази
Ганаровы тытул вышэйшых службовых асоб у Асманскай імперыі|аручы
Ганаровы тытул мусульман|сеид
Ганаровы тытул мусульманіна ў краінах Блізкага і Сярэдняга Ўсходу?|хаджа
Ганаровы тытул мусульманіна, які здзейсніў паломніцтва ў Меку|хаджы
Ганаровы тытул мусульманіна, што здзейсніў хадж|хаджы
Ганаровы тытул мусульманіна. Даваўся даўней прыдворным, вышэйшаму духавенству, купцам|хаджа
Пачын, гусачок, стуканіны, оттолчки, свісты, булькат, клыканье, грымота і іншыя. А дзе гэта знаходзіцца ў вас?|на назе
Папраўка|рамонт
Ушанаваны ў ісламе прарок, мусульманскі аналог Ісуса Хрыста|Иса
Нырка расліны, з якой развіваецца кветка|бутон
Пошт. адпраўленне; верш. М. Лермантава; аповяд В. Шукшына|ліст
Пошт. адпраўленне|ліст
Шаноўнасць, самавітасць, павага?|рэспектабельнасць
Шаноўны, які шануецца чалавек у народаў Сярэдняй Азіі і Каўказа|аксакал
Амаль 2 метра па японскіх мерках|кен
Амаль ва ўсіх сусветных рэлігіях – пазначэнне агністага пекла|геенна
Амаль да канца ХIХ ст. у Расіі палацавы баль лічыўся тым больш пышным, чым больш на ім было ...|свечак
Амаль полундра|аўрал
Амаль рабская залежнасць|кабала
Амаль парцалян|апак
Амаль што бясплатна? (сущ.)|таннасць
Паважны зварот да еўрапейцаў у Індыі|сагіб
Паважны зварот да еўрапейцаў у Індыі|саиб
Паважны зварот да еўрапейцаў у Індыі|сахиб
Паважны зварот да замужняй арыстакраткі, лэдзі (ангел.)|мілэдзі
Паважны зварот да замужняй жанчыны ў ангельцаў|мілэдзі
Паважны зварот да лорда, біскупу, суддзі (ангел.)|мілорд
Паважны зварот да мужчыны ў англамоўных краінах|сэр
Паважны зварот да мужчыны з прывілеяваных класаў у ангельцаў|мілорд
Паштмайстар з “Рэвізора” Н. Гогаля|Шпекин
Паштовая птушка|голуб
Паштовая станцыя ў старой Расіі|ям
Паштовая станцыя на Русі|ям
Паштова-тэлеграфныя выдаткі, якія адносяцца на рахунак кліента|порта
Паштовае адпраўленне|ліст
Паштовы вазніца|фурман
Паштовы мяшок дыпкур'ера|вализа
Паштовы мяшок дыпламатычнага кур'ера, што карыстаецца недатыкальнасцю?|вализа
Пачуючы мёртвага, храпуць І б'юцца коні, пенай белай сталёвыя мочаць цуглі, І паляцелі як ... (Онегин)|страла
Мыта за правоз тавара на Русі|мыта
Паэзія розуму (па Вісарыёне Бялінскаму)|байка
Паэлементнае даследаванне|аналіз
Паэма : Д. Байрана; М. Лермантава; балет А. Адана; разбойнік|карсар
Паэма : Д. Байрана|карсар
Паэма А. Узнясенскага|ану
Паэма А. Узнясенскага; верш. князя І. Долгорукого|ану
Паэма А. Узнясенскага|оза
Паэма А. Пушкіна; балет Василенко|цыганы
Паэма А. Пушкіна|Анджело
Паэма А. Пушкіна|цыганы
Паэма А. С. Пушкіна|актэон
Паэма Аляксандраўскага|сінеча
Паэма Андалиба|несими
Паэма Антокольского|сын
Паэма Аполлинера|картэж
Паэма Аполлинера|узгоркі
Паэма В. Маякоўскага “... у портках”|воблака
Паэма В. В. Маякоўскага|кахаю
Паэма Вельтмана|уцякач
Паэма Гафура|ядгар
Паэма Дж. Байрана|беппо
Паэма Дж. Байрана|гяўр
Паэма Дж. Байрана|лара
Паэма Е. А. Баратынского|баль
Паэма Е. А. Баратынского|эда
Паэма Ясеніна|инония
Паэма Ясеніна|ленін
Паэма Ясеніна|Микола
Паэма Ясеніна|Русь
Паэма І. Котляревского|Энеида
Паэма І. Тургенева|галубы
Паэма Кербабаева (Листрат)|айлар
Паэма Лермантава, з якой мы памятаем: “Да мяне ён кінуўся на грудзі: // Але ў горла я паспеў уторкнуць // І там два разу павярнуць // Маё оружье...”|Мцыри
Паэма Лермантава|уцякач
Паэма Лермантава|дэманы
Паэма Лермантава|Алег
Паэма М. І. Алигер|Зоя
