Плыт з лёгкага бярвення|салик
Па біблейскіх паданнях – інш.-евр. патрыярх, родапачынальнік габрэяў|аўраам
Па біблейскай легендзе – зямны рай, месцазнаходжанне чалавека да грэхападзення|эдэм
Па біблейскай легендзе – частка рая|эдэм
Па біблейскай легендзе: паводка, якое затапіла ўсю зямлю ў пакаранне за грахі людзей|патоп
Па біблейскай легендзе: ежа, што падае з неба для юдэяў, вандроўных па пустэльні|манна
Па біблейскім адданні – філістымлянін-волат?|Галіяф
Па біблейскім адданні: волат, пераможаны ў адзінаборстве пастухом Давыдам, сталым пасля царом Юдэі|Галіяф
Па вясне – адзін з першых|ландыш
Па магчымасці дакладнае прайграванне прадмета, машыны і т. п. з імітацыяй іх выгляду і збольшага функцый, звычайна ў іншым маштабе|мадэль
Па дактрыне Платона ёсць тры выгляду душэўнай дзейнасці: запал, воля, мысленне. А якімі органамі яны вызначаліся?|мозг печань сэрца
Па старажытнагрэцкай міфалогіі, яны жылі ў дрэвах, нараджаліся і паміралі разам з імі. Хто яны?|дрыяды
Па аднадушным меркаванні мужчын, зрабіць жанчыну шчаслівай вельмі лёгка. Толькі ...?|дарога
Па іерархіі зверху ўніз некаторыя з іх вынікаюць так: пасады, панаванні, сілы, улады, пачала. А самыя найнізкія па іерархіі завуцца гэтак жа, як і яны ўсё разам. Хто ж яны?|анёлы
Па індыйскіх павер'ях з прылётам пестроголовых зязюль, ды пасля пранізлівых крыкаў паўлінаў, можна з дня на дзень чакаць... Што?|дажджоў
Па якім горадзе ідуць героі “Дванаццаці” Аляксандра Блока?|Петраград
Па канадскім горадзе Таронта працякае ціхая руская рака. Якая?|Дон
Па класіфікацыі навукоўцаў-ядзернікаў і працаўнікоў АЭС, яны падзяляюцца на светлых і цёмных. Цёмных яны вельмі не кахаюць, а светлых проста не кахаюць. Хто ж падпадае пад гэту класіфікацыю?|зялёныя
Прынамсі, два вельмі вядомых чалавека лічылі, што Гарацый, Лабачэўскі, Гутенберг, Бойль, Мариотт, Анатоль Франс былі... Кім жа яны былі?|пешаходамі
Па легендзе, злы гном у Саксонскіх Рудных горах уславіўся тым, што прымудраўся красці срэбра ў гарнякоў прама з руды. Імя яго вам вядома яшчэ са школы, хоць і без легенд. Назавіце яго|кобольд
Па легендзе, ён падчас пакутнага шляху Ісуса Хрыста на Галгофу абразліва адмовіў яму ў кароткім адпачынку і бязлітасна загадаў ісці далей. Пад якім імем мы яго ведаем?|вечны жыд
Па меркаванні А. Конан Дойла, “у чалавека ёсць сем чорных ворагаў: сквапнасць, ганарыстасць, блуд, гнеў, зайздрасць, ленасць”. Назавіце сёмага|абжорства
Па меркаванні Декурселя, менавіта яна ёсць дачка багацця і маці беднаты. Назавіце яе|лянота
Па меркаванні Дыягена філасофія і медыцына зрабілі чалавека самым разумным з жывёл, забабоны і дэспатызм – самым няшчасным, а якім яго зрабілі варажбу і астралогія?|самым вар'ятам
Па меркаванні Жана Жака Русо для шчасця неабходны тры рэчы: добры банкаўскі рахунак, добры кухар і... Што яшчэ?|добры страўнік
Па меркаванні Кісінджара, гэты найдужэйшы ўзбуджальны сродак|улада
Па меркаванні Мазліва Пола гэта выраблялася з толченых ракавін, а па сучасных дадзеных у гэта дадаваліся тоўчаныя косткі. Што гэта?|кітайскі парцалян
Па меркаванні Мольера, той хто выйграе гэта – выйграе ўсё. Што гэта?|час
Па меркаванні Напалеона, менавіта яна заўсёды прыводзіць да абсалютызму. Чаму яна даводзіцца найблізкай сваячкай?|парадку
Па меркаванні Рабиндраната Тагора “чалавек горш звера, калі ён...”?|звер
Па меркаванні С. Ратару ў гэтым слове 100 тысяч “Я” (песеннае)|мы
Па меркаванні амерыканскіх медыкаў, гэтыя істоты з'яўляюцца галоўнымі пераносчыкамі грыпу ў ЗША. Менавіта яны адказныя за тое, што кожны год увосень успыхваюць эпідэміі. Хто яны?|школьнікі
Па меркаванні жыхароў Судану, вецер мае зубы. А як мы завём зубы ветра?|саранча
Па меркаванні часопіса “ГЕО”, калі б гэта падоўжаная западзіна сярод гор была асобнай дзяржавай, яна ўвайшла б у лік дванаццаці самых развітых краін свету. Пра якое месца ідзе гаворка?|Сіліконавая даліна
Па меркаванні людзей, якія прысутнічалі пры ядзерных выпрабаваннях, гэты пах суправаджае ўсе атамныя выбухі. Вам ён таксама добра знакам. Чым жа пахне пасля выбуху? “пах ...”|азону
Па меркаванні навуковай школы диффузионистов, гэтыя людзі вынайшлі цывілізацыю, а іх нашчадкі распаўсюдзілі яе да Ірака, Індыі, Кітая, Інданэзіі і нават Перу. Хто гэтыя людзі?|старажытныя егіпцяне
Па меркаванні некаторых гурманаў, без яго омуль не дэлікатэс|прыпах
Па меркаванні некаторых людзей, духоўная радзіма народаў свету знаходзіцца ў мястэчку Мангендэ, таму што там нарадзіўся... Хто ж там нарадзіўся?|Кім Чен Ір
Па меркаванні аднаго сярэднявечнага трубадура, адно без іншага – усё адно, што млын без вады. Што ж адно і што іншае?|страфа і музыка
Па меркаванні адной з найвядомых жанчын нашага стагоддзя, самы важны орган для палітыка – ...|цягавітая мачавая бурбалка
Па меркаванні прынца Чарльза, яны вырабілі шкоду гарадам Вялікабрытаніі большы, чым нямецкія бамбавікі. Хто ж яны?|архітэктары
Па меркаванні гумарыста, гэта “прапелер з рукамі і нагамі”|акрабат
Па змрочнай заўвазе Сеченова, працэс канання гэта – ... ?|жыццё
Па нямецкім адданні, званкі гэтай кветкі шэпчуцца ўвесну|ландыш
Па ім поўзае слімак-лужанка|дно
Па ім пралягае спуск з гары|схіл
Па ім страта б'е|кішэнь
Па іх і без дэтэктара хлусні можна зразумець, ці кажа чалавек праўду|вочы
Па агульным меркаванні – гэта тое ж, што і публічная хата. Але вось армянскае радыё лічыць, што публічная хата – гэта ўстанова, у той час як загаданное слова – гэта сістэма|бардак
Па адной з версій, хронікі нейкага заходнееўрапейскага горада зафіксавалі 26 чэрвеня 1284 гады факт скупкі і зводу вярбоўнікам 130 чалавек таннай працоўнай сілы. У якім горадзе гэта здарылася?|Гаммельн
Па вызначэнні Бертрана Рассела, такім чалавекам з'яўляецца той чалавек, пры зносінах з якім кожны мімаволі адчувае сябе таксама такім жа чалавекам. Што гэта за чалавек?|джэнтльмен
Па падліках французскіх навукоўцаў, усяго іх 5651. Больш за ўсё іх у Гімалаях – 160, у басейне ракі Нігер – 280, а на Новай Гвінеі аж 1010. Што ж гэта такое?|мовы
Па адданні габрэяў, яе забывае ледзь якое нарадзілася немаўля, да лба якога дакрануўся анёл. А потым ён усё жыццё марнуе на яе пошукі. Пра што ідзе гаворка? “пра ...”|праўдзе
Па адданні, кошт пярсцёнка тырана Поликрата з выспы Самос была настолькі высокая, што з ім магло параўнацца толькі адно з які належаў Поликрату. Што менавіта?|Самос
Па адданні, так выклікнуў Архімед, акунуўшыся ў ваду і адкрыўшы асноўны закон гідрастатыкі|эўрыка
Па ўяўленні замежнікаў, самае распаўсюджанае рускае прозвішча|Іванаў
Па ўяўленнях бірманскіх будыстаў існуе чатыры свету, дзе грэшнікаў караюць за іх благія справы: свет звяроў, свет ценяў, царства палых бажаствоў. Назавіце чацвёрты|пекла
Па ўяўленнях старажытных грэкаў – верхні прамяністы пласт паветра – месцазнаходжанне богаў|эфір
Па ўяўленнях старажытных грэкаў у самай паўночнай частцы Зямлі жылі толькі гэтыя жывёлы. Правядучы аналогію з нябеснымі жыхарамі, скажыце, што гэта за жывёльныя|мядзведзі
Па ўяўленнях індзейцаў, у гэтай расліне жыў сам бог агню. Што гэта за расліну?|чырвоны перац
Па ўяўленнях спірытаў: нейкі “псіхічны ток”, які выпраменьваецца чалавекам|флюід
Па ўяўленнях фізікаў 18–19 стагоддзяў – асяроддзе, што запаўняе сусветная прастора і прамежкі паміж часціцамі рэчыва|эфір
Па прызнанні амерыканскіх астранаўтаў толькі адно тварэнне рук чалавечых праглядаецца з Месяца няўзброеным вокам. Якое?|вялікая кітайская сцяна
Па сведчанні Платона, у адрозненне ад нешматслоўных спартанцаў, сярод афінян было нямала аматараў пагаварыць. Як жа звалі такіх людзей?|філолагамі
Па словах Марціна Лютара ён – першая потаскуха д'ябла. Не крыўдзіцеся, але ўсіх вас я падазраю ў наяўнасці яго. Чаго?|розуму
Па словах Э. Хэмінгуэя, уся амерыканская літаратура выйшла з адной кнігі Марка Твена. З якой?|прыгоды Гекльберри Фіна
Па словах драматурга Эдуарда Радзінскага, мужчыну ў жыцці павінна павезці з жонкай. А з кім, па яго меркаванні, павінна павезці пісьменніку? “з ...”|удавой
Па словах нямецкага навукоўца і філосафа ХVIII ст. Георга Лихтенберга, самая займальная для нас паверхня на Зямлі – гэта... Што ж гэта?|чалавечы твар
Па словах няні Таццяны, да старасці ён тупее (Онегин)|розум
Па словах гумарыста Яўгена Микунова, гэта – адзіная жывёла, якое не змагло даказаць, што ЯНО – не ЯНО. Што гэта за жывёлу?|вярблюд
Па паведамленнях грэцкай прэсы, на радзіме героя, у горадзе Ставрос на адным з выспаў Архіпелага, будзе ўзняты яго бюст. Чый?|Адысея
Па сярэднявечных павер'ях – дух вады ў выяве жанчыны|ундзіна
Па старорусской прымеце гэта гаспадарчая прыналежнасць павінна быць у хаце ў адзіным асобніку?|венік
Па запэўненні брытанскіх дантыстаў, з аднолькавай эфектыўнасцю дапамагаюць папярэджваць карыес жаванне гумкі ці... Што?|пацалунак
Па якая ўсталявалася традыцыі, ён стаў было тыберыем, але не ўтрымаўся ў гэтым званні, і цяпер вядомы як... Як хто?|верасень
Па сцвярджэнні Алега Гордиевского КДБ уважліва вывучаў, зрэшты не прымаючы на веру, баявы арсенал гэтага чалавека як адлюстраванне ваеннай думкі Захаду. Чый арсенал?|Бонда
