Выхадка штукара|трук
Прадукцыя масавай культуры, разлічаная на прымітыўныя густы спажыўца, безгустоўшчына, бесцань|кич
Прадукцыя маразільніка|холад
Прадукцыя гароду|гародніна
Прадукцыя пракатнай вытворчасці|пракат
Продуцирование чаго-небудзь?|генерацыя
Праезд унутр будынкі ці за агароджу|вароты
Праезд праз хату|арка
Праязны квіток, “які родніць” мятро з трамваем|адзіны
Праязны квіточак|талон
Праязны дакумент, талон|квіток
Праязны чэк?|квіток
Падарожная цяльняшка|зебра
Праезная частка з ходнікамі і будынкамі|вуліца
Праектаванне авт. вымерае. і контр. прыбораў і сістэм|аўтаметрыя
Праём у сцяне для ўваходу і выйсця|дзверы
Праём у сцяне|арка
Праём, праз які можна патрапіць у памяшканне|уваход
Гуляка жыцця|мантач
Проза Лермантава|вадзім
Празаічны твор невялікіх памераў?|аповяд
Празаічны твор, якое выказвае суб'ектыўную пазіцыю аўтара|эсэ
Мянушка І. Курчатава|барада
Мянушка І. М. Воробьянинова?|Кіца
Мянушка амерыканскіх салдатаў у Еўропе|ами
Мянушка амерыканцаў – выхадцаў ЗША|янкі
Мянушка амерыканцаў?|янкі
Мянушка браз. архітэктара Антониу Лисбоа|алейжадинью
Мянушка героя аповядаў Д. Лондану пра Аляску|змок
Мянушку зялёненькага (даляр)|бакс
Мянушка киногероя Міхася Баярскага з тэлестужкі “Старэйшы брат”|сільва
Мянушка князя маскоўскага Івана I Данілавіча|калита
Мянушка літаратурнага героя з “Дванаццаці крэслаў”|Кіца
Мянушка нямецкага самалёта-выведніка-карэктоўшчыка|рама
Мянушка аднаго з правадыроў нар. восст. 1413 у Парыжы|кабош
Мянушка партызана ў Грэцыі, які змагаўся супраць турэцкай няволі|клефт
Мянушка планеты Венера “Вячэрняя ...”|зорка
Мянушка адразу некалькіх італьянскіх скульптараў і архітэктараў ХIII–ХIV стст.|пизано
Мянушка цара Івана I|калита
Мянушка часткі нидерл. дваран у 16 ст.|гезы
Мянушка|мянушка
Празрыстая папера ці тканіна для здымання дзід з чарцяжоў і малюнкаў|калька
Празрыстая папера ці тканіна?|калька
Празрыстая клейкая стужка|скотч
Празрыстая стужка, пачатак відэакасеты|ракорд
Празрыстая ліпучка?|скотч
Празрыстая накідка на твар|вэлюм
Празрыстая частка птушынага яйка|бялок
Празрыстая, пераважна шаўковая тканіна|флёр
Празрыстае пахкае якое халодзіць рэчыва, што атрымліваецца з мятнага масла, якое ўжываецца ў медыцыне, харчовай прамысловасці|ментол
Празрысты брукит, мінерал, дыяксід тытана|арканзіт
Празрысты каштоўны камень рознай афарбоўкі|тапаз
Празрысты каштоўны камень, бляскам і цвёрдасцю праўзыходны ўсе іншыя мінералы|дыямент
Празрысты каштоўны камень|гранат
Празрысты жаўтлява-зялёны апатыт ювелірнай якасці|аспараголит
Празрысты слоистый мінерал|лушчак
Празрысты цвёрды матэрыял|шкло
Празрысты далікатны матэрыял|шкло
Прайгравальнік з фільма “Белае сонца пустэльні”?|грамафон
Произв. Б. Горбатова|вочка
Произв. В. Ф. Пановой|нюша
Произв. Г. Тушкана|джура
Произв. Казанцева|фаэты
Произв. М. Цвятаевай|вучань
Твор А. І. Купрына|Олеся
Твор Арыстафана|ахарияне
Твор Арыстафана|аблокі
Твор Арыстафана|восы
Твор Арыстафана|плутос
Твор Бальзака|дзялок
Твор Бальзака|марана
Твор Бальзака|мачаха
Твор Бальзака|кат
Твор Бальзака|рэкрут
Твор Германа Гессе|Демиан
Твор Еўрыпіда|Гекуба
Твор Еўрыпіда|іён
Твор Еўрыпіда|киклоп
Твор Еўрыпіда|Медэя
Твор Еўрыпіда|Орест
Твор Ежова|крылы
Твор Ксенафонта|баль
Твор Купрына|анафема
Твор Купрына|Жанета
Твор Купрына|кадэты
Твор Купрына|Ральф
Твор Купрына|тапёр
Твор М. Булгакава; верш. С. Ясеніна|батум
Твор М. Булгакава|батум
Твор Мериме|Кармэн
Твор Овидия|ібіс
Твор Овидия|фасты
Твор Анарэ дэ Бальзака|рэкрут
Раман Анарэ дэ Бальзака|шуаны
Твор Сенеки|медэя
Твор Сенеки|федра
Твор Сенеки|фіест
Твор Синклера|бостан
Твор сафокла|Аякс
Твор Стендаля|Арманс
Твор ангел. паэта, лорда Теннисона|бекет
Твор антычнай скульптуры ці яго фрагмент (у арыгінале ці злепку)|антык
Твор спрыяльнага ўражання знешнасцю, прывабнасць?|авантажность
Твор у прозе Лермантава|тамань
Твор графікі, фотоотпечаток у карычневых тонах|сэпія
Твор даўжыні, шырыні і вышыні|аб'ём
Твор жывапісу, якое шануецца незалежна ад яго худож. каштоўнасці|абраз
Твор намалюе., дэкаратыўнага мастацтва, у якім на агульную аснову змешчаны фрагменты адрозных па фактуры і колеру матэрыялаў|калаж
Твор кіно- ці тэлемастацтвы|фільм
