Харчовы прадукт, заменны цукрам|ксилит
Плён, што зваліўся з дрэва без старонняй дапамогі|ападак
Плён, расліна|ценобий
Плён, костачку якога ўсё жыццё марыў закапаць у зямлю Булат Окуджава|вінаград
Урадлівая перегнойная глеба|чарназём
Урадлівая глеба лесастэпавай і стэпавай зон умеранага пояса з 4–15% перагною|чарназём
Пладова-ягадная руская народная песня|калинка
Пладова-ягаднае віно|настойка
Пладова-ягадны хмызняк (дрэвы і хмызнякі)|абляпіха
Пладовае дрэва|чарэшня
Пладовае дрэвы і хмызнякі|міндаль
Пладовае дрэвы і хмызнякі|мушмула
Пладовы цукар, які змяшчаецца ў раслінах, мёдзе|фруктоза
Пладовы калючы хмызняк з чырвонымі карыснымі пладамі|шыпшыннік
Плённае існаванне (па Барысе Пастарнака)|культура
Плады струковага чырвонага перцу|папрыка
Шчыльная баваўняная тканіна|каніфас
Шчыльная горная парода зялёнага колеру з плямамі|змеявік
Шчыльная фіранка|парцьера
Шчыльная подсцілка з лыка, чарота, саломы|цыноўка
Шчыльная тканіна ў нахільны рубчык|каверкот
Шчыльная тканіна для верхняй адзежы|каверкот
Шчыльная тканіна для паліто і гарнітураў з дробнымі касымі рубчыкамі|габардын
Шчыльная тканіна|брызент
Шчыльная цяжкая фіранка для акна ці дзверы|парцьера
Шчыльная, звычайна цёмная баваўняная тканіна|малескін
Шчыльны плецены выраб з саломы, чарота для подсцілкі на падлогу|цыноўка
Шчыльнае цельца ўсярэдзіне ядра клеткі|ядзерка
Плотніцкая прылада|долата
Плотніцкая прылада|малаток
Плотніцкая прылада|рыса
Пляцоўка ў старажытнасці|орхестра
Пляцоўка для ўтрымання жывёл|вальера
Пляцоўка для паветраных ваннаў|аэрарый
Пляцоўка для выступаў артыстаў|эстрада
Пляцоўка для гонак|картынг
Пляцоўка для пабудовы судна, для буйных судоў робіцца нахільнай да вады|стапель
Пляцоўка для прыёму сонечных ваннаў|саляры
Пляцоўка для прыёму паветраных ваннаў|аэрарый
Пляцоўка перад уваходам у христианск. храм|дзядзінец
Пляц на тэрыторыі Маскоўскага Крамля|саборная
Шэльма, ашуканец, злодзей|круцель
Шэльма, разбойнік|шэльма
Плаванне ваеннага карабля|паход
Плывучая мясасечка|акула
Плывучае травы. расліна|ряска
Плывучы транспартны сродак|судна
Плывучыя густой масай водарасці|ціна
Плывучы знак для пазначэння небяспек|бакен
Плаўлены сырок|хваля
Плаўлены “закусон”, аддуха для аматараў выпіць у “антысанітарным становішчы”|сырок
Плыўная хвалепадобная ці петлеобразная траекторыя палёту (постаць пілатажу)|фугоид
Плаўнік рыбы|пяро
Плаўнікі для аквалангіста|ласты
Плыўны парны бальны танец?|вальс
Плыўны пераход аднаго гуку ў іншай (муз.)?|легата
Плыўны пераход аднаго гуку ў іншай|легата
Плыўны пераход ад гуку да гуку ў музыцы|легата
Плыўны пераход ад гуку да гуку пры выкананні|легата
Плыўны, незаўважны пераход ад аднаго гуку ў іншай|легата
Плаўсродак|плыт
Плывучая землечерпальная машына, забяспечаная абсталяваннем для прамывання вычарпанага грунта|драга
Плывучая землечерпательная машына|драга
Плывучая апора для наплаўных мастоў|пантон
Плывучая пляцоўка для пераправы людзей і грузаў|плыт
Плывучая загарода для абароны ад пранікнення караблёў суперніка|бон
Плывучая агароджа ўжывальнае пры лесасплаве|бон
Плывучая агароджа, якое ўжываецца пры лесасплаве?|бон
Плывучае збудаванне для перавозкі пасажыраў, транспартных сродкаў праз водныя перашкоды|парай
Плывучы транспартны сродак|судна
Плывучы знак для пазначэння небяспечных для суднаходства месцаў|буй
Плывучы комплексна-механізаваны, горнообогатительный агрэгат|драга
Плывучы мост|пантон
Плывучы паплавок агароджы|буй
Плывучы прычал для малых судоў|бон
Плакат з заклікам|лозунг
Плакса, нэндза|румзаючы
Плакса|ровы
Ніцы хмызняк|вярба
Палымяная начальніца|іскра
Палымяная печ для атрымання сталі з чыгуну і металалому|мартен
Палымянае сэрца самалёта|матор
Палымяны адбітак|апёк
Палымяны рэвалюцыянер, згарэлы ў паравознай топцы|лаза
Палымяная кветка|флёкс
Палымяны язычнік (стихийн.)|пажар
Полымя, шырока якое ахапіла і знішчальнае што-небудзь|пажар
Полымя?|агонь
План аднаўлення і развіцці народнай гаспадаркі Савецкай рэспублікі|ДЗЯЭЛРА
План будынка ў выглядзе чатырохкутніка|карэ
План прац з дакладнымі паказчыкамі нормаў і чакай выкананні|графік
План выдаткаў, напрыклад, на будаўніцтва|каштарыс
План, малюнак у агульных рысах|схема
План, схема развіцця дзеянняў?|сцэнар
Планета Венера, багіня іранскай домусульманской рэлігіі|Зухра
Планета Сатурн у персаў|Кейван
Планета Сонечнай сістэмы?|Юпітар
Планета Сонечнай сістэмы|Зямля
Планета Сонечнай сістэмы|Няптун
Планета Сонечнай сістэмы|Сатурн
Планета з ліку астэроідаў|Икар
Планета з незамкнутым кольцам (зг)|Няптун
Планета сонечнай сістэмы|Марс
Планета сонечнай сістэмы|Плутон
Планета сонечнай сістэмы|Уран
Планета, вакол якой круціцца Еўропа|Юпітар
Планета, дзе “пабывала” зорка расійскай эстрады Маша Распуціна, якая адзначае цяпер сваё сороколетие (06.1999)|Венера
Планета; жаночае імя; багіня кахання; міжпланетная станцыя|Венера
Планета; марка шакаладу; бог вайны; межпл. станцыя|Марс
Планета?|Меркурый
Планета?|Венера
Планета?|Зямля
Планета?|Марс
Планета?|Сатурн
Планета?|Юпітар
Планета?|Уран
Планета?|Няптун
Планета?|Плутон
Планка для выраба рам, карнізаў|багет
Планка для рамак і карнізаў|багет
Планка для рамак карцін|багет
Планка для запавес|карніз
Планка якая зачыняе шчыліна, паміж сценкай і падлогай?|ліштва
Планка, якую не бяруць скакуны ў вышыню, “пакідаючы” для працы столярам і цяслярам|рэйка
Пласт зямной кары|ярус
Пласт. маса, содерж. у якасці напаўняльніка азбест|асбопластик
Пластилиновая птушка з мультфільма|крумкача
Пластилиновое разьбярства|лепка
Пласціна для вымярэння зазораў|мац
Пласціна для мантажу радыёдэталяў|плата
