Дадатны эфект ад чаго-небудзь|карысць
Польскі біяхімік (1884–1967), спец. па біяхіміі вітамінаў|Функ
Польскі варыянт імя Юдифь|Ядзвіга
Польскі варыянт назвы ракі ў Еўропе|Ложы
Польскі горад, які даў імя бальнаму танцу?|Кракаў
Польскі горад, месца правядзення фэстаў эстраднай песні|Сопат
Польскае мястэчка ў Вроцлавском ваяводстве|Липно
Польскі графік|Легрен
Польскі драматург|Фредро
Польскі абаронца Брешыі?|Козмински
Польскі каталіцкі храм|касцёл
Польскі кафтан|кунтуш
Польскі кінарэжысёр, стваральнік фільма “пасажырка”|Мунк
Польскі кінарэжысёр; расліна (т.-сіні фарбавальнік)|фарбоўнік
Польскі кінарэжысёр|Фарбоўнік
Польскі кампазітар і піяніст|Шопен
Польскі муз. прылада|гайда
Польскі народны парны танец|оберек
Польскі народны танец?|оберек
Польскі народны танец|куявяк
Польская выспа ў Балтыйскім моры|Узнам
Польскі парламент; прыток ракі Дзясна|сойм
Польскі парламент|сойм
Польскі педагог|Корчак
Польскі пісьменнік|Лем
Польскі пісьменнік|Оркан
Польскі пісьменнік|Прус
Польскі паэт і перакладнік|Тувим
Польскі паэт, яго вершы добра ведаюць маляняты|Тувим
Польскі паэт. Нобелеўская прэмія (1980)|Милош
Польскі паэт|Аснык
Польскі паэт|Стафф
Польскі паэт|Яструн
Польскі скакун у вышыню, алімпійскі чэмпіён|Вшола
Польскі рэжысёр-рэфарматар|Ярач
Польскі рэжысёр|Аксер
Польскі феадал|пан
Польскі хімік-арганік|Ахматович
Польскі мастак|Витц
Польскі, укр. паўкафтан, род охабня|жупан
Польская страва, у аснове якога рубцы|фляки
Польскае дваранства|шляхта
Польшча (горад у Еўропе)|Отвоцк
Польшча, музей і помнік М. І. Кутузаву, які памёр у Болеславце (горад у Еўропе)?|Болеславец
Польшча, порт (горад у Еўропе)|Щецин
Полярн. низкоросл. зараслі бярозы, хмызнякоў|палярныя хмызнякі
