Вулічнае пладовае дрэва Іркуцка|ранетка
Ушчыльненне органаў з прычыны перараджэння іх тканіны ў цвёрдую злучальную тканіну, шчыльную масу|склероз
Ушчыльненне, герметызаваны зазор паміж рухомай і нерухомай дэталямі|сальнік
Ушчыльняльная дэталь машыны|абшэўка
Выплата за прыналежнасць да некаторай геаграфічнай вобласці?|падатак
Ушчыльненне і патаўшчэнне сценак артэрый|артэрыясклероз
Ушчыльнены круглявы кавалак чаго-небудзь мяккага, друзлага|кім
Прыпадабненне, зліццё, засваенне|асіміляцыя
Які супакоіўся дзень|вечар
Упаўнаважаны арганізацыі, калектыва|агент
Упаўнаважаны амбасадар таты Рымскага|легат
Упор для ног вершніка|стрэмя
Ўпор для кутніх апор высакавольтнай лініі электраперадач|рыгель
Спарадкаваная структура малюнка (з асобных кропак, зерняў)|растр
Спарадкаванае чаргаванне ўдарных і ненаціскных складоў у вершы|метр
Ужыванне, выкарыстанне|зварот
Ужывалы ежу|ядок
Практыкаванні ў вальтыжыроўцы, пры якіх спартовец садзіцца на каня|седы
Кіраванец (аўта.)?|руль
Кіраваная задняя частка крыла самалёта?|закрылак
Кіраваны кандэнсатар зменнай ёмістасці на паўправадніковым пераходзе, ёмістасць якога залежыць ад прыкладзенай напругі?|варыкап
Кіравальная прылада на АТС|маркер
Кіраўнік маёнткам Іванова ў п'есе А. П. Чэхава “Іванаў”|Боркин
Кіраўнік маёнткам (інш.-рым.)|вилик
Кіраўнік царкоўным маёнткам|фогт
Практыкаванне акцёра|эцюд
Практыкаванне ў цяжкай атлетыцы|рывок
Практыкаванне ў цяжкай атлетыцы|штуршок
Практыкаванне, якое служыць для развіцця акцёрскай тэхнікі|эцюд
Практыкаванні, якое выконваецца пасродкам высновы, вылічэнні|задача
Скасаванне, аб'ява несапраўдным|ануляванне
Кіраўнік, чалец приората|прыёр
Умацаванне матэрыялу (пластмас, бетону і інш.) уводзінамі ў яго тоўшчу дадатковых трывалых элементаў (нітак, сеткі, металлич. стрыжняў і т. п.)|армаванне
Спрошчаная мова|пиджин
Пругкая плеценая сетка для скачкоў?|батут
Пругка абліпальная павязка|бандаж
Пругкае рэчыва са млечнага соку некаторых паўднёвых раслін|каучук
Запражная, хуткая на ходу конь?|рысак
Запражное устроойство, жэрдка, злучаная з передн. воссю?|аглобля
Збруя для быкоў|ярмо
Ўпартая рэч|факт
Упартасць, дзівацтвы ў характары|нораў
Упартасць, характар з дзівацтвамі|нораў
Упарты конны транспарт|асёл
Недагляд па промаху|позех
Упір, вампір|ваўкалак
Упір, ваўкалак; у народных павер'ях і фэнтэзі мярцвяк, які выходзіць з магілы і нападнік на жывых людзей, высмоктваючы іх кроў|вампір
Упір, казачны пярэварацень|вампір
Ураган вялікай разбуральнай сілы, пераважна ў заходняй частцы Ціхага акіяна, трапічны цыклон|тайфун
Ураган, тайфун, цыклон; раман Лациса; верш. А. Пушкіна|бура
Ўраган, тайфун, цыклон|бура
Ураза па-хрысціянску|пост
Уральская рака|Тагіл
Уральскае мястэчка ажурнага ліцця|Касли
Уранавае радовішча ў Нігеры|Арли
Падрэзаныя штаны|шорты
Ўзровень актыўнасці, бадзёрасці, настроі|тонус
Узровень у іерархіі (разрад, катэгорыя, званне, чын)|ранг
Узровень кваліфікацыі ў спорце ці прафесіі|разрад
Выродлівы, благі твар, пыса, рожа, лыч (грубіянскі.)|мурло
Выродлівы карлік, які ахоўвае падземныя скарбы|гном
Ураджайны прыпар|жніво
Выхадзец Іярданіі|араб
Выхадзец адной з кім-небудзь мясцовасці|зямляк
Урок, вымаемы з жыццёвага досведу|навука
Выпусцілі мішку на падлогу, адарвалі мішцы лапу (аўтар)|Барта
Выпусцілі мішку на падлогу, адарвалі мішцы лапу (імя аўтара)|Агнія
Вызначаны стол|парта
Уругв. пісьменнік|Аморим
Сядзібны ансамбль каля Масквы|Архангельскае
Сядзіба абшарніка|маёнтак
Сядзіба, зямельнае валоданне ў Лацінскай Амерыцы|ранча
Сядзіба, сяліба ў Прыбалтыцы|мыза
Вусатая рыба|сом
Вусаты чысцільшчык акварыума|сомик
Вусік, орган нюху і абмацванні ў казурак|сяжок
Узмацненне дзейнага стану?|актывацыя
Ўзмацненне матэрыялу ці канструкцыі іншым матэрыялам|армаванне
Ўзмацненне, ажыўленне дзейнасці|актывізацыя
Ўзмацненне, павелічэнне, нарашчэнне|аугментация
