Драпежнае млекопитающее сямействы куньих|харза
Баваўняная тканіна з набіваным узорам|киндяк
Баваўняная тканіна, з якой шыюць пераважна жаночыя і дзіцячыя сукенкі|сацін
Баваўняная тканіна, якая ў велізарнай колькасці выносілася на святочныя дэманстрацыі|кумач
Баваўняная тканіна, закліканая медыцынай для маскіроўкі часавых дзюр у нашым целе|марля
Баваўняная ярка-чырвоная тканіна|кумач
Баваўняны аксаміт|пліс
Дубец для верхавой язды|сцёк
Дубец для палявання з сабачай зграяй?|арапнік
Хмель, травяністая расліна|дурман
Хмельная заварушка|брага
Хмяльніцкі, Дорошенко, Мазепа – кожны з іх|гетман
Хмельны напой|мядок
Хо Ши Мін, Иосип Броз Ціта, Марцін Лютар Кінг. Калі выбудаваць іх у адну лінію, то якога яна колеру?|памяранцавага
Харавы музычны твор на тэкст каталіцкага набажэнства|імша
Ход апавядання – у рамане, кіно, паэме|сюжэт
Ход разваг, высноў?|логіка
Ход з маленькай карты ў вісце|инвит
Ход падзей, кірунак іх развіцця ў жыцці чалавека|лёс
Ходу няма – хадзі з ... , – кажуць прэферансісты (картачная масць з выраза) (адказ у ім. п.)|буби
Ходзіць літарай “Г”|конь
Хадавая частка транспартных, сельскохоз. і інш. машын|шасі
Хады паведамлення|апрошы
Ходзяць зацятыя чуткі пра тое, што гэты хімічны элемент дадаюць у ежу лётчыкам для іх жа поўнага спакою?|бром
Хоз. прыналежнасць у пары з венікам|шуфлік
Гаспадары лагера ў фільме “Сардэчна запрашаем, ці Староннім уваход забаронены”|дзеці
Гаспадар пекла|чорт
Гаспадар чароўнай лямпы|Аладдин
Гаспадар блакітнай лагуны|атол
Гаспадар дарогі|КАМАЗ
Гаспадар знакамітага кафтана|Тришка
Гаспадар капіталістычнага прадпрыемства, кіраўнік установы, фірмы?|бос
Гаспадар пратонаў і нейтронаў|атам
Гаспадар салона воск. постацяў, успадкаванага мадам Тюссо|Тартье
Гаспадар скарбаў на вядомай выспе|Флинт
Гаспадар друкарні ў Аўгсбурзе ў 15 ст., друкаваў карты|Цайнер
Гаспадар, начальнік, кіраўнік; нямы. мадэльер|бос
Гаспадар, начальнік, кіраўнік|бос
Гаспадыня Пифа|Агата
Гаспадыня чароўнай палачкі|фея
Гаспадыня сусветна вядомага салона васковых постацяў|Тюссо
Гаспадыня марскіх жывёл у міф. эскімосаў|Седна
Гаспадарчая дзейнасць па звароце, куплі і продажу тавараў?|гандаль
Гаспадарчая пабудова|восець
Гаспадарчая пабудова|адрына
Гаспадарчая прыналежнасць, кухоннае начынне|сіта
Гаспадарчае начынне для ежы, пітва, захоўванні харчоў|посуд
Гаспадарчая, спартовая, дарожная ...|торба
Гаспадарка, хатняе ці рамеснае|ужытак
Хакеіст ЦСКА 70–80 гг.; сав. пісьменнік|Гусев
Хакеіст ЦСКА 70–80 гг.|Гусев
Хакеіст, уладальнік кубка Стенли 1950, 1952, 1954, 1955 гг.|Хоу
Хакеіст, чэмпіён Алімпійскіх гульняў 1964 і 1968 г.|Аляксандраў
Хакеіст|Зубкоў
Хакеіст|Пятроў
Хакей МХЛ|СКА
Хакей з мячом на лёду|бенди
Хакейная каманда|хімік
Хакейны інвентар|клюшка
Хакейны клуб МХЛ; сталіца Хазарскага каганата|Итиль
Хакейны клуб МХЛ|Итиль
Хакейны клуб з С.-Пецярбурга|СКА
Хакейны штраф|буллит
Хол. зброя; выбухная прылада; фігурка ў шарон. гульні|шашка
Хол. зброя|шашка
Ўзгорак у наваколлях Іерусаліма, дзе быў раскрыжаваны Ісус Хрыстос?|Галгофа
Ўзгорак зблізку Іерусаліма|Сион
Узгорак з рэштак старажытных будынкаў і напластаванняў культурнага пласта|тэль
Узгорак з пяску|выдма
Ўзгорак з дакладнасцю да наадварот|яр
Узгорак, груд, вяршыня (у розных фанетычных варыянтах ужываецца ў раёнах распаўсюду цюркскіх моў)|няўклюдзе
Ўзгорачак, у прастамоўі “замежжа”|груд
Пагорыстае ўзвышша, града ўзгоркаў|камлюк
Квашаніна па сваёй сутнасці|жэле
Халодная вадкая страва на аснове квасу|цура
Халодная страва з дробна нарэзанай гародніны|салата
Халодная марская плынь|Курыльская
Халодная мясная страва|кумпяк
Халодная зброя (з 16 ст. замяніў меч)|палаш
Халодная зброя ў выглядзе нажа|фінка
Халодная зброя ў выглядзе тонкага заменчанага стрыжня, адвёрткі і т. п.?|завострыванне
Халодная зброя марскіх афіцэраў|кортик
Халодная зброя з двухбаковавострым прамым клінком|меч
Халодная зброя, каўказскі кінжал|кама
Халодная зброя, кідальная дзіда франкаў|ангон
Халодная зброя, напрананы на руку для ўзмацнення ўдару кулака металлич. прадмет, часта з шыпамі і т. п.|кастэт
Халодная зброя, неабходнае для выканання хітовага танца Арама Хачатуряна?|шабля
Халодная зброя, распаўсюджанае на Малайском архіпелагу|арит
Халодная зброя, шатландскі кінжал, які мае трывалы доўгі і вузкі клінок|баллок
Халодная зброя, японскі востраканцовы нож-стрыжань|когай
Халодная зброя; у біялогіі – лічынкавая стадыя істужачных чарвякоў|фінка
Халодная зброя; горны масіў на Ўрале|шабля
Халодная зброя; аповесць А. Рыбакова|кортик
Халодная зброя; верш. М. Лермантава|кінжал
Халодная зброя?|багнет
Халодная зброя?|нож
Халодная зброя?|кінжал
Халодная зброя?|штылет
Халодная зброя?|шпага
Халодная зброя?|рапіра
Халодная зброя|клінок
Халодная зброя|кортик
Халодная зброя|пернач
Халодная зброя|шабля
Халодная зброя|склюд
Халодная зброя|фінка
Халодны будынак для захоўвання збожжа|свіран
Халодная ўдарная зброя|булава
Халодная, якая сячэ зброя|сякера
Халодны вецер вялікай сілы, дующий з вяршыняў хрыбта, змешчанага ў самага берага мора|бора
Халодны вецер у прыморскіх мясцовасцях|бора
Халодны склеп|ляднік
Халодны прыморскі вецер|бора
Халодны суп з квасу з гароднінай?|халаднік
Халасцяцкая прымаўка: “Не крані яе, і яна не кране цябе”. Тое, пра што гэта сказана|пыл
Хорв. музыкавед|Андрейс
Харват. пісьменнік|Колар
Харватыя (горад у Еўропе)|Осиек
Харватыя (горад у Еўропе)|Рыска
Харватыя (горад у Еўропе)|Спліт
Харвацкая паэтка|Парун
Харвацкія нацыяналісты-царазабойцы|усташи
Харвацкі порт|Сисак
Харвацкі скульптар (1900–1979)|Августинчич
Хордавы жывёла, корм для рыб|сальпа
Харэограф 18–19 стст., “Лісты пра танцы”|Луппов
Хормайстар Вялікага тэатра ў 1882–1937 гг.|Авранек
Харавая песня|ода
Харавая рэпетыцыя|спеўка
Харавы музычны твор, прызначанае для літургіі|імша
Харавы стрэл|залп
Харалогія, навука пра вобласці распаўсюду раслін і жывёл|ареалогия
Добрая і пад футрам, і без?|селядзец
Добрае жыццё (жаргон.)|лахва
Добрая жылплошча на вышыні птушынага палёту|гняздо
Добрая, незаплямленая рэпутацыя, добрае імя|гонар
Добрае стаўленне да каго-небудзь|прыхільнасць
Добрая прапанова|ідэя
Добранькая жанчына заўсёды вырабляе|эфект
