Ўзмацняльнік асобы|сябар
Устар. назва плашчака|лерка
Устар. назва размеркавальнай кабельнай ці паветранай лініі электраперадачы|фідар
Устар. назва ўдмуртаў|вацякі
Устар. руская мера вагі: 409,51 г|фунт
Устар. руская назва саамаў|лапары
Устаревш. назва чырвона-бурага андрадыту|аллохроит
Састарэлая грашовая адзінка Латвіі|рублис
Састарэлая панчошная тканіна|капрон
Састарэлая шыя|шыя
Састарэлае вайсковае званне|юнкер
Састарэлае ложа|ложа
Састарэлая назва дыямента|адамант
Састарэлая назва альмандзіну, разнавіднасці граната|вениса
Састарэлая назва вока?|вока
Састарэлая назва адзінкі сілы святла|свечка
Састарэлая назва кардоннай вокладкі|тэчка
Састарэлая назва чырвонага турмаліну|даурит
Састарэлая назва селяніна-аратага|араты
Састарэлая назва маклера|перакупшчык
Састарэлая назва перакладніка падчас гутаркі, перамоў|тлумач
Састарэлая назва падсвечніка|шандал
Састарэлая назва палявога шпата, вырабнага каменя|адвантюрин
Састарэлая назва розных гістарычных, навуковых і інш. калекцый рэдкасцяў і месцы іх захоўвання?|кунсткамера
Састарэлая назва лала|лихнис
Састарэлая назва рукі|далонь
Састарэлая назва самалёта|аэраплан
Састарэлая назва салідолу|тавот
Састарэлая назва шкляной імітацыі каменя|барода
Састарэлая назва тыяміну (вітаміна В1)|анеўрын
Састарэлая назва гандляра тканінамі?|суконшчык
Састарэлая назва фіялетавага празрыстага сапфіра|виолет
Састарэлая назва чалавека, які шукае ў жыцці толькі асалод, задавальненняў|жуір
Састарэлая назва бурштыну|амбер
Састарэлае найменне адзінкі яркасці|нит
Састарэлае слова ці зварот гаворкі, што выйшаў з ужывання|архаізм
Састарэлая назва вітаміна А|аксерофтол
Састарэлая назва вітаміна В6 ці пірыдаксіну|адэрмін
Састарэлая назва земляробства|агрыкультура
Састарэлае паняцце, меркаванне|анахранізм
Вусновая дапамога|рада
Вусновы выраз|фраза
Вусновы выклад навучальнага матэрыялу, якога-небудзь пытання, навуковай, палітычнай тэмы|лекцыя
Вусновае ці пісьмовае паведамленне начальніку пра службовую справу|даклад
Вусновае паведамленне начальніку пра прыход наведвальніка|даклад
Вусновы ці пісьмовы даклад начальству|рапарт
Вусновы ці пісьмовы даклад пра праробленую працу|справаздача
Вусновы ці пісьмовы даклад статутнай формы, заява вайскоўца начальніку|рапарт
Вусновы аповяд, гісторыя (магчыма, не цалкам пэўная)|байка
Вусновы смешны аповяд|анекдот
Устойч. западн. вецер над пасатамі ў тропіках|антыпасат
Устойлівая фарба для чарчэння, маляванні?|туш
Устойлівае словазлучэнне, фразеалагізм|ідыёма
Ўстойлівы вецер у трапічных шыротах, пераважна над акіянамі|пасат
Устойлівы акіянскі вецер тропич. шырот, С.-В. у Сяўбу. паўшар'і і Ю.-В. у Паўднёвым|пасат
Устойлівы сезонны вецер, дующий улетку з мора на сушу, а ўзімку з сушы на моры|мусон
Прылада для падагрэву вады парай|бойлер
Прылада для паніжэння напругі ці магутнасці сігналу|атэнюатар
Прылада для ўзмацнення магутнасці машыны падчас нагрузак|бустар
Прылада для фіксавання вымяральнага прыбора ў непрацоўным становішчы|арэтыр
Устр-ва, якое накладаецца на цела як крыніца энергіі|аплікатар
Устр. для зап. дзвярэй; укрепл. жыў. феадала; раман Кафки|замак
Устр. для зап. дзвярэй|замак
Ухіленне няспраўнасцяў|рамонт
Устранениие непаладак|рамонт
Застрашванне сваіх палітычных супернікаў, які выяўляецца ў фізічным гвалце, аж да знішчэнні|тэрор
Устремляющийся з гор пры моцнай паводцы ці катастрофе (прарыў возера і т. п.) бурны струмень з глебай і камянямі|сель
Прылады і сродкі для знішчэння суперніка|зброя
Прылады, якія ўтвараюць шлях прытрымлівання чаго-небудзь|гасцінец
Прылада ў геадэзічных прыладах, з дапамогай якога вырабляецца навядзенне прылады на якую-небудзь кропку|візір
Прылада ў канструкцыях машын для гашэння ваганняў|амартызатар
Прылада ўводу ў кампутары|мыш
Прылада відэамагнітафона, што дазваляе наладзіцца на тэлевізійны канал|цюнар
Прылада для аўтаматычнай камутацыі электрычных ланцугоў па сігнале звонку|рэле
Прылада для аналізу характару палярызацыі святла|аналізатар
Прылада для вадасцёку|жолаб
Прылада для вылучэнняў прамянёў, сігналаў вызначанай чашчыні са струменя хваль|фільтр
Прылада для газавання пітнай вады?|сіфон
Прылада для гашэння хуткасці|тормаз
Прылада для для атрымання магутных, вузканакіраваных пучкоў святла|лазер
Прылада для доступу куды-небудзь, ход|лаз
Прылада для жарения і выпечкі з нагрэвам інфрачырвоным выпраменьваннем|грыль
Прылада для цвёрдай фіксацыі прыбораў|штатыў
Прылада для забівання паль пры дапамозе чыгуннай бабы|капар
Прылада для замацавання частак механізму|стопар
Прылада для замыкання дзвярэй, варот|завала
Прылада для замыкання і расплюшчванні электрычнага ланцуга|кнопка
Прылада для замыкання і расплюшчванні электрычнага ланцуга|рэле
Прылада для замыкання ці расплюшчванні электрычнага ланцуга, якое спрацоўвае пад дзеяннем магнітнага поля|геркон
Прылада для замыкання дзвярэй?|замак
Прылада для захопу і падвешванні грузу да крука|строп
Прылада для выпраменьвання радыёхваль на перадавальным боку?|антэна
Прылада для даследавання дна і захопу адтуль жывёл і раслін|трал
Прылада для пампавання|арэлі
Прылада для мацавання электрич. лямпы і падводу току|патрон
Прылада для курэння ў народаў Усходу, у якім тытунёвы дым прапускаюць праз пасудзіну з вадой|кальян
Прылада для мясцовага абагравання маладняка птушкі ў першыя тыдні жыцця|брудар
Прылада для нагнятання паветра|помпа
Прылада для нагрэву жылля|печ
Прыладу для напампоўвання газу?|помпа
Прылада для назапашвання энергіі?|акумулятар
Прылада для напорнага перасоўвання вадкасці|помпа
Прылада для нацяжкі і налады струн у музычнай прыладзе|колак
Прылада для выяўлення падводных перашкод пры ўсталяванні вех|трал
Прылада для выяўлення, распазнанні розных мэт|радар
Прылада для абагравання маладняка птушкі|брудар
Прылада для апрацоўкі матэрыялу ці вырабаў награваннем|печ
Прыладу для вызначэння кірунку ветра|флюгер
Прылада для прыпынку руху|тормаз
Прылада для ачысткі газу ад цвёрдых часціц, якія адкідаюцца ў віхравым струмені да сценак|цыклон
Прылада для ачышчэння вадкасцяў, газаў ад цвёрдых часціц|фільтр
Прылада для перапампоўкі вадкасцяў і газаў|помпа
Прылада для пераключэння кірунку кручэння ці рухі на задні ход|рэверс
Прылада для пераключэння электрич. ланцугоў, якое спрацоўвае ад кіраўніка электрич. сігналу|рэле
Прылада для падачы выдзімання ў металлургич. і плавільных печах|фурма
Прылада для падачы выдзімання ў металургічныя агрэгаты|фурма
Прылада для падвешвання чалавека да купала парашута, гандолы да дырыжабля, аэрастату|строп
Прылада для падтрымкі горнай выпрацоўкі|мацаванне
Прылада для падагрэву вады ў сістэмах цяпло- і водазабеспячэння?|бойлер
Прылада для ўздыму вадкасці сціснутым паветрам, якія змешваюцца са што транспартуецца вадкасцю|эрліфт
Прылада для ўздыму і спуску па шахтавым ствале ваганетак?|клець
Прылада для ўздыму нафты са свідравой свідравіны|эрліфт
Прылада для паказу фільмаў|экран
