Фіналіст Суперкубка Еўропы ’95?|Сарагоса
Фірмаў. крама ў Маскве; мужчынскае імя; верш. І. Буніна|Руслан
Фірмаў. крама ў Маскве; порт у Балгарыі|Варна
Фірмаў. крама ў Маскве|Варна
Фірмаў. крама; п'еса : Л. Андрэева; Штэйна|акіян
Фірмаў. крама|акіян
Фірма КВЗ|амик
Фірма гукапісу з “граматычнай” назвай|звяз
Фірма па вытворчасці дзіцячага сілкавання|агу
Фірма спартовай адзежы|пума
Фірма югаслаўскіх цыгарэт|дрина
Фірма-фундатар Европейск. бильярдн. асацыяцыі|дельса
Фірмовая адзежа кухаркі|фартух
Фірмовая назва маркировочного каляровага алоўка кампаніі “Винус Эстербрук” – ...?|фламастар
Фірмовы знак акцыянернай фірмы А. А. Ханжонкова па вытворчасці фільмаў|Пегас
Фірмовы знак|таўро
Фірмовы напой шаптухі|адвар
Фірмовы напой ведзьмакоў|зелле
Кнот, зажиг. ад іскры|труць
Кнот, які запальваецца пры высяканні іскры|труць
Кнотавую стрэльбу 14–16 стагоддзяў|аркебуза
Кнотавая стрэльба 16–17 ст. калібрам ок. 20 мм з далёкасцю бою да 250 м, з якога стралялі з апоры|мушкет
Кнотавы варыянт гэтай зброі з'явіўся ў Францыі яшчэ ў ХVI павеку і адразу пачаў заваёўваць папулярнасць сярод дуэлянтаў|пісталет
Фитогормон расліны, стымулюючы роставыя працэсы|аўксін
Фішка для гульні ў казіно|жэтон
Сцяг караля, часткі дзяржавы, узніманы падчас знаходжання на ваенным караблі ці ў палацы|штандар
Сцяжок ці іншы знак на шлюпцы, які паказвае прыналежнасць да вызначанага судна|флюгарка
Флегматык наадварот|халерык
Флегматычнасць халерыка|апатыя
Флейтыст, сопров. сольныя партыі акцёраў у антич. тэатры|пифавлет
Фларэнтыйскі мараплавец, у гонар якога Вест-Індыя была названа Амерыкай|Веспуччи
Сцяг адмысловай расфарбоўкі, узніманы на носу ваенных караблёў, калі яны стаяць на якары|гюйс
Сцяг, сцяг|сцяг
Флагман гісторыі механізаванага плавання?|параход
Флагманскі лінкор Балтыйскага флота ў перыяд Вялікай Айчыннай вайны|Марат
Сцяжок для ўказання кірунку ветра?|флюгер
Флам. жывапісец 17 ст.|Рубенс
Фламандскі жывапісец 17 ст., “Вясковае свята”|Тенирс
Флейта старажытных інкаў, духавы муз. прылада|аната
Флот. тэрмін|маўляў
Флатаводзец|Трибуц
Флюс у металургіі|даламіт
Фокида, Абаха, гара Птой, выспа Эвбея, Беотия, Аргос і шэраг іншых месцаў. А зараз назавіце месца, дзе знаходзіўся самы вядомы з іх|Дэльфы
Фокс з тэлесерыяла “Месца сустрэчы змяніць нельга” насіў ___ Айчыннай вайны?|ордэн
Факусавальны конус|фокон
Фальклор гаучо – цэнтр. перс.|Паядор
Фальклор: “Мінздар папярэджвае: Усё, у чаго ёсць колы ці грудзі, рана ці позна прыводзіць да ...”?|непрыемнасцям
Фальклорнае, сталае намінальным, імя цыганкі?|Аза
Фальклорны жанр у татараў і башкір|баит
Фальклорны жанр|дума
Фальклорны ўладальнік шапкі строга свайго памеру|Сенька
Фольколрный жанр|сказ
Ліхтар на транспарце|фара
Ліхтар, транспарт|фара
Фондавая, таварная, працоўная|біржа
Фанограф вынайшаў?|Эдысан
Фантан у Рыме|Треви
Форма “лёгкай” паэзіі?|бурыме
Форма Землі|геоид
Форма барацьбы капіталіста са страйкамі|лакаўт
Форма быцця матэрыі?|рух
Форма ветлівага звароту ў Іспаніі|сеньёр
Форма ветлівага звароту ў Італіі|сіньёр
Форма каўняра|апаш
Форма дзеяслова, якая пазначае імгненнае ці лімітавае дзеянне|аарыст
Форма горнага рэльефу|хрыбет
Форма дзяржавы, пры якой кіруюць прадстаўнікі радавой шляхты|арыстакратыя
Форма жаночай кладкі?|начос
Форма джазавай музыкі|блюз
Форма для ліцця; узор выраба; тып, марка, канструкцыя|мадэль
Форма для ліцця|мадэль
Форма дазавання лекаў; гатунак дробных цукерак|дражэ
Форма дазавання лекаў|дражэ
Форма залягання горных парод магматычнага паходжання|трубка
Форма залягання ападкавых горных парод|пласт
Форма абароны ў футболе, вольнай барацьбе?|замак
Форма абароны ў футболе|бетон
Форма і адзінка задання рытму ў музыцы|такт
Форма змены слова пры скланенні|склон
Форма імёнаў і дзеясловаў, якая пазначае колькасць прадметаў?|лік
Форма кітайскага верша|ши
Форма кнігі|кодэкс
Форма сялянскага хоз-у на Русі|водруб
Форма сялянскага хоз-у|сяліба
Форма кроны дрэва ці куста; памежны ці заград. атрад|кардон
Форма кроны дрэва ці куста|кардон
Форма асабістай залежнасці, злучанай з пазыкай|кабала
Форма мінерала: група крышталяў, наросших на агульную падставу|друза
Форма шматгалоснай музыкі|канон
Форма монополистич. аб'яднанні, удзельнікі якога падпарадкаваны агульнаму кіраванню і не маюць гаспадарчай самастойнасці|трэст
Форма ўспадкоўвання земляў у Старажытнай Русі|дедина
Форма нац. няцерпнасці|антысемітызм
Форма аб'яднанняў прамысловых прадпрыемстваў|трэст
Форма аднаго і таго ж гена ў парнай храмасоме|алель
Форма аптовага рынка тавараў, якія прадаюцца па стандартах і ўзорам|біржа
Форма арганізацыі людзей, што характарызуецца калектыўным валоданнем сродкамі вытворчасці, сумесным вядзеннем гаспадаркі, поўным ці частковым самакіраваннем|абшчына
Форма арганізацыі аптовага гандлю|біржа
Форма аховы асабістых і маёмасных правоў і інтарэсаў недзеяздольных грамадзян|апека
Форма друкаваных знакаў|шрыфт
Форма падрыхтоўкі навуковых і выкладчыцкіх кадраў|аспірантура
Форма падрыхтоўкі навуковых кадраў у Вну|аспірантура
Форма пратэсту дзіцяці|роў
Форма размнажэння|андрогенез
Форма рэльефу ў горах|камлюк
Форма рэльефу, груда лёду|тарос
Форма рэльефу, рачная даліна са стромкімі схіламі|каньён
Форма рэльефу|карр
Форма рэльефу|каса
Форма рэльефу|лагчына
Форма рэльефу|пляж
Форма рэльефу|суша
Форма рэпетыцыі п'есы|чытка
Форма з паглыбленым і рэльефным малюнкам тэксту|штамп
Форма севанской стронгі (рыба сем. ласосевых)|бахтак
Форма слова лоб (паменшыць., занядбае.)|лбишко
