Чалец “Магутнай купкі”|Кюи
Чальцы Партыі сацыялістаў-рэвалюцыянераў (Расія, 1901–23)|эсэры
Чальцы партый, якія абараняюць інтарэсы землеўладальнікаў|аграрнікі
Абжора духу|аскет
Надзвычай канцэнтраваная серная кіслата|олеум
Надзвычай выдаленая касмічная крыніца радыёвыпраменьвання|квазар
Празмерная прагнасць|сквапнасць
Празмерная цягліцавая слабасць|адынамія
Празмерная падкрэсленая самаўпэўненасць|апломб
Празмерная самаўпэўненасць у зносінах, гутарцы?|апломб
Празмерная фамільярнасць, бесцырымоннасць|амікашонства
Празмеру “хворы” заўзятар?|фанат
Празмеру пунктуальны чалавек, літараед|педант
Празмеру гарачы прыхільнік футбола|фанат
Празмернае ўзвялічванне, пакланенне, шанаванне, абагаўленне|культ
Празмернасць патрабаванняў да захавання строгасці нораваў, да чысціні мовы|пурызм
Празмерны і непрапарцыйны рост канечнасцяў і костак твару з прычыны парушэння функцыі гіпофізу|акрамегалія
Празмерны рост канечнасцяў з-за наруш. функцыі гіпофізу|акрамегалія
Гістарычная вобласць на захадзе Францыі|Онис
Чытальнік чужых думак|телепат
Што сабой уяўляе аграф?|зашпілька
Што сабой уяўляе “Рама” (прадукт)?|маргарын
Што сабой уяўляе магма?|расплаў
Што сабой уяўляе парфорс?|нашыйнік
Што сабой уяўляе франтыспіс?|малюнак
Што сабой уяўляла Галатэя, перш чым яе ажывіў сваім каханнем Пигмалион|статуя
Што сабой уяўляла чалабітная?|прашэнне
Што хавае ў сабе бум?|воплеск
Што хаваецца за маскай сур'ёзнага ў іроніі?|смешнае
Што хаваецца за спрытам?|шпаркасць
Што хаваецца пад кананадай?|стральба
Што ідзе за грубіянскае парушэнне правіл гульні ў хакеі?|выдаленне
Што імкнецца даказаць кожны з якія спрачаюцца?|правасць
Што ёсць лік 3 для аперацыі дзялення 23 на 5?|рэштка
Што яшчэ можа паднімацца ў пажылога мужчыны?|ціск
Што яшчэ можа чухаць няўдачлівы, калі рэпа ўжо лысая?|патыліца
Што застаецца ад пабітага посуду?|аскепкі
Што пакінуў злы вядзьмак у пакоі Людмілы (Руслан і Людміла)|шапка
Што забяспечвае сям'і карміцель|дастатак
Што звычайна насіў зверху перш казачок|чэркеска
Што азначае імя Зміцер|нашчадак
Што афарбоўвае думку|пачуццё
Што ён нам нясе – прорва ці ўзлёт? (Назва песні)|заваротак
Што адсутнічае ў імглістых развагах|выразнасць
Што адрознівала таго самага апостала Тамаша, якога лічаць першым хрысціянінам у Індыі|нявера
Што ў сабо сціраецца павольней, чым у іншага абутку|падэшва
Што ў нас над галавой|столь
Што ўпрыгожвае знакаміты дыямент “Арлоў”?|скіпетр
Што б вы дадалі ў якая варыцца квашаніну, калі ў ім мала жыл|жэлацін
Што бывае льняным, сінтэтычным, аптычным|валакно
Што ў нядзелю і ў святы служаць двойчы ў адрозненне ад буден|вячэрня
Што ў галаве ў асла маляваны|дур
Што ў лаканізме ўжываецца побач са сцісласцю|выразнасць
Што ўсяляе ў сэрца ружа, як лічылі старажытныя рымляне|мужнасць
Што вядуць з дапамогай калькулятара|падлік
Што падарвалася ў свой час у Чарнобылі|рэактар
Што выяўляюць, падаючы апеляцыю|пратэст
Што вывешваюць знадворку на дзверы ангельскія студэнты, паказваючы ўсім, што заняты прыёмам госця ці госці|гальштук
Што робіць зімовую дарогу смяротна небяспечнай для аўтамабіліста|галалёд
Што рабілі з дэльфінаў старажытныя рымляне|каўбаса
Што дыпламатычна выяўляе амбасадар, калі яму жадаецца дужа выказацца|пратэст
Што для скандалу самае ганебнае|агалоска
Што жадаюць адзін аднаму вайскоўцы пры сустрэчы|здароўе
Што за цуд, вось так цуд // Зверху страва, знізу страва // Ходзіць цуд па дарозе, // Галава тырчыць ды ногі|чарапаха
Што замяняла навагоднюю елку народам Еўропы да ХVIII стагоддзі?|палена
Што выпрабоўвае той, у каго коткі на душы скрабуць|трывога
Што вынайшаў франц. вайскавод Луі Крильонский|маянэз
Што акрамя жонкі, прайграў Наль у косткі|царства
Што напаўняе вакуум|пустэча
Што нарабіў Андрэй Тарковский з “Пікніка на абочыне” братоў Стругацких|сталкер
Што трэба своечасова прыняць, каб потым не закалолі|таблетка
Што паднімаецца ў пенсіянера пры выглядзе смазливой жанчыны|ціск
Што атрымаў гідролізам цэлюлозы франц. хімік Анры Браконно|глюкоза
Што дапамагае пазбавіцца ад стану застою|узварушэнне
Што дапамагло прынцу пазнаць у бедна апранутай Папялушцы прыгажуню каралеўскага балю|туфлік
Што абуджае апетыт да прадмета|цікавасць
Што такое куратнік|птушнік
Што такое падрадкоўнік|пераклад
Што такое таксометр|лічыльнік
Гэта шылі нядобрым савецкім грамадзянам у парткамах|амаралка
Штосьці адмоўнага характару, напр., непрыемныя звесткі (перен.)|негатыў
Што-небудзь утваралае хвалістую лінію, спіраль|завіток
Каб адрознівацца ад захопнікаў – кітайцаў, прадстаўнікі гэтага ўсходняга народа ў плыні стагоддзяў фарбавалі зубы ў чорны колер|в'етнамцы
Чытальнік у Інш. Грэцыі|рапсод
Што “пазнаёміла” будучага графа Монте-Кристо з абатам Фариа|падкоп
Што Абу Алі ибн Сина зваў адлюстраваннем явы, якая была ці будзе?|сон
Што Аляксандр Дзюма-сын клікаў добрым слугой і дрэнным спадаром?|грошы
Што Андрэ Моруа зваў мастацтвам, якое не трывае невуцтва і дылетанцтва, але, тым не менш, не дазваляе чалавеку набыць адпаведны досвед?|самагубства
Што Арыстоцель лічыў органам мыслення, охлаждаемым мозгам|сэрца
Што Буда разумеў пад вызваленнем ад недасведчанасці, спазнаннем праўды і, як следства гэтага, станам асалоды, супакою? (адказ у вінаў. п.)|нірвану
Што Овидий назваў ракой, якая прыносіць папірус?|Ніл
Што Анарэ дэ Бальзак жартам зваў шостым пачуццём, якія дазваляюць нам атрымліваць асалоду ад пяццю астатнімі?|грошы
Што Фрыдрых Ніцшэ лічыў лепшымі лекамі для мужчыны|перамога
Што амерыканскі гумарыст Айвен Эссар зваў гнюснай несправядлівасцю ў адносінах да сняданку і папярэдняй абразай для абеду?|ланч
Што арабы звалі Франгистаном?|Еўропу
Што больш – 27% ад 50 ці 50% ад 27?|аднолькава
Што больш за ўсё падабалася на карцінах Івана Айвазоўскага рускаму пісьменніку Фёдару Дастаеўскаму|шторм
Што кідае наперад святло?|пражэктар
Што будзе, калі Брэжнева стукнуць рэйкай па галаве?|БАМ
Што літаральна ў перакладзе з латыні азначае слова “ітэрацыя”?|паўтор
Што літаральна азначае слова лацінскага паходжання “нацыя”?|племя
Што бывае марскім, прамысловым і тэлефонным|вузел
Што бывае не толькі святочным, але і аперацыйным?|стол
Што было напачатку стварэнні свету?|слова
Што было ў поглядзе, які прымусіў заспяваць: “Што ты глядзіш на мяне ва ўпор? Погляду твайго я не баюся, зараза!”|дакор
Што было намалявана на карціне, якая вісела ў каморцы таты Карла?|агмень
Што было чорным у белага Бима?|юха
Што ў галаве ў Віні-Пуху?|пілавінне
Што ў лячэбных мэтах бывае набіта лёдам, “аспрэчваючы” свая назва?|грэлка
Што ў першую чаргу пакутуе ад харакіры|жывот
Што ў казках перамагае зло?|дабро
Што ў сярэднявечнай Іспаніі і Партугаліі называлі Sаntа kаsа – святая хата?|інквізіцыя
Што ў футболе разгульваюць рукамі?|аўт
Што важна не змяншаць пры штурме|націск
Што ўвёў Пётр Вялікі персанальна для барадачоў|падатак
Што вядзе брыг “Меркурый” з двума турэцкімі караблямі на карціне Івана Айвазоўскага, асцярожна захоўваемай у Феадасійскай маляўнічай галерэі|бой
Што шлюбуе грэцкі алфавіт?|амега
Што вешалі рымляне на шыю дзіцяці, каб адвесці ад яго небяспека?|карал
Што бачыш, апускаючыся ў абдымкі Гипноса|сон
Што ўсярэдзіне ўкраінскай галушкі|тварог
Што водзіць киногерой Юрыя Бялова з кинокомедии “Каралева бензакалонкі”|аўтобус
Што паўстала ў ХVI ст. у выніку камбінацыі распаўсюджаных у той час настольных гульняў з гольфам і кракетам?|більярд
Што валачэцца за жаночай сукенкай?|шлейф
Што ўпершыню зрабіў у 1625 г. Головей, у 1706 г. замяніў Пётр I, а ў 1851 г. замянілі браты Бутеноп?|крамлёўскія куранты
Што ўскіпае ў самавары|вада
Што выкрываецца падчас крыгаходу|рака
Што вывозяць на палі ўвесну?|гной
Што выдае замежніка?|акцэнт
Што вылучае лубрыкатар|змазка
Што выпаліў лилльский кат на плячы ў Мілэдзі|таўро
Што выяўляе ў гіены хвост, заціснуты паміж заднімі лапамі?|спалох
Што выяўляюць, аб'яўляючы галадоўлю?|пратэст
Што кажа амерыканец, калі яму жадаецца каханую назваць “лялячка”?|долли
Што грэкі звалі цар-жылай?|аорта
Што давала сілы міфічнаму Антэю|зямля
Што дае большасці людзей сродку да існавання|праца
Што дае ячмень для піва?|солад
Што даюць на лапу карупцыянеру|хабар
Што рухаецца бязладна і бесперапынна?|часціцы
Што рухаецца ў трамбона|куліса
Што робіць заўсёднік IRС, калі ён доўга маўчыць (па версіі Метра)?|дрочит
Што робіць сальда дадатным|прыбытак
Што робіць вушамі кажан широкоухий складчатогуб?|руліць
Што робяць шахматысты пасля згулянай партыі?|аналіз
Што дэманструюць знаўцы з телеказино “Што? Дзе? Калі?”?|інтэлект
Што трымаў у руцэ рымскі Гіменэй|паходня
Што для ваўка бліжэй да цела|шкура
Што здабывае з лясной чубаткі чмель, пракусваючы яе венца|нектар
Што даверана ахоўваць штурману|курс
Што павінен быў прыкласці Руслан да лба спячай Людмілы, каб абудзіць яе|кольца
Што павінен ведаць кожны цвыркун? (амбасадараў.)|прыпек
Што павінен злавіць галкіпер|мяч
Што павінен зрабіць Біл Гейтс?|памерці
Што старажытныя грэкі звалі практычнай філасофіяй?|палітыку
Што старажытнікі лічылі знакам справядлівасці і правасуддзі?|шалі
Што дзіравяць компостером|квіток
Што еў Гураў пасля блізкасці з дамай з сабачкай?|кавун
Што яшчэ, акрамя карэннай жыхаркі Іспаніі, азначае слова “іспанка”?|грып
Што жанчына штодня апранае і здымае?|сукенка
Што за вата паплыла кудысьці?|аблокі
Што за вялікі паэт Альбіёна, які шанаваўся Г. Гейне?|Шэкспір
