Частка экіпіявання хакейнага брамніка?|маска
Чалавек, дасягнулы ў сваім мастацтве ці рамястве вышэйшага майстэрства?|віртуоз
Чалавек, дасягнулы найвышэйшай дасканаласці ў будызме|архат
Чалавек, які даходзіць да крайняй, дзікай жорсткасці|вылюдак
Чалавек, што жыве ўлетку ў загараднай хаце|дачнік
Чалавек, які клапоціцца пра вонкавы эфект сваіх паводзін|пазёр
Чалавек, што займаецца паляваннем, рыбалоўствам, рубкай лесу ў забароненых месцах ці ў забароненыя тэрміны?|браканьер
Чалавек, які займаецца публічным выкананнем твораў мастацтва|артыст
Чалавек, што займаецца самапазнаннем пасродкам метадаў фізічнай нагрузкі?|ёг
Чалавек, які займаецца сумніўнымі ўгодамі|аферыст
Чалавек, што займаецца фатаграфіяй?|фатограф
Чалавек, запрэжаны ў калыску з пасажырамі|рыкша
Чалавек, які здабывае асабістую выгаду ў шкоду агульнай справе|ірвач
Чалавек, залішне строгі ў выкананні ўсіх фармальных патрабаванняў|педант
Чалавек, імя якога вы забудзецеся толькі тады, калі забудзецеся ўласнае імя|цёзка
Чалавек, што выпрабоўвае прыхільнасць да ўсяго брытанскага|англаман
Чалавек, які шукае ў жыцці толькі задавальненняў (устар.)?|жуір
Чалавек, да якога ідэя падкаваць блыху прыйшла раней, чым да Леўшуна?|Ляскоў
Чалавек, костка якога з'явілася першапрычынай свята 8 сакавіка|Адам
Чалавек, якога ў прамым сэнсе можна ўзяць за шчэлепы (фантаст.)?|Іхтыяндр
Чалавек, якога справа баіцца|майстар
Чалавек, якога інакш назавуць арыгіналам ці дзіваком|дзівак
Чалавек, якому неўласцівая акуратнасць|неахайнік
Чалавек, якому адмаўляюць у праве спрачацца са старэйшымі|шчанюк
Чалавек, якому прызначана ліст|адрасат
Чалавек, якому гумарысты прыпісалі як гімн: “Мой адрас – не хата і не вуліца, Мой адрас – Савецкі Звяз!”|аліментнік
Чалавек, які баіцца ўсяго?|баязлівец
Чалавек, які заўсёды праў і якога раз-пораз ашукваюць|кліент
Чалавек, які выконвае максімальную працу за мінімальную ўзнагароду|ішак
Перавядзіце на турэцкую мову “асёл”|ішак
Перавядзіце на татарскую мову “асёл”|ішак
Перавядзіце на кыпчакский мова “асела”|ішак
Перавядзіце на азербайджанскую мову “асёл”|ішак
Чалавек, які героя падвяргае ўсякім небяспекам, выпрабаванням і пазбаўленням, для таго, каб урэшце жаніць ці ўкакошыць|аўтар
Чалавек, які робіць штосьці, таму што так не рабілі раней. Марк Твен|амерыканец
Чалавек, які ведаў пра кожны крок Чингачгука|Купер
Чалавек, які выкарыстоўваў для гутаркі толькі знакі прыпынку|Морзэ
Чалавек, які кахае хітрыць і хітраваць|шэльма
Чалавек, які шмат балбоча|трапло
Чалавек, які шмат і дарма балбоча (гутарка.)|трапло
Чалавек, які можа бязбоязна сказаць рускаму народу: “Вы чыё – дурні?”?|Задорнов
Чалавек, які пачаў будаваць Адэсу і даў імя яе галоўнай вуліцы|Рибас
Чалавек, які не есць жывёл, а аб'ядае|вегетарыянец
Чалавек, які адным з першых прыйшоў і пасяліўся ў новай недаследаванай краіне, мясцовасці|піянер
Чалавек, які ахоўвае што-небудзь ці каго-небудзь, абаронца|вартавы
Чалавек, які першым вымераў хуткасць святла|Физо
Чалавек, які паляцеў у космас на караблі “Звяз-6”|Шонин
Чалавек, які паклаў пачатак чаму-небудзь новаму ў галіны навукі, культуры|піянер
Чалавек, які прыводзіць у выкананне прысуд пра смяротнае пакаранне смерцю, вырабляе катаванні|кат
Чалавек, які прыдумаў “Старога Хоттабыча”|Лагин
Чалавек, які пятлю шукае ўласнымі зубамі|абжора
Чалавек, які з ваўкамі жыл|Маўглі
Чалавек, які злучаны з кім-небудзь блізкімі адносінамі, заснаванымі на даверы, прыхільнасці, супольнасці інтарэсаў?|сябар
Чалавек, які здзяйсняе благія ўчынкі|злыдзень
Чалавек, які здзяйсняе аматарскія вандраванні|турыст
Чалавек, які свядома ашуквае і ўводзіць у зман іншых|аўгур
Чалавек, які складаецца дзе-небудзь на харчовым забеспячэнні ці наогул сілкуецца дзе-небудзь|ядок
Чалавек, які пакутуе заіканнем|заіка
Чалавек, які ходзіць у тэатр без квітка|артыст
Чалавек, які жадае таму, што не можа інакш|маньяк
Чалавек, красамоўна і пераканаўча які прамаўляе гаворкі|аратар
Чалавек, пазбаўлены ўсіх праў і сродкаў вытворчасці і што з'яўляецца поўнай уласнасцю ўладальніка, які распараджаецца яго працай і жыццём|раб
Чалавек, кахаючы прыбірацца, франт|франт
Чалавек, кахаючы прыбірацца, франт|франт
Чалавек, над якім смяюцца па яго жаданні|блазан
Чалавек, што нажыў вялікія багацці ў Індыі|набоб
Чалавек, змешчаны пад вартавых, у зняволенні|вязень
Чалавек, не абдзелены павагай атачальных?|аўтарытэт
Чалавек, не абавязкова дасведчаны табліцу Мендзялеева, але абавязкова неабыякавы да таксінаў ці анаболікам (малады.)|хімік
Чалавек, не які лічыць аголенае цела ганебным і не што саромеецца распранацца дагала, напр. на пляжы|нудыст
Чалавек, облад. дэталёвым і тонкім разуменнем чаго-небудзь|знаўца
Чалавек, які апранаецца і вядучы сябе з прэтэнзіяй на прыналежнасць да вышэйшага грамадства|франт
Чалавек, што аплачвае шклянка кагора ўласнай крывёй (сав.)|донар
Чалавек, які асуджае іншых за тое, што робіць сам|ханжа
Чалавек, адпрэчаны грамадствам|ізгой
Чалавек, што аддае кроў для пералівання, тканіны ці орган для перасадкі|донар
Чалавек, адкрыта адмоўна які адносіцца да агульнапрынятых нормаў маральнасці|цынік
Чалавек, адкрыта што грэбуе нормамі маралі|цынік
Чалавек, які адрозніваецца празмернай дробязнай акуратнасцю|педант
Чалавек, што зрокся ад сваёй веры?|рэнегат
Чалавек, помнік якому можна адшукаць у кожным расійскім горадзе|Ленін
Чалавек, які перасоўваецца на транспарце|яздок
Чалавек, пішучы вершы; верш. М. Лермантава|паэт
Чалавек, пішучы вершы|паэт
Чалавек, які пазіруе мастаку, фатографу|мадэль
Чалавек, што аддае сябе цалкам у чыё-або распараджэнне і выконваючы чыю-або волю|слуга
Чалавек, порвавший са сваім асяроддзем і вядучы бадзяжніцкі лад жыцця|хіпі
Чалавек, порвавший са сваім асяроддзем і кіроўны, звычайна з іншымі, бадзяжніцкі лад жыцця|хіпі
Чалавек, які паступае ў вышэйшае ці сярэдняе спец. навучальная ўстанова|абітурыент
Чалавек, пераўтвораны ва ўласнасць іншага чалавека|раб
Чалавек, які аддае перавагу свае інтарэсы інтарэсам іншых|эгаіст
Чалавек, што аддае перавагу свае асабістыя інтарэсы інтарэсам іншых, які грэбуе інтарэсамі грамадства і атачальных|эгаіст
Чалавек, прадказвалы падзеі па размяшчэнні нябесных свяцілаў|астролаг
Чалавек, што схіляецца перад модай|сноб
Чалавек, які прыводзіць у выкананне прысуд пра смяротнае пакаранне смерцю|кат
Чалавек, што належыць да ўсходняй галіны, індаеўрапейскай сям'і моў?|арыец
Чалавек, які пражывае ў дадзенай кватэры|жыхар
Чалавек, пражылы 207 гадоў, імя Томас.|Карн
Чалавек, які прамаўляе гаворка, што валодае дарма красамоўства|аратар
Чалавек, які прамаўляе гаворка|аратар
Чалавек, адваротны, прыліплівы, слізкі|хлюст
