Франц., заснавальнік рабынь. партыі|Лафарг
Францыя, порт, о-ў Корсіка, адм. ц. дэпартамента Корсіка Паўднёвая (горад у Еўропе)|Аяччо
Францыя, паселішча паўднёвей г. Кале (горад у Еўропе)|Азенкур
Францужанка, 1-я жанчына акадэмік у Расіі (у 1767 г.)|Колло
Француз, аўтар паэмы “Смерць ваўка”|Виньи
Француз, баец нябачнага фронта за шчасце чалавецтва, знішчальнік мікробаў|Пастер
Француз, усё сваё жыццё пражылы пад вадой і ў прамым, і ў пераносным сэнсе|Кусто
Француз, вынаходнік рулявой трапецыі для аўтамабіля|Жанто
Француз, які адкрыў Музей сардзіны ў Сэце|Анжино
Француз, што прыдумаў вялікі шпрыц|Жане
Француз, які ўжыў современ. тып медицинск. шпрыца (1850)|Праваз
Француз, вядомы “хросным бацькам” навуковай фантастыкі|Верн
Француз, які распрацаваў першы прамысловы спосаб атрымання соды|Леблан
Француз, што стварыў знакаміты алфавіт для сляпых|Брайль
Француз, сталы легендарным гоншчыкам “Формула-1”?|Просты
Француз, які ўсталяваў законы сухога трэння|Кулон
Француз, мастак|Гаген
Французскі пісьменнік, аўтар “Каралевы Марго” і “Графа Монте-Кристо”?|Дзюма
Французскі пісьменнік. Ён выдаваў па два рамана ў год, а пісаў яшчэ хутчэй, так што пасля яго смерці выдаўцу хапіла працы на дзевяць гадоў?|Верн
Французскі навуковец, яшчэ да Ч. Дарвіна які класіфікаваў жывёльны свет?|Кювье
Французск. хімік (1777–1862)|Дезорм
Французск. хімік 19 ст., прэзідэнт Франц. хим. пра-ў з 1877 г.|Дебре
Французскі пісьменнік, лаўрэат Нобелеўскай прэміі па літаратуры (1921)|Франс
Французская “Ніка”|Сезар
Французская “палова” вялікага рускага барда|Влади
Французская акторка па імі Сара|Бернар
Французская дынастыя|Бурбон
Французская дынастыя|Валуа
Французская штовячэрняя газета|Монд
Французская кінаактрыса па імі Марына|Влади
Французская кінаактрыса|Брага
Французская кинодива?|Денев
Французская асада ў Паўднёвай Амерыцы|Гвіяна
Французская касмічная ракета|ариан
Французская лёгкая кавалерыя|спаги
Французская мера даўжыні, 1,949 м|туаз
Французская народная, а таксама совр. эстрадная песня|шансон
Французская спявачка па імі Мирей|Мацье
Французская спявачка па імі Патрысія|Каас
Французская спявачка па імі Эдит|Пиаф
Французская пісьменніца, аўтар папулярнага рамана “Ўнукі стагоддзя”|Рошфор
Французская старадаўняя манета|крона
Французская фігурыстка|Бонали
Французская цыганшчына|багема
Французскія салодкія “бліны” з тестяного суфле|панку
Французскі “пацалунак”|безэ
Французскі абат па родзе заняткаў?|святар
Французскі авіяканструктар, лётчык і прамысловец, адзін з піянераў авіяцыі|Фарман
Французскі акцёр (1913–1998, “Орфей”, “Парыжскія таямніцы”)|Маре
Французскі акцёр і рэжысёр, узначальваў нац. народны тэатр у Парыжы ў 1951–63 гг.|Вилар
Французскі акцёр і рэжысёр|Вилар
Французскі акцёр па імі Верб|Монтан
Французскі акцёр па імі П'ер|Ришар
Французскі акцёр, “Фантомас”, “Парыжскія таямніцы”|Маре
Французскі акцёр, удзельнік стварэння “Тэатра Рэспублікі”, бачны прадстаўнік класіцызму і рэалізму, рэфарматар гарнітура і грыму|Тальма
Французскі акцёр-комік, па імі Макс|Линдер
Французскі анісавы лікёр|Перно
Французскі археолаг, дырэктар Луўра з 1968 г.|Парро
Французскі архітэктар 18 ст.|Суфло
Французскі архітэктар, Парыжскі ўніверсітэт|Нено
Французскі архітэктар, стыль ампір|Персье
Французскі астраном, стваральнік батыскафа|Пикар
Французскі астраном, фізік і матэматык, які ўсталяваў залежнасць паміж капілярным ціскам і крывізной паверхні часткі фаз|Лаплас
Французскі біяхімік і мікрабіёлаг. Нобелеўская прэмія (1965, сумесна з Ф. Жакобом і А. М. Львовым)|Мона
Французскі лекар, імем якога названы душ|Шарко
Французскі генерал і формавыя штаны|Галіфэ
Французскі геолаг (1861–1927)|Ог
Французскі горад, Бискайский заліў|Оре
Французскі горад-порт, дзе асоба якія праславіліся раздаюць залатыя пальмавыя галіны|Кан
Французскі герцаг|Дюк
Французскі графік, жывапісец і скульптар|Домье
Французскі дэпартамент|Нор
Французскі драматург 19 ст.|Сарду
Французскі драматург: “Школа жонак”, “Уяўны хворы”, “Школа мужоў”, “Хітрыкі Скапена”, “Мяшчанін у дваранстве”|Мольер
Французскі драматург|Арно
Французскі прыродазнавец, настаивавший на ідэі пра змяняльнасць выглядаў пад уплывам умоў асяроддзя|Бюфон
Французскі прыродазнавец, які прапанаваў тэмпературную шкалу, названую яго імем|Реомюр
Французскі жывапісец 17 стагоддзі|Дюпре
Французскі жывапісец 17 стагоддзі|Пуссен
Французскі жывапісец і графік, прадстаўнік класіцызму|Лоррен
Французскі жывапісец і графік, прадстаўнік фовизма|Руо
Французскі абаронца Ромы?|Зебина
Французскі вынаходнік свінцовых подзаряжающ. акумулятараў|Планте
Французскі вынаходнік патэльні-пароварки|Папен
Французскі иммунолог і фізіёлаг. Нобелеўская прэмія (1913)|Рише
Французскі иммунолог. Нобелеўская прэмія (1980, сумесна з Б. Бенасеррафом і Дж. Д. Снеллом)|Доссе
Французскі інжынер, суаўтар Кусто ў стварэнні акваланга|Ганьян
Французскі інжынер, які стварыў самую высокую “даму” Парыжа|Эйфель
Французскі інжынер, стваральнік знакамітай вежы ў Парыжы|Эйфель
Французскі гісторык|Тую
Французскі класік, паўнапраўны ўдзельнік “абедаў пяці”, у якіх акрамя яго самога ўдзельнічалі Альфонс Доде, Эдмон Гонкур, Эміль Золю і Іван Тургенеў?|Флобер
Французскі класік|Гар
Французскі кампазітар ХVIII–ХIХ стст., опера “Рычард Ільвінае Сэрца”|Гретри
Французскі кампазітар і музычны тэарэтык 18 стагоддзі|Рама
Французскі кампазітар, аўтар балета “Коппелия”|Делиб
Французскі кампазітар, аўтар балета “Срадетта”|Делиб
Французскі кампазітар, аўтар балета “Федра”|Орик
Французскі кампазітар, аўтар музыкі да кінастужкі “Шербурские парасонікі”|Легран
Французскі кампазітар, аўтар оперы “Антар”|Дзюпон
Французскі кампазітар, аўтар оперы “Дзіцё і чараўніцтва”|Равель
Французскі кампазітар, аўтар оперы “Кармэн”|Бизе
Французскі кампазітар, аўтар оперы “Ромео і Джульета”, “Сафо”, “Фаўст”|Гуно
Французскі кампазітар, аўтар оперы “Сільвія”|Делиб
Французскі кампазітар, балет: “Дафнис і Хлоя”|Равель
Французскі кампазітар, якога расейцы пакахалі разам з “Шербурскими парасонікамі”|Легран
Французскі кампазітар, майстар аперэты|Лекок
Французскі кампазітар, опера “Агамемнон”|Мийо
Французскі кампазітар, опера “Галантная Індыя”|Рама
Французскі кампазітар, опера “Дарданус”|Рама
Французскі кампазітар, опера “Жирофле-жирофля”|Лекок
Французскі кампазітар, опера “Зароастр”|Рама
Французскі кампазітар, опера “Шукальнікі жэмчугу”|Бизе
Французскі кампазітар, опера “Сон у летнюю ноч”|Тома
Французскі кампазітар, опера “Фра д'ябла”|Обер
Французскі кампазітар, опера “Хрыстафор Калумб”|Мийо
Французскі кампазітар, опера “Чорнае даміно”|Обер
Французскі кампазітар, оперы “Алена”, “Кароль Артур”|Шоссон
Французскі кампазітар, заснавальнік опернай школы|Люлли
Французскі кампазітар, які склаў балет “Жызель”?|Адан
Французскі кампазітар|Рабыня
Французскі кампазітар|Шабрие
Французскі каньяк і пісьменнік|Камю
Французскі малінавы лікёр|шамбор
Французскі майстар фотамастацтва, родапачынальнік рэпарцёрскай фатаграфіі|Атже
Французскі матэматык, аўтар па тэорыі бесперапынных груп|Картан
Французскі матэматык, ин. ч.-корр. АН СССР з 1966 г.|Лере
Французскі матэматык?|Паскаль
Французскі медальер 18–19 стст., работавш. на Парижск. манет. дв.|Галль
Французскі механік, вынайшаў аптычны тэлеграф|Шапп
Французскі механік, вынайшаў семафорны тэлеграф|Шапп
Французскі мікрабіёлаг і паразітолаг. Нобелеўская прэмія (1928)|Николь
Французскі мікрабіёлаг, генетык. Нобелеўская прэмія (1965, сумесна з А. М. Львовым і Ж. Л. Мана)|Жакоб
Французскі мікрабіёлаг, пад кіраўніцтвам Пастера даследаваў шаленства|Ру
Французскі мікрабіёлаг, распрацаваў антыдыфтэрыйную сыроватку (1853–1933)|Ру
Французскі музей, дзе Джаконда “сустрэлася” з Венерай Милосской|Луўр
Французскі падатак|талля
Французскі акіянолаг, даследнік падводных глыбінь|Кусто
Французскі збройнік часоў А. Пушкіна|Лепаж
Французскі пяхотнік|зуаў
Французскі пісьменнік (“Восень у Пекіне”)|Виан
Французскі пісьменнік (1630–1721, аўтар “Трактата пра ўзнікненне раманаў”)|Юэ
Французскі пісьменнік (1804–57, “Парыжскія таямніцы”, “Вечны жыд”)|Сю
Французскі пісьменнік 19 стагоддзі|Верн
Французскі пісьменнік 19 ст., які пісаў на новопровансальском мове|Гра
Французскі пісьменнік ХIХ стагоддзі, майстар навэлы?|Мериме
Французскі пісьменнік і грамадскі дзеяч|Верн
Французскі пісьменнік і філосаф (1712–1778). Спрабаваў даказаць, што рука ў руку з прагрэсам культуры ідзе падзенне маральнасці. Вучыў, што чалавек нараджаецца вольным, і толькі дзякуючы маўкліва складзенай грамадскай дамове людзі аб'ядноўваюць свае волі ў “адзіную волю”. Гэта Жан Жак ...?|Русо
Французскі пісьменнік, “Дэльфіна”|Сталь
Французскі пісьменнік, “Набоб”|Доде
Французскі пісьменнік, “Адхіленыя”|Гюго
Французскі пісьменнік, “Сирано дэ Бержерак”?|Ростан
Французскі пісьменнік, “Сабор парыжскага богамаці”?|Гюго
Французскі пісьменнік, аўтар рамана “Везувій”|Роблес
Французскі пісьменнік, аўтар серыі гістарычных раманаў “Праклятыя каралі”|Дрюон
Французскі пісьменнік, лаўрэат Нобелеўскай прэміі па літаратуры|Жыд
Французскі пісьменнік, лаўрэат Нобелеўскай прэміі па літаратуры|Мориак
Французскі пісьменнік, майстар навэлы, “Кармэн”, “Локис”|Мериме
Французскі пісьменнік, адзін са стваральнікаў жанру навукова-фантастычнага рамана|Верн
