Добрыя да піва|ракі
Прэсвітар у Александрыі, які паклаў пачатак т. н. арианским спрэчкам у хрысціянскім багаслоўі|Арый
Хрысціянскі тэолаг, філосаф, прадстаўнік ранняй патрыстыкі|Арыген
Хрысціянскае набажэнства ў каталікоў|імша
Хрысціянскае набажэнства ў праваслаўных|абедня
Хрысціянскае вучэнне?|евангелле
Христововеры, ці духоўныя хрысціяне, – секта, якая лічыць магчымым прамыя зносіны са Святым духам, увасабленне Бога ў праведных сектантах|дубцы
Храматычная гармоніка|баян
Хранічнае інфекцыйнае захворванне чалавека, жывёл, што выклікаецца прамяністымі грыбамі|актиномикоз
Хронич. хвароба канёў, вярблюдаў, каціных, чалавека|сап
Хранічны хворы, чыя хвароба абумоўлена ўжываннем спіртных напояў|алкаголік
Хранічны барацьбіт з цвярозасцю|алкаголік
Хранічнае захворванне артэрый?|атэрасклероз
Хранічнае захворванне жывёл, якое суправаджаецца свербам і запаленнем скуры|акароз
Хранічнае захворванне канечнасцяў канёў|жабка
Хранічнае захворванне суставаў|артроз
Хранічнае захворванне|алкагалізм
Хранічнае незаразное захворванне скуры|экзэма
Хранічнае рэцыдывавальнае захворванне скуры?|псарыяз
Храналагічная памылка – неадпаведнасць падзей, чорт, прадметаў адлюстроўванай эпосе|анахранізм
Далікатнае рэчыва жоўтага колеру|сера
Крыштальнае ложа пушкінскай мёртвай царэўны|труна
Хрумсткая смажаная бульба?|чыпсы
Хрушч, скарабей, златка|жукі
Рохкалая хвароба|свінка
Рохкалая жывёла|свіння
Храсток каленнага сустава|меніск
Жарсцвяны нараст на мове ў птушак|ціпун
Храстковая трубка паміж гартанню і бронхамі|трахея
Худы. кампазіцыя з Хрыстом, богамаці і Іяанам Папярэднікам|деисус
Худож. музей у Фларэнцыі|Питти
Худож. стыль пабудовы|архітэктура
Художест. выраз законам. будынкі, уласцівых канструктыўнай сістэме будынка|архітэктоніка
Майстэрстваў. інтэлігенцыя (акцёры, музыкі, мастакі), не мелыя сталай працы і кіроўныя бязладнае жыццё|багема
Мастацкая тканіна|палатно
Мастацка-дакументальны твор|нарыс
Мастацкі выраз заканамернасцяў будынка, уласцівых архітэктурнаму збудаванню|архітэктоніка
Мастацкі гукавы твор|музыка
Мастацкі выраб, пакрытае каляровай шклопадобнай масай|эмаль
Мастацкае канструяванне прадметаў, інтэр'ераў|дызайн
Мастацкае афармленне тэатральнай сцэны?|дэкарацыя
Мастацкае афармленне|дызайн
Мастацкі твор, выкладзенае звычайнай, не вершаванай гаворкай?|проза
Мастацкі твор, востра і бязлітасна выкрывалае адмоўныя з'явы рэчаіснасці|сатыра
Мастацкі твор|раман
Мастацкі тэкстыльны выраб|дыван
Мастацкае ўпрыгожванне адзежы|дэкор
Мастацкія вырабы з дрэва, папье-машы ці металу з пакрыццём з такога раствора|лак
Мастацкі мадэрнізм пачатку 20 стагоддзі, які выраўноўваў жаночыя кругліны|кубізм
Мастацкая выява артыста на сцэне, у кіно|роля
Мастацкая выява, створаны драматургам у п'есе, сцэнары і воплощаемый у сцэнічнай гульні акцёрам|роля
Мастацкі кіраўнік і дырыжор Дзяржаўнага рускага народнага аркестра з 1940 г.|Восіпаў
Мастацкі стыль ХII–ХVI стст.|готыка
Мастацкі технич. прыём у изообразительном мастацтве|калаж
Мастак ХIХ ст., аўтар карціны “Дворніцкая Акадэміі майстэрстваў”|Плахов
Мастак Анатоль Арлоў выставіў у адной маскоўскай галерэі карціны, зробленыя з папяровых грошай. Якая назва амаль са свету моды ён даў гэтай выставе?|ад купюр
Мастак Ван ...|Эйк
Мастак Іспаніі|Міро
Мастак з чэхаўскага аповяду “Скакуха”|Дымоў
Мастак па імі Гюстаў, быў пасаджаны ў турму за разбурэнне Вандомской калоны|Курбе
Мастак ХХ стагоддзі, вядомы яшчэ пад прозвішчам Теребилов|Сіваграк
Мастак, які апеў асначоў на Волзе|Репин
Мастак, упершыню што адлюстраваў чарвівыя яблыкі?|Сяроў
Мастак, які робіць дароўныя надпісы адмысловым прыборам|гравёр
Мастак, што займаецца малюнкамі|графік
Мастак, які паказвае ваенныя сюжэты?|баталіст
Мастак, які адлюстраваў на карціне дзяўчынку, што любіць персікі|Сяроў
Мастак, які напісаў карціну “Раніцу на Куліковым полі” (1944–1947 гг.)|Бубнаў
Мастак, які абессмяроціў сябе ілюстрацыямі “Дон-Кіхота” Сервантеса|Доры
Мастак, заснавальнік рамантызму ў французскім жывапісе|Жерико
Мастак, па просьбе якога Акадэмія майстэрстваў перадала ў Таганрог некаторыя карціны і эцюды русск. жывапісцаў у 1902 г.|Рылов
Мастак, творы якога маюць непераходзячую каштоўнасць?|класік
Мастак, які працуе ў вобласці малюнка|графік
Мастак, што малюе не фарбамі|гравёр
Мастак, родны брат самага вядомага таганрогскага пісьменніка|Чэхаў
Мастак, стваральнік знака – талісмана Маскоўскай Алімпіяды медзведзяня Миши?|Чыжыкаў
Мастак-дэкаратар, які пазнаёміў нас з непаўторнай гогалеўскай зімой у фільме пра “Ноч перад Калядамі”|Еней
Мастак-ювелір, Францыя|Лалик
Мастак|Іванаў
Мастак|Якоби
Худы|худы
Худосочный шарфик|кашнэ
Горшы з кіраўнікоў?|самадур
Горш арыгінала|копія
устар. Знеслаўленне, вымова|хайка
Хуліган, перавыхаваны Цімурам і яго камандай|Квакин
Хунну, старажытнае племя, народ|сюнну
Хурды-мурды (сінонім)|пажыткі
Царская камера захоўвання (інш. египетск.)|саркафаг
Царская расліна амазонскіх джунгляў, названае ў гонар ангел. каралевы, апошняй з Гановерскай дынастыі|Вікторыя
Царства Ээта, які валодаў калісьці залатым руном|Калхіда
Царства вечных пяскоў|пустэльня
Царыца, возглав. паўстанне икенов супраць рымлян у Брытаніі|Боудикка
Цар астраўной дзяржавы, пакараны за непашану да багоў|Адысей
Цар Вавілоніі|Набокид
Цар Итаки у інш.-грэцкай міфалогіі|Адысей
Цар, які імітаваў вар'яцтва, не жадаючы ісці на Траянскую вайну, але быў выкрыты Паламедом|Адысей
Царкоўная адміністрацыйна-тэрытарыяльная адзінка на чале з архірэем (біскупам)|епархія
Царкоўная хрысц. служба па памерлым|паніхіда
Царкоўная кніга з тэкстамі малітваў, чытаных падчас штодзённых службаў|часаслоў
Царкоўнае збудаванне|капліца
Царкоўны спеў|трапар
Царкоўная служка|званар
Царкоўны абрад шлюбу|шлюб
Царкоўны абрад|хрэсьбіны
Царкоўны абрад|паніхіда
Царкоўная акруга, які кіруецца архірэем|епархія
Царкоўны тэрмін для пазначэння аднаго з твараў Сёмухі|выява
Гаючая вада курорта Трускавец у Карпатах|нафтуся
Цэласнасць, непадзельнасць|адзінства
Цэлы алгебраічны выраз, што ўяўляе сабой твор дзвюх ці большага ліку сумножнікаў|адначлен
Цэлае і яшчэ палоўка|паўтара
Цэлы дзень не прочкі, але ледзь надыдзе ноч, заспявае яго смычок, музыкі клікаць ...|цвыркун
Суцэльная каменная груда|маналіт
Цэласць, згуртаванасць|адзінства
Каштоўная рэдкая рэч|рарытэт
Каштоўная рэдкасць|рарытэт
Каштоўная кармавая культура|люцэрна
Каштоўнасць, якая ўяўляе каштоўнасць толькі на тэатральнай сцэне|рэквізіт
Каштоўныя скуркі нованароджаных ягнятаў вызначанай пароды|крамзоляў
Цэнтр аўтаномнай вобласці ў Стаўрапальскім краі|Чаркеск
Цэнтр велізарнай алмазнай імперыі ў ПАР|Кимберли
Цэнтр аднаго з бурацкіх аўтаномных акруг|Агинское
Цэнтр Закарпацкай вобласці|Ужгарад
Цэнтр Ямала-Ненецкай аўтаномнай акругі|Салехард
Цэнтр інш.-рускага княства|Белозеро
Цэнтр інш.-рускага княства|Боровск
Цэнтр інш.-рускага княства|Городень
Цэнтр інш.-рускага княства|Заслаўль
Цэнтр інш.-рускага княства|Козельск
Цэнтр інш.-рускага княства|Раслаўль
Цэнтр інш.-рускага княства|Старыца
Цэнтр старажытнарускага княства|Віцебск
Цэнтр старажытнарускага княства|Уладзімір
Цэнтр старажытнарускага княства|Волагда
Цэнтр старажытнарускага княства|Дмитров
Цэнтр старажытнарускага княства|Касімаў
Цэнтр старажытнарускага княства|Ноўгарад
Цэнтр старажытнарускага княства|Смаленск
Цэнтр старажытнарускага княства|Старадуб
Цэнтр старажытнарускага княства|Торопец
Цэнтр мішэні ў выглядзе чорнага кружка|яблычак
Цэнтр наадварот|ускраіна
Цэнтральная газета|весткі
Цэнтральная мікрасхема кампутара, а таксама спецыялізаваныя мікрасхемы, якія выконваюць функцыі апрацоўкі вызначанай інфармацыі|працэсар
