Што нараджае рашучая сіла|націск
Што такое Intеrnеt Rеlау Сhаt? (адказ лат. літарамі)|irс
Што такое www.krоvаtkа.ru?|чат
Што такое аркан і для чаго ён ужываецца – вам вядома. А для чаго ўжываюцца Старэйшыя Арканы?|варажба
Што такое берцо|костка
Што такое вафля?|печыва
Што такое вержэ|папера
Што такое дэйтэрый|ізатоп
Што такое изобар|атам
Што такое хмарачос|будынак
Што такое акно?|праём
Што такое офенский мова|арго
Што такое сабж?|тэма
Што такое спурт|рывок
Што такое ферменты?|вавёркі
Што такое фугас?|зарад
Што такое шаль|хустка
Што дзее Иблис у мусульманскіх міфах|зло
Што губляе большасць фундатараў “фінансавай піраміды”|грошы
Што пхаюць у лёгкай атлетыцы|ядро
Што таўсцее ад абжорства ў першую чаргу|жывот
Што цяжка знайсці, патрапіўшы ў лабірынт?|выйсце
Што ў белых дзень – у індзейцаў ноч, што ў белых лета – у індзейцаў зіма. У якім выпадку гэта дакладна?|вылічэнне часу
Што ў балбатуна “без костак”|мова
Што ў негра ад прыроды|загар
Што ў пензяков азначае “тезево”?|пуза
Што ў чалавека днём у пяць разоў лепш, а ўначы ў чатыры разу горш, чым у коткі?|зрок
Што ўтрымлівала ад падзення “Дамоклаў меч”|волас
Што ўпрыгожвае вярблюда і нявечыць чалавека|горб
Што ўтаймоўвае аскетызмам пустэльнік|цела
Што панесла жыццё франц. пісьменніка Альбера Камю|аўтакатастрофа
Што ўладкавалі героі пушкінскай казкі пра цара Салтана ў самым яе канцы|баль
Што спаталяюць падчас вячэры?|голад
Што вучыць акцёр, перш чым прыняць удзел у спектаклі|роля
Што франц. імператар Напалеон Банапарт зваў “сумессю з прасцякоў і ашуканцаў”|партыя
Што футбалісты лічаць увосень|ачкі
Што характэрна для кур'ёзу?|камізм
Што жадае моўчкі выпіць Ала Пугачова ў сваім “Танга”, напісаным Уладзімірам Высоцкім|куфель
Што жадае атрымаць студэнт, прыйдучы на іспыт|залік
Што захоўвалі ў булах – полых шарыках дзеці ў Старажытным Рыме?|кудмень
Што часцей за ўсё “забываюць” школьнікі хаты?|дзённік
Што чалавек жадае амаль кожны дзень і без чаго жыць не можа?|есці
Што чалавек жадае амаль кожны дзень і без чаго жыць не можа?|спаць
Што чалавечае класіфікуюць, карыстаючыся такімі характарыстыкамі, як агульная афарбоўка, бляск, аб'ём і шчыльнасць?|голас
Што гэта: У Бога ёсць, у цара няма, у Барыса наперадзе, у Глеба ззаду, у бабы дзве, а ў дзеўкі ніводнай?|літара б
Што з'явілася вынікам першай апісанай у літаратуры аперацыі з ужываннем знячулення?|Ева
Што, літаральна, ідзе за світанкам?|сняданак
Што, калі верыць Кастусю Мелихану, вам прыйдзецца зрабіць, калі вы жадаеце жаніцца на прыгожай, разумнай і багатай?|жаніцца тры разу
Што, як усталявалі навукоўцы, абуджае ў чалавеку зносіны з тэлевізарам|апетыт
Што, акрамя грудной клеткі, сцягвае гарсэт|жывот
Што, якое нясе жыццё, што з'яўляецца ўвасабленнем жыцця, сяму-таму прыносіла і смерць?|яйка
Што, па выразе польскага пісьменніка Купкоўкі Леца, з'яўляецца першай умовай неўміручасці?|смерць
Што, па меркаванні А. Н. Талстога, трэба зрабіць прынамсі тры разу, каб стаць сапраўдным пісьменнікам? Падказка: з пункту гледжання Талстога, прарок Мухамед быў, несумнеўна, сапраўдным пісьменнікам|жаніцца
Што, па меркаванні В. Г. Бялінскага, было, ёсць і будзе самым любопытнейшим з'явай для чалавека?|чалавек
Што, па меркаванні Вальтэра, робяць з тымі думкамі, якія занадта дурныя, каб быць проста сказанымі?|спяваюць
Што, па меркаванні Пикуля, было агульнага ў аднаго з галоўнакамандуючых рускага войска ў Сямігадовай вайне Аляксандра Бутурлина і коні?|пілі вёдрамі
Што, па меркаванні Роберта Хайнлайна, з'яўляецца самым шчырым з усіх выглядаў ліслівасці?|грошы
Што, па меркаванні Цыцэрона, з'яўляецца ворагам людзей і сябрам д'ябла і жанчын?|мова
Што, па меркаванні Эклезіяста, трэба рабіць у дні няшчасця?|разважаць
Што, па меркаванні ангельцаў, лепш дзвюх птушак у кустах?|адна ў руках
Што, па меркаванні ангельцаў, з'яўляецца самым прыгожым у футболе?|рахунак на табло
Што, па меркаванні гусака, павінны рабіць мышы, калі хаце пагражаюць пацукі?|памоўчваць
Што, па меркаванні кітайцаў з'яўляецца сярэдзінай (цэнтрам?) свету?|Кітай
Што, па меркаванні шматлікіх людзей, каля 200 разоў адбылося на працягу перыяду з 3483 па 6984 гг. да н. э.?|стварэнне свету
Што, па меркаванні некаторых жартаўнікоў, знаходзіцца на галовах ва ўсіх якія нараджаюцца ў Амерыцы семерняшек?|капялюшыкі гномікаў
Што, па меркаванні фізікаў-жартаўнікоў, з'яўляецца самым цёмным месцам у фізіцы?|святло
Што, па вызначэнні Ландау, з'яўляецца маленькімі жоўтымі шарыкамі?|электроны
Што, карыснае з пункту гледжання старажытных рымлян, мы выкідваем?|утыль
Што, паводле прыказкі, у лес не ўцячэ|праца
Штосьці не існае насамрэч|міф
Штосьці нелагічнае, якое супярэчыць логіцы|алагізм
Штосьці асабліва гідкае|гнюс
Штосьці рэзка і грубіянска што вылучаецца|блямба
Што-небудзь дрэннае, благое|бяка
Штосьці кепскае, бруднае; непотребная жанчына (устар., руг.)|дарэмшчына
Каб спадабацца мужчыну, жанчына спазняецца, таму што гадзінамі выбірае ...|убор
Каб сварыць укрутую яйка гэтай птушкі, трэба трымаць яго ў кіпячай вадзе не меней сарака мінуць|страўс
Каб уладкаваць пікнік, звычайна едуць на ... прыроды?|улонне
Чуваш з дапамогай гэтага дабярэцца да Масквы, кітаец – да Пекіна, турка да Каабы, перс – да Індыі, курд – да Карса, грузін – да Іерусаліма, немец жа ўвесь свет пройдзе. А куды так патрапіць рускі?|Кіеў
Чуваш. пісьменнік|Агаков
Чуваш. жалейка|палнай
Чуваш. шчыпкоў. муз. прылада|тамра
Чуваш. страва, начынены мясам і часныком барановы страўнік|ширтан
Чуваш. дуда|сарнай
Чувашия, прыстань на р. Сура (горад)|Алатырь
Чувашск. муз. прылада|шапар
Чувашскія гуслі|гюсле
Чувашскі пісьменнік, аўтар п'есы “Айдар”|Восіпаў
Чувашская назва тварогавай запяканкі|чигит
Чувашскае пазначэнне мяснога супу|шюрпе
Пачуцці, рэакцыі чалавека і жывёл на ўздзеянне ўнутраных і вонкавых раздражняльнікаў|эмоцыі
Пачуццёвая пласцінка?|мембрана
Пачуццёвая паэзія|лірыка
Адчувальны элемент, датчык|сэнсар
Пачуццё гнеўнага раздражнення|злосць
Пачуццё журыся і смуткуй|смутак
Пачуццё суму, стан душэўнай гаркаты|смутак
Пачуццё дастатковасці ў адзежы азначае добры ...|густ
Пачуццё зайздрасці, выяўленае дзяржавай|падатак
Пачуццё злосці, нядобразычлівасці|злосць
Пачуццё меры|такт
Пачуццё засмучэння, абразы|крыўда
Пачуццё дрыжыкаў|холад
Пачуццё смутку, засмучэнні|сум
Пачуццё пасля здзяйснення правіны|віны
Пачуццё прыемнай млявасці|стома
Пачуццё раздражнення, незадавальненні пры няўдачы|прыкрасць
Пачуццё самаадданай і глыбокай прыхільнасці, сардэчнай цягі|каханне
Пачуццё моцнага абурэння, абурэнні|гнеў
Пачуццё моцнай збянтэжанасці ад нядобрага ўчынку|сорам
Пачуццё моцнай збянтэжанасці ад свядомасці предосудительности учынку, віны|сорам
Пачуццё моцнага страху, які даходзіць да здранцвення|жах
Пачуццё смешнага|гумар
Пачуццё тужлівай турботы, страху|жудасць
Пачуццё, хваляванне, душэўнае перажыванне|эмоцыя
Пачуццё, якое “междометно” выяўляецца, як “Блін Клінтан”, “вілы”, “завала”|прыкрасць
Пачуццё, якое любога фарбуе|сорам
Пачуццё, найболей моцна выяўленае Лермантавым у вершы “На поўначы дзіком ...”|гнеў
Пачуццё, невядомае бязбожнікам і песімістам|вера
Пачуццё, незнаёмае храбрацам|страх
Пачуццё, разуменне вытанчанага, прыгожага|густ
Пачуццё, з якім Астап закрычаў “Патрабую пратаколу!”, патрапіўшы пад каня на Тэатральным пляцы (І. Ильф і Е. Пятроў)|пафас
Пачуццё?|зрок
Пачуццё?|нюх
Чыгунная ці сталёвая адліваная скрынка для падшыпніка восі колаў лакаматыва ці вагона|букса
Чыгунная прихватка|вілкі
Цудоўны напой (перен.)|нектар
Цуд паветранага люстэрка?|міраж
Цуд-дзіця?|вундэркінд
Назавіце нямецкі выраз, якое ставілася да немаўля Хрысту, а позняе распачалае ўжывацца і да іншых дзяцей (цуд-дзіця)|вундэркінд
Цуд-самацвет: стрымлівае запал і засцерагае ад п'янства|аметыст
Цуд-юдо|кіт
Пачвара ў выглядзе трохгаловага сабакі са змяіным хвастом, што ахоўвала ўваход у падземнае царства (греч. міф.)|Цэрбер
Пачвара ў інш.-греч. міфалогіі|Сцыла
Пачвара ў еўрапейскай міфалогіі|цмок
Пачвара ў иудаистической міфалогіі|раав
Пачвара, якое пажырала не што здолелі адгадаць невырашальную загадку мінакоў (греч. міф.)|сфінкс
Пачвара, сын Вулкана ў рымскай міфалогіі|Какус
Пачвара, вырадак|монстар
Жахлівая девятиголовая змеища|гідра
Жахлівая змяя, забітая Гераклам?|Гідра
Чужое для арганізма рэчыва|антыген
Чужыя грошы ў чужой краіне|валюта
