Моцнае кружэнне вады; вір|калаўрот
Абмен, пераразлік|канверсія
Поўны ці частковы пераклад прадпрыемстваў абароннай прамысловасці на вытворчасць грамадзянскай прадукцыі і тавараў народнага спажывання|канверсія
Спосаб адукацыі слова пасродкам змены яго граматычных характарыстак (у лінгвістыцы)|канверсія
Круцельная печ для атрымання сталі з расплаўленага чыгуну ці чарнавых каляровых металаў з прамежкавага прадукта шляхам прадзьмуху паветрам ці кіслародам|канвертар
Прадукт, які ўтвараецца пры кандэнсацыі|кандэнсат
Правадыр наёмнага ваеннага атрада (у Італіі ХIV–ХVI стст.)|кондотьер
Працаўнік транспарта, суправаджальнік цягнікі на чыгунцы ці прадавалы квіткі і сачыльны за парадкам у трамваі, тралейбусе, аўтобусе|кандуктар
Вайсковае званне звыштэрміновікаў унтар-афіцэраў у войскі і флоце (у Расійскай дзяржаве да 1917 г.)|кандуктар
Частка электрастатычнай машыны, якая ўяўляе сабою полы металічны шар, на якім назапашваюцца электрычныя зарады (у электратэхніку)|кандуктар
Станочное прыстасаванне для кірунку рэжучай прылады, што дазваляе свідраваць адтуліны без папярэдняй разметкі|кандуктар
Коневодческая ферма|каняферма
Мінеральныя адукацыі звычайна круглявай формы ў ападкавых горных пародах|канкрэцыі
Згода па спрэчным пытанні, дасягнутае ў выніку дыскусіі|кансенсус
Нарада лекараў для абмеркавання стану, удакладненні дыягназу і вызначэнні спосабаў лячэння хворага|кансіліум
Гарманічнае спалучэнне некалькіх гукаў (у музыцы); сугучча, мілагучнасць|кансананс
Выгляд рыфмы, у якой націскныя галосныя розныя, але паслянаціскны шэраг гукаў, а часам і пераднаціскныя гукі супадаюць (у вершаскладанні)|кансананс
Згодны гук (у лінгвістыцы)|консонант
Неслогообразующий гук (у лінгвістыцы)|консонант
Нязменная велічыня|канстанта
Найнізкі паліцэйскі чын у Англіі і ЗША|канстэбль
Стандартнае ёмішча, прызначанае для бестарной перавозкі грузаў тыпам транспарта і прыстасаванае для механізаванай пагрузкі і выгрузкі|кантэйнер
Адна з асноўных буйных частак сушы, омываемая акіянамі і морамі; мацярык|кантынент
Самай вялікай па памеры смычковый музычная прылада найболей нізкага рэгістра|басэтля
Груз, які ўжываецца для ўраўнаважвання сістэмы ў пад'ёмных машынах і кранах; процівага|контргруз
Старадаўні танец, выкананы 4, 6 і 8 парамі, што размяшчаюцца сябар супраць сябра, які паслужыў асновай для ўзнікнення кадрылі|контрданс
Сустрэчная актыўнасць пры нападзе суперніка (звычайна пры гульні ў шахматы)|контригра
Службовая асоба, у абавязкі якога ўваходзіць ажыццяўляць кантроль|кантралёр
Прыбор, прызначаны для ажыццяўлення кантролю за чым-небудзь падчас вытворчасці|кантралёр
Вертыкальны выступ сцяны, што ўмацоўвае яе і спрыяльны ўстойлівасці і трываласці збудавання (у архітэктуры)|контрфорс
Чыгунная распорка ў звёнах якарнай ліны|контрфорс
Выступ на сцэне з аб'явай і каментаваннем нумароў праграмы як эстрадны жанр|канферанс
Веравызнанне|канфесія
Кругі рознай велічыні, але з агульным цэнтрам (у матэматыку)|канцэнтры
Прыступкі навучання, злучаныя адзінствам утрымання і адрозныя рознай ступенню складанасці і аб'ёму|канцэнтры
Сістэма злучаных паміж сабою і вынікаючых адзін з іншага поглядаў на тыя ці іншыя з'явы|канцэпцыя
Агульная задума, асноўная думка|канцэпцыя
Дамова, які складаецца дзяржавай з прыватным прадпрымальнікам, манаполіяй, замежнай фірмай пра перадачу ў эксплуатацыю на вызначаных умовах прадпрыемстваў, зямельных угоддзяў з правам будаўніцтва збудаванняў, здабычы карысных выкапняў і т. п.|канцэсія
Памагаты конюха (звычайна падлетак)|конюшонок
Папаўненне складу выбарнага органа новымі чальцамі па пастанове саміх яго чальцоў без дадатковых выбараў|кааптацыя
Травяністая расліна сямейства бабовых, якое мае плады ў выглядзе боба з некалькімі плоскімі членікамі ў форме манеты|капеечнік
Машына, прыстасаванне для кладкі сена, снапоў у копы|капаклад
Адмыслова абсталяванае памяшканне для вэнджання мяса, рыбы і т. п.|вяндлярня
Злучэнне дзвюх асобін пры палавым акце|копуляция
Зліццё дзвюх палавых клетак у найнізкіх арганізмаў|копуляция
Лекавы прэпарат, які ўжываецца як сродак, танізавальнае сардэчна-судзінкавую сістэму і аднаўлялае дыханне|кардыямін
Месца для правядзення выпрабаванняў і спаборніцтваў кордовых аўта- і авіямадэляў|кордодром
Жанчына, што корміць грудзьмі чужога дзіцяці|карміцелька
Сістэма ўтрымання службовых асоб, якія здзяйснялі судова-адміністрацыйныя функцыі, за кошт мыт, спаганяемых з падведамнага ім мясцовага насельніцтва (на Русі ХIV–ХVI стст.)|кармленне
Падземныя ўцёкі шматгадовых травяністых раслін з патоўшчаным сцяблом і придаточными каранямі, службовец для адкладу запасных пажыўных рэчываў, вегетатыўнага размнажэння і т. п. (нярэдка які размяшчаецца гарызантальна)|карэнішча
Асноўны, галоўны корань дрэва, што складае працяг ствала|карэнішча
Ранні гатунак яблыні з дробнымі пладамі|коробовка
Сухі плён расліны, які змяшчае насенне і што выкрываецца расплюшчваннем створак, вечкаў і т. п.|скрыначка
Сын караля|каралевіч
Дачка караля|каралеўна
Драўляная дуга з засечкамі ці гаплікамі на канцах для нашэння на плячах вёдраў ці цяжараў|каромысел
Рычаг у некаторых механізмах, кропка апоры якога звычайна размяшчаецца пасярэдзіне|каромысел
местн. Доўгая і тонкая тычка, службовец рычагом пры ўздыме вады са студні; журавель|каромысел
Драпежная казурка атрада стракоз|каромысел
Урачыстая цырымонія ўскладання кароны на галаву манарха, які ўступаў на пасад|каранаванне
Птушка сямейства пастушковых з буровато-рудым апярэннем і моцна сціснутым з бакоў тулавам, што адрозніваецца рэзкім рыпучым крыкам; драч|драч
Папраўка, частковае выпраўленне, змена|карэктыў
Працаўнік друкарні ці выдавецтвы, які займаецца чытаннем і праўкай карэктур|карэктар
Што рэгулюе прыстасаванне, прылада|карэктар
Занясенне змен|карэкцыя
Ўхіленне недахопаў зроку пасродкам ачкоў|карэкцыя
Подкуп, прадажнасць службовых асоб, палітычных дзеячаў і т. п.|карупцыя
Мастацтва выраба і ўжыванні сродкаў для сыходу за тварам і целам|касметыка
Сродкі для сыходу за тварам і целам, якія ўжываюцца для надання ім свежасці і прыгажосці|касметыка
Чалавек, што здзяйсняе палёт у космас з мэтай выпрабавання касмічнай тэхнікі і вядзенні навуковых назіранняў|касманаўт
Расліна сямейства розоцветных з чырвонымі ядомымі ягадамі кіслявага густу|касцяніца
Дзіцяня казулі|казуляня
Адна з трыганаметрычных функцый, тангенс дадатковага кута (у матэматыку)|катангенс
Памяшканне, у якім знаходзяцца паравыя катлы|кацельня
Біржавы курс каштоўных папер, валюты, тавараў|катыроўка
Вялікае, з адхонным спускам паглыбленне, западзіна ў зямной паверхні|катлавіна
Апарат для падрыхтоўкі гарачага напоя з молатых зерняў кавы|кававарка
Пасудзіна для варэння кавы|кававарка
Скрынка ці слоік для захоўвання кавы|кавачніца
Ручны млын для размолвання зерняў кавы|кавачніца
Апарат для размолвання кававых зерняў|кавамолка
Народ, племя, кіроўныя качавы лад жыцця|качэўнікі
Жывёлы, птушкі, часта якія змяняюць месца рассялення ў пошуках ежы, месцаў адпачынку і т. п.|качэўнікі
Памяшканне, дзе знаходзяцца топкі паравых катлоў|качагарка
Цвёрдае сцябло капуснага качана|храпка
Цвёрдая частка кукурузнага катаха|храпка
Абраза рэлігійнай святыні, рэлігійнага пачуцця|блюзнерства
Зневажанне, абраза дарагой, глыбока шанаванай, годнай павагі|блюзнерства
Невялікая пявучая птушачка атрада вераб'іных шаравата-бурай афарбоўкі з кароткім задзірыстым хвастом|крапіва
Сямейства двухдольных раслін, да якога ставяцца крапіва, рами і т. п.|крапіўныя
Прыгожая жанчына|прыгажуня
Майстэрня ці цэх, дзе афарбоўваюць тканіны|фарбоўня
Якое фарбуе рэчыва|фарбавальнік
То, чым расціраюць фарбы|фарбацёр
Урадлівая жалезістая глеба субтрапічнай зоны, багатая перагноем|чырваназём
Дрэва ці хмызняк роду верб з чырвона-бурымі ўцёкамі, што маюць шызы налёт; чырвоная вярба|ракіта
Злучэнне крэмнія з кіслародам, якое сустракаецца ў прыродзе звычайна ў выглядзе кварца, горнага крышталя, аметыста|крэменязём
Прыбор для вызначэння кута нахілу судна|кренометр
Шчыльная, тонкая шаўковая тканіна|крепдешин
Рэчыва, што надае матэрыялу трываласць|змацавальнік
Прылада для змацавання, замацаванні і т. п.|мацаванне
Хросная дачка|хросніца
Атрутны павук з узорам у выглядзе крыжа на спіне|крыжавік
Хвароба, якая характарызуецца затрымкай фізічнага і псіхічнага развіцця ў сувязі з парушэннем функцыі шчытападобнай залозы|крэтынізм
Назва, якое Кант даў сваёй ідэалістычнай філасофіі, што адмаўляе пазнавальнасць аб'ектыўнага свету, лічачы асноўнай яе мэтай крытыку пазнавальнай здольнасці чалавека; крытычная філасофія|крытыцызм
Крытычнае стаўленне|крытыцызм
Самка труса|труска
Тытул спадчынніка прастола (у Нямеччыне да 1918 г. і ў Аўстра-Вугоршчыны)|кронпрынц
Выступ у сцяне, які падтрымлівае карніз, гаўбец ці службовец падстаўкай для ўпрыгожванняў; кансоль|кранштэйн
Што мацуецца да сцяны, бэльцы, калоне і т. п. гарызантальная апора для падвешвання|кранштэйн
Задача-галаваломка, заключающася ў запаўненні літарамі якія перакрыжоўваюцца шэрагаў клетачак так, каб па гарызанталях і вертыкалям атрымаліся зададзеныя па значэннях слова|крыжаванка
Спартовы абутак для бегу, хады|красоўкі
Лепшы гатунак белай пшанічнай пакуты; пакута самага тонкага памолу|крупчатка
Калючы хмызняк з кісла-салодкімі буйнымі ягадамі|агрэст
Жыхар ці выхадзец Крыму|крымчанін
Матрос, які зачапляе бусаком за сходы, трап пры прычальванні|крючковой
Жоўты парашок, што з'яўляецца злучэннем вісмута і брому, выкарыстоўваны ў мазях і прысыпках пры лячэнні апёкаў, язваў і т. п.|ксераформ
Гравёр па дрэве|ксілограф
Расліна, горкія, атрутныя плады якога ўжываліся для надання гаркаты піву і для адурманьвання рыбы пры лоўлі|кукельван
Птушаня зязюлі|кукушонок
Партыйны працаўнік, які ведаў агітацыяй і прапагандай (у першыя гады савецкай улады)|культпроп
Адносіны паміж кумовьями|кумаўство
Назапашванне ў арганізме і сумаванне дзеяння некаторых лекавых рэчываў і ядаў|кумуляцыя
Канцэнтрацыя выбухнай энергіі ў снарадзе, гранаце, бомбе і т. п.|кумуляцыя
Сямейства двухдольных раслін, да якіх ставіцца кунжут|кунжутные
Жаночы гарнітур для купання|купальнік
Аддзяленне высакародных металаў ад свінцу шляхам акісляльнага плаўлення|купеляция
Артыст, які спявае ці што дэкламуе куплеты|куплетыст
Дзікая птушка сямейства цецеруковых і фазанавых|курапатка
Слухачка Вышэйшых жаночых ці іншых курсаў (у Расійскай дзяржаве да 1917 г.)|курсістка
Кароткі галоп – алюр, пры якім конь скача наўскач, робячы дробныя крокі|курцгалоп
Зараслі, скупнасць кустоў|хмызняк
Памяшканне для кучараў у абшарніцкай хаце|фурманская
Збудаванне ў горнай мясцовасці, прызначанае для стрымлівання, адводу ў бок снежных лавін|лавинорез
Жонка крамніка|крамніца
Птушка сямейства сініц з блакітнымі крыламі і хвастом|блакітніца
Пакой для лакеяў|лакейская
Дзейнасць лакея|лакейства
Смачныя салодкія кандытарскія вырабы; саладосці|ласунак
Прынадная страва, вельмі смачнае|ласунак
Шматгадовая расліна сямейства бабовых, карані якога выкарыстоўваюцца ў фармакалогіі і ў харчовай прамысловасці|лакрычнік
Прыбор для вызначэння якасці малака па яго шчыльнасці|лактометр
Прыбор для вызначэння колькасці тлушчу ў малацэ|лактоскоп
Эвалюцыйная тэорыя развіцця жывой прыроды французскага прыродазнаўца Ж. Б. Ламарка|ламаркізм
Драўляная разьба на выступах дахаў, над дзвярамі і вокнамі|ламбрекен
Верхняя папярочная частка аконнага ці дзвярнога драпавання (звычайна з фестонамі ці ўпрыгожваннямі)|ламбрекен
Род буйнага марскога бурага багавіння, выкарыстоўваных у фармакалогіі, асобныя выгляды якіх (марская капуста) ужываюцца таксама ў ежу|ламінарыя
Ваеннаабавязаныя запасу трэцяй чаргі (у Нямеччыне, Аўстра-Вугоршчыны і некаторых іншых краінах у ХIХ у.–пачатку ХХ ст.)|ландштурм
Хордавы жывёла класа бесчарапных з напаўпразрыстым ланцетовидным целам|ланцэтнік
Старадаўні даўгакрысы сурдут|лапсардак
Устаўка ў рукаве пад мышкай у мужчынскай верхняй кашулі ці ў жаночай верхняй сукенцы пры адмысловым кроі|цвікля
Адтуліна ў плаціне для скіду лёду падчас крыгаходу|ледаскід
Збудаванне ў гідравузлах для выдалення лёду перад плацінай|ледоспуск
Сістэма эканамічных і палітычных поглядаў лейбарыстаў|лейборизм
Бясколерныя клеткі крыві чалавека і жывёл, паглынальныя бактэрыі і адмерлыя клеткі і якія выпрацоўваюць антыцелы|лейкацыты
Вайсковае званне малодшага афіцэрскага складу войска і флота|лейтэнант
Музычны зварот, што паўтараецца ў музычным творы ў якасці характарыстыкі ці ўмоўнага пазначэння персанажа, прадмета, з'явы і т. п.|лейтматыў
Сродак, якое ўжываецца для лячэння ці папярэджанні хваробы|лекі
Сукупнасць твораў літаратуры ці мастацтвы, прысвечаных жыцці і дзейнасці В. І. Леніна|лениниана
Адмысловае памяшканне для захоўвання магнітафонных стужак|лентотека
Жанчына, якая аддаецца лесбійскага кахання|лесбіянка
Лясная біржа|лесобиржа
Завод па апрацоўцы лесу|лесазавод
Валка лесу|лесапавал
Паваленыя і паламаныя бурай дрэвы|лесапавал
Пасеў насення лясных дрэў|лесопосев
