Чалец секцыі|секцыянер
Жаль, спачуванне|шкадаванне
Група зорак, аб'яднаная агульнай назвай|сузор'е
Бог як творца свету|стваральнік
Уяўленне сваёй працы з мэтай атрымання звання, узнагароды і т. п.|сушуканне
Імкненне атрымаць узнагароду, званне і т. п. за прадстаўленую працу|сушуканне
Прыстасаванне ў выглядзе шэрагу злучаных трубамі чанаў для атрымання дубільнага соку ў гарбарнай вытворчасці|сакаварка
Сямейства драпежных птушак, да якога ставяцца сокал, крэчат, балобан і т. п.|сакаліныя
Каштоўнасці, грошы, вельмі каштоўныя, дарагія рэчы|скарбы
Багацці зямных нетраў, прыроды|скарбы
Які валодае вялікімі добрымі якасцямі, ці ўяўлялае вялікую каштоўнасць|скарб
Багацце розуму, сэрцы і т. п.|скарб
Прадпрыемства, дзе выварваецца соль|саляварня
Радовішча каменнай солі, дзе вырабляецца яе здабыча|саляломня
Насычанасць соллю|салёнасць
Марская рыба з атрада рыб, блізкіх да окунеобразным, з плоскім целам і падвойным спінным плаўніком|сонечнік
Найпростая жывёла класа саркодовых з шаровидным целам, ад якога ў выглядзе прамянёў адыходзяць ніткападобныя атожылкі|сонечнік
Месца, адкрытае для сонечных прамянёў|сонцапёк
Час дня, калі моцна пячэ сонца|сонцапёк
Самка салаўя|соловьиха
Ненадзейная, але адзіная магчымасць, адзінае выйсце з цяжкага становішча|саломінка
Размяшчэнне восяў дэталяў машыны (вузлоў, агрэгатаў і т. п.) на адной лініі|соосность
Музыка, гулец на дудкі|сопельник
Невялікая драпежная птушка атрада вераб'іных з загнутымі дзюбай і кіпцюрамі|саракуш
Малітвы пра памерлы, якія чытаюцца падчас царкоўнай службы на працягу сарака дзён пасля смерці (у праваслаўі)|сорокоуст
Выгляд, гатунак, тып, памер аднастайных вырабаў ці матэрыялаў, выпрацоўваемых у тым ці іншым – звычайна металургічным – вытворчасці|сортамент
Выгляд, гатунак, тып, памер аднастайных вырабаў ці матэрыялаў (пераважна ў дрэваапрацоўчай прамысловасці)|сортимент
Прыналежнасць да вызначанага гатунку (пра тавары, вырабах)|гатунковасць
Прыналежнасць да высокага ці каштоўнага гатунку|гатунковасць
Плоскі чарвяк, які паразітуе на скуры і жабрах рыб, а таксама ва ўнутраных органах некаторых жывёл і чалавека|смактун
Сумежнасць, блізкасць з кім-або, чым-небудзь па месцы жыхарства ці па месцы размяшчэння|суседства
Знаходжанне ў становішчы|стан
Становішча, у якім знаходзіцца|стан
Размяшчэнне духу; настрой|стан
Маёмасць, капітал, уласнасць прыватнай асобы|стан
Таварыш па занятку, справе, службе і т. п.|таварыш
Вучэнне сафістаў|сафістыка
Развагі, заснаваныя на сафізмах|сафістыка
Грамадска-палітычны лад, у якім асновай вытворчых адносін з'яўляецца грамадская ўласнасць на сродкі вытворчасці і абвяшчаюцца прынцыпы сацыяльнай справядлівасці, волі, роўнасці|сацыялізм
Пярэдадне кожнага з двух двунадесятых праваслаўных царкоўных свят: Каляд і Вадохрышчы|куцця
Літаратурны ці навуковы твор|складанне
Разнавіднасць сінтаксічнай сувязі дзвюх ці некалькіх самастойных слоў ці прапаноў (у лінгвістыцы)|складанне
Здольнасць крышталя расколвацца па вызначаных кірунках, утворачы ў расколе плоскія паверхні|спайнасць
Падсямейства раслін класа однодольных, да якога прыналежыць ландыш, спаржа і т. п.|спаржевые
Грамадзянін старажытнагрэцкай дзяржавы Спарты, жыхары якога адрозніваліся цягавітасцю і з дзяцінства прывучаліся да суровага ладу жыцця|спартанец
Устойлівы, загартаваны чалавек, які абмяжоўвае свае матэрыяльна-побытавыя патрэбы самым неабходным, жывячы без раскошы і празмернасцяў|спартанец
Ісус Хрыстос, што выратаваў – па хрысціянскім веравучэнні – чалавецтва, загладзіўшы яго грахі|выратавальнік
Тэатральнае ўяўленне|спектакль
Белае жироподобное рэчыва, якое здабываецца з паражнін галавы кашалотаў і ўжывальнае ў парфумерыі, медыцыне і тэхніцы|спермацэт
Адметныя асаблівасці чаго-небудзь; своеасаблівасць|спецыфіка
Прыбор, што вымярае хуткасць руху аўтамабіля, самалёта і т. п. і пройдзенае імі адлегласць|спідометр
Містычная вера ў магчымасць зносін з душамі памерлых|спірытызм
Самі зносіны з душамі памерлых, выкліканне іх з дапамогай розных умоўных прыёмаў, а таксама пры пасродку медыумаў|спірытызм
Род ніткаватага зялёнага багавіння|спирогира
Прыбор для вызначэння ёмістасці лёгкіх шляхам вымярэння аб'ёму паветра, выдыханага чалавекам|спірометр
Хваробатворны мікроб, які мае ніткападобнае, спіральна выгнутае цела|спирохета
Невялікі награвальны ці асвятляльны прыбор, у якім як гаручае выкарыстоўваецца спірт|спіртоўка
Прыбор, службовец для вымярэння крэпасці спиртовых раствораў|спіртамер
Хранічнае захворванне хрыбетніка, што выяўляецца ў шиповидных разрастаннях касцяной тканіны па краях пазванкоў|спондилез
Орган раслін, у якім развіваюцца спрэчкі, службоўцы для бясполага размнажэння|спарангій
Група дзеясловаў, якія маюць аднолькавыя формы змены, а таксама тып, у адпаведнасці з якім змяняюцца дзеясловы па тварах, лікам, часам і ладам|змяненне
Вобразны выраз, у якім адна з'ява, прадмет, твар прыпадабняецца іншаму|параўнанне
Дробная срэбная манета на Русі|срэбранік
Абмежаванасць тэрмінам|тэрміновасць
Неабходнасць хуткіх дзеянняў; безадкладнасць, спешность|тэрміновасць
Мінерал чырванавата-бурага, свідра-чорнага і жоўта-бурага колеру са шкляным бляскам|стаўраліт
Адсутнасць развіцця; застой|стагнацыя
Невялікая пасудзіна цыліндрычнай формы|шкляначка
Натечное вапнавая адукацыя ў выглядзе вялікіх лядзякоў на дне падземных пустэч (пячор, галерэй і т. п.), утворанае падальнымі са столі кроплямі вады, насычанай кальцыем і вуглякіслым газам|сталагміт
Натечное вапнавая адукацыя ў выглядзе вялікіх лядзякоў на столі ці верхняй часткі сцен падземных пустэч (пячор, галерэй і т. п.), утворанае якія прасочваюцца кроплямі вады, насычанай кальцыем і вуглякіслым газам|сталактит
Жыхар казачай станіцы|станічнік
Вершнік з коннага выведвальнага атрада, што назіраў за рухам татараў (на Русі ХVI–ХVII стст.)|станічнік
Найтонкі ліст ці стужка цыну ці яго сплаваў; алавяная фальга|станмиоль
Месца часавага размяшчэння, стаянкі|станавішча
Часавае селішча качэўнікаў|станавішча
Жыхары мясцовасці, продкі якіх здаўна пасяліліся ў ёй|старажылы
Маленькая скульптурная фігурка|статуэтка
Лячэбная ўстанова, якое мае сталыя месцы для хворых|стацыянар
Любая ўвесь час дзейсная ўстанова (у адрозненне ад часавага ці перасоўнага)|стацыянар
Удзельнік стачкі; страйковец|стачачнік
Пажарнік, што працуе пры брандспойце|ствольшчык
Растительноядный дыназаўр сярэдзіны мезазоя з двума шэрагамі касцяных пласцін на спіне і з шыпамі на хвасце|стэгазаўр
