Найвялікая, лімітавая колькасць найвялікая велічыня, вышэйшая ступень|максімум
Абцінак тоўстага дрэва, вкапываемый у зямлю на беразе сплавной рэкі для ўмацавання бомы|мядзведка
Назва розных нескладаных прылад і прыстасаванняў (двухручная габлявальная прылада, прыстасаванне для ўзняцця цяжараў і т. п.)|мядзведка
Нізкія калёсы, панарады на коўзанках для перавозкі вялікіх цяжараў|мядзведка
Сямейства млекаспажыўцоў атрада драпежных, да якога ставяцца розныя выгляды мядзведзяў|мядзведжыя
Рэчыва, якое грае важную ролю ў жывёльных арганізмах пры перадачы ўзрушанасці з нервовага канчатка на працоўныя органы і з адной нервовай клеткі на іншую|медыятар
Тонкая пласцінка (касцяная, целлулоидная і т. п.) з завостраным канцом, пасродкам якой прыводзяцца ў ваганне струны некаторых музычных шчыпковых прылад|медыятар
Міжнароднае пасродніцтва, мірны спосаб дазволу міжнародных спрэчак пры садзейнічанні дзяржавы, не які ўдзельнічае ў спрэчцы|медиация
Сукупнасць навук і практычная дзейнасць, накіраваныя на захаванне і ўмацаванне здароўя людзей, папярэджанне і лячэнне хвароб|медыцына
Нанясенне тонкага пласта медзі на паверхню металічных вырабаў пры дапамозе электролізу|меднение
Хмельны мядовы напой|медавуха
Збор пчоламі нектару з квітнеючых раслін|медазбор
Колькасць мёда, сабранае пчалінай сям'ёй за перыяд|медазбор
Збор мёда ад пчол|медазбор
Сабраны мёд|медазбор
Пункт медыцынскай дапамогі|медпункт
Травяністая шматгадовая расліна сямейства бурачниковых, з дробнымі ліловымі і сінімі духмянымі кветкамі|мядунка
Бязногая змеепадобная яшчарка сямейства вераценніц медна-шэрага колеру; вераценніца|медзяніца
Месца, прастора паміж горамі|межгорье
Халадцападобны пласт, змешчаны паміж эктадэрмай і энтадэрмай у найнізкіх шматклеткавых двухслаёвых жывёл (губак і кишечнополостных)|мезоглея
Цукрыстае рэчыва, што змяшчаецца ў некаторых раслінах (у эўкаліпце, цукроваму бураку і т. п.)|мелітоза
Глеба, якая складаецца з дробных часціц|драбназём
Вучэнне пра меладычную пабудову твора|мелодика
Сукупнасць меладычных сродкаў, уласцівых асобнаму музычнаму твору, цэламу жанру, творчасці народа ці кампазітара|мелодика
Кампазітар, музыка якога адрозніваецца асаблівай яркасцю, выразнасцю мелодыі|мелодист
Народны спявак ці музыка-інструменталіст, што складае толькі песенныя напевы ці інструментальныя мелодыі|мелодист
Картачная гульня з хабарамі, якія зноў разгульваюцца|млынары
Прадпрыемства па мліве збожжа|млын
Машына для размолвання цвёрдых матэрыялаў|млын
Прыстасаванне для размолвання якіх-небудзь зерняў|млын
Сплаў медзі з нікелем, падобны на срэбра|мельхіёр
Туга нацягнутая тонкая плёнка ці тонкая гнуткая металічная пласцінка, здольныя здзяйсняць пругкія ваганні і выкарыстоўваныя ў розных апаратах, прыборах|мембрана
Тонкая гнуткая перапонка, плёнка, якая адлучае адзін ад аднаго паражніны, пласты клетак, цягліцавых тканін (у біялогіі)|мембрана
Архітэктурнае збудаванне, узведзенае для ўвекавечання памяці|мемарыял
Спартовыя спаборніцтвы, прысвечаныя памяці выбітных спартоўцаў, а таксама твараў, што ўнеслі вялікі ўнёсак у развіццё спорту|мемарыял
Адмысловец у вобласці кіравання вытворчасцю, прадпрыемствам і т. п.|мэнэджар
Арганізатар творчай, спартовай і т. п. дзейнасці калектыва ці асобнага твару|мэнэджар
Аптэчная ці лабараторная пасудзіна з пазначанымі на ім дзяленнямі для отмеривания вадкасці|мензурка
Запаленне абалонак галаўнога і спіннога мозгу|менінгіт
Адно з пратэстанцкіх плыняў, якое вылучылася з анабаптызму напачатку ХVI ст., якая прапаведуе пакора, непраціўленне злу гвалтам і маральнае самаўдасканаленне|менониты
Мерзлы стан глебы; прамерзлая глеба|мерзлата
Ўяўная замкнёная крывая лінія, што праходзіць праз канцавоссі зямнога шара і пад прамым кутом перасякалая экватар (у геаграфіі)|мерыдыян
Адна з дзевяці – першая ад Сонца – вялікіх планет Сонечнай сістэмы|Меркурый
Бог гандлю, заступнік вандроўцаў (у старажытнарымскай міфалогіі)|Меркурый
Мех, выштукаваная скурка ягня – ва ўзросце да двух тыдняў – грубошерстной пароды авечак|смушак
Жук, які сілкуецца пераважна падлай|трупаед
Нераўнамерныя, бязладныя (па сіле і рытму) скарачэнні сэрца (у медыцыне)|мігаценне
Вялікае паселішча, мястэчка (звычайна на Ўкраіне, у Беларусі і ў памежных з імі абласцях)|мястэчка
Ўтрыманне, памесячна атрымоўванае натурай прыгоннымі сялянамі ад абшарніка|месячына
Прамежак часу, роўны месяцу, на працягу якога праводзіцца грамадская кампанія|месячнік
Перанос токам крыві, лімфы арганічных ці неарганічных часціц, што выклікаюць адукацыя хваравітага агменю на некаторай адлегласці ад першаснага агменю|метастаз
Міжвольная перастанова двух суседніх гукаў ці складоў у слове (у лінгвістыцы)|метатэза
Зварот гаворкі, які складаецца ва ўжыванні слоў і выразаў у пераносным значэнні для вызначэння прадмета ці з'явы на аснове аналогіі, параўнанні ці падабенствы (у літаратуразнаўстве)|метафара
Народны танец – рускі, украінскі, беларускі – з хуткай зменай постацяў і шматстайнымі кружэннямі, што нагадваюць завея|завіруха
Метеорное цела касмічнага паходжання, дасягнулае зямной паверхні і не паспелае распасціся і выпарыцца а атмасферы Зямлі|метэарыт
Адно з кірункаў у пратэстанцызме, якое ўзнікла ў Англіі ў першай чвэрці ХVIII ст. і атрымалы распаўсюд у ЗША, Канадзе і некаторых іншых краінах, прадстаўнікі якога патрабавалі найстрогай дысцыпліны і дакладнага прытрымлівання царкоўным абрадам і прадпісанням|метадызм
Навуковая дысцыпліна пра метады выкладання|методыка
Сукупнасць метадаў навучання і прыёмаў выканання|методыка
Адмысловец у вобласці методыкі выкладання прадмета|метадыст
Паслядоўнік метадызму|метадыст
Механічны прыбор з ківачом, якое адзначае строга раўнамерным пастукваннем кароткія прамежкі часу, што ўжываецца звычайна для дакладнага ўказання тэмпу выканання музычнага твора ці фізічных практыкаванняў|метраном
Прылада машыны, прыбора, апарата і т. п., якое прыводзіць іх у дзеянне|механізм
Сукупнасць станаў і працэсаў, з якіх складаецца фізічнае, хімічнае, фізіялагічнае і т. п. з'ява|механізм
Прыступы цягліцавых боляў рознага характару|міяльгія
Якія мігруюць людзі ці жывёлы|мігранты
Выгляды арганізмаў, што пракраліся ў дадзеную мясцовасць з месца, дзе яны паўсталі падчас эвалюцыі; аллохтоны|мігранты
Перасоўванне, перасяленне народаў, насельніцтвы ўсярэдзіне краіны ці за яе межы|міграцыя
Перасоўванне жывёл, выкліканае зменай умоў існавання ці ў сувязі з мінаннем новага цыклу развіцця|міграцыя
Перасоўванне, пераразмеркаванне|міграцыя
Злучэнне грыбных нітак з каранямі вышэйшых раслін|микориза
Прыбор для вымярэння лінейных памераў дэталяў машын|микромер
Свет вельмі малых велічынь|мікрасвет
Прыбор для атрымання тонкіх зрэзаў тканін жывёл і раслін з мэтай вывучэння іх будынка пад мікраскопам|мікратом
Прылада, пераўтваральнае гукавыя ваганні ў электрычныя і служэлае для перадачы гукаў на вялікія адлегласці ці для іх узмацнення ў тэлефонных апаратах, сістэмах радыёвяшчання і гукапісы|мікрафон
Вадкія лекі з сумесі дзвюх ці некалькіх рэчываў|мікстура
Назва сёмай ад канца лічбы шматзначнага ліку|мільёны
Ахоўнае прыстасаванне некаторых выглядаў жывёл і раслін, якое выяўляецца ў іх падабенстве з іншымі жывёламі і раслінамі, а таксама з прадметамі навакольнага асяроддзя (у біялогіі)|мімікрыя
Пачвара з целам чалавека і галавой быка, што насяляла ў лабірынце і якое пажырала там людзей (у старажытнагрэцкай міфалогіі)|мінатаўр
Распрануў анатоміі, што вывучае будынак цягліц, цягліцавай сістэмы|міялогія
Гатунак слівы з дробнымі духмянымі пладамі жоўтага колеру|мірабель
Сямейства двухдольных раслін, большай часткай вечназялёных, багатых эфірнымі масламі, да якога ставяцца мірт, эўкаліпт, гваздзіковае дрэва і іншыя|миртовые
Жрэц, які прысвячаў у таемствы падчас містэрыі (у старажытных грэкаў)|мистагог
Таемны рэлігійны абрад у гонар бажаства, да ўдзелу ў якім дапушчаліся толькі прысвечаныя (у антычных народаў і народаў старажытнага Ўсходу)|містэрыя
Жанр сярэднявечнай драмы – звычайна вершаванай – на сюжэты з Трухлявага ці Новага Запавету|містэрыя
Халодны паўночны ці паўночна-заходні вецер, дующий у зімовы і вясновы час на паўднёвым узбярэжжы Францыі|містраль
Старажытная рэлігія, заснаваная на кульце Мітры|митраизм
Маленькае дзіця, дзіцё|немаўля
Адмысловыя пасудзіны, наяўныя ў некаторых раслін і ўтрымоўвалыя млечны сок|малачаі
Рыба атрада осетрообразных|шматзуб
Першае з дзвюх перемножаемых лікаў ці велічынь (у матэматыку)|множымае
Гіпотэза, што прадугледжвае вялікае (да некалькіх тысяч кіламетраў) гарызантальнае перасоўванне мацерыковых пліт зямной кары (літасферы) адносна адзін аднаго і ў адносінах да канцавоссяў на працягу геалагічнага часу|мобилизм
Племя паўночнаамерыканскіх індзейцаў, нешматлікія прадстаўнікі якіх захаваліся ў рэзервацыях у ЗША|магікане
Канструяванне, выраб і выпрабаванне мадэляў машын, механізмаў і збудаванняў (самалётаў, судоў і т. п.)|мадэлізм
Чалец узброенай тэрарыстычнай нацыянальнай – звычайна мусульманскай – групоўкі|маджахед
Майстрыха па вырабе жаночых капялюшоў, а таксама жаночай сукенкі і бялізны|мадыстка
Вымерлы марскі гад крэйдавага перыяду, з доўгім выцягнутым целам, кароткімі канечнасцямі і доўгім хвастом|мазазаўр
Частка ствала галаўнога мозгу ў млекаспажыўцоў і чалавека, размешчаная ў задняй частцы чэрапной скрынкі і якая ўдзельнічае пераважна ў рэгуляцыі раўнавагі цела і каардынацыі рухаў|мозачак
Мяккі абутак са звярынай шкуры (поўсцю вонкі), без цвёрдых падэшваў, часта ўпрыгожаная ўзорамі (у паўночнаамерыканскіх індзейцаў)|макасіны
Абутак з мяккай скуры з адмысловым раскроем верха і шкарпэткі|макасіны
Шчыльная, трывалая баваўняная тканіна (звычайна цёмных кветак), часам з начосам, выкарыстоўваная для выраба працоўнай, спартовай і т. п. адзежы, верха абутку|малескін
Хімічны элемент, цвёрды тугаплаўкі метал серабрыста-шэрага колеру, які ўжываецца для вытворчасці сталі, у электра- і радыётэхніцы і т. п.|малібдэн
Тып бесхрыбтовых мяккацелых жывёл, звычайна без унутранага шкілета, гушчару пакрытых вапнавай ракавінай|малюскі
Маладое пакаленне|моладзь
Маладыя людзі, юнакі і дзяўчыны|моладзь
Шматгадовая травяністая расліна з сакавітым лісцем|скочкі
Блізкая па сваім складзе да малака вадкасць, якая вылучаецца з малочных залоз жанчын і самак млекаспажыўцоў перад родамі і ў першыя часы пасля родаў|малодзіва
Адна з рускіх рэлігійных сект, чальцы якой адпрэчваюць праваслаўную царкоўную іерархію, абразы, моцы, манаства, грамадзянскую ўладу і ваенную службу|салаце
Прымацаваная да доўгай дзяржальні цепа кароткая палка, якой б'юць па снапе пры ручной малацьбе|малаціў
Час, калі малоцяць|малацьба
Невялікая пасудзіна для малака, слівак|малочнік
Стравы на малацэ, з малаком|малочнае
Дзіцячая гульня, у якой гульцы павінны выконваць маўчанне|маўчанка
Падстаўка (звычайна треножная) для ўмацавання палатна, кардона, дошкі на патрэбнай для працы мастака вышыні|мальберт
Месца малітваў і ахвярапрынашэнняў язычнікаў|мольбішча
Форма дзяржаўнага кіравання, пры якой вярхоўная ўлада прыналежыць аднаасобнаму спадчыннаму кіраўніку – манарху|манархія
Працоўны манетнага двара; чаканшчык манет|манетчык
Самалёт з адной парай крылаў, размешчаных у адной плоскасці|манаплан
Судны, пабудаваныя па адных і тых жа чарцяжам, з аднолькавых матэрыялаў, з аднолькавымі рухавікамі і т. п.|манатыпы
Старажытнагрэцкі однострунный шчыпковая музычная прылада|манахорд
Агульная назва однострунных музычных прылад|манахорд
Прылада ў фартэпіяна для перасоўвання клавішнага механізму|манахорд
Прыбор для вызначэння вышыні тону струны|манахорд
Аднакаляровы прадмет|монохром
Карціна, напісаная з дапамогай розных адценняў адной фарбы|монохром
Одзін з выглядаў незернистых крывяных клетак – лейкацытаў, якія выконваюць у арганізме чалавека і хрыбетных жывёл ахоўную функцыю|манацыты
Вечназялёная шматгадовая трапічная расліна сямейства аронниковых з буйным скурыстым лісцем|монстера
Схільнасць да маралізавання|маралізм
Народ фіна-вугорскай этноязыковой групы; мардва|мардоўцы
Сямейства водных жывёл атрада ластоногих, прадстаўніком якога з'яўляецца морж|маржовыя
Дзіцяня маржа|маржаня
Штучная прынада для рыбы кропляпадобнай формы, звычайна што адліваецца са свінцу|мармышка
Шматгадовая расліна сямейства казяльцовых, з буйнымі кветкамі, выкарыстоўванае ў фармакалогіі|морозник
Невялікая птушачка сямейства сініц; чорная сініца|маскоўка
Выбрукаваная ці пакрытая асфальтам частка вуліцы|маставая
Паўфабрыкат гарбарнай вытворчасці – шкуры буйнай скаціны, выдубленыя, але не аздобленыя|мостовье
Прыстасаванне, машына для размоткі прадзіва са шпуляй у скруткі|матавіла
