Адрэзак часу; муз. інтэрвал|секунда
Тканіна чорнага колеру з белымі ніткамі; паселішча ў Італіі|марэнга
Тканіна; рэчыва (обобщ.)|матэрыя
Якое цьмее палена; хвароба хлебнай травы|асмалак
Галлё па-над коннымі перашкодамі; прынада для рыбы|асадка
Драпежны звер; сав. футбаліст; беларускі барацьбіт, чэмпіён Алімпійскіх гульняў (1964, 1968, 1972)|Мядзведзь
Перапечка ў выглядзе кольца; рулявое кола аўтамабіля|абаранак
Хларыд амонія; рэчыва, якое ўжываецца ў тэхніку, медыцыне|нашатыр
“А ... было так магчыма, так блізка”?|шчасце
“А вакол блакітная, блакітная ...”?|тайга
“А ўсёткі яна круціцца” сказаў?|Галілей
Аўтар тлумачальнага слоўніка|штурхач
“Аўтарытэт” на птушыным двары|гусак
“Пякельны камень”, які медыкі ўжываюць як супрацьзапаленчы сродак|ляпіс
“Дыямент начэй”, паводле Амара Хайяму?|месяц
“Алюмініевая папера”?|фальга
Анансуючы адзін з фільмаў пра Бэтмене дыктар прамовіў наступную фразу “Пінгвін кусаецца, котка драпаецца, а Бэтмен... ”. Так што ж робіць Бэтмен?|вяртаецца
Арабскі мысляр ХII стагоддзі Абу-ці-Фарадж казаў пра яго: “Спачатку – паўлін, потым – малпа, затым – леў і, нарэшце, – свіння”. Пра кім гэтыя словы? “о ...”|п'яным
Арабскі філосаф Аль Фараби быў празваны “другім настаўнікам”. А хто быў “першым”?|Арыстоцель
Арыйка|арыёза
“Арыстакратычны” дадатак да чаю|сліўкі
Арыфметычная задача з жаночай логікай: “Я выйшла замуж у 18 гадоў. Майму мужу было тады 30. Цяпер яму 60”. Колькі ж гадоў жанчыне, па яе меркаванні?|36
“Армянскі яблык”?|абрыкос
Афарызм Козьмы Пруткова: “Не жартуй з ... , гэтыя жарты дурныя і непрыстойныя”. З кім не раіў жартаваць мудры Козьма? “з ...”|жанчынамі
Бакінскі камісар; рус. палярны даследнік (1702–1764); ледакол.|Малыгин
Бакінскі камісар; греч. каньяк.|Метакса
Балада В. Жукоўскага; опера Верстовского.|громобой
Бясстрашнасць; адвага.|адвага
Абыякавае стаўленне да палітыкі; ухіленне ад удзелу ў общ.-паліты. жыцці.|апалітызм
Бог лекавання ў рымскай міфалогіі; лекар.|эскулап
Багатая сялянка-ўласніца; скупая і карысталюбная жанчына.|кулачка
Волат, герой рускіх былін; жыхар горада Мурама.|муромец
Хваравіты стан; рэзкае адхіленне ў бок, заваротак.|заварот
Хвароба; праверыць на ... (ідыёма).|вашывасць
Болг. асветнік (ок. 840–916); тата Рымскі.|Клімент
Шлюбны абрад; вадэвіль А. Чэхава.|вяселле
Бурачок, трава сем. крыжакветных; гара ў Цвярской вобл.|каменник
Чытанка; узнагародны дакумент.|грамата
Бунтар; заўсёды пратэстуючы чалавек, які заклікае да ломкі старога.|бунтар
Байран у “Чайльд-Гаральдзе” пісаў: “Але пасарамаціць і самы лепшы род адзін лайдак, разбэшчаны...” Чым?|лянотай
Бальзак казаў: “нічога мы не ведаем так дрэнна, як тое, што павінны ведаць усё”. Што меў на ўвазе пісьменнік?|закон
“Камізэлька”?|камізэлька
Бярнард Шоў сказаў: “Архітэктары хаваюць свае памылкі пад плюшчом, гаспадыні – пад маянэзам, а лекары – пад ...” Скончыце фразу.|зямлёй
“Бясплатны сыр бывае толькі ў пастцы”. Гэтыя словы прыналежаць?|Тэтчер
Біблейская пачвара; волат, волат.|левіяфан
“Биттнер”?|бальзам
“Біць дурня – шкада ...” – пра што ідзе гаворка ў прымаўцы?|кулак
Мілагучнасць, меладычнасць; частка тэорыі музыкі.|гармонія
“Блізкі ... але не ўкусіш” (фольк.)?|локаць
“Чароўная камедыя” Дантэ (жанр?)|паэма
“Бок” кватэры|сцяна
Бомарше словамі свайго персанажа сказаў: “Дурасць, якую нельга сказаць, можна...” Працягнеце фразу.|праспяваць
“Бракаваная” жанчына|жонка
“Брат смерці”?|сон
“Брат” Кажухі?|кажух
“Літара” рускага алфавіту, якой Лелик з “Дыяментавай рукі” зваў адзін з туалетаў “тыпу сарцір”|жо
Свідруй, якія дапамаглі японцам супрацьстаяць спробам уварвання мангольскага ўладара Хубилая, былі названы “Чароўны вецер”. Як гэта гучыць па-японску?|камікадзэ
“Былы інтэлігентны чалавек” – які апусціўся, валацуга?|бізун
“Бычыны сабака”?|бультэр'ер
У 1769 году ў Расіі выйшла “Расійская ўніверсальная граматыка”. Што, па гэтай кнізе, азначае слова “нашыйнік”?|гальштук
У 1892 году ў Нью-Ёрку нехта Д. Рэно заявіў патэнт на “Рухомыя ўсходы для транспарта людзей”, прасцей кажучы, эскалатар. Чаго не было ў гэтага першага эскалатара?|прыступак
У 1896 году ў Дирборне адзін малады чалавек вырабіў першы асобнік сваёй прадукцыі, які атрымаў мянушку “бляшаная Лиззи”. Як клікалі гэтага чалавека?|Форд
У 19–пачатку 20 павеках: казак пешых казачых частак; раней: казак вартаўнічых частак на Кубані.|пластун
У 1952 г. фірма “Бэнтлі” выпусціла аўтамабіль “Веntlеу r-tуре соntinеntаl” з рэгістрацыйным нумарам ОLG490. А якая мянушка ён атрымаў з-за гэтага?|Вольга
Ў сярэднявечнай Англіі: збраяносец рыцара; пасля – адзін з найнізкіх дваранскіх тытулаў.|эсквайр
У слаўшы. міфалогіі – наглядчык за ведзьмамі; казка А. Н. Талстога.|вядзьмак
У Расіі часопіс у гімназіях для запісаў правін навучэнцаў; кніга Л. Кассиля.|кандуіт
У Венецыі на працягу пяці стагоддзяў кажуць: “Лагуна мае трох ворагаў: мора, зямлю, ...” Назавіце трэцяга ворага.|чалавек
У Інш. Рыме службовая асоба; частка свецкага ці царкоўнага ўстаноў; навуковая ступень.|магістр
У Інш. Рыме: 1) прыватная турма для рабоў; 2) рабыні маёнтка.|эргастул
У Інш. Грэцыі – вольны рамеснік; у філасофіі Платона – бажаство, творца свету.|дэміург
У Евангеллі ад Матфея пра гэтыя кветкі гаворыцца, што яны “не працуючы і не прадучы апранаюцца так, як і Саламон ва ўсёй славе не апранаўся”. Пра якія кветкі ідзе гаворка?|лілеі
Ў Еўропу гэты фрукт завезлі ў 1548 году. Як яго толькі не звалі... І “турэцкі яблык”, і “персідскі яблык”, і, нарэшце, “кітайскі яблык”. А як мы яго завём цяпер?|апельсін
У Егіпце ёсць храм, на якім напісана: “Я – тое, што было, ёсць і будзе. Ніхто са смяротных не ўздымаў майго покрыва.” Чый гэта храм?|багіні Исиды
Ў Італіі гэта опера Моцарта звалася “Пакараны распуснік”. А ў нас?|Дон Жуан
У Пецярбургу ў 60-е гады мінулага стагоддзя яе жартам звалі “кокоревский яд”. Што гэта?|гарэлка
Ў Шафгаузене на адным з прадметаў нанесена надпіс: “Жывых склікаю, мёртвых аплакваю, маланкі разбіваю”. Назавіце гэты прадмет.|звон
У балгарскай літаратуры месца, дзе па хрысціянскім адданні ляжаў чэрап Адама, інтэрпрэтуецца як выдаленае месца і гучыць як “крайнево месца”. Пад якім імем яно вядома нам?|Галгофа
Ў літаральным перакладзе з санскрыту “асенены праўдай”. Так стаў звацца Сиддхартха, ці Гаутама пасля прасвятлення. Хто гэта?|Буда
Ў літаральным перакладзе гэта азначае “штосьці накшталт оды”. Што ж гэта?|пародыя
Ў ветхозаветн. адданнях: цар Герара; сын Гедеона.|Авимелех
У греч. міф. – сын Тесея і Антиопы; трагедыя Еўрыпіда.|Іпаліт
У греч. міф. : сын Крия і Эврибии; гігант, забіты Афінай.|Паллант
У греч. міф. : сын Эрихтония; сын Кекропа.|Пандион
У греч. міф. : сын тытана Иапета; сын Актора, арганаўт.|Менетий
У греч. міф. : киклоп, сын Пасейдона; лапиф, сын Элата.|Полифем
У греч. міф. сын: Пасейдона і Перибеи; Адысея і Каліпса.|Навсифой
У греч. міф. бажаство фрыгійскага паходжання; спадарожнік Юпітара.|Адрастея
Ў греч. міф. дачка Кефея; дачка Пелия.|Антиноя
Ў греч. міфах: сын Апалона; бажаство одноимен. рэкі ў Аркадзю.|Эриманф
У греч. міфах: сын Трохила; пастух.|Эвбулей
У греч. міфах: нянька Ореста; дачка Левкиппа; дачка Фегея.|Арсиноя
Ў греч. міфалогіі: цар Ормениона; сын Пасейдона і Астипалеи.|Эврипил
У грэцкай міфалогіі – сын Тесея і Антиопы; трагедыя Еўрыпіда.|Іпаліт
У грэцкай міфалогіі – дачка Агамемнона; дачка Приама.|Лаодика
Ў грэцкай міфалогіі: сын Крия і Эврибии, брат Эгея; гігант, забіты Афінай.|Паллант
У грэцкай міфалогіі: сын Ореста і Гермионы; сын Ферсандра.|Тисамен
У грэцкіх міфах: дачка Игкария; дачка Эгисфа і Клитеместры.|Эригона
Ў інш.-греч. міф. титанида, дачка Кея; марская зорка.|Астэрыя
Ў снежні 1812 г. падчас прыпынку ў Варшаве на шляхі ў Парыж, адзін вялікі чалавек прамовіў словы, сталыя крылатымі: “Ад вялікага да смешнага адзін крок”. Так кім яны былі сказаны?|Напалеонам
У дарэвалюцыйнай Расіі самай папулярнай тарай для спіртных напояў была т. н. “чвэрць”. А чвэрць чаго?|вёдры
