Паэт, пішучы оды|одописец
Сукупнасць мерапрыемстваў, якія здзяйсняюцца адмысловымі дзяржаўнымі органамі, з мэтай здабывання звестак пра эканамічнае і палітычнае становішча іншых дзяржаў і пра стан іх узброеных сіл|выведка
Працэс заканамернай змены, пераходу з аднаго стану ў іншае, больш дасканалае, ад старога якаснага стану да новага, больш высокага, ад простага да складанага, ад найнізкага да вышэйшага|развіццё
Ступень асвечанасці, культурнасці, разумовай і духоўнай сталасці|развіццё
Апрацоўка скур з мэтай разглаживания зморшчын, маршчын, павелічэнні пляца і паляпшэнні механічных уласцівасцяў|разводка
Прастора чыстай вады паміж ільдамі|разводье
Скупнасць вады на паверхні глебы|разводье
Стан разгорнутага ці што развярнуўся|разварот
Размяшчэнне друкаванага матэрыялу (у газеце, у кнізе) на дзвюх сумежных старонках|разварот
Заваротак з мэтай змяніць кірунак руху|разварот
Канец драматычнага дзеяння ў драме|развязка
Заключная частка любога літаратурнага твора, якая змяшчае дазвол сюжэту і лёсы дзейсных твараў|развязка
Адказ на загаданное, рашэнне, што расчыняе загадку, таямніцу|разгадка
Славесны абмен звесткамі, меркаваннямі; гутарка|гутарка
Якасць аздаблення – паліроўкі, размалёўкі – мэблі|разробліванне
Цагляны мур, пласт цэглы каля печкавай трубы, які засцерагае перагародкі і перакрыцці ад пажару|разробліванне
Шырокая вольная прастора; абшар|разлог
Непадобнасць|адрозненне
Вадкая каша|размазня
Знак, пазнака для распазнання|разметка
Яма, паглыбленне, размытае вадой|размывіна
Нязгода ў меркаваннях ці ў дзеяннях; няўзгодненасць, непаслядоўнасць|разнабой
Розныя бітыя рэчы; крышан|разнабой
Набор дробных гір для шаляў|гіра
Лік, што складае рэштка пры адыманні (у матэматыку)|рознасць
Разрэджаная расстаноўка літар у слове для вылучэння яго ў тэксце|разрадка
Разумны, тлумачальны чалавек|разумнік
Хмызняковая расліна сямейства бабовых звычайна з трехраздельными лісцем і жоўтымі, чырвонымі ці белымі кветкамі|ракітнік
Зарасніка ракитовых дрэў, кустоў|ракітнік
Разнавіднасць вонкавага шкілета шматлікіх бесхрыбтовых жывёл у выглядзе вітай, авальнай ці створкавай скрынкі|ракавіна
Малая эпічная песня, выкананая старажытнагрэцкім рапсодам пад акампанемент струннай прылады; песня рапсода|рапсодыя
Віртуозны інструментальны твор, часцей за ўсё вольнай формы, якое выкарыстоўвае напевы народных песень і танцаў|рапсодыя
Працы, накіраваныя на пошукі і выманне ўтоенага ў зямлі, снегу, пад развалінамі і т. п.|раскопкі
Выкрыццё пластоў зямлі з мэтай вымання змешчаных у зямлі помнікаў старажытнасці|раскопкі
Месца, дзе вядуцца працы па выманні помнікаў старажытнасці|раскопкі
Вузкая даліна|лог
Духоўная песня ў паслядоўнікаў хлыстоўства|распевец
Дакумент з подпісам, які выдаецца ў пасведчанне атрымання чаго-небудзь|распіска
Брус у розных канструкцыях і збудаваннях, выкарыстоўваны для надання ўстойлівасці і для прадухілення збліжэння паміж імі|распорка
То, чым распіраюць, рассоўваюць прадухіляючы збліжэнне|распорка
Гвалт – звычайна фізічнае – над з мэтай пакарання, прымусы|расправа
Адмысловы суд для дзяржаўных сялян, аднадворцаў і казакоў у Расійскай дзяржаве ў другой палове ХVIII ст. – першай палове ХIХ ст.|расправа
Скрыжаванне дзвюх ці даражэйшы|ростань
Крыж з малюнкам раскрыжаванага Ісуса Хрыста|распяцце
Смяротнае пакаранне смерцю, якая здзяйсняецца стрэлам з агнястрэльнай зброі, як вышэйшая мера пакарання|растрэл
Пашкоджанні канала ствала агнястрэльнай зброі (ад доўгага ўжывання, частай стральбы)|растрэл
Разумовая здольнасць, што дазваляе лагічна асэнсоўваць рэчаіснасць; розум|розум
Звычайны, звычайны стан чалавечай свядомасці|розум
Агульнапрызнаны разумны сэнс, які вызначае паводзіны чалавека|розум
Страта ў вазе сыпкіх тавараў|рассыпка
Арганізм, што сілкуецца неарганічнымі рэчывамі паветра і глебы і здольны ствараць з іх арганічныя, звычайна прымацаваны да месца свайго пасялення, які ўяўляе адну з формаў жыцця на Зямлі і складальны разам з жывёльнымі арганізмамі жывую прыроду|расліна
Злачыннае марнаванне службовай асобай давераных яму грошай, каштоўнасцяў ці іншай маёмасці|растрата
Сталёвы трос, дрот, што захоўваюць штосьці ў вызначаным становішчы; расчалка|расцяжка
Кошт, усталяваны кошт|расцэнка
Ўсталяваныя стаўкі аплаты працы за адзінку выкананай здзельна працы|расцэнкі
Механічная цяга ў выглядзе троса, правалачы ці стрыжняў, якая ўжываецца для захавання асобных частак збудавання ў вызначаным становішчы|расчалка
Грэбень для расчесывания волас|грабянец
Узорнае швіва на чым-небудзь; гафт|расшыўка
Сукупнасць прыкмет рахіту|рахітызм
Атрутны мінерал памяранцава-чырвонага колеру; сярністы мыш'як|рэальгар
Што складаецца са сланцаў горная парода, на якой непасрэдна залягае россып|ребровик
З'яўленне ў арганізмаў прыкмет, уласцівых толькі іх аддаленым продкам; атавізм|рэверсія
Прылада для пуску ў ход, змены кірунку і хуткасці кручэння электрычных машын, забяспечанае рэверсам|рэверсар
Раўнівы чалавек|раўнівец
Гарачая недаверлівасць, пакутлівы сумнеў у пэўнасці, каханні, поўнай адданасці|рэўнасць
Аддзел у выдавецтве, які рыхтуе рукапісы да друку|рэдакцыя
Група твараў, што ўзначальваецца рэдактарам і якая займаецца падрыхтоўкай і выпускам выдання|рэдакцыя
Тэкст літаратурнага ці музычнага твора, што атрымаў той ці іншы выгляд пры стварэнні твора ці ў выніку далейшых яго змен і пераробак|рэдакцыя
Вызначаная славесная форма выраза думкі|рэдакцыя
Доўгі сурдут шырокага крою|рэдынгот
Рэдка сустракаемы прадмет, не часта сустракаемая жывая істота ці з'ява|рэдкасць
Прадмет, рэч, якія ўяўляюць сабою музейную, антыкварную каштоўнасць|рэдкасць
Зубчастая перадача, што змяняе хуткасць кручэння пры перадачы руху ад аднаго вала да іншага|рэдуктар
Прыбор, службовец для паніжэння ціску вадкасці, газу, пары ў сістэме рухавікоў, усталёвак|рэдуктар
Паслабленне, меней выразнае вымаўленне галоснага гуку ў ненаціскным становішчы (у лінгвістыцы)|рэдукцыя
Падзенне біржавога курсу каштоўных папер ці біржавых коштаў|рэдукцыя
Звестка складанага вытворчага працэсу да прасцейшага|рэдукцыя
Працэс, зваротны акісленню; аднаўленне (у хіміі)|рэдукцыя
Памяншэнне памераў органа, спрашчэнне яго будынка ці поўнае знікненне ў сувязі са стратай яго функцый падчас эвалюцыі арганізма (у біялогіі)|рэдукцыя
Паніжэнне ціску вадкасці, газу, пары ў сістэме рухавікоў, усталёвак з дапамогай рэдуктара|рэдукцыя
Вынятак каралеўскай уладай у феадальнай шляхты якія перайшлі ў яе рукі дзяржаўных земляў (у некаторых еўрапейскіх дзяржавах ХV–ХVI стст.)|рэдукцыя
Мастацкі кіраўнік і арганізатар тэатральнай, эстраднай, цыркавой, кінематаграфічнай пастаноўкі ці радыё- ці тэлеперадачы; пастаноўшчык|рэжысёр
Шпаркасць у бегу|жвавасць
Аператыўнае выдаленне здзіўленага хваробай органа, касці ці часці іх|рэзекцыя
Тэрыторыя, прыродныя багацці якой – жывёлы і расліны – знаходзяцца пад адмысловай аховай дзяржавы; запаведнік|рэзерват
Рэзкае, грубіянскае слова, выраз|рэзкасць
Узрушанасць ваганняў аднаго цела ваганнямі іншага той жа чашчыні, а таксама зваротнае гучанне аднаго з двух целаў, наладжаных ва ўнісон|рэзананс
Здольнасць узмацняць гучанне, уласцівая рэзанатарам ці памяшканням, сцены якіх добра адлюстроўваюць гук|рэзананс
Бясколернае крышталічнае рэчыва, якое ўжываецца ў медыцыне пры лячэнні хвароб скуры і ў хімічнай вытворчасці пры вырабе лакаў і фарбавальнікаў|рэзарцын
Гатунак вінаграда|рэйнвейн
Доўгая чарцёжная лінейка з папярочным ашэсткам на адным канцы, што ўжываецца для правядзення паралельных ліній|рэйсшына
Ўзброеныя сілы Нямеччыны, якія складаліся са што вербаваліся па найманні вайскоўцаў (створаныя ў 1919 г. на аснове Версальскай дамовы і існавалыя да 1935 г. – чакай адукацыі вермахта пры фашызме)|рейхсвер
Двухпалатны парламент у аўстрыйскай частцы Аўстра-Вугоршчыны ў 1867–1918 гг.|рейхсрат
