Кавалак палатна|палатно
Ўнутранае прыгоннае збудаванне ў горадзе|цытадэль
Лічбавае пазначэнне|цифрация
Птушаня курыцы|кураня
Пітво чаю|чаяванне
Сямейства вадаплаўных птушак, да якога ставяцца чайкі|чайковые
Кніга, што змяшчае ў сабе тэкст некаторых царкоўных службаў, гадзін|часаслоў
Плот з калоў, часта ўбітых у зямлю адзін поруч іншага|частакол
Твор народнай паэзіі лірычнага, надзённага ці жартаўлівага ўтрымання, якое выконваецца на вызначаны напеў і ўяўлялае сабою чатырохрадкоўе ці двухрадкоўе з дзвюма полустопами у кожным вершы|прыпеўка
Важничание, ганарыстасць, пыха|фанабэрыя
Птушка сямейства драздовых|чеканчик
Псута ад чарвякоў|чарвябой
Залатая манета добрай якасцю ў тры рубля (у гутарковым ужыванні – таксама ў пяць і дзесяць рублёў), мелая хадня ў Расійскай дзяржаве да 1917 г.|чырвонец
Грашовы крэдытны квіток добрай якасцю ў дзесяць рублёў, які меў хадня ў СССР з 1922 г. па 1947 г.|чырвонец
Дахавы матэрыял у выглядзе абпаленых гліняных ці цэментавых желобчатых пласцінак, плітак|чарапіца
Вышэйшы тып жывёл, якія маюць касцяны ці храстковы шкілет; хрыбетнікі|чэрапныя
Дрэва ці высокі хмызняк сямейства розоцветных з сабранымі ў пэндзлі белымі духмянымі кветкамі і чорнымі ядомымі ягадамі|чаромха
Верхняя, напрананая на бешмет, вузкая і доўгая мужчынская адзежа з газырамі на грудзі, зацягнутая ў станы (у чэркесаў і іншых каўказскіх горцаў, а таксама ў кубанскіх і церскіх казакоў)|чэркеска
Чарнавы тэкст|чарнавік
Урадлівая глеба цёмнага колеру, пераважная ў стэпавых і лесастэпавых зонах|чарназём
Одзін з выглядаў вярбы; вербалоз|вербалоз
Народная назва некаторых выглядаў вярбы|вербалоз
Травяністая расліна сямейства казяльцовых|чарнушка
Ядомы грыб сямейства пласціністых|чарнушка
Прылада для нанясення рысак на метале пры разметцы дэталяў|чарцілка
Травяністая калючая расліна сямейства сложноцветных|чертогон
Месца, дзе вырабляецца часанне лёну, шарсці і т. п.|чесальня
Старая руская мера вагі, аб'ёму, рахункі|паўасьміна
Старая руская мера сыпкіх рэчываў, роўная восьмай часткі чвэрці|паўасьміна
Адна з чатырох роўных частак, на якія падзяляецца штосьці; чацвёртая частка цэлага|чвэрць
Перыяд, роўны чацвёртай часткі навучальнага года|чвэрць
Найменне розных мер, роўных першапачаткова чацвёртай часткі адзінкі|чвэрць
Старадаўняя мера зямлі, роўная 40 сажням у даўжыню і 30 у шырыню|чвэрць
Мера музычнага часу, роўная адной чацвёртай часткі цэлай ноты|чвэрць
Адна з чатырох фаз Месяца|чвэрць
Ігральная карта, якая мае чатыры знака, ачка|чацвёрка
Група з чатырох чалавек ці чатырох прадметаў|чацвёрка
Чатыры коні, запрягаемые ў адзін экіпаж|чацвёрка
Вяслярнае судна з дзвюма парамі вёслаў, разлічанае на чатырох весляроў|чацвёрка
Расліна сямейства бабовых з ядомымі плоскімі круглявымі бабамі|сачавіца
Пявучая птушка сямейства вьюрковых|сачавіца
Невялікае трапічнае дрэва з атрутным насеннем, што змяшчаюць стрыхнін, курарэ і т. п.|чилибуха
Дзяржаўны службовец|службовец
Расліна сямейства макавых з жоўтымі кветкамі і з'едлівым млечным сокам, выкарыстоўванае ў медыцыне|падтыннік
Бібліятэчнае памяшканне, прыстасаванае для чытання; чытальная зала|чытальня
Ўдзел у арганізацыі на правах чальца|чалецтва
Хмызняковая расліна сямейства камнеломковых; садовы язмін|язмін
Фантастычнае – звычайна страшнае ці велізарных памераў – казачная істота (чалавек ці жывёла)|пачвара
Чальцы рэлігійнай секты, якая з'яўлялася ў Расійскай дзяржаве ХIХ ст. разнавіднасцю хлыстоўства|шалапуты
Невук, які выдае сябе за знаўцу; ашуканец, шэльма|шарлатан
Салодкая страва з запечанага цеста ці сухароў з пластамі яблыкаў|шарлотка
Невялікі пераносны механічны органчик – без клавішнага механізму і прыводны ў дзеянне кручэннем ручкі – у выглядзе скрыні са шлейкай, напрананай на плячо|катрынка
Шырокія порткі адмысловага крою, звычайна заправляемые ў боты|шаравары
Такія порткі, сабраныя ў шчыкалатак, што з'яўляюцца часткай нацыянальнай адзежы некаторых народаў|шаравары
Сельскагаспадарчы механізм для ачысткі збожжа ад шалупіны, асцюкоў, плёнкі, а таксама для паліроўкі збожжа|шатравалка
Тытул манарха ў Іране|шахіншах
Ветразная спартовая яхта са швертом, не мелая сталага баластнага кіля|швертбот
Густыя і пышныя валасы на галаве|шавялюра
Пакута, изготовляемая з грачаных круп|шелковка
Старая руская мера вагі, аб'ёму, рахункі ці прадмет, якія змяшчаюць у сабе шэсць адзінак|шасцярня
Зубчастае кола, што перадае рух|шасцярня
Назва ігральнай карты, якая мае шэсць знакаў, ачкоў|шасцёрка
Група з шасці чалавек, прадметаў|шасцёрка
Запрэжка з шасці канёў у адной запрэжцы|шасцёрка
Род булавы з галоўкай з шасці металічных пласцін – пёраў; старадаўняя халодная зброя|шастапёр
Прыстасаванне для шаткавання|шаткаванне
Паўднёваамерыканскі грызун з доўгім пухнатым хвастом і каштоўным серабрыста-шэрым мехам|шыншыла
Дзікая ружа з простымі, не махрыстымі кветкамі|шыпшыннік
Прылада для кадавання сігналаў у телемеханике, сувязі, радыёлакацыі і т. п.|шифратор
Скрыначка з вечкам для захоўвання дробных – звычайна каштоўных – рэчаў|скрыначка
Стрыжань, загваздка, які з'яўляецца вертыкальнай воссю перадка воза ці паваротнай часткі лакаматыва, аўтамабіля і т. п., які забяспечвае заваротак на ходу|шворан
Кароткі сталёвы ці пеньковый суднавы трос, на адным канцы якога ўмацаваны блок ці сталёвае кольца|шкентель
Навучэнец школы|школьнік
Узнімальны ці які высоўваецца брус на заставах, чыгуначных пераездах і т. п., адкрывалы і які зачыняе шлях|шлагбаўм
Камера ў ніжняй частцы мартеновской печы, куды пры плаўленні руды збіраецца пыл і дробныя часціцы дзындры|шлакавік
Шлем лётчыкаў, танкістаў, касманаўтаў са зняволеным у ім перагаворнай прыладай|шлемофон
Сама перагаворная прылада|шлемофон
Ідэалогія і палітыка ваяўнічага нацыяналізму, што прапаведуе нацыянальную і расавую выключнасць аднаго народа, нянавісць і пагарда да іншых народаў і якая распальвае нацыянальную і расавую варожасць|шавінізм
Стрэльба састарэлай канструкцыі, зараджанае з рулі|шомполка
Папярочны крывы брус у корпусе судна ці самалёта, што забяспечвае трываласць і ўстойлівасць бартоў і дны|шпангоўт
Рамень, якім шаўцы прымацоўваюць працу да нагі|шпандырь
Кароткія сардэлькі з украпваннямі сала|шпикачки
Вандроўны спявак-музыка ў сярэднявечнай Еўропе|шпильман
Вал металарэзнага станка з прыстасаваннем для заціску апрацоўванай дэталі ці рэжучай прылады|шпіндзель
Верацяно ў прядильной машыне|шпіндзель
Вось (шпулькі, суднавага спічака і т. п.)|шпіндзель
Адна рыбка ў шпротах|шпротина
Дошка, брус і т. п., на адным беражку якіх зроблены падоўжны грэбень, а на процілеглым беражку – паза (у сталярнай справе)|шпунтина
Разрыўнай артылерыйскі снарад, які змяшчае круглыя кулі, стрыжні і т. п. для паразы адкрыта размешчанай жывой сілы суперніка|шрапнэль
Мастак-графік, які займаецца распрацоўкай малюнка літар, што стварае шрыфтавыя загалоўкі, надпісы і т. п.|шрифтист
Спартовец, які займаецца практыкаваннямі са штангай|штангіст
Палкавы сцяг кавалерыйскай часткі, эскадрона|штандар
Невоенный, грамадзянскі чалавек|цывільны
Прыбор з выпуклым зваротным малюнкам (малюнка, подпісы і т. п.), службовец для атрымання адбітка, друку, таўры|штэмпель
Металічны стрыжань ці відэлец, з дапамогай якіх злучаны з імі провадам пераносны электрычны прыбор уключаецца ў сетку|штэпсель
Мужчынскія чаравікі на шнурках|гетры
Правы борт судна|штырбарт
Дэкаратыўная расліна сямейства мальвовых з пышнымі кветкамі на высокім сцябле; садовая мальва|мальва
Печаны кандытарскі выраб, формай якое нагадвае рулет|штрудель
Вучэнне чальцоў штунды|штундизм
Чалец штунды|штундыст
Птушаня шчыгла|шчыгляня
Самка шчыгла|шчыгліха
Разнавіднасць шматгадовых ці аднагадовых травяністых раслін сямейства зёлкавых, асобныя выгляды якіх з'яўляюцца пустазеллямі|мяшэй
Назва некаторых выглядаў папараці|папараць
Орган дыхання, дотыкі, перасоўванні і хватания ў выглядзе рухомых вырастаў на целе ў шматлікіх бесхрыбтовых|шчупальцы
Сямейства трапічных драўняных спайнолепестных раслін, што маюць вельмі цвёрдую каштоўную темноокрашенную – часта чорную – драўніну, выкарыстоўваную для выраба мэблі, музычных прылад і т. п.|эбенавыя
Паўднёвае дрэва сямейства миртовых, якое адрозніваецца незвычайна хуткім ростам|эўкаліпт
Паўднёвае дрэва, лісце, кара і карані якога ўтрымоўваюць рэчыва, з якога атрымліваюць гутаперчу, а кара выкарыстоўваецца таксама для вытворчасці лекавых прэпаратаў|эвкоммия
Рознага роду руху, злучаныя з перасоўваннем, перашыхтоўкай|эвалюцыі
Перашыхтоўка пры руху войскаў з аднаго ладу ў іншай (у войскі Расійскай дзяржавы ХVIII ст.)|эвалюцыі
Манеўры караблёў, вырабляныя ў ладу і забяспечвальныя лепшае іх месцаванне для мэты (у ваенным флоце)|эвалюцыі
Завароткі і развароты самалёта ў палёце (у авіяцыі)|эвалюцыі
Складаныя па выкананні прыёмы ці постаці ў акрабатыцы|эвалюцыі
Слова ці выраз, якое замяняе іншае, якое па якіх-небудзь чынніках непажадана ці нязручна спажыць у вызначанай сітуацыі|эўфемізм
Вобласць, на якую распаўсюджваецца кіраванне экзарха|экзархат
Пасада, сан экзарха|экзархат
Сістэма практыкаванняў для ўдасканалення тэхнікі (у танцах, музыцы)|экзэрсіс
Працэс развіцця адносін паміж арганізмамі і асяроддзем пасялення на працягу гісторыі іх існавання|экагенез
Навуковая дысцыпліна, што вывучае ўзаемаадносіны жывёл, раслін, мікраарганізмаў паміж сабою і з атачальным іх асяроддзем|экалогія
Стан арганізмаў, якія насяляюць тэрыторыю, іх стаўленне адзін да аднаго і да навакольнага асяроддзя|экалогія
Ашчаднасць, ашчаднасць пры выдаткоўванні|эканомія
Канчатковыя прадукты абмену рэчываў, што выдаткоўваюцца арганізмам вонкі (у фізіялогіі)|экскреты
Прадмет, які экспануецца на выставе ці ў музеі|экспанат
Транспартны сродак (цягнік, судна, аўтобус і т. п.), ідучае з падвышанай хуткасцю і з прыпынкамі толькі на буйных станцыях|экспрэс
Невялікі верш, музычны твор і т. п., ствараныя ў момант вымаўлення, выкананні|экспромт
Невялікі музычны твор, напісанае ў вольнай форме|экспромт
Серозная, гнойная, фібрынозная ці крывяністая вадкасць, якая прасочваецца з дробных крывяносных пасудзін у тканіны ці паражніны цела пры запаленні|эксудат
Рэчыва, вынятае з расліннай ці жывёльнай тканіны з дапамогай растваральніка і згушчанае затым шляхам выпарвання; выцяжка|экстракт
Згушчаны натуральны сок ягад ці пладоў|экстракт
Збудаванне для захоўвання вялікай колькасці збожжа, абсталяванае механізмамі для яго прыёму, узважванні, апрацоўкі і адгрузкі|элеватар
Грузоподъемное прылада для бесперапыннага транспартавання грузу|элеватар
Водаструменная помпа, што ўжываецца ў сістэме воднага апалу для змешвання халоднай вады з гарачай|элеватар
Здольнасць танцоўніка да шырокіх, высокіх і плыўных скачкоў|элевация
Адмысловец у вобласці электрычнасці, электратэхнікі|электрык
Правадыр у выглядзе пласцінкі, стрыжня і т. п., праз які электрычны ток уводзіцца ў вадкасць ці газ|электрод
Дэталь у выглядзе стрыжня, якая падводзіць ток да апрацоўванага месца пры электрычнай зварцы ці рэзанню|электрод
Элементарная часціца з найменшым адмоўным электрычным зарадам|электрон
Сплаў алюмінія з магніем, што валодае вялікі трываласцю і пластычнасцю|электрон
Сплаў золата і срэбра, які ўжываўся для выраба каштоўных рэчаў|электрон
Першапачатковыя спазнанні ў вобласці; асновы, пачала|элементы
Эпоха росквіту элінскай культуры перыяду яе распаўсюду на Ўсходзе, што наступіла пасля заваёў Аляксандра Македонскага|элінізм
Слова ці зварот гаворкі, запазычаныя са старажытнагрэцкай мовы; грэцызм|элінізм
Адмысловец у вобласці старажытнагрэцкай філалогіі|элініст
Аматар і знаўца элінскай культуры, Старажытнай Грэцыі|элініст
Пропуск у гаворкі лёгка якое разумеецца слова (у лінгвістыцы)|эллипсис
Заканчэнне, выпраменьванне творчай энергіі бажаства як тлумачэнне паходжання свету (у старажытнарымскай філасофіі)|эманацыя
Філасофскае вучэнне, што прызнае пачуццёвы досвед чалавека адзінай крыніцай спазнання|эмпірызм
Схільнасць да практычнай дзейнасці, прыхільнасць фактам, досведу|эмпірызм
Празмерная скупнасць паветра ў органах, звычайна ўтрымоўвалых яго, ці наяўнасць паветра ў органах, звычайна пазбаўленых яго.|эмфізэма
Распаўсюджанасць жывёльных і раслінных арганізмаў толькі ў вызначанай геаграфічнай мясцовасці|эндэмізм
Расліны ці жывёлы, якія сустракаюцца толькі ў вызначанай геаграфічнай мясцовасці|эндемики
Унутраная абалонка сэрца, што высцілае яго і ўтваралая створкі клапанаў|эндакард
Заключная стадыя ў шахматнай і шашечной партыі|эндшпіль
Інфекцыйная хвароба жывёл, абмежаваная межамі геаграфічнай мясцовасці ці іх групай|энзаотыя
Мера, ступень нявызначанасці сітуацыі (у тэорыі інфармацыі)|энтрапія
Ўстаўка ў сярэдзіну слова лішняга гуку (у лінгвістыцы)|эпентеза
Шырокі распаўсюд інфекцыйнай хваробы|эпідэмія
Прыстасаванне, прыбор, выкарыстоўваючы якія ажыццяўляюць эпіляцыю|эпилятор
Ніжняя частка антаблементу, якая абапіраецца непасрэдна на капітэлі калоны; архітраў (у архітэктуры)|эпистиль
Надмагільны надпіс|эпітафія
Літаратурны твор, напісанае ў сувязі са смерцю|эпітафія
Одзін з выглядаў тканіны чалавека і жывёл, што ўтварае павярхоўны пласт скуры, які высцілае сценкі паражнін і ўнутраных полых органаў|эпітэлій
Полаг з танкасценных клетак, што высцілае некаторыя ўнутраныя паражніны раслін|эпітэлій
Сукупнасць водных арганізмаў, якія насяляюць на дне вадаёма|эпифауна
Вобласць зямной паверхні, размешчаная непасрэдна над агменем – гіпацэнтрам – разбуральных сіл (землятрусы, выбуху і т. п.)|эпіцэнтр
Прыбор для графічнай рэгістрацыі працы цягліц чалавека|эргограф
