Адмысловасць лекара?|рэўматолаг
Спартовая гульня з мячом|тэніс
Спартовая гульня з мячом|футбол
Спартовая гульня з шарам і драўляным малатком|кракет
Спартовая гульня, у якой атрымаў поспех Піт Сампрас|тэніс
Спартовая гульня, якая нагадвае рускую лапту|крыкет
Спартовая гульня?|валейбол
Спартовая гульня?|футбол
Спартовая гульня?|бадмінтон
Спартовая гульня|шашкі
Спартовая ці цыркавая прафесія|акрабат
Спартовая командая гульня ў мяч конна на канях?|падлога
Спартовая камандная гульня ў мяч конна на канях|пола
Спартовая камандная гульня з мячом ангел. паходжанні, якая нагадвае рускую лапту|крыкет
Спартовая камандная гульня з мячом авальнай формы|рэгбі
Спартовая камандная гульня з мячом|футбол
Спартовая камандная гульня|хакей
Спартовая лодка з падвесным рухавіком|скутар
Спартовая настольная гульня|шашкі
Спартовы абутак (адказ у мн. ч.)|буцы
Спартовы абутак|кеды
Спартовая адзежа|суколка
Спартовая адзежа|трыко
Спартовая пляцоўка для веласіпедных ці матацыклетных гонак|трэк
Спартовая пляцоўка|корт
