Туркменскі географ|Бабаев
Цягучая, глейкая маса, што выдаткоўваецца некаторымі клеткамі жывых арганізмаў|слізь
Цяжкая алеістая вадкасць, якая ўжываецца ў вытворчасці выбуховых рэчываў|олеум
Цяжкая непрыемнасць, узрушэнне|удар
Цяжкая нервова-рэфлекторная рэакцыя на траўму, апёк, пераліванне несумяшчальнай крыві, моцны боль ці ўзрушэнне і інш.|шок
Цяжкая острозаразная хвароба?|воспа
Цяжкая шчыльная тканіна са стаялым ворсам|бабёрык
Цяжкая шчыльная ваўняная тканіна для верхняй адзежы|драп
Цяжкая шчыльная ваўняная тканіна з пухнатага прадзіва|драп
Цяжкая баваўняная тэхнічная тканіна для абсталявання парашутаў|авізэнт
Цяжкая шаўковая ці ваўняная тканіна з тканым малюнкам|штоф
Цяжкая ваўняная тканіна, якасцю якой славіцца франц. горад Седан|драп
Цяжкаатлет, неаднаразовы чэмпіён свету і Алімпійскіх гульняў?|Жаботинский
Цяжкаўзброеныя ваяры пяхоты ў войсках старажытных грэкаў, македанян, рымлян?|гопліты
Цяжкаўзброены пяхотнік у Старажытнай Грэцыі|гопліт
Цяжкае захворванне дыхальнай сістэмы|астма
Цяжкі пераходны стан|крызіс
Цяжкае становішча|крызіс
Цяжкае засмучэнне функцый арганізма з прычыны фізічнага пашкоджання ці псіхічнага ўзрушэння|шок
Цяжкі стан, клінічная смерць|кома
Цяжкі стан пры кровазліцці ў мозг|апаплексія
Цяжкае целавае пашкоджанне|калецтва
Цяжкія падзеі, няшчасці, моцныя перажыванні|драма
Цяжкі кавалерыст у еўрапейскіх войсках 17–18 стагоддзяў|рэйтар
Цяжкая клінаватая сякера?|колун
Цяжкая падлогавая скрыня з вечкам на завесах для захоўвання рэчаў|куфар
Цяжкая сякера для колкі дроў|колун
Цяжкі тугаплаўкі метал светла-шэрага колеру|тантал
Цяжкі эскадренный мінаносец з узмоцненым узбраеннем|лідар
Цяжкі, цяжкі этап развіцця з вялікімі зменамі?|крызіс
Цяжар, якая замінае чалавеку выглядаць агурком, але што дапамагае агурку станавіцца добрай закускай?|хіліць
Цяжар, цяжкі прадмет|груз
Цягнуць усё, а дастаецца аднаму шчасліўчыку|жэрабя
Тянь-Шаньский горны баран|киик
У архангельскіх гэта – рачная завала ці пярэсмык, у краснодарцев – перахоп па шляху|перейма
Ў армян міфалагічны персанаж|карапет
У забабонных людзей: загавор, нібы мелае магічную сілу|намова
Ў спартоўца – другое, у нябожчыка – адсутнае|дыханне
Ў якія спыніліся гадзін з ківачом яе не бывае|амплітуда
Ў абутнікоў стужка для абмеру калодкі і стопы|штихмас
У абутнікоў стужка для абмеру калодкі і стопы|штихмасс
У раслін злучэнне проводящ. пучкоў у лісці|анастамоз
У рускіх хатні дэман (дух)|овинник
У рускіх хатні дэман, які жыве ў двары|дваровай
У рымлян – першыя лікі месяцаў, блізкія да маладзіка|календы
Ў Бажова ён быў каменны|кветка
Ў В. Г. Перова ёсць карціна “Спячыя ...”|дзеці
Ў Васіля Ливанова ёсць аповесць “Мой каханы ...”|блазан
У Жукоўскага – Бельт, а ў Радзішчава – Варажскае. Што ж гэта?|Балтыйскае мора
Ў Канта – філасофія, а ў рэчываў – тэмпература. Якія яны?|крытычныя
Ў Лермантава ён бялее, самотны, а ў Высоцкага яго парвалі|ветразь
У Апантанага Роланда – Брильядор, у Ринальдо Монтальванского – Баярд. А хто ў Дон-Кіхота?|Росинант
У Вольгі Лариной яны былі “як неба блакітныя” (Онегин)|вочы
Ў Пятра Вяземскага ён першы, у Ігара Грабара – сакавіцкі. А ў Юрыя Бондарава?|гарачы
Ў Рышэлье іх было 12, у Хэмінгуэя – 150, у Зімовым палацы ў 1917 году 600. Назавіце іх|коткі
Ў Ф. І. Шаляпина быў пярсцёнак з гэтым каменем, які, па яго аповядах, прыналежаў раней Пятру I і быў асвячоны Патрыярхам Всея Русі. Гэты камень?|сапфір
У Эміля Лотяну ён быў ласкавым і далікатным|звер
У Юрыя Лазы ён “зусім не так ужо дрэнны”|плыт
У абхазаў бог узыходу і заходу сонца|хайт
У абхазаў багіня паляводства, агародніцтва|джаджа
Ў абхазаў багіня ткацкага рамяства|ерыш
У абхазаў бажаство канёў|ачышашана
Ў абхазаў бажаство палявання|ажвейпш
У абхазаў бажаство ўрадлівасці, мае 7 твараў|айтар
У абхазаў бажаство, якое абараняе людзей ад небяспекі|аерг
У абхазаў міф. персанаж, д'ябал|аджныш
У абхазаў міф. заступніца памолу збожжа|саунау
Ў абхазаў персаніфікацыя сонца|амра
Ў абхазаў рыс|аюстаа
Ў адыгов – бажаство мора|кодеш
У адыгов бог – заступнік крупн. рагаты. скаціны|ахын
У адыгов бог грома і маланкі|шибле
Ў адыгов бог-заступнік авечкагадоўлі|амыш
У адыгов багіня земляробства, заступніца пчол|мерем
У адыгов міфічная заступніца пчол|мериса
Ў адыгов міфічны персанаж з сякерай на грудзі|мезиль
У амерыканскіх паліцыянтаў ёсць спосаб вызначэння наяўнасці алкаголю ў крыві. Што павінен прачытаць у зваротным парадку падазраваны, каб зняць падазрон ва ўжыванні алкаголю?|алфавіт
У амерыканскага паэта Ўолта Уитмена ёсць праграмная “... пра сябе”, якая пачынаецца словамі: “Я слаўлю сябе і апяваю сябе”?|песня
Ў ангельцаў ён верасовы?|мёд
У арабаў – 18–20 у хвіліну, у ангельцаў – 15–30, у Італіі – 35–40 ці 40–50, у Бразіліі – 35–45 ці 50–58. Пра што ідзе гаворка?|хуткасць гаворкі
Ў арабаў – частка роду, племя|шэйх
У арабаў – частка роду, старэйшына?|шэйх
У армян вярхоўнае бажаство|арамазд
У армян міф. персанаж – огромн. рыба, обвившая зямлю?|лекеон
У армян мифологич. персанаж|саркис
У армян міфалагічны абаронца палёў, бусел|арагил
У армян адно з бажаствоў Новага года|аманор
У афрыканскай народнасці Малинке ёсць прыказка: “Калі сябры не кажуць вам ... , заплаціце за яе вашым ворагам”|праўду
Ў ашанти міф. пітон, положивш. пачатак дзіцянараджэнню|онини
У баксёраў – пераход бою ў абдымкі|клінч
У бантуязычн. народаў Сцежак. Афрыкі громовник, бажаство дажджу|леза
Ў башкірскіх лучнікаў, якія служылі ў рускім войску, перад пачаткам бою напагатове былі 4 стрэлы. Адна на цеціве, другая ў правай руцэ, трэцяя – у левай. А чацвёртая?|у зубах
У беларусаў: тонкае вонкавае свіное сала са скурай|шпирка
Ў бини бог маланкі, які прыносіць смерць|огиву
Ў бини вярхоўны бог|огбора
Ў бушменаў кунг міф. персанаж, дэміург і трикстер|цуе
Ў вернікаў: пасціцца і хадзіць у царкву падчас паста|гавенне
Ў ваяўнічых мусульман святая вайна супраць немусульман|газават
У вялікага Рэмбрандта, кажуць, было хаты толькі дзве кнігі. Адна з іх – Біблія. А другая?|анатамічны атлас
У веравалых габрэяў: велікодныя прэсныя тонкія каржы з пшанічнай пакуты|маца
Ў вернікаў: устрыманне на вызначаны тэрмін ад скоромной пішчы і іншыя абмежаванні па прадпісанні царквы|пост
У вернікаў: устрыманне ад скоромной пішчы і іншыя абмежаванні па прадпісанні царквы|пост
У вернікаў: парушэнне рэлігійных прадпісанняў, кіраваў|грэх
У сталых – западзіна, у немаўлятаў – выпукласць|пупок
Ва ўсіх на вуснах|гаворка
Ў вьетов бажаство ў выглядзе жабы, падавец дажджу|каук
У германскіх народаў у старажытнасці гэта дата лічылася днём звяржэння сатаны з неба. Французы ў гэты дзень жартам спраўляюць Новы Год. Што гэта за дзень?|1 красавіка
Ў грэкаў – Эос, у рымлян –|Аўрора
Ў грэкаў гэта барацьба, у нас жа – тое, што ў канцы самай доўгай барацьбы. Што ж гэта?|агонія
Ў грузінаў бажаство грома і надвор'і|воби
У грузінаў бажаство, господствующ. на 7 адгор'ях Кавк. хрыбта|бочи
У грузінаў бажаство, заступнік хата. жывёл|босели
У грузінаў бажаство|квириа
Ў грузінаў вярхоўны бог неба, бацька богаў|гмерти
У грузінаў зооморфное бажаство ўрадлівасці|берика
Ў дзевяноста адсоткаў расейцаў ён пусты|кашалёк
У інш. грэкаў – увесь вядомы свет (заселеная суша)|айкумена
Ў інш. грэкаў і рымлян храм усіх богаў|пантэон
У старажытных грэкаў і рымлян – збудаванне для гледзішчаў|амфітэатр
У старажытных грэкаў і рымлян: храм, прысвечаны ўсім багам|пантэон
У дагест. народаў бажаство, персаніфікацыя месяца|барз
У дагестанск. народаў бажаство, увасабленне сонца|барг
У даргінцаў бажаство, персаніфікацыя сонца|берхи
У дзяўчыны – на твары, у футбаліста – на назе|шчочка
Ў дзяцей Урана і Геі было 330 рук і 327 вока. Колькі дзяцей было ўсяго?|18
У дэтэктываў хмурны выгляд і змрочны : – якое слова меў на ўвазе В. Высоцкі?|нораў
У данскіх казакоў: двор з гаспадарчымі пабудовамі|баз
У інш. рымлян – варажба па палёце птушак; прадвесце|ауспиция
Ў інш. рымлян – варажба па палёце птушак|ауспиция
Ў драўняных раслін: вонкавая тканіна ствала, сцябла і кораня|кара
Ў древн. грэкаў і рымлян – чужак|вандал
У старажытных грэкаў і рымлян – бог вінаробства і весялосці|Вакх
У старажытных грэкаў і рымлян: усякі чужак|варвар
У старажытных грэкаў яна насіла назву Сотис – прамяністая і Анибус – псіная зорка. Як яна завецца цяпер?|Сірыус
У старажытных грэкаў салата з зерняў граната з заправамі|авартана
Ў старажытных грэкаў гэта звалася тахиграфия. А ў нас?|стэнаграфія
Ў старажытных грэкаў, рымлян і народаў Старажытнага Ўсходу прадказанне, нібы якое зыходзіла ад бажаства і перадаванае жрацамі што запытвалі вернікам. Таксама месца, дзе давалася прадказанне?|аракул
У старажытных майя сапраўды хатнімі жывёламі лічыліся 3: сабакі, гуахолоте (індычка) і... Назавіце апошняе|пчолы
Ў старажытных немцаў гэта – аднапакаёвая хата, і з'яўляецца далёкім сваяком лацінскіх зямля, аснова, месца, падлога. Пра што ідзе гаворка?|зала
Ў старажытных рымлян невядомая нам птушка, крык якой прадвесціў бяду|парра
Ў старажытных рымлян увасабленне лёсу|Фатум
У старажытных рымлян амбасадар, які выконвае палітычныя даручэнні|легат
У старажытных славян – Пярун, у грэкаў – Зеўс, а хто ў скандынаваў?|Адзін
У старажытных славян: абрадавыя дзеянні і баляванне ў памяць памерлага|трызна
Ў старажытных тюрок багіня жаночага пачатку і ўрадлівасці|Стамі
Ў сябра яна заўсёды надзейная|рука
Ў д'ябла шмат імёнаў. Гэта, упершыню ўзніклае ў старажытнасці, мае ў сваёй аснове два значэнні: разбуральнік і лгун, ашуканец. Назавіце яго|Мефістофель
У егип. гностыкаў, (2 ст.) духовн. плён грэхападзення Соф'і|ахамот
У егіпцян гэта Той, у вавіланян – сын бога Мардука Набу, у грэкаў – Праметэй, а ў нас – проста чалавек, хоць і святы роўнаапостальны. Хто ж гэта ў нас?|Кірыла
Ў яго сям'і быў сябар – эмігрант з Вугоршчыны Дьердя Клапки, а сваёй славай ён шмат у чым абавязаны адной сустрэчы ў цягніку. Колькі ЛЮДЗЕЙ, акрамя яго, было тады ў купэ?|трое
Ў жуйных парнакапытных жывёл: перажоўванне якая вяртаецца са страўніка ежы, а гэтак жа сама гэта ежа|жованка
Ў жывёлы кіпцюры, а ў чалавека (адказ у мн. ч.)?|пазногці
Ў жывёл: доўгі лядзяк угару расце|рог
У жывёл: надкопытный сустаў нагі|бабка
Ў жыцця яго няма (пастулат веры)|канец
У камізэлькі няма|рукаў
У земнаводных, рыб і шматлікіх бесхрыбтовых: жывёла ў стадыі развіцця ад нараджэння ці выйсця з яйка да ператварэння ў сталую асобіну ці лялячку|лічынка
Ў западносибирск. татараў злы дэман|атцыс
У звенков і інш. персаніфікацыя Вялікай Мядзведзіцы|хэглэн
У звера поўсць, а ў птушкі?|пёры
Ў іспанак: карункавая накідка на галаву і плечы|мантылля
Ў іракезаў легендарны правадыр і прарок|Гайавата
