Тэорыя нераўнацэннасці чалавечых рос?|расізм
Тыберый Гракх, нягледзячы на святую недатыкальнасць трыбуна і аўгура, быў забіты ва ўваходу ў Капіталійскі храм. Камянямі і палкамі было забіта 300 яго прыхільнікаў. Куды скінулі трупы забітых?|Тыбр
Тыбецкі бык|як
Тыбецкі манах, настаўнік-настаўнік|лама
Тыгр на капытах|зебра
Тигриное “мяу”|рык
Тып аўтамабіля|джып
Тып акцёрскіх роляў|амплуа
Тып блізкаўсходняй керамікі|мінаі
Тып баявых караблёў у флатах ЗША і Вялікабрытаніі, галоўным чынам предназ. для абароны транспартаў|корвет
Тып вялікага ветразнага судна|галион
Тып шрубалёта|ка
Тып верхняй адзежы|гарнітур
Тып узнёслых раўнін|ополье
Тып галерэі|клуатр
Тып гарадскога транспарта|таксі
Тып дзяржаўнай прылады?|аўтакратыя
Тып дзяржаўнай прылады?|звяз
Тып дзяржаўнай прылады|аўтарытарызм
Тып дзяржаўнай прылады|эмірат
Тып грузавога судна|ролкер
Тып грузавога судна|танкер
Тып інш.-греч. храма|амфипростиль
Тып старажытнагрэцкага храма|амфипростиль
Тып старажытнагрэцкага храма|диптер
Тып жывых арганізмаў|аэробы
Тып жылля ў качавых народаў|ураса
Тып зародкавай тканіны?|мезодерма
Тып зашпількі, які вынайшаў Уитком Джадсон у 1891|маланка
Тып зашпількі, утоенай пад планкай ці клапанам|супат
Тып зоркі|гігант
Тып зоркі|карлік
Тып выраба, тавара, а таксама яго лічбавае ці літарнае пазначэнне|артыкул
Тып иконопис. малюнкі богамаці з паднятымі рукамі|оранта
Тып знішчальніка (авія.)|як
Тып казахск. коні дужай грубіянскай канстытуцыі|джабе
Тып камяністай пустэльні|гамада
Тып кампутарных гульняў з простым сюжэтам, у якіх дзеянне адбываецца ва ўмоўным асяроддзі|аркада
Тып карабля, які меў назва “Тытанік”?|лайнер
Тып гарнітурнай тканіны|бостан
Тып кузава аўтамабіля|брогам
Тып кузава аўтамабіля|комби
Тып кузава аўтамабіля|тарга
Тып кузава і аўтамабіль з адкідным мяккім верхам?|кабрыялет
Тып кузава легкавога аўтамабіля|пікап
Тып ландшафту|хмызняк
Тып легкавога аўтамабіля з адкідным верхам|фаэтон
Тып марскіх бесхрыбтовых?|грэбневікі
Тып аб'яднання прадпрыемстваў|асацыяцыя
Тып першай аматарскай фотакамеры Истмена|броуни
Тып пяшчанай пустэльні ў Сахары, прымеркаваны галоўным чынам да паніжэнняў рэльефу|эрг
Тып пешаходнай дарожкі|зебра
Тып палавога працэсу|анізагамія
Тып селішча ў Іспаніі і Лат. Амерыцы, невялікая вёска|альдея
Тып глеб|саладзі
Тып глебы ў пустэльнях субтрапічнай зоны|такыр
Тып глебы, якая сфармавалася на плоскіх гліністых паніжэннях у пустэльнях|такыры
Тып глебы|солодь
Тып почырку старажытных славянскіх рукапісаў, напісаных кірыліцай з выразным напісаннем кожнай літары, адсутнасцю скарачэнняў|статут
Тып прадпрыемства|талака
Тып прадпрыемства|трэст
Тып пераважна марскіх бесхрыбтовых?|губкі
Тып перашкоды на конноспортивн. спаборніцтвах|пасека
Тып прыроднага паліва|сланец
Тып прычоскі, даволі рэдкі ў наш час|каса
Тып расліннасці з перавагай іглічных лясоў|тайга
Тып расліннасці субарктического пояса Зямлі|тундра
Тып расліннасці?|тундра
Тып роляў акцёра, які адказвае яго сцэнічным дадзеным?|амплуа
Тып роляў, звычайна выкананы акцёрам?|амплуа
Тып самалёта|біплан
Тып зморшчын на платьевой тканіны|гофры
Тып савецкага самалёта|ан
Тып суквецця, кветкі|султан
Тып тэрміновай дзяржаўнай пазыкі са штогадовым пагашэннем прыбытку|аннуитет
Тып тэмпераменту?|флегматык
Тып цеплахода на падводных крылах|метэор
Тып тканіны (портняж.)|муслін
Тып тканіны для сукенак, сарафанаў|паркаль
Тып тканіны|паплін
Тып сякеры|цясло
Тып туалета, які фігураваў у да/ф “Дыяментавая рука”|сарцір
Тып турысцкага вогнішча|нодья
Тып вулля|ляжак
Тып фламастара для вылучэння тэксту|маркер
Тып фотааб'ектыва|апланат
Тып характэрных роляў акцёра, што адказвае яго сценич. дадзеным і характэрны для яго творчасці|амплуа
Тып ходу каня|крок
Тып шва|козлік
Тып этнічнай агульнасці і сацыяльнай эпохі першабытнаабшчыннага ладу|племя
Тып японскай архітэктуры|сеин
Тып японскай архітэктуры|синдэн
Тып, характар у худож. творы|выява
Тып, марка канструкцыі|мадэль
Тыповая мазарида|аса
Тыпова рускі імпульс|штуршок
Тыповы выкрадальнік|злодзей
Тыповы пурытанін?|аскет
Типогр. знак, употр. для обознач. словы пры яго паўторы|тыльда
Типогр. ці издат. марка, прайграваная ў кнізе|сигнет
Типогр. шрыфт; выгляд лямпачкі; гатунак шакаладу|мін'ён
