Існая, усталяваная мера|норма
Сын Приама і Гекубы ў грэцкай міфалогіі|Гектор
Сын Приама; персанаж аперэты “Выдатная Алена”|Парыс
Сын Приама|Парыс
Сын Сварога|Дажбог
Сын Сисифа|Глаўк
Сын Т. Бульбы|Андрий
Сын Ціра ад Кретея ў грэцкай міфалогіі|Ферет
Сын Хама, унук Ноя|Ханаан
Сын Эктора, прыёмны брат Артура, рыцар Круглага стала|Кай
Сын Эола і Анареты, коціць камень, осн-тэль Истмийских гульняў|Сисиф
Сын белага і індыянкі|Метыс
Сын бога Гермеса?|Пан
Сын бога Санка|Саб
Сын вядомага штукара, які абраў у сябры Хрюшу і Каркушу|Акопян
Сын як дапамога|апора
Сын каралеўскай сям'і|прынц
Сын ільва па значэнні, знакаміты спартанскі цар|Леанід
Сын палка ў флоце|юнга
Сын абшарніка|паніч
Сын тых жа бацькоў ці аднаго бацькі ў адносінах да іншых іх дзяцей|брат
Сын флоцкага экіпажа|юнга
Сын хана Батыя, што прыняў хрысціянства|Сартак
Сын цара Троі Приама ў інш.-греч. міфалогіі|Парыс
Сын цара Троі, якога пераследвала абражаная яго непачцівасцю Афіна|Парыс
Сын цара Фіваў, сам таго не падазраючы, забіў бацьку і жаніўся на сваёй маці (греч. міф.)|Эдип
Сын, нашчадак у арабскіх імёнах|ибн
Сыпкая сухая маса – рэшткі сена, перагнілага дрэва, паперы|пацяруха
Сыпкія макулінкі кварца?|пясок
Сыпкі матэрыял, спрасаваны ў выглядзе цэглы|брыкет
Сып на твары?|вугры
Сыр з авечага малака на Оркнейских выспах|оркни
Сырныя палачкі да агароднінных супаў-пюрэ|пайль
Сырны шар|галава
Волкае, непропеченое месца ў хлебе|гарт
Волкасць, вадкасць, вада, якая змяшчаецца ў чым-небудзь|вільгаць
Волкасць, што нападае на хаты (па В. Далю)|гнілата
Сырцовая цэгла, назва якога адбываецца ад цюркскага слова, які азначае “салома”|саман
Сыравіна ў прыродных скрыначках|бавоўна
Сыравіна ў вытворчасці ўгнаенняў|апатыт
Сыравіна для ганчарных вырабаў|гліна
Сыравіна для выраба піва, квасу|солад
Сыравіна для кефіру?|малако
Сыравіна для крэкінгу|гудрон
Сыравіна для марскіх палачак (дэлікатэс)|краб
Сыравіна для атрымання бензіну|нафта
Сыравіна для атрымання шкіпінару і каніфолі|жывіца
Сыравіна для атрымання соды, хим. азёрны асадак|трона
Сыравіна для вытворчасці мёда|падзь
Сыравіна для птушкафабарык, якія спецыялізуюцца на гадоўлі феніксаў|попел
Сыравіна для сакэ|рыс
Сыравіна для свячнога заводзіка|воск
Сыравіна для соц. даследаванні|анкета
Сыравіна, якое не вяжацца пад градусам|лыка
Сыравінны металічны злітак|свінка
Вышук і вяртанне збеглых сялян у Расіі (15–17 стст.)|звоз
Сычуг у адносінах да страўніка жуйных жывёл|аддзел
Шпік у А. Крысці|Пуаро
Шпік, які гуляў на скрыпцы|Холмс
Шпік, таемны агент паліцыі|шпик
Шпік-аматар, персанаж рамана “Смерць пад ветразем”|Финбоу
Шпік?|дэтэктыў
Шпікоўка з раманаў Аляксандры Марининой|Насця
Сэй-Сенагон аднойчы заўважыла, што і нітка для спешнага швіва, і валасы простай прыслужніцы, і гаворка маладой дзяўчыны, і сёе-тое яшчэ павінны быць... Якімі?|кароткімі
Сюжэт у мастацкім апавяданні?|фабула
Сюжэт худож. творы; персанажы і акалічнасці, якія забяспечваюць развіццё дзеяння?|інтрыга
Сюжэтная аснова літаратурнага твора|фабула
Сюжэтная схема?|сцэнар
Сюіта ва ўзбекскай музыцы|макам
Сюнь-цзы казаў, што той, хто правільна адзначае яго дакладныя ўчынкі – той яго сябар, хто яму ліслівіць – той яго вораг. А хто яму той, хто правільна паказвае яму на яго памылкі?|настаўнік
Т. Міхайлаўская кахала казаць: “Так, мы – дамы”. А С. Федин аднойчы сказаў: “Саслабеў – ...”. Што ж ён па гэтым чынніку быў гатовы зрабіць?|асла б еў
Цётка ў адным туфлі?|Папялушка
Тая самая салангана, чыё жыллё ідзе на падрыхтоўку супу з “ластаўчыных гнёздаў”|беражанка
Той бок закона, якой вынікаюць бюракраты|літара
Тая частка вечнасці, што адлучае вотчыну расчаравання ад царства надзеі?|сучаснасць
Тая частка савецкага калектыва, да якой адносілі кожнага які збірае ўнёскі|актыў
Тая, для якой былі пашыты пунсовыя ветразі ў феерыі А. Грина|Ассоль
Тая, кім у вёсцы ў ліпені становіцца амаль кожная жанчына|жняя
Тая, якая раскайваецца ў зробленым, аднак абавязкова зробіць гэта зноў. (Генры Менкен)?|жонка
Тая, якая звалілася ў групы “На-На”, і па народных прыметах, калі гэта здарылася – з братам паб'ешся|капялюш
Тая, якая клапоча пра зняволенне шлюбу, вяселлю|свацця
Тая, хто пераследвае каго-небудзь, гоніцца за кім-небудзь|пераследніца
Тая, што не варта свеч|гульня
Тытунь у народнай гаворцы|махра
Тытунь, амерыканскія цыгарэты|кэмел
Тытунь, вярблюды і пустэльня (агульнае)|кэмел
Тытунёвая фабрыка Масквы; старадаўняя манета|дукат
Тытунёвая фабрыка Масквы|дукат
Тытунёвая фабрыка, якая забяспечвае паэтаў “Пегасамі”|дукат
Тытунёвы выраб|цыгара
Тытунёвы “секонд хэнд”|бычок
Тытунёвы секонд-хэнд?|чинарик
Тытунец, які добра быў знакам Васілю Теркину|махра
Тытунец|тютюн
